pert_id,SMILES,jtvae_1,jtvae_2,jtvae_3,jtvae_4,jtvae_5,jtvae_6,jtvae_7,jtvae_8,jtvae_9,jtvae_10,jtvae_11,jtvae_12,jtvae_13,jtvae_14,jtvae_15,jtvae_16,jtvae_17,jtvae_18,jtvae_19,jtvae_20,jtvae_21,jtvae_22,jtvae_23,jtvae_24,jtvae_25,jtvae_26,jtvae_27,jtvae_28,jtvae_29,jtvae_30,jtvae_31,jtvae_32,jtvae_33,jtvae_34,jtvae_35,jtvae_36,jtvae_37,jtvae_38,jtvae_39,jtvae_40,jtvae_41,jtvae_42,jtvae_43,jtvae_44,jtvae_45,jtvae_46,jtvae_47,jtvae_48,jtvae_49,jtvae_50,jtvae_51,jtvae_52,jtvae_53,jtvae_54,jtvae_55,jtvae_56
BRD-A82329351,CCOC(=O)CN1C(=O)CC(CC(O)C2CC(C)CC(C)C2=O)CC1=O,-2.259135,-0.87916255,0.09212598,-3.2265215,3.9368494,-5.218047,-2.0006359,2.4225216,6.4793653,2.8725502,2.4915137,-1.5184561,0.85247105,1.6701647000000002,2.5750773,7.4211399999999985,1.8100104,-3.2450192,-0.58471185,-1.7683927,1.8768128,-0.6921643,3.788061,2.068018,-1.3559232,0.07670363,7.387772999999998,1.525365,0.22237246,-0.80609757,1.3026851000000002,0.26820296,0.051472913,1.0671824,-1.4286427,0.43937394,0.52951205,-0.51794416,-0.10085671,-0.2767573,-1.3277928999999995,0.68059427,0.033691168,-0.121068224,1.8590987,-1.06415,-0.008287117,0.43273124,0.44223934,-0.8035598,-0.3516143,1.1003506,0.5406207,-1.3999281,-1.5312444,1.0307633
BRD-K02607075,COc1cc2c3cc1Oc1cc(ccc1O)CC1c4c(cc(OC)c(O)c4Oc4cccc(c4)CC3N(C)CC2)CC[N+]1(C)C,5.383914,3.1628206000000003,-1.6290403999999998,-5.0250096,4.13501,-2.7024899,1.4488914,-0.5366696,-4.502595,-5.892359,-1.2738848,1.756665,2.1577117,3.8753326,7.2505465,-1.0729902,-3.735473,-1.3169316999999998,-0.6969004,4.0738454,-0.6241161999999999,-0.08065261,3.3463616000000003,-0.7162816999999999,0.9914617,5.964554,0.25346243,0.34964573,-0.07703698,1.211037,-0.38638306,0.4241051,0.9283478,-0.8523721,-0.104986146,0.05954412,1.0029857,-1.125822,-0.15060729,-0.3132633,-0.70960814,0.73762137,-0.000115029514,0.20198831,2.142593,0.9255056,-0.22000986,0.762505,-0.15015203,0.6217013000000001,-0.74144435,1.491044,1.4547607,0.32747424,0.44495156,0.30204988
BRD-A49906757,C[N+]1([O-])C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,-2.2194574,1.9385586,0.24953097,-2.1665087000000005,2.9148908,1.079678,2.1114573,-5.113072,-2.320578,2.745045,1.8799491,0.66360337,-3.1950936000000003,1.584258,2.194197,0.8980391,3.1953044,-0.8674089,-0.104676515,3.9932458,0.39353347,-3.3236716,7.4886050000000015,1.4137348,5.692774299999999,2.8197112,4.0362334,-0.6062904,0.64937437,0.4104439,0.33513242,-0.5373953,0.78650266,-0.2768069,-0.56469333,-0.93899524,1.2987858,-1.3124586,-0.6055455,-0.863883,-2.0009196,1.651213,0.059591696,1.5651885,1.6730696,-1.0214206,0.03548213,-0.81131274,-0.566621,-0.08583919999999999,-0.6542618,0.8928499,1.2743591,0.1591734,-0.15611205,0.6381028
BRD-K85242180,CCCOC(=O)c1cc2c(cn1)[nH]c1ccccc12,-0.23807341,3.3640478,0.94591147,0.6752391999999999,2.0857487,-0.7488030999999999,-1.637725,1.8327079,1.3885632,-1.1855086,-3.9141476,-2.4145448,-2.9592803,3.622938200000001,1.8392965,1.8372915,-2.5412924,-1.0311372,-1.0435487,0.30226820000000004,1.5716004,4.4123797,0.13769367,-3.2478964,-0.11942748,-3.983659,2.1895373,-2.993901,-0.1292615,1.6128969,-0.42331854,1.6486241,0.67555773,0.035144552999999995,-0.022141948,-0.72337615,0.23668464,1.2706723,-0.018385721,-1.22153,-0.6983617,0.94275296,-0.47603583,-0.40943873,1.1997004999999998,-0.20229863,0.13916734,1.3464524,-0.15596559999999998,0.22490428,-0.3378688,1.0566326,0.6253405,-1.6836122,1.6477259999999998,0.22522889
BRD-K78844995,O=C(NCCN1CCCCC1)c1ccc(I)cc1,-0.25876448,1.1442277,0.74539846,-3.221559,-6.317101,-2.186729,-2.9298024,1.6098983,-0.11749152,-0.6581075,2.5495431,0.23700643,1.0705383999999998,1.2571937,-2.6239707,-0.24273533,-0.6978269,1.5375513,1.5128468000000002,-4.544439,1.0152866,0.37574983,1.6789019,4.0452094,-0.4483663,1.4195879999999998,1.9852225,-2.5084984,-0.01738602,-0.20099574,-0.0016352609,-0.16088325,0.90937555,-0.51820654,1.1783645,0.31920066,-1.3625252,-0.3600487,-0.15885539999999998,0.23260766,-0.82629186,0.88022923,-0.10906552,0.0043132305,0.97750926,0.7972335,-1.3922736999999998,-0.16823909,0.5352471999999999,0.5774945,-0.94065607,0.3723454,0.4881495,-0.3035522,-0.61464083,-0.40173754
BRD-A45140972,C=C1c2c(Cl)ccc(O)c2C(=O)C2C(=O)C3(O)C(=O)C(C(N)=O)C(=O)C(N(C)C)C3C(O)C12,1.7675596000000002,2.0205781000000003,-2.0387487,-3.991979,5.347008,-2.109613,-5.798013,-2.872787,1.5223613,2.3759868,0.08116291,2.7552135,6.7400850000000005,6.370659,16.96515,1.3809917,6.376551,0.1965797,-3.038395,-3.314997,6.5277777000000015,2.2458315,6.650707700000001,-0.51187366,2.7636285,6.730088,-3.4457245000000003,6.197708,-0.83597505,-0.6895564000000001,0.18763682,0.47756988,1.591924,0.35687870000000005,0.026307233,0.7257246,-0.43446672,-0.35424197,-0.66481644,0.041954488,0.60200936,1.5541584,0.5204055000000001,0.10373826,0.7199181,-0.63526475,0.061442055,-1.0423709,-0.47206622,-0.64114404,-0.09623557,0.71314925,0.8455315999999999,0.9572133,0.37291297,0.48794767
BRD-K63938928,COC(=O)c1cc(OC)c(=O)c2c(OC)c(OC)ccc2c1,2.7895494,4.1713815,-0.32539377,-2.252802,3.0655143,-2.4216046,0.754154,2.6798933,-0.8898016,-0.19873218,-0.33164114,-1.4853361,2.307878,6.516957,7.230993700000001,-1.1476961,0.6940147,-0.7887883000000001,-3.03088,-1.4553115,1.8420898,1.1561371,4.7722282,1.5557499,1.5012348,4.4511733,5.1027193,-2.376516,-0.010465343,-0.582854,-0.6970457,-0.03885807,1.4234831,0.41979384,-0.15895738,-1.0243694,-1.338717,-0.114184454,0.26953122,0.3198827,-0.11541842,1.275876,-0.24908186,-0.5640708000000001,0.5755494999999999,0.97289914,-0.43422383,-0.49238414,1.0815177,-0.9477335,0.09859106,0.9383481,1.2448828,-0.70959944,0.8227005,0.19141057
BRD-A27143604,N#CC(Cc1ccc(O)cc1)c1ccc(O)cc1,1.148605,-4.4608235,2.2488651,-2.6497552000000004,2.1614687000000004,0.42785406,2.0111060000000003,2.5409715,-2.0264359,0.9145424,2.25622,-3.6051345,2.1715843999999995,3.3833900000000003,-0.5889833000000001,-2.275469,1.2916477,1.2576928,4.3168206,2.6662736,0.67035836,-0.19546764,5.7081823,2.6230369,2.8539543,-1.3649878999999998,-2.316852,-2.1808605,-0.5899613,1.0383961,0.66357136,0.98291975,1.0575290000000002,0.56855404,2.5937767000000003,-1.3851907,-0.031185448,1.4217997,0.81947315,0.8412617,1.0174447,1.6910019,-0.58659637,1.1182231000000002,0.27253455,0.38645744,-0.2712372,-0.8461114,-0.1482684,0.41012928,0.5951179,0.6423703000000001,-0.7938324000000001,-1.5556145,-1.8493564,-1.0864329
BRD-K26573499,CN(C)c1ccc(C=C2CCCN=C2c2cccnc2)cc1,-0.05159924,-2.3063633,3.4114150000000003,-6.972213000000001,-0.14713556,2.070114,-1.2469431999999998,-2.8265,0.8637975,-2.761597,3.8068924,0.8235389000000001,0.46467492,0.89285195,-0.4765639,-1.3899885,-1.0040671,0.06906405,0.3558336,1.3306018999999998,-2.8950162,0.95793164,-0.28392738,-2.2441308,-2.9955013,0.69709635,-2.9312875,0.6516623,0.18561113,-0.31819743,-0.14879842,0.054446176,0.46745294,0.6472003000000001,1.1153793,-0.6388672,-0.65488446,0.5456847,-0.19510375,-1.1764245,2.2173817,0.42465332,0.8946939,1.2332503,1.6367048999999998,0.2005843,-0.49511874,-0.49181768,-0.72665405,-1.5237458000000002,0.24495557,-0.17352362,0.012814945,-1.4453105,0.32177007,0.1731512
BRD-K23623876,Fc1cccc(C=NN=Cc2cccc(F)c2)c1,1.5099018,-3.0079765,2.3893788,0.8792916999999999,-1.9510405,-0.41533107,2.790653,-5.111821,1.9716413,0.4732926,0.73287344,-3.9782443,0.98712987,4.8597775,-0.0368471,-3.8446467000000006,-3.2665238,1.5346904,1.6326033000000002,-1.389467,0.29113066,-1.5021014,-0.108431846,-1.5350757,-0.7664354,0.5305543,-0.13663995,2.516322,0.49893308,0.78502905,-0.5984428,1.8349613,-0.9547065,0.04959771,-1.4270864,0.94517744,1.1203078000000002,-0.95429194,0.68818456,-1.0444027,-0.5228279,-1.3384842,-0.63841736,1.0352393,0.7834766,-1.3181447,0.91719365,1.5994402,0.96155065,-1.0660083,1.1344941000000002,-0.073182106,1.1108255,0.31129515,-0.43877,-0.8499564000000001
