cikarilan_smiles,baslangic_smiles,distance,optimized_smiles
CC(=Cc1csc(C)n1)C1CC2OC2(C)CCCC(C)C(O)C(C)C(=O)C(C)(C)C(O)CC(=O)N1,C=C1SCC2(C(C)(C)C)C(=O)C(O)(C=NO)C(C(C)=O)=C(C(C)(C)C)N12,6.19706151058771,CC(C)(C)C(C)(C)C[NH3+]
Cl.Nc1ccn(C2OC(CO)C(O)C2(F)F)c(=O)n1,Nc1[nH+]ccn1C1OC(O)C(F)(I)C12CCCCO2,6.85960362158128,CNC1(N2CCCCCC2)CCCO1
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3OC1CC(N)C(O)C(C)O1,COc1c2c(c(O)c3c1C(=O)c1cc4c(c(O)c1C3=O)CC(C)C(O)(OC(C)=O)C4)CC(NC1CCCC(C)C1)CC2=O,6.751071109829703,COCC(=O)OC1C(=O)NC(O)COCCN(C)CC12CCCN2
CCC1=CC2CN(C1)Cc1c([nH]c3ccccc13)C(C(=O)OC)(c1cc3c(cc1OC)N(C)C1C(O)(C(=O)OC)C(OC(C)=O)C4(CC)C=CCN5CCC31C54)C2,CCCC1(C)CN2CCC(C)=C2C2C=C(OC)C=CC2(C(=O)C2(OC(C(=O)OC)c3cccc(OC)c3)CCCC(C(N)=O)(C(=O)OC)C2)CNCCO1,6.981926357587509,CCCC(N)C(OC(=O)C1CNC(O)(O)C1)OC(C)C
CCC(=C(c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1.O=C(O)CC(O)(CC(=O)O)C(=O)O,CCC(=C(C=Nc1cccc(C#N)c1)c1ccc(O)cc1)c1ccccc1,5.080479847611978,CCC
Cc1nc(NC(=O)N2CCCC2C(N)=O)sc1-c1ccnc(C(C)(C)C(F)(F)F)c1,Cc1nc(Nc2cc(C(F)(F)F)ccn2)sc1C(=O)N1CCCC1C(C)(C)C,5.7472944053241894,CCNC(C)(C(N)=O)C1(F)CCC1
Cn1ncnc1C1c2n[nH]c(=O)c3cc(F)cc(c23)NC1c1ccc(F)cc1,Cn1nc(C2COc3ccccc32)nc1-c1cccc2c(=O)nc(C(F)F)[nH]c12,5.505997322186984,NCc1ncc[nH]1
FCOC(C(F)(F)F)C(F)(F)F,OCC(c1cc(F)ccc1F)C(F)(F)F,5.941248331027545,CCOC(F)(F)C(F)F
CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1,Cc1c(Cn2cncn2)cc(C(C)C)c(C)c1C(=O)C#N,6.514315031583134,CCC
C=C1CC2CCC34CC5OC6C(OC7CCC(CC(=O)CC8C(CC9OC(CCC1O2)CC(C)C9=C)OC(CC(O)CN)C8OC)OC7C6O3)C5O4,,5.841576364079704,CC(O)(O)C(=CN)C(=O)OC1(N)CCCO1
