cikarilan_smiles,baslangic_smiles,distance,optimized_smiles
CC(=O)OCC(=O)C1(O)C(OC(C)=O)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,CC(=O)OC(=O)C1C(OC(=O)C2OC(O)C(O)C(C)(C)C2O)CCC2=CC(=O)C=CC21C,6.683205626249935,CC(=O)OCC(=O)OC1C2C(CC(F)C3(O)CC4(C)C(=O)C=CC(=O)C4CC23)C(C)C1(C)O
CC=C(C)C(=O)OC1C(C)=C2C(C1OC(=O)CCCCCCC)C(C)(OC(C)=O)CC(OC(=O)CCC)C1(O)C2OC(=O)C1(C)O,CC=C(C)C(=O)OC1(OC(C)=O)C(OC(=O)CCCCCCCC(=O)O)C(O)=C(C)C12CCCC(C)(O)C(C)C2O,6.845918625031231,C=CC1OC1C1(C)OC(O)(C=CC(=O)OC(C)(OC(=O)CCCCC(C)(OC(C)=O)OC(C)=O)C(=O)[O-])C(O)C1O
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,CC(=O)OC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,6.755678586057117,CC(=O)C(O)C(=O)OC1CCC2C3C=CCC(C)C3C(=O)CC12C
CC1(C)OC2CC3C4CC(F)C5=CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(C(=O)CO)O1,CC1=NP(=O)([O-])([O-])(C(O)C2CC(O)CCC2N2C(=O)CCCC2C(C)C)N2C(=O)CCC2=C1,6.016093729435452,CC(C)C1=CC2(O)CC(OC(=O)C3=CC4(Br)CCC4C3C)CCC2(C)C1
CN(C)c1ccc(C=C2C(=O)Nc3ccccc32)c2ccccc12,Cc1cc2c(N(C)C)ccc(-c3cc(=O)[nH]c4ccccc34)c2c[nH+]1,6.370810173771447,CN(C)c1ccc(C2CNCS2)c2ccccc12
COc1c(O)c2c(=O)cc3c4c5c(cc(O)c6c(=O)c(OC)c(CC(C)O)c(c(c1CC(C)O)c24)c65)OCO3,COc1cc(C(=O)OC(C)C2C(=O)N=C3CCCCN3C2O)c(CC2(O)CCCCC(=O)N2)cc1O,6.740242347439491,COc1c(OC(=O)C2=CC3(C=CC2)NC=NC2(CCNCCOCC(O)NC2)C3=O)cc(OC(C)C)c(O)c1CC1=COC2(CC[NH2+]CCC23C=CC(Br)=CC3)C1
CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)COC(=O)CCC(=O)O,CC1=C2CCC3C4CCC(O)(C(=O)COC(=O)CCC(=O)O)C4(C)CCC3(O)C2CCC1=O,6.6143149356507775,C=CC(=O)C12CCC(O)(C(=O)OCCC)C1(C)CCCC2OC(=O)C1=C(C)CC(O)CC1
CC1(C)OC2CC3C4CCC5=CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(C(=O)CO)O1,CC1(C)OC2CC3C4CCC5=CC(=O)C=C(Cl)C5C4(F)C(O)CC3(C)C2(C(=O)CO)O1,6.1679950856746375,CC1(C)OC2CC3C4CCC5=CC(=O)C=CC5C4(F)C(O)CC3(C)C2(C(=O)O)O1
CC(=O)C1(O)CCC2C3CC(C)C4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,CC(=O)C1(O)CCC2C3CC(C)C4=CC5(CCCCC5)CC(=O)C4(C)C3C(F)CC21C,6.986174306789787,CC1OC2CC3C(C)(C=O)CC(O)CC3(C)C2C1(C)C
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3(F)C(O)CC21C,CC(=O)OCC(=O)C1(O)CCC2C1(C)C(F)CC(O)C21CCCC2=CC(=O)CCC21C,5.64502036799205,CC(=O)OCC(=O)C1(O)CCC2C3(CCCC4=CC(=O)CCC43)C(O)CC(F)C21C
CC(=O)OCC(=O)C12OC(C)(C)OC1CC1C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC12C,CC(=O)OCC(=O)C12OC(C)(C)OC1CC1(C)C2C(F)CC(O)C12CC(F)CC1=CC(=O)C=CC12C,6.057452042838019,CC(=O)OCC(=O)C12OC(C)(C)OC1CC1(C)C3(CC(O)CC21F)CC(F)CC1=CC(=O)C=CC13
c1ccc2c(-c3ccncc3)c[nH]c2c1,c1ccc2c(-c3ccncc3)c[nH]c2c1,6.906677777165622,c1cc(-c2cc[nH]c2)ccn1
CC(C)c1ccccc1Cc1cc(C(=O)Nc2ccc(S(=O)(=O)c3ccccc3C(C)(C)C)cc2)c(O)c(O)c1O,Cc1cc(C)cc(-c2cccc(-c3ccc(O)c(CC(C)C)c3)c2C(=O)Nc2ccc(S(=O)(=O)O)cc2O)c1,6.89761419226408,Cc1cc(NC(=O)C=Cc2ccc(Oc3ccc(CC(C)C)cc3)c(O)c2)cc(C)c1S(=O)(=O)O
Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)[nH]n1,CCn1ccc(Nc2ccnc(N3CCN(c4ccc(C(=O)NC)cc4)CC3)n2)n1,6.030792030097428,CN(Cc1ccnc(Nc2ccc(N)cc2)n1)c1ccc(-n2cnnn2)cc1
CN(C)C(=O)n1nnnc1Cc1ccc(-c2ccccc2)cc1,CN(C)S(=O)(=O)NCc1ccc(-c2ccccc2)cc1,6.584655937307635,CCc1ccc(N(C)N=Cc2cnn(-c3ccccc3)c2)cc1
CC(C)(C)C(=O)OCOP(=O)(OCOC(=O)C(C)(C)C)C(C)(Oc1ccc(O)cc1)P(=O)(OCOC(=O)C(C)(C)C)OCOC(=O)C(C)(C)C,CC(C)OCOP(=O)(OCOC(=O)C(C)(C)C)C(OC(=O)OCOC(=O)OC(C)C(C)(C)C)OC(=O)OC(C)(C)C,6.071918748124569,CC(OC(=O)OCOC(=O)OC(O)(C(C)(C)C)P(=O)(OC(=O)O)C(C)(C)C)C(C)(C)C=O
O=C(Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1cc(Cl)ccc1O,O=C(Nc1cc(-c2c(F)cccc2F)cc(C(F)(F)F)c1)c1cc(Cl)cc2[nH]ncc12,6.5796248094328185,O=C(Nc1cc(C(F)(F)F)ccc1F)c1cc(F)ccc1Cl
CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,CCN(CC)CCCCn1ccc2c3c4c(oc3c(Cl)cc21)CCC(C)C4,6.418985674225088,CCN(C)CCCNC1CC(c2cc(F)cc(I)c2)=NC2=C1CC(C)N=C2
O=S1(=O)Nc2c(ccc3cccnc23)-c2ccccc21,O=S1(=O)CCCC23C=CC=CC2NN=C31,7.0029706529139055,O=S1(=O)CCCC2NCc3ccccc3C21
CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1,CN(C)c1ccc2nc(N(C)C3CCSc4ccc(S(N)(=O)=O)cc43)c[s+]c2c1,6.511956717481334,CN(C)c1ccc2cc([SH](C)(=O)Nc3ccc4[nH]ccc4c3)ccc2c1
COc1cc2nccc(Oc3ccc(NC(=O)Nc4cc(C)on4)c(Cl)c3)c2cc1OC,COc1cc(NC(=O)Oc2nc3cc(OC)c(OC)cc3cc2Cl)ccc1NC(C)=O,6.2623049420828085,COc1ccc(NC(=S)NC2C3CC4CC(C3)CC2C4)cc1Oc1ccnc(OC)c1C
Cc1ccc(C(=O)n2c3ccccc3c3ccccc32)cc1,Cc1ccc(C(=O)n2c3ccccc3c3ccccc32)cc1,6.663347491201407,O=C(c1ccc(-c2ccccc2)cc1)N1CCc2c[nH]nc2C1
Cn1ccc2cc(-c3ccc4ncnc(NCc5cccs5)c4c3)ccc21,Cn1ccc2cc(-c3ccc4ncnc(SCc5ccccc5N)c4c3)ccc21,6.789248561226914,Cn1ccc2cc(-c3noc(Sc4ccc(C(N)=O)cc4)n3)ccc21
CC(=O)C(C(C)=O)c1c(Cl)c(O)c(O)c2c(C(=O)c3ccccc3)coc12,CC(=O)C(C(=O)COc1ccccc1C#N)c1cc(O)cc(Cl)c1O,6.500391751471463,CC(=O)OC(C(C)=O)(C(=O)COc1cccc(C)c1C#N)c1cc(O)cc2c1OCO2
Oc1c(CN2CCCC2)cc(COCc2ccccc2)c2cccnc12,OCC1C(c2ccccc2)OCN1Cc1cc(O)c2c(c1)=NPNC=2,5.986739948131727,O=C1C(c2ccccc2)CN=NN1Cc1cc(OCc2cccnc2)c2cccnc2c1
CC(C)C(=O)NC(c1ccco1)c1ccc2cccnc2c1O,Cc1ccc(C(=O)NC(c2ccc(O)cc2)C(C)C)o1,5.248524878829924,CC(C)C(C(N)=O)c1ccco1
CNCCCC12CCC(c3ccccc31)c1ccccc12,CNCCCc1cccc2[nH]c3c(c12)CCCCC3,5.920650803814111,CNCCCc1cccc2[nH]c3occc3c12
CC1CC2C3CC(F)C4=CC(=O)C(Cl)=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,CC1=CC(=O)C(C(O)CO)=C2C(F)C(Cl)C3Cc4ccccc4C3(C)C12O,6.847096378276378,CC1=CC(=O)C=C2CCC3C4(C)C(CC(Cl)C4(O)C(F)Cl)CC(O)C3(F)C12C
CN(C)CC=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC1CCOC1,Cn1cnc(C=CC(=O)Nc2cc(Cl)ncc2N2CCCC(Oc3ccc(F)cc3)C2)c(N)c1=NO,6.831372249805691,Cn1c(C=CC(=O)Nc2cc(N3CCOCC3)ncc2OCC2CC2)nc2c(c1=S)CNC=C2Br
CC1CCCCOC(CN(C)CC2CCCCC2)C(C)CN(C(C)CO)C(=O)c2cc(NC(=O)Nc3ccc(C(F)(F)F)cc3)ccc2O1,CC1CC(C)N(C(C)CO)CCCOCCC2(CN(C)C(C)CO)C=CC(NC(=O)Nc3cc4cc(F)ccc4c4ccccc34)=CC2C(=O)O1,6.52324774059184,CC1CC(C)N(C(C)CO)CCCOCCC2(CN(C)C(C)C3CCCCC3)C=CC(NC(=O)Nc3cccc4cc(F)ccc34)=CC2C(=O)O1
CNC(=O)c1cccc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)c1,CNC(=O)c1cccc(OC(=O)Nc2ccc(NC(=O)c3cc(F)c(Cl)cc3F)cc2)c1,6.674864204872588,CNC(=O)Oc1cc(F)ccc1NC(=O)c1cccc(NC(=O)c2ccc(F)cc2Cl)c1
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nc(-c2cccnc2)cs1,Cc1ccc(NC(=O)c2ccccc2CNc2cccnc2)cc1N1CCN(C)CC1,6.1754347970504115,Cc1ccc(C)c(NC(=O)c2cccc(Nc3cccc(-n4cccc4)n3)c2)c1
COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ncnc2cc1OCCCN1CCCC1,COc1cc2nc(C)nc(N3CC4Cc5c(ccc6ccccc56)OC4(CCO)C3)c2cc1OC,6.736456595200987,COc1cc2nc(N3CC(CCOc4ccc(F)cc4)C4CN(C(C)=O)CCC43)nc(C)c2cc1OC
COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,COc1cc(NC2=C(c3ccc(Cl)cc3Cl)C(N(C)CCCOc3cccc(O)c3C)=NC(=O)C2)cc(OC)c1,6.749272622247185,COc1cc(CNc2cnc3c(CO)c(N)n(Cc4c(Cl)cccc4Cl)c3n2)cc(OC)c1
CC(=O)NC1=NN(C(C)=O)C(C)(c2ccccc2)S1,CC(=O)NC1=NN(C(C)=O)C(c2ccccc2)S1,5.764219215988841,CC(=O)N1N=C(NC(=O)c2ccccc2)SC1C
CCn1cc(-c2ccnc3[nH]c(-c4cccc(CN(C)C)c4)cc23)c(-c2ccc(NC(=O)N(C)C)cc2)n1,CCn1cc(-c2ccnc3[nH]c(-c4cccc(CN(C)C)c4)cc23)c(-c2cccc(C(=O)NC)c2)n1,6.323050138733271,CCn1cc(-c2ccnc3[nH]c(-c4cccc(CN(C)C)c4)cc23)c(-c2cccc(NC)c2)n1
COc1cc(C)c(Sc2cnc(NC(=O)c3ccc(CNC(C)C(C)C)cc3)s2)cc1C(=O)N1CCN(C(C)=O)CC1,COc1cc2nc(N)n(Cc3ccccc3C(=O)NC(C)C(=O)NC(C)c3ccccn3)c(=O)c2cc1C,6.519806043128521,Cc1ccc(C(=O)Nc2cc(CC(=O)Nc3ccc(-n4c(C)nnc4C)cc3)on2)c(SC(C)C)c1
COc1cc(O)c(CC=C(C)C)c(O)c1C(=O)C=Cc1ccc(O)cc1,COc1cccc(O)c1C=CC(O)c1ccc(C)cc1,6.181837614065626,COc1c(CC=C(C)C)c(O)cc(O)c1C(=O)C=Cc1ccc(O)cc1
CCCCCCCCCCCCCC=CC(O)C(N)CO,CCCCCCCCCCC=CCC(O)C(N)CO,6.088916808228373,CCCCCCCCCCCC=CC(O)C(C)CO
O=C(NCC(O)CO)c1ccncc1Nc1ccc(I)cc1F,O=C(NCC(O)COc1ccc(I)c(Cl)c1)Nc1ccncc1,6.6006825736709915,O=C(NCC(O)Oc1ccc(I)cc1)c1cc(Nc2ccc(F)cc2)ncc1I
