cikarilan_smiles,baslangic_smiles,distance,optimized_smiles
CCCN1C(C)=C(C(=O)OC)C(c2cccc([N+](=O)[O-])c2)C(C(=O)ON2CCC(c3ccccc3)(c3ccccc3)CC2)=C1C,CCCN(CCC(=O)OC(C)(C(=O)c1ccc2c(c1)NC(=O)C2)c1ccccc1)P(=O)([O-])c1ccccc1,7.559600908970884,CCCC1=C(CN(OC(C)C)C(=O)c2ccccc2)N2CCc3ccccc3C2=C(C(=O)N2CCOCC2)C1c1ccc(C(=O)[O-])cc1
CC1(C(=O)Nc2ccc(F)nc2)CCCN1c1nc(Nc2cc(C3CC3)n[nH]2)c2cccn2n1,CC(c1cccc(Nc2cc(-n3cccc3)n[nH]2)n1)N1CCCC1C(F)(F)F,6.992614325453832,CC(c1ccn(C2CCCOC2)n1)n1nc(Cl)cc1Nc1ccc(F)cn1
CC1CCCCOC(CN(C)S(=O)(=O)c2ccc(F)cc2)C(C)CN(C(C)CN(C)C)C(=O)c2cc(NC(=O)Nc3ccccc3)ccc2O1,CC1CCN(C(C)CN(C)C)CCCOC(=O)CC2(CN(C)S(=O)(=O)c3ccc(F)cc3)C=CC(NC(=O)Nc3ccccc3)=CC2C(C)O1,6.76958844982104,CN(C)C(=O)c1nn(CCN(C)C(C)(C)NS(=O)(=O)c2ccc(F)cc2)c(=O)c2ccccc12
O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,O=C(Nc1ccccc1O)c1cc([N+](=O)[O-])ccc1Cl,6.14848238011425,O=C(Nc1ccccc1O)c1c(Cl)cc([N+](=O)[O-])cc1Cl
CC(C)ON(C(C(=O)NO)C(C)C)S(=O)(=O)c1ccc(-c2ccccc2)cc1,CC(C)ON(C(C(=O)NO)C(=O)Nc1ccc(C(C)O)cc1)S(=O)(=O)c1ccccc1,6.847735866362452,CC(c1ccccc1)N(C)C(=O)C(=O)ON(C(C)C(O)c1ccccc1)S(=O)(=O)c1ccccc1
O=C(Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1cc(Cl)ccc1O,O=C(Nc1cccc(C(O)C(F)(F)F)c1)c1c(F)c(F)cc(Cl)c1F,6.122205020761983,O=C(Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1cc(O)cc(Cl)c1
CN(NC(=O)CC(=O)NN(C)C(=S)c1ccccc1)C(=S)c1ccccc1,CC(=O)N(NC(=O)CN(C)n1cnnn1)C(C(=O)Nc1ccccc1)C(C)Cl,6.886681097477326,CCNNC(=O)C(c1ccccc1)N(C)C(=O)C(=S)N1CCCS1
O=C(CCCCCCC(=O)Nc1ccccc1)NO,O=C(CCCCCCc1ccccc1)NO,6.465747546035388,O=C(CCCCCCCNc1ccccc1)NO
CC(=O)C(C(C)=O)c1c(Cl)c(O)c(O)c2c(C(=O)c3ccccc3)coc12,CC(C(=O)O)C(=O)c1ccc(O)c(O)c1C(C)C#N,6.321686487445233,CC(OC(C#N)c1c(O)cc(Cl)c2cccnc12)C(=O)C(C)(C)c1ccccc1
Oc1c(CN2CCCCC2)cc(COCc2ccccc2)c2cccnc12,Oc1cc(CCOCc2ccccc2)c2cccnc2c1,6.107293085166138,OCc1c2ccccc2c(COCc2ccccn2)c2ccccc12
