cikarilan_smiles,baslangic_smiles,distance,optimized_smiles
CC(C)CC(C=CS(C)(=O)=O)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)OCc1ccccc1,CCC(C)C=CC(C)C(C(=O)NC(CCS(C)(=O)=O)C(=O)OC(C)(C)C)C(=O)NC(CC(C)N)N1CCOCC1,6.540516312559039,CCC(C)C=CC(=O)NC(CCSC(CC(=O)O)C(=O)NC(C)C(=O)N(C)C)CS(C)(=O)=O
CC(C)ON(C(C(=O)NO)C(C)C)S(=O)(=O)c1ccc(-c2ccccc2)cc1,CC(C)ON(C(C(=O)NO)c1cccc(C(C)C)c1)S(=O)(=O)c1ccc(N2CCOCC2)cc1,6.856095150486901,CC(=O)C(c1ccccc1)C(c1nnnn1-c1ccc(C)cc1)N(OC(C)C)C1CCCC1
CC12CCC(O)CC1CCC1C2C(O)CC2(C)C(C3=CC(=O)OC3)CCC12O,CC12CCC3=CC(=O)CCC3C1CCC(O)C2C12CC(O)CCC1(C)C(O)CO2,6.909003233649738,CC12CCC(O)CC1C1CCC(O)C3(C)CCC4=C(O4)C13CC2
O=C(c1ccc(Nc2nccc(-c3cc4ccccc4s3)n2)cc1)N1CCC(N2CCCC2)CC1,CC(Nc1ccc2c(c1)N(Cc1cc3[nH+]cccc3s1)CCC2)c1ccccc1,6.665005138931497,CC(c1ccccc1)N1CCC(C(=O)Nc2ncc3c(n2)CCC(Nc2cccc(Cl)c2)CC3)CC1
CC(C)(C)c1cc(C=C(C#N)C(N)=S)cc(C(C)(C)C)c1O,CC(C)(C)c1ccc(C=CC(C#N)C(N)=O)c(C(C)(C)C)c1,7.3977777642602245,CC(C)=C(C#N)Cc1cc(C)c(C(C)(C)C)c(C)c1
CC12CCC3C(CCC4(O)CC(O)CCC34C=O)C1(O)CCC2C1=CC(=O)OC1,CC1C(O)CCC2C1CCC1(O)C(C)C(O)CCC21C=O,6.226470134248268,CC1C(O)CCC2C3CCC(O)C(C)C3(C=O)CCC12O
CN(C)Cc1c(C(=O)NCCOc2ccc(C(=O)NO)cc2)oc2ccccc12,CN(C)CC(C)(O)CNc1nc(=O)c2cc(C#N)ccc2[nH]1,5.904604794874034,CN(C)CC(C)(O)Cn1cnc(=O)c2ccccc21
CC(=O)OC1C(c2ccc(=O)oc2)C2C(C)CC3C(CCC4CC(O)CCC43C)C23OC13,CC(=O)C12C(O)CC3C(C=CC4(C)C5C=CC(=O)C(C6CO6)=C5CCC34)C1C1OC1C2O,6.779426561502737,CC(=O)C12CC(O)CCC1C(O)C1C3C=CC4=CC(=O)C=CC4(C)C3CCC12
Cc1cc(I)ccc1Nc1c(C(=O)NOCC2CC2)cc(F)c(F)c1F,O=C1c2ccc(F)cc2-c2c(NCc3cccc(F)c3)c(O)c(F)c(Cl)c21,7.362753070789826,Cc1c(Cl)cc(C#N)c(N=Cc2cc(N3CCCCC3=O)ccc2OCC(F)(F)F)c1C
COc1ccc(CC(N)C(=O)NC2C(CO)OC(n3cnc4c(N(C)C)ncnc43)C2O)cc1,COc1ccc(CC(Nc2c(N)ncnc2OC)c2ccc(CNC(=O)N(C)C)o2)cc1O,6.185033883631204,COc1ccc(CCNC(=O)c2c3c(n(C)c2OC)C(O)C(N(C)c2ccc(N)cc2)CC3)cc1OC
CC12CCC(O)CC1CCC1C2CC(O)C2(C)C(C3=CC(=O)OC3)CCC12O,CC12CCC(O)CC1C1CCC3(O)C(Br)C(O)CC3(C)C1CC2,7.025754676177027,CC12CCC(O)CC1C1CC(O)C3(C)C(CC(O)C34CO4)C1CC2
COc1ccc(CC2NCC(O)C2OC(C)=O)cc1,COc1ccc(CCOC2CCNC2C)cc1,7.138955246311537,COCc1ccc(C2NCC(OCC(C)O)C2O)cc1
CCc1ccc(OCc2ccccc2C(=O)Nc2ccc3nc(C)cc(N)c3c2)cc1,CCc1ccc(-c2ccc(OCC(=O)Nc3ccc4c(c3C)C(N)[NH+]=N4)cc2)cc1,6.567367339864726,CCc1ccc(-c2ccc(OCC(=O)Nc3ccc(-n4ccc(C)c4)cc3)cc2)cc1
Nc1nc(NCC2CCC(CNS(=O)(=O)c3cccc4ccccc34)CC2)nc2ccccc12,CC1(Nc2nc(N)c3ccc[nH+]c3n2)CCC(C2=NC(n3c(=O)[nH]c4ccccc43)CS2)CC1,6.903826198223978,CC1CCN(c2nc(NCCCN3CCC(S(C)(=O)=O)CC3)nc3ccccc23)C1
O=C(CCCCCN1C(=O)c2cccc3cccc(c23)C1=O)NO,O=C(CCCCCN1C(=O)C(=O)C=CC12CCCC[NH2+]C2)NO,6.4324604243774015,O=C(CCCCCN1CC=CC(N2CCCCC2)C1=O)NO
O=C(NC(NC(=S)Nc1ccc(F)c([N+](=O)[O-])c1)C(Cl)(Cl)Cl)C(c1ccccc1)c1ccccc1,N#CC(=Cc1ccccc1)NC(=S)NC(NC(=O)c1cccc(F)c1)C(Cl)(Cl)Cl,6.804537571661091,CC(Nc1ccccc1)C(NC(=O)[O-])NC(=S)NC(=Cc1ccccc1)C(Cl)(Cl)Cl
[C-]#[N+]C(C#N)=Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,[C-]#[N+]C(C#N)=Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,6.307022063646785,[C-]#[N+]C(C#N)c1c(O)c(N(C)C)cc(C=C(C)C(C)(C)C)c1F
COc1cc(C=CC(=O)N2CCC=CC2=O)cc(OC)c1OC,COc1cc(C=CC(=O)N2CCC=CC2=O)c(OC)c(OC)c1,6.473392600734179,COc1cc(C=CC(=O)OC2=CCNC(=O)C2)cc(OC)c1OC
CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,CC1CC(O)C2(CC3C(O)OC(C)C(OC4CCC5(C)C(=CCC6C7CC(O)C8CCC(C9=C(O)COC9=O)C8(C)C7CCC65)C4)C3OC2O)C(O)O1,6.498046646280531,CC1CC(O)C(OC2CC3C(CCC4C5=CC(=O)CCC5C5C(C)C6C(C(O)CC7(C)C8CC(O)C(O)C=C8CCC67)C5C43)OC2O)C(O)O1
O=C(CCCc1ccc(-c2ccccc2F)cc1)Nc1ccc(O)cc1,O=C(CCCc1ccc(-c2ccc(F)cc2)cc1)Nc1ccc(-c2ccc(O)cc2)cc1,6.356371744199633,CC(=O)CCc1ccc(-c2ccc(NCCO)cc2)cc1
CC12CCC(O)CC1CCC1C2CCC2(C)C(C3=CC(=O)OC3)CCC12O,CC12CCC(O)CC1C1CCC(O)C3(C)C4CC(=O)CCC4(C[NH+]4CC4)C=CC13CC2,6.009977422211037,CC1CCC2C(C1)CC1C2CCC2(C)C3CCC(C4=CC(=O)OC4)CC3(O)CCC12O
CC1CCC2C(C)C(OC(=O)CCC(=O)O)OC3OC4(C)CCC1C32OO4,CC1CCC2CCN(C(=O)C(C)(O)CCCO)C2C1,6.774479274919453,CC1CCC2C(C1)NC(=O)C2OC(=O)C(C)(C)COCCC(=O)C1CCC1
O=C(COc1c(Cl)cc(Cl)cc1Cl)NN=Cc1ccc[nH]1,O=CC(=NNc1ncn[nH]1)OCc1cc(Cl)c(Cl)c(Cl)c1,6.363433670669267,O=CC(C=NNCCCl)Oc1c(Cl)cc(Cl)cc1Cl
