cikarilan_smiles,baslangic_smiles,distance,optimized_smiles
C#CC1(O)CCC2C3CCC4=Cc5oncc5CC4(C)C3CCC21C,C#CC1(C2CCC(C)c3cnc([O-])nc32)CCC2(CC1)OCCO2,6.2409428523659525,C#CC1(Cl)CCC2C1CCC1c3cccnc3[NH2+]CCC12C
CNCCC=C1c2ccccc2CCc2ccccc21,CNCCC=C1c2ccccc2CCc2ccccc21,6.820710194815067,CNCCCC=C1c2ccccc2CCc2ccccc21
CCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,CCC(=O)OC1CCC2(C)C(=CCC3CC(C)CCC32)C1,6.730969522397628,CCC(=O)OCC1CCC2=CCCCC21
COC12C(COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1CC1NC12,COC1=CC2(COC(N)=O)C(=O)C(C)=C(O)C(=O)C23SC2(N)C=CC=CC2N13,6.005854514615314,COC12C(=O)NC(CO)=C1C(=O)C(N)=C(C)C2=O
C=C1CC2C(CCC3(C)C(=O)CCC23)C2(C)C=CC(=O)C=C12,C=C1CC2CCC34CC=CCC3(C(=O)C=CC4=O)C2(C)CC1C,7.025958731753522,C=C1CC(S(=O)(=O)OC2CCCCCC2)c2ccccc2C1C
CCN1CCN(CC(=O)Nc2ccc(-c3cccc4c(=O)cc(N5CCOCC5)oc34)c3sc4ccccc4c23)CC1,CCNC(=O)Cc1ccccc1N1CCN(C(=O)c2cccc3ccn(-c4ccccc4)c23)CC1N1CCOCC1,6.510248935332422,
COc1cc(C=CC(=O)N2CCCCC2=O)cc(OC)c1OCCN1CCOCC1,COc1cc(C=CC(=O)N2CCCCC2=O)cc(OCCNN2CCOCC2)c1OC,6.181127881961986,COc1cc(C=O)cc(OCC=C2SCN(c3ccccc3)C2=O)c1
CCOC(=O)C=Cn1nnc(-c2cccc(Cl)c2)n1,Cc1cccc(NNC(=O)OCCOc2cccnc2)c1,6.370981123407805,Cc1cccc(OCC=C2CC(=O)N=C3CCCNCCOCCN23)c1
O=S1(=O)Nc2c(ccc3cccnc23)-c2ccccc21,O=S1(=O)CCC=C2C3CC=c4ccccc4=C3CCN21,6.231979476607899,O=S1(=O)Nc2c(ccc3cccnc23)-c2ccccc21
CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)C=CCN(C)C,CCOC1=CC(NC(=O)NCc2cc(Cl)ccn2)C(=NCCOC)c2cc(C#N)c(N(C)C)nc21,6.089143982890196,COCc1ccc(NC=C2C(N)=NN(CC(=O)NCc3ccccn3)C23CC(C)(C)CCNC3=S)cc1OC
