,Unnamed: 0,hastalik,idd,smiles,jtvae_0,jtvae_1,jtvae_2,jtvae_3,jtvae_4,jtvae_5,jtvae_6,jtvae_7,jtvae_8,jtvae_9,jtvae_10,jtvae_11,jtvae_12,jtvae_13,jtvae_14,jtvae_15,jtvae_16,jtvae_17,jtvae_18,jtvae_19,jtvae_20,jtvae_21,jtvae_22,jtvae_23,jtvae_24,jtvae_25,jtvae_26,jtvae_27,jtvae_28,jtvae_29,jtvae_30,jtvae_31,jtvae_32,jtvae_33,jtvae_34,jtvae_35,jtvae_36,jtvae_37,jtvae_38,jtvae_39,jtvae_40,jtvae_41,jtvae_42,jtvae_43,jtvae_44,jtvae_45,jtvae_46,jtvae_47,jtvae_48,jtvae_49,jtvae_50,jtvae_51,jtvae_52,jtvae_53,jtvae_54,jtvae_55
0,0,Barrett's esophagus,CHEMBL480,Cc1c(OCC(F)(F)F)ccnc1C[S+]([O-])c1nc2ccccc2[nH]1,-0.6703435,-3.0411708,4.3711963,4.9054213,4.4855647,-1.0438534,-0.11046789,-3.818964,1.8955961,2.5892289,-2.031175,0.99956137,0.496374,6.794159,1.7855195,-0.86253977,-0.46310627,-4.17451,0.5946559,1.7718294,-0.88591546,3.7506251,1.3486075,-2.985094,-0.24818431,5.0082946,1.4372332,0.7086804,-1.0389987,0.111405134,-0.24179274,0.21157695,1.137592,0.733427,-0.08988343,-0.69818985,0.41511217,-1.5986482,-0.8526055,0.68110234,-0.2968913,0.15670525,-0.45310184,-0.92324036,1.2849153,1.2593887,-0.5082647,0.5773554,-0.25406247,0.5371684,0.7749413,0.6282513,1.5342004,0.027548172,0.33062512,-0.1101971
1,1,Barrett's esophagus,CHEMBL25,CC(=O)Oc1ccccc1C(=O)O,0.16630496,1.0300512,-2.1481736,-1.2480403,0.99128294,-1.0670382,1.1721059,-1.856572,-3.0284464,0.98122907,-1.8046672,-2.8756137,0.3298769,1.6138283,2.94803,-0.81093633,0.4237463,-2.2006989,1.2399665,-1.8110745,0.71574324,0.21668983,0.8629846,2.4752524,2.9842262,-4.101698,1.9266654,-0.30993855,-0.56522447,-0.9051214,-1.0878135,-1.7878975,0.82454276,1.4205828,0.053362086,0.9117067,-0.694504,0.1257072,0.59646,-0.7819822,-0.970477,-1.46482,1.6163347,-0.3882348,0.8519429,-0.3888942,-0.36960095,0.28091326,0.061290376,0.24971426,-0.6224736,0.34346503,-0.58567315,-0.37414274,1.1227521,1.7437087
2,2,Barrett's esophagus,CHEMBL2146133,COc1ccc2[n-]c([S+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1.COc1ccc2[n-]c([S+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1.[Mg+2],-1.7898734,-3.6609445,0.88383174,-3.0887947,4.804117,-0.5164435,2.1451159,-1.3039725,2.433473,-0.13553984,1.171506,0.5789253,-0.33553326,8.202002,3.4922352,3.1139364,4.4874916,-4.6492834,0.7021891,4.3178887,-0.4304269,0.63305897,-3.4568706,-2.4170911,1.4092737,5.7083855,1.1702156,2.400187,0.28458858,0.2503191,-0.8085551,-0.109337345,0.984851,0.55810547,-0.14706211,-1.4424055,1.6339887,-1.8805975,-0.53415406,0.5032767,-0.2076498,0.8587697,-0.07462587,-0.42707348,1.6195282,1.371518,-0.33319318,0.14986694,-1.2288399,0.94837624,1.5628226,0.3622463,1.5574887,-0.63730574,-0.29841918,-0.48534724
3,3,Barrett's esophagus,CHEMBL1201320,COc1ccc2[nH]c([S+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1,-2.756985,-4.6061196,1.7300241,-4.492692,4.61062,-1.7884303,2.6898217,-2.319653,2.911917,-1.4631716,-1.2507364,0.87431973,-1.3077167,6.576451,3.4912653,2.5609674,3.8989048,-5.394953,0.15094565,5.0747952,-1.629567,1.3180648,-4.8606715,-1.3637655,1.6841115,6.249984,1.7224298,2.1834366,0.21355136,0.24708694,-0.8987079,-0.23646386,0.84605944,0.73208094,-0.2819964,-1.3958436,1.5982454,-2.0190303,-0.54878414,0.5414515,-0.34212965,0.9416617,-0.024742581,-0.11321771,1.6147758,1.5137656,-0.17842956,0.20192736,-1.3783703,0.8692796,1.6679288,0.37543374,1.2355802,-0.60394704,-0.35812262,-0.4516991
4,4,Barrett's esophagus,CHEMBL122,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1,-1.2215694,-3.5680656,-1.0789653,-1.2493849,1.6282679,2.582182,-1.367013,-0.14900202,-1.8558904,3.4178255,-1.4030365,-4.5341187,-2.0289042,1.8108691,-0.6439467,-1.489053,3.7135744,-3.8581862,-1.4449505,-2.6661694,2.9825416,-1.5980974,2.767554,-0.8507802,3.4778507,4.6693606,-0.39563,1.589413,0.7045321,0.15007311,-1.0770999,-0.069114774,2.0546083,0.55420285,-0.06829046,-0.122709885,1.0093868,0.59161353,-0.15992853,1.9577328,0.3872023,0.6520029,-0.64997965,-0.3517239,0.893343,0.043401577,0.11382886,-0.5643437,-0.039281063,0.4036008,1.3765492,0.07194495,-0.9468551,-0.72086656,-0.4321037,0.9414524
5,5,Barrett's esophagus,CHEMBL131,CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,2.4336793,2.572963,-0.32610986,-0.20108181,6.1155005,-1.1203312,-2.414103,-2.8469343,1.6376265,1.0588582,-0.0702361,3.207738,-0.9534558,3.1484299,3.8848658,4.234468,4.048184,-2.943199,-2.3740144,-0.0068103746,3.3450072,-0.5025525,5.6337976,0.7536127,4.9815683,2.2106133,2.3313794,5.597393,4.260499e-05,1.0776292,-0.9131837,0.58506215,-0.3185099,0.27038756,1.3446717,-1.1912746,1.8342375,-0.76940876,0.34262362,0.47801283,1.020885,0.17374626,0.5158725,2.2095816,1.6974393,0.13530982,0.14483768,2.2909002,-1.1032333,0.049925633,-0.28170878,-0.040848494,0.43923992,0.80791485,-0.58322895,1.8185656
6,6,Barrett's esophagus,CHEMBL1503,COc1ccc2[nH]c([S+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1,-2.756985,-4.6061196,1.7300241,-4.492692,4.61062,-1.7884303,2.6898217,-2.319653,2.911917,-1.4631716,-1.2507364,0.87431973,-1.3077167,6.576451,3.4912653,2.5609674,3.8989048,-5.394953,0.15094565,5.0747952,-1.629567,1.3180648,-4.8606715,-1.3637655,1.6841115,6.249984,1.7224298,2.1834366,0.21355136,0.24708694,-0.8987079,-0.23646386,0.84605944,0.73208094,-0.2819964,-1.3958436,1.5982454,-2.0190303,-0.54878414,0.5414515,-0.34212965,0.9416617,-0.024742581,-0.11321771,1.6147758,1.5137656,-0.17842956,0.20192736,-1.3783703,0.8692796,1.6679288,0.37543374,1.2355802,-0.60394704,-0.35812262,-0.4516991
7,7,Barrett's esophagus,CHEMBL45,COc1ccc2[nH]cc(CCNC(C)=O)c2c1,1.8224589,0.21019307,0.56738746,0.82075876,2.240922,-4.5858746,1.6500545,0.14836214,-2.056338,3.129222,0.99423635,-2.9235418,0.78927,3.2091959,-1.645056,3.5859506,3.3545325,-0.3792055,0.8187268,-0.7216784,-2.4605439,-1.0212725,-6.1122327,1.9185505,-1.0544147,3.3858838,-0.38042432,0.6766512,0.72698075,0.118760034,0.08966001,1.0549324,1.0003904,1.3909562,0.51768416,0.046356045,-0.12859076,0.06942968,0.30422735,1.0362326,0.95287967,-0.12987565,0.28150702,0.6080276,1.8066733,-0.70223564,-0.2179101,-0.44577187,-2.1399307,-0.722111,0.6806961,-0.08835372,-0.18678285,-1.8650093,-0.64761543,0.2936754
8,8,Barrett's esophagus,CHEMBL1502,COc1ccnc(C[S+]([O-])c2nc3cc(OC(F)F)ccc3[nH]2)c1OC,2.3752744,-3.3197634,5.887646,3.1672432,6.214801,-2.0698373,-0.02302555,-1.5500876,1.7396017,0.46610582,-1.1511736,1.395983,-2.3772109,5.4084086,4.7075133,-1.4690835,-0.46934313,-3.571062,-0.41796154,4.510884,-1.0520183,3.9716063,-1.3844287,-1.7715664,1.1768498,5.8747544,1.9126575,-2.7024522,-0.18733978,0.47602758,0.05173453,0.006185353,1.0980334,0.912895,0.25248462,-0.73633033,0.78713983,-0.70715415,0.26941505,-0.056774326,-0.2823465,0.26697302,-0.5541071,0.017068122,0.545164,0.21018717,-0.2697366,0.2403852,-0.040341742,0.9120271,1.3717734,0.0625667,1.8073545,-0.41599402,0.18034793,0.84241223
9,9,Barrett's esophagus,CHEMBL1790041,CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,2.0369847,1.4836485,5.2597637,-7.4050436,-3.7748964,-1.353311,-0.6450325,1.0311443,4.128988,-3.650145,2.772464,4.468071,6.4549937,-1.9825349,1.4091345,3.892853,0.43445617,2.145687,-4.7791963,0.38482326,-3.7316647,-6.4472227,-2.5699286,-5.060812,0.3604598,3.2242017,-2.4858131,-2.792498,-0.6432156,-0.38208386,-0.8262516,-0.07205716,0.31313497,1.3287103,0.057303093,-0.7846557,0.28767085,-0.2962555,-0.49379668,-0.7128673,0.15448889,1.3988919,0.62162256,-0.15749428,1.62583,-0.6715948,-0.2041087,0.09700918,0.20428923,-0.3458433,0.091006555,0.6347389,0.4327947,-0.7698196,-0.11387547,-0.06810355
