,Unnamed: 0,hastalik,idd,smiles,jtvae_0,jtvae_1,jtvae_2,jtvae_3,jtvae_4,jtvae_5,jtvae_6,jtvae_7,jtvae_8,jtvae_9,jtvae_10,jtvae_11,jtvae_12,jtvae_13,jtvae_14,jtvae_15,jtvae_16,jtvae_17,jtvae_18,jtvae_19,jtvae_20,jtvae_21,jtvae_22,jtvae_23,jtvae_24,jtvae_25,jtvae_26,jtvae_27,jtvae_28,jtvae_29,jtvae_30,jtvae_31,jtvae_32,jtvae_33,jtvae_34,jtvae_35,jtvae_36,jtvae_37,jtvae_38,jtvae_39,jtvae_40,jtvae_41,jtvae_42,jtvae_43,jtvae_44,jtvae_45,jtvae_46,jtvae_47,jtvae_48,jtvae_49,jtvae_50,jtvae_51,jtvae_52,jtvae_53,jtvae_54,jtvae_55
0,0,Duchenne muscular dystrophy,CHEMBL723,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,0.49939117,3.6987445,7.5375824,0.78565794,3.8901622,-3.667153,3.2652779,0.35424626,2.2377775,-0.34893864,-1.3450661,-0.9061343,-1.0086365,3.1544795,3.2932107,1.8755738,1.6356266,3.07165,-1.2841184,2.7770905,-1.1870552,-4.6019874,-4.060897,5.5866013,1.3701863,2.4653902,2.392531,-5.5436583,-0.35567874,-1.0528812,0.12364326,-0.3853163,1.0140498,1.0704691,-0.33298656,0.40639174,-0.39040744,-0.21667558,-0.40192136,-0.12036825,-0.2442239,0.30659115,0.47583252,-0.7474499,0.932528,-0.04909135,-0.6066896,0.1545259,-0.06754069,0.34972668,-0.645437,1.1336939,0.6558658,0.30634603,0.53061014,1.1514179
1,1,Duchenne muscular dystrophy,CHEMBL1168,CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1C(C(=O)O)CC2CCCC21,-2.7370565,0.30492973,-2.2320213,1.507199,3.75988,-3.5648282,0.7476381,5.77757,4.445449,5.632581,0.004548922,0.076335475,-0.023955509,-3.3797078,-0.6093025,3.3534455,-2.7404015,2.4522023,1.2569059,0.09159695,0.46549237,-0.8986685,6.974541,3.5473754,4.971239,0.6503601,1.0805749,1.1291226,-0.3420077,0.40603712,-0.20654765,0.097611174,0.28324088,0.32689828,0.566176,-0.58275145,0.22684115,-0.58781916,-0.5059067,-0.52405834,0.38712502,0.3893127,0.6207152,0.5119456,0.8008952,-0.51182175,-0.07305719,0.8859755,-0.48037875,-0.42351076,-0.75095916,0.52132773,1.0272983,-0.59514165,0.6424628,0.22164086
2,2,Duchenne muscular dystrophy,CHEMBL1201891,CC(=O)OCC(=O)C12N=C(C)OC1CC1C3CCC4=CC(=O)C=CC4(C)C3C(O)CC12C,1.1190715,2.840665,-0.96387684,-3.224896,7.0355573,-0.83645684,1.0624143,-0.6142337,6.4289846,0.62798536,3.6483753,2.622243,1.6483517,1.8300269,3.540285,3.1480212,1.4851264,-3.4794161,1.7789141,-2.2739074,6.527541,0.36857802,2.6484952,0.2563804,4.213019,1.908405,3.8001156,3.41247,0.030744852,0.9174746,-0.05937039,0.36430448,-0.8825388,0.6348048,1.4580625,-0.43305567,0.6892841,-0.61625636,0.29807198,0.2827657,0.7903759,0.16008842,0.07994135,1.7459985,1.4810499,-0.5052435,0.5260633,2.2567897,-0.6306974,0.026890844,-0.5910799,0.41115555,0.63512784,0.7408041,-0.5064629,1.563369
3,3,Duchenne muscular dystrophy,CHEMBL635,CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,2.8286889,1.6994758,-0.94880176,0.43813914,4.980709,-1.0404078,-2.2851255,-2.8906832,2.5527005,3.237648,-0.015127763,3.4175642,-2.2038693,1.8968036,4.5808363,4.28027,4.542518,-3.1738675,-2.4924366,-1.4320114,4.0908356,0.72246706,4.8787465,0.14041309,5.106479,1.0846128,3.0822105,5.8411827,-0.11975068,0.99691373,-0.77919644,0.18459912,-0.36632332,0.1461204,1.4382267,-1.3091757,1.7747949,-0.8911125,0.32713673,0.53602153,1.0611675,0.26941508,0.58779496,2.1086946,1.60857,0.109237455,0.065457284,2.4127235,-1.1821116,0.21012214,-0.27387258,-0.10123524,0.28085762,0.74712944,-0.67959356,1.6891528
4,4,Duchenne muscular dystrophy,CHEMBL786,CCC(=C(c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1.O=C(O)CC(O)(CC(=O)O)C(=O)O,-3.1998816,-1.3902049,3.6443288,-3.1401393,3.795488,-0.98319507,0.43814668,1.24096,2.9167652,-1.7078264,-1.5593275,-1.9740479,0.9602581,2.4709852,-1.4508708,-3.5840464,-1.8846225,1.5779749,0.4829458,1.7613344,-1.4790376,-1.3158594,1.6176496,-0.35854757,7.63143,-5.278234,-5.034258,3.4421582,-0.15096693,0.15922838,-0.41558146,0.4455663,0.43098578,0.45335576,0.24352251,-0.27034,0.064210914,0.40546697,0.070392646,0.3680698,0.262365,0.6703469,0.19130749,0.45029423,1.0764735,-0.29575473,-0.0023810714,0.08775468,-0.07908425,-0.376908,0.37223917,0.3885156,0.028757527,-0.42298153,-0.11795498,-0.009939969
5,5,Duchenne muscular dystrophy,CHEMBL1095097,COC(=O)C1CC2=CC(=O)CCC2(C)C23OC2CC2(C)C(CCC24CCC(=O)O4)C13,3.7606826,2.4754877,-5.154975,-1.6937163,4.872985,3.4579992,-1.7437172,4.7012157,1.6777084,1.8828888,4.0177135,0.6408622,0.98050106,3.3377335,6.445398,3.1911628,1.2762582,-2.5397723,0.39266858,-1.8038676,4.476705,2.554418,4.218633,1.3183502,3.2556088,5.4116135,2.1676273,1.8399727,-0.10690239,-0.06834034,-0.28677556,0.13302574,-0.7004391,1.7663648,0.88078517,-0.5559842,1.9225708,0.09534931,-0.49468037,0.04903856,0.23258328,0.6145153,0.22360656,0.78181094,1.3203276,0.79233027,-0.62332815,1.5150883,-1.0411509,0.25878876,-0.0060663745,-0.35537478,0.041936398,0.5279957,-0.65500313,0.37015378
6,6,Duchenne muscular dystrophy,CHEMBL779,CN1CC(=O)N2C(Cc3c([nH]c4ccccc34)C2c2ccc3c(c2)OCO3)C1=O,1.0021238,1.492294,1.2232885,-3.2199333,-3.319509,-1.8009005,0.7220803,1.0277054,2.5116494,-0.035063103,1.406652,-0.33677566,-1.5352348,6.875405,3.1435714,0.3452011,1.0687476,-1.7640682,0.8949095,0.9226291,3.5180442,6.69068,3.2690582,-0.030475492,-4.877107,1.804968,-0.07139813,5.142276,-0.6753686,0.27185088,-0.5432885,0.8739868,1.2002289,0.30867386,-0.12869668,-0.5592867,-0.30802497,-0.045639183,-0.5944177,-0.88354367,-0.029417329,1.1204706,0.1447868,0.7947561,1.2373941,-0.19161391,-0.6314391,0.7925532,-0.31283033,1.0129107,-0.5076564,1.97605,1.3125323,-0.5346444,0.26770565,0.9754989
7,7,Duchenne muscular dystrophy,CHEMBL83,CCC(=C(c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,-3.1998816,-1.3902049,3.6443288,-3.1401393,3.795488,-0.98319507,0.43814668,1.24096,2.9167652,-1.7078264,-1.5593275,-1.9740479,0.9602581,2.4709852,-1.4508708,-3.5840464,-1.8846225,1.5779749,0.4829458,1.7613344,-1.4790376,-1.3158594,1.6176496,-0.35854757,7.63143,-5.278234,-5.034258,3.4421582,-0.021778045,0.025371581,-0.24238014,0.56661683,0.51852834,0.2059828,0.30438378,-0.48951876,0.16087928,0.3419106,0.11478455,0.81451976,0.20312768,0.8727132,-0.008352302,0.42696983,1.0396574,-0.39461032,0.111001894,-0.14572772,-0.07847096,-0.44234887,0.4248267,0.25771672,-0.07370065,-0.450901,-0.15367298,-0.02046135
8,8,Duchenne muscular dystrophy,CHEMBL1393,CC(=O)SC1CC2=CC(=O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12,4.464014,3.622815,-3.5957158,-1.8053668,5.573746,4.661652,-0.86015403,2.6849217,3.5618742,2.3911045,0.3029511,3.0559978,0.37752324,1.629397,3.6835525,0.19862725,2.2149837,-3.6764257,-1.5404083,-3.6730855,5.732312,0.37899464,2.0078225,-0.09319929,3.4170768,4.2198615,1.5262117,1.5381458,0.28441256,0.17553777,-0.62851465,-0.24904694,-0.41289386,1.4667389,1.2292775,-0.8696617,2.3068655,-0.3305882,-0.5771842,0.2603021,1.0189549,0.20600915,-0.37228078,0.6809125,2.0110915,1.1845081,-0.84883875,1.4547536,-1.4687923,0.46501702,0.1331285,0.41286314,0.100960076,0.52524793,-0.6403058,0.35397705
9,9,Duchenne muscular dystrophy,CHEMBL645,CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1,-1.4104363,0.8366293,5.868355,-5.200196,6.4726887,0.10618395,0.64593774,2.8988247,0.16752508,-3.4895518,0.4359479,1.9361169,2.264698,-0.06868942,-0.86468756,2.7995634,-0.21864344,-3.040383,1.8638347,1.0637238,-2.964492,-7.2808895,0.36265802,5.391966,-0.53859305,-2.559094,3.4741254,-1.1309923,-0.60604984,0.12756623,-0.14530535,0.858881,1.1454934,0.39094025,0.6423698,-0.7025028,0.24135074,0.9608257,0.59595394,0.46453705,0.65268385,0.90394044,0.12548608,0.53981286,1.6321496,-0.8091314,-0.06590222,-0.12325255,0.24417163,-0.09936704,0.30939034,0.28402013,-0.32641006,-0.727322,-0.11018711,-0.13302621
10,10,Duchenne muscular dystrophy,CHEMBL131,CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,2.4336793,2.572963,-0.32610986,-0.20108181,6.1155005,-1.1203312,-2.414103,-2.8469343,1.6376265,1.0588582,-0.0702361,3.207738,-0.9534558,3.1484299,3.8848658,4.234468,4.048184,-2.943199,-2.3740144,-0.0068103746,3.3450072,-0.5025525,5.6337976,0.7536127,4.9815683,2.2106133,2.3313794,5.597393,4.260499e-05,1.0776292,-0.9131837,0.58506215,-0.3185099,0.27038756,1.3446717,-1.1912746,1.8342375,-0.76940876,0.34262362,0.47801283,1.020885,0.17374626,0.5158725,2.2095816,1.6974393,0.13530982,0.14483768,2.2909002,-1.1032333,0.049925633,-0.28170878,-0.040848494,0.43923992,0.80791485,-0.58322895,1.8185656
