,Unnamed: 0,hastalik,idd,smiles,jtvae_0,jtvae_1,jtvae_2,jtvae_3,jtvae_4,jtvae_5,jtvae_6,jtvae_7,jtvae_8,jtvae_9,jtvae_10,jtvae_11,jtvae_12,jtvae_13,jtvae_14,jtvae_15,jtvae_16,jtvae_17,jtvae_18,jtvae_19,jtvae_20,jtvae_21,jtvae_22,jtvae_23,jtvae_24,jtvae_25,jtvae_26,jtvae_27,jtvae_28,jtvae_29,jtvae_30,jtvae_31,jtvae_32,jtvae_33,jtvae_34,jtvae_35,jtvae_36,jtvae_37,jtvae_38,jtvae_39,jtvae_40,jtvae_41,jtvae_42,jtvae_43,jtvae_44,jtvae_45,jtvae_46,jtvae_47,jtvae_48,jtvae_49,jtvae_50,jtvae_51,jtvae_52,jtvae_53,jtvae_54,jtvae_55
0,0,HIV infection,CHEMBL1433,CC1c2cccc(O)c2C(=O)C2=C(O)C3(O)C(=O)C(C(N)=O)=C(O)C(N(C)C)C3C(O)C21,0.5922371,5.584555,-1.3374715,-1.4144173,8.566183,-3.0523202,-1.0387592,1.4102663,-4.5943184,0.7986596,-4.1791997,2.414382,6.1158867,8.313702,13.515143,1.6883262,2.935105,2.0410724,-0.94830614,-2.1958923,6.9982867,-2.1969686,6.7530265,-0.35806972,2.4572365,6.764359,-2.675571,9.665263,-0.4297267,-0.8334306,-0.06471626,0.50007266,1.7335796,-0.07384822,0.047788695,0.2543671,-0.050297193,-0.44357362,-0.91853034,0.14391908,0.15964577,1.2070526,0.6305268,-0.0005963119,1.0646366,-0.7015101,-0.51211756,-1.3340716,-0.13987207,-0.57628334,-0.08112359,0.61748505,0.53654134,1.1936324,0.43959433,0.70917547
1,1,HIV infection,CHEMBL2095208,CC(C)c1nc(CN(C)C(=O)NC(CCN2CCOCC2)C(=O)NC(CCC(Cc2ccccc2)NC(=O)OCc2cncs2)Cc2ccccc2)cs1,-4.8732266,-3.9548728,5.666766,2.3557713,5.3111677,-0.8441591,-0.5260956,6.3527403,2.5179417,12.635431,3.5115273,8.778739,2.1875103,-4.1967955,-3.2858968,-0.19596593,-6.5417147,4.2780247,-4.2941513,5.1429224,-3.6488295,-8.340837,6.4192777,4.7419357,5.470711,2.5548906,-5.3642826,8.667858,0.400221,-0.076381214,-0.063225195,0.5951782,0.54949856,0.3868975,0.048067197,-0.53628314,-0.18881851,-0.20335278,0.0557735,-0.07265527,0.38407773,-0.31104195,0.24583238,-0.32466325,1.193586,-0.23540863,-0.25398397,-0.24826571,-0.116701744,-0.6120869,-0.60151654,0.62193215,0.60491425,-0.77174175,0.21872541,0.06405038
2,2,HIV infection,CHEMBL103,CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,2.417476,1.3107094,-2.7865403,-0.5456846,4.6720324,2.845377,-0.22064942,2.851213,2.826765,0.5487238,1.8189608,0.58132726,1.3194485,0.93444914,-0.71978945,1.3746134,3.6367161,-2.8513887,3.2606564,-3.3217251,6.751805,1.664865,0.82144123,1.6365687,1.8336908,0.17133445,1.5959594,4.0699463,0.64622265,0.6218422,-1.0331877,0.08626096,0.45261687,0.6019034,1.277597,-1.4764994,2.4710948,-1.1227473,0.06991874,0.94460547,2.035969,-0.7161068,0.8571633,1.1150935,2.2670572,1.4630778,-1.335703,1.4701915,-0.95935863,0.57860374,0.024802484,0.33155668,-0.6023608,0.950443,-0.91977453,1.2487849
3,3,HIV infection,CHEMBL1389,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21CC,4.374436,-0.6047689,-1.522855,-2.3861237,2.9168906,2.1983097,-0.81946903,1.9417013,2.896706,-0.46819842,4.4364796,0.5920603,0.2116857,3.8267846,3.042147,4.526771,-1.3845297,1.0190301,1.1343166,3.0326734,6.520321,1.1494786,2.0434284,2.8021789,3.4303758,-0.4587417,-0.975445,2.8924537,0.16784315,0.68636674,-1.0000069,0.29227644,0.69207907,-0.11972663,1.0109677,-0.75310326,1.8190227,-0.77908784,0.5048108,0.35177043,1.4616495,-0.14625733,0.72070086,0.93511957,1.5351635,0.32602996,-1.2774725,0.7763197,-0.48192662,0.8709752,0.034146853,0.54149127,-0.2543739,0.5568192,-1.2337471,1.3726897
4,4,HIV infection,CHEMBL628,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,2.4145794,-0.69473684,1.7279376,-2.1630754,-1.7809689,-5.3797503,0.02614402,5.353056,0.42012653,7.732565,-0.90350175,2.8875647,4.9094086,5.7273626,-1.194131,-0.53642875,-1.6020423,0.18237013,4.9439344,-5.808844,5.545474,-2.8807726,0.93700236,-3.2657707,-5.488517,-0.43408313,2.5740995,0.45233667,-1.2594855,0.025077721,-1.3609898,0.9771254,2.5634303,0.90305537,-1.4174504,0.7288003,0.33221662,0.5188478,-0.48467335,-0.15058038,-0.5326898,0.5539496,-0.6163535,1.1525569,1.2315936,1.0879416,-0.9556528,0.6376996,-0.057837673,0.86163354,0.49757907,0.79032016,0.8155725,0.28886774,-0.69153076,0.86747444
5,5,HIV infection,CHEMBL467,NC(=O)NO,-0.2584635,1.5711354,-1.830883,-4.6773944,-5.7858024,-2.905542,1.3701352,-3.845633,-3.468259,-2.49575,0.76000106,-0.22572674,2.1141775,-0.5953565,-0.47984064,1.3935494,0.26485527,-1.040668,2.9021509,0.19868866,1.0235814,0.5360014,2.2814577,2.1942291,-0.22706135,1.1498008,0.86574703,-0.84721357,-0.107038006,0.28993917,1.2579573,-0.42897683,-0.4776086,0.6654901,0.4856656,0.6121731,0.18127128,0.6072163,-0.31465545,0.36289564,0.42843932,-0.6227153,1.5399523,0.76333404,1.7776357,-1.4097062,-0.9449958,0.16629401,-0.20626941,-0.6397154,-1.1675609,-1.1241118,0.65378773,-0.64527285,-0.30652198,-0.7442597
6,6,HIV infection,CHEMBL1237,NCCCCC(NC(CCc1ccccc1)C(=O)O)C(=O)N1CCCC1C(=O)O,0.2991409,-6.7415066,2.607403,-0.07629365,1.0798577,-5.94047,-0.056047536,5.645314,4.717386,6.826791,0.026117697,-1.6580685,-0.29613966,-1.7654979,-1.3196707,8.380351,-2.4477127,3.0831134,0.034894615,3.8186655,-0.63711584,-6.1383023,14.746024,1.4257722,-0.2110535,-2.0367374,-6.1160684,0.85573566,-0.5053247,0.25947955,-0.47141996,0.26671055,0.86838126,0.6852506,0.31823364,-0.7922639,0.121572785,-0.7717338,-0.5747964,-0.37122697,0.88073254,-0.034524783,0.4418538,0.224543,0.9497943,-0.12393557,-0.44479114,0.7594312,-0.40092438,-0.49524793,-0.47463837,0.22495906,0.5770984,-0.4195421,0.46205217,0.14435343
7,7,HIV infection,CHEMBL393220,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CCC(O)CC(O)CC(=O)[O-].CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CCC(O)CC(O)CC(=O)[O-].[Ca+2],-5.7425027,-2.3142636,6.5010414,2.3546836,6.687161,-0.050150923,-0.41046616,2.9804347,-0.9864279,9.993825,0.8033509,1.2014894,3.7696905,1.6242352,1.6459643,0.25792232,-2.6392267,-1.271784,1.7149926,1.6224663,-5.2392483,-4.3037724,10.527414,2.9556277,1.2813498,3.345921,-4.1272736,8.183068,-0.14566205,0.17166364,0.06644859,-0.25042593,0.6623262,0.34091368,1.1299866,-0.52106774,-0.14342135,-0.33552605,-0.040595207,0.20226237,0.36542284,0.004289195,0.24808615,0.056371186,0.8250005,-0.23850048,-0.1964867,-0.10497103,0.18312976,-0.049322747,-0.19205436,0.0576109,0.61268604,-0.56795216,-0.120972574,0.3180684
8,8,HIV infection,CHEMBL386630,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,3.7215667,4.534976,-0.64451814,0.63406795,3.3630097,2.0609457,-0.076281704,0.92059857,1.2519683,-1.6904262,1.7956259,1.1149474,-1.1000373,4.770611,0.49321157,2.5417686,3.710072,-2.1564567,1.6473216,-1.3823977,5.647526,0.31990272,-0.16478322,0.66534346,1.147354,0.5522051,1.4035544,5.785227,0.7220482,0.90614814,-1.0809021,-0.6610579,0.39061153,0.72019684,1.5628855,-1.6874267,2.4817388,-1.3360976,0.1574725,0.540489,1.6713967,-0.21644141,0.65573424,1.0437393,2.6136272,2.119166,-1.380369,1.9182968,-1.702107,0.7172308,0.06458456,0.38671827,-0.39932114,0.6086545,-0.72683144,0.5682228
9,9,HIV infection,CHEMBL997,CCCCCN(C)CCC(O)(P(=O)(O)O)P(=O)(O)O,2.5847814,1.6501827,7.246983,-2.4155753,5.3602448,-3.0905771,-3.468041,1.4381541,5.730808,-1.8671117,-0.9799884,3.6602507,3.5570812,6.8799133,-0.45814618,5.1668506,-4.3514447,5.0038357,5.526667,1.3727369,-1.2882477,-4.484882,7.2466273,-5.022357,-4.3802767,0.79534256,0.01187635,1.6979778,0.18930675,-0.017515354,-0.17567447,0.21846706,0.4689841,0.742352,-0.057677463,0.56801856,-0.10202762,0.3636337,0.341069,-0.48630145,0.2077511,0.29771996,0.9443684,0.12676145,1.6645231,-0.16991687,-0.009983361,-0.45567948,-0.20910244,-0.081976585,0.579617,0.8895303,0.34923428,-0.33038634,-0.5563988,0.14576916
