,Unnamed: 0,hastalik,idd,smiles,jtvae_0,jtvae_1,jtvae_2,jtvae_3,jtvae_4,jtvae_5,jtvae_6,jtvae_7,jtvae_8,jtvae_9,jtvae_10,jtvae_11,jtvae_12,jtvae_13,jtvae_14,jtvae_15,jtvae_16,jtvae_17,jtvae_18,jtvae_19,jtvae_20,jtvae_21,jtvae_22,jtvae_23,jtvae_24,jtvae_25,jtvae_26,jtvae_27,jtvae_28,jtvae_29,jtvae_30,jtvae_31,jtvae_32,jtvae_33,jtvae_34,jtvae_35,jtvae_36,jtvae_37,jtvae_38,jtvae_39,jtvae_40,jtvae_41,jtvae_42,jtvae_43,jtvae_44,jtvae_45,jtvae_46,jtvae_47,jtvae_48,jtvae_49,jtvae_50,jtvae_51,jtvae_52,jtvae_53,jtvae_54,jtvae_55
0,0,Sickle cell anemia,CHEMBL52440,COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3,2.5319595,1.8102651,-2.3546228,-3.560419,0.7043858,-0.5388119,1.8083528,-2.2070968,-1.1169807,-4.5699997,0.6965852,-1.7550657,-0.5259537,3.339572,1.3998542,1.4580055,1.1033413,-0.5463334,0.29753038,0.7026084,0.8223559,2.552845,-1.9925747,2.6358016,2.9224172,2.6400652,-2.9995584,0.96343195,0.38371697,1.0904824,0.10386712,1.1368651,0.92679465,1.0402302,0.3723368,0.08204535,1.0971144,-0.14077492,0.1346195,1.2193174,0.40644127,-0.45196027,-0.16396594,-0.7655963,2.2316964,1.5344591,-1.1187086,-0.1227681,-0.85569143,0.034305938,-0.23782307,-0.15195403,1.320019,0.0060254037,-0.1707443,0.6515806
1,1,Sickle cell anemia,CHEMBL742,CNC1(c2ccccc2Cl)CCCCC1=O,-0.49229428,0.26094612,-2.57069,-0.76665586,-2.569737,0.061385654,0.16775429,0.54955786,-0.2147033,-5.6729293,2.0393305,-2.5137544,-1.9622084,-1.6550289,0.6200868,3.6624277,1.2701658,-1.2330062,0.5159953,-0.7140968,-2.059796,2.174705,3.055882,-0.5678974,0.22800851,0.4522462,-2.8685806,-2.8224008,-0.065593295,-0.18025076,-1.2858055,-0.09158982,1.0352106,1.2974064,-1.6905845,-0.40289414,-0.3774925,0.4055258,0.06088125,-0.018730037,-0.29581517,-0.58125776,1.3559093,-0.2508894,0.7821462,1.2941812,0.26835585,-1.3168216,-2.1872005,-0.22954676,-0.43107554,-0.31560007,0.39074457,0.8903552,2.2306736,0.25166008
2,2,Sickle cell anemia,CHEMBL485,COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,1.7841785,1.0459491,-0.99416935,-3.4860096,4.360709,-2.3421075,4.2050595,-1.9498845,-2.095574,-5.0578566,0.13093014,3.0510235,-3.4034708,4.5911865,2.1794193,2.2373998,-0.29779541,1.3330446,0.51644653,1.0330429,-0.15117054,2.759541,-2.6539648,1.9886547,7.9252906,0.7465683,-4.341645,-1.2942138,-1.0966828,0.3840208,0.587591,0.23938443,0.7763707,-0.28971946,0.9885779,0.6598445,0.8742227,-0.51986295,0.13738541,1.0420026,1.1148527,1.4432429,-0.7510505,0.56510913,0.73023164,0.50761145,0.23781034,0.16293472,0.25421485,-0.12880322,-0.97975373,1.4747908,1.350667,-0.5360184,0.9123492,1.4738922
3,3,Sickle cell anemia,CHEMBL521,CC(C)Cc1ccc(C(C)C(=O)O)cc1,1.3787907,-2.6979744,-1.6029305,-0.15693305,5.719788,0.39786676,0.28508255,2.640706,-1.0258197,2.5082479,0.76399726,-2.4104304,0.13699012,1.0284274,-3.9383492,-2.3526495,0.5699777,-2.5161433,5.483047,-1.2734339,-2.4166667,-0.39376962,3.5572228,1.4575351,0.97193635,-5.374747,-1.2314298,2.1689825,-0.018865446,-0.1986858,-0.37119445,0.98243,1.1539098,-0.33416402,0.07227723,-0.7319919,0.7641123,0.42522475,0.75988555,0.73325455,1.1187345,1.9742134,-0.17265022,0.53176546,1.5656552,-0.47841474,-0.008373082,-0.40386018,0.22583961,-0.08472349,0.3269246,0.430865,-0.94092613,-0.7588545,-0.16478351,-0.10202178
4,4,Sickle cell anemia,CHEMBL4101807,CC(C)n1nccc1-c1ncccc1COc1cccc(O)c1C=O,-3.5949452,-1.8200393,4.6876426,-2.2597888,3.2408512,4.6456847,1.9268485,5.610701,-2.3670514,-2.3525708,0.35412496,1.3056786,1.6442937,0.94788176,0.7160881,0.15008731,2.0905464,-8.111446,-0.20678784,1.3699994,-1.1867695,-0.7598233,-0.6265012,2.7141633,-0.9548996,-1.6052424,1.2269465,2.1143222,-2.3938167,-0.79479265,-0.45748264,-0.8238009,0.6685445,1.7374326,0.6685156,0.3802445,-0.77784956,0.66310024,-1.2472985,-0.07549868,0.27174643,-0.693366,1.4726008,-1.0244607,0.42460963,0.029564336,-0.3285172,-0.18725753,-0.60500884,0.35141063,0.020972587,0.7096275,0.554565,-0.59713984,0.89290065,1.5265673
5,5,Sickle cell anemia,CHEMBL112,CC(=O)Nc1ccc(O)cc1,-0.7130991,3.5547688,-2.189852,-2.5957115,-1.2106632,-0.74815404,-0.031337686,-1.8462358,-3.033496,-2.1320763,-0.8442875,-1.6034187,0.58025587,1.1177254,1.370674,-0.7857965,-1.9395419,-0.13632283,1.2990943,-1.6766235,2.2057111,-1.4214715,-0.56582457,2.035881,-0.46854272,-2.0007277,0.096411094,-0.27674007,-0.14473727,0.8128929,0.8525981,0.052915394,0.26916403,1.6208473,2.2021084,-1.1135801,-0.91823137,0.59167904,-0.55020064,0.49406624,0.8304262,1.5039438,-0.26952484,1.3672605,1.0995041,-0.89557296,0.31585222,-0.13685825,-1.1927376,-0.5330924,0.043597557,-0.8071518,-0.39552802,-2.6155908,-1.1971258,-1.2663597
6,6,Sickle cell anemia,CHEMBL70,CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,2.7120333,1.4701667,-2.2866375,-3.0213282,2.248584,-0.5232533,5.4338694,-1.326432,-5.9164658,-6.0731044,1.0896732,2.8793623,-1.725849,4.4744596,3.0513935,3.2348344,0.14992486,0.63572294,0.31089422,1.9254098,1.5974668,0.017466515,3.9543588,1.1353106,1.5625787,0.6982235,-3.6060548,-0.056932837,-1.4079944,0.5038035,0.8154809,0.1771392,0.8983215,-0.43865603,0.5694517,1.14622,0.9470698,-0.3076406,-0.39999825,0.78275895,0.9414439,1.7483009,-0.70484,0.98859495,0.41767117,0.78196234,0.35494214,0.20213532,0.34035385,0.26357645,-1.229029,2.210279,1.9201574,-0.23004496,1.1672792,2.005883
7,7,Sickle cell anemia,CHEMBL2103744,CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5.CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5.O.O.O.O.O.O=S(=O)(O)O,3.6615548,1.0271983,-2.3491995,-2.0644698,1.246058,-0.86396,5.0146766,-0.38177454,-4.7119627,-6.0924983,1.2251028,2.9005144,-1.718161,4.0597086,2.999306,3.8818085,1.366222,-0.50598854,0.112569034,2.9891114,1.1283325,-0.9363061,3.5954673,0.6874892,1.6070336,0.15648913,-3.9506636,-1.1407605,-1.1829137,0.50386024,0.83060265,0.08399001,0.9425031,-0.2887258,0.51068455,0.7910681,0.99920666,-0.21863377,-0.4468024,0.6724592,0.7049487,1.2567999,-0.4007486,0.854271,0.65721214,0.6826965,0.09895763,0.48634806,0.27815348,0.41526666,-1.1924018,1.639538,1.7875814,-0.36812052,0.9675502,1.6380544
8,8,Sickle cell anemia,CHEMBL467,NC(=O)NO,-0.2584635,1.5711354,-1.830883,-4.6773944,-5.7858024,-2.905542,1.3701352,-3.845633,-3.468259,-2.49575,0.76000106,-0.22572674,2.1141775,-0.5953565,-0.47984064,1.3935494,0.26485527,-1.040668,2.9021509,0.19868866,1.0235814,0.5360014,2.2814577,2.1942291,-0.22706135,1.1498008,0.86574703,-0.84721357,-0.107038006,0.28993917,1.2579573,-0.42897683,-0.4776086,0.6654901,0.4856656,0.6121731,0.18127128,0.6072163,-0.31465545,0.36289564,0.42843932,-0.6227153,1.5399523,0.76333404,1.7776357,-1.4097062,-0.9449958,0.16629401,-0.20626941,-0.6397154,-1.1675609,-1.1241118,0.65378773,-0.64527285,-0.30652198,-0.7442597
9,9,Sickle cell anemia,CHEMBL1531,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3C(=C)CC21CC,4.1186013,-0.7341762,-1.5448776,-3.9480069,2.50431,2.0418553,-2.419866,0.64853024,2.9321642,-0.9104998,6.2854614,0.712545,3.0571308,3.2032769,5.0745735,4.418262,-1.1971532,1.1052119,0.35321385,1.7588803,6.6416936,1.2421539,2.003158,0.3750404,3.7373607,-0.15564162,-1.0269706,4.0712194,0.027738402,0.71501255,-0.88757384,0.6248415,0.13586971,-0.14406413,0.89762235,-0.5662029,1.1634976,-0.41383845,0.11300901,0.37758294,0.5437778,0.008245662,0.9052983,0.90327084,1.0087068,-0.39257762,-0.772262,0.98789614,-0.7750546,0.35622862,-0.13161892,0.35945994,0.33525717,0.5740019,-0.9959153,1.0545455
