,Unnamed: 0,hastalik,idd,smiles,jtvae_0,jtvae_1,jtvae_2,jtvae_3,jtvae_4,jtvae_5,jtvae_6,jtvae_7,jtvae_8,jtvae_9,jtvae_10,jtvae_11,jtvae_12,jtvae_13,jtvae_14,jtvae_15,jtvae_16,jtvae_17,jtvae_18,jtvae_19,jtvae_20,jtvae_21,jtvae_22,jtvae_23,jtvae_24,jtvae_25,jtvae_26,jtvae_27,jtvae_28,jtvae_29,jtvae_30,jtvae_31,jtvae_32,jtvae_33,jtvae_34,jtvae_35,jtvae_36,jtvae_37,jtvae_38,jtvae_39,jtvae_40,jtvae_41,jtvae_42,jtvae_43,jtvae_44,jtvae_45,jtvae_46,jtvae_47,jtvae_48,jtvae_49,jtvae_50,jtvae_51,jtvae_52,jtvae_53,jtvae_54,jtvae_55
0,0,Thrombocytopenia,CHEMBL1166,CC1CNc2c(cccc2S(=O)(=O)NC(CCCNC(=N)N)C(=O)N2CCC(C)CC2C(=O)O)C1,-2.471532,-3.1727002,0.8796891,-3.6529129,2.1069994,-2.3821247,1.5706888,-1.1751812,4.9090533,5.1469355,1.741484,6.136595,1.2244992,0.53909457,2.3709831,3.6450803,1.4447608,-1.5370473,-1.0754982,-3.3238177,-4.2368054,-5.4787865,-1.8316889,0.14959994,4.4779477,3.264976,-5.0685387,4.035366,-0.63284034,0.006093774,-1.0856978,0.49723256,0.015161037,0.51097715,-0.14392053,0.91685015,0.25878307,-0.4318791,-0.07374642,-0.9517648,0.42646623,0.16415021,0.9881095,0.8570797,0.29813546,-0.7009606,-0.2293499,1.3312372,-0.29360986,-0.21255967,-0.71714675,1.1439719,1.04615,-1.692855,0.16442376,0.7192131
1,1,Thrombocytopenia,CHEMBL384467,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,0.4460127,2.7536254,-1.4413164,2.3533416,10.2369995,2.324731,-0.69502604,-2.1507735,1.6554855,-1.0187858,-0.05786352,2.4431086,0.8397759,2.0059276,4.9834423,3.7510722,1.0637542,-2.251259,-0.7574223,-3.5981836,3.9128683,-0.38386035,6.439456,0.1832993,1.006124,3.024087,1.683089,7.2400723,0.039248843,1.1508647,-1.1236318,0.25796396,-0.59084415,0.05280763,1.3016458,-0.9679594,1.4104737,-0.58479345,0.40309164,0.19101015,0.43789113,-0.08294095,-0.0415181,2.124689,1.8497238,0.44472113,0.094305955,2.5206976,-1.0053723,-0.123554826,-0.72718704,0.055338144,0.49393904,1.2353134,-0.48323625,1.4618407
2,2,Thrombocytopenia,CHEMBL2021430,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)COP(=O)([O-])[O-].[Na+].[Na+],-1.9728471,1.9745953,-1.1004293,4.5524817,10.842404,2.1768563,-0.23085624,-3.412123,4.2071967,-0.46457636,0.80324006,3.287633,2.5189908,2.68048,6.467193,3.8948796,3.2983072,-2.4394767,0.14781041,-4.3529468,2.4401,2.119701,6.6693196,-1.3134675,3.2216148,5.1468043,4.677316,7.130848,-0.12145862,1.0045432,-0.7958894,0.2923085,-0.22171238,0.30318788,1.0590533,-0.6702489,0.99978155,-0.35916826,0.47996354,0.15965284,0.37492058,0.009513214,-0.10128067,1.634902,1.7706801,0.3577508,-0.11161165,1.9430174,-0.8045178,0.033175923,-0.58878386,0.06720194,0.5880081,1.0397862,-0.42666978,1.1838579
3,3,Thrombocytopenia,CHEMBL131,CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,2.4336793,2.572963,-0.32610986,-0.20108181,6.1155005,-1.1203312,-2.414103,-2.8469343,1.6376265,1.0588582,-0.0702361,3.207738,-0.9534558,3.1484299,3.8848658,4.234468,4.048184,-2.943199,-2.3740144,-0.0068103746,3.3450072,-0.5025525,5.6337976,0.7536127,4.9815683,2.2106133,2.3313794,5.597393,4.260499e-05,1.0776292,-0.9131837,0.58506215,-0.3185099,0.27038756,1.3446717,-1.1912746,1.8342375,-0.76940876,0.34262362,0.47801283,1.020885,0.17374626,0.5158725,2.2095816,1.6974393,0.13530982,0.14483768,2.2909002,-1.1032333,0.049925633,-0.28170878,-0.040848494,0.43923992,0.80791485,-0.58322895,1.8185656
4,4,Thrombocytopenia,CHEMBL2107831,CCCCCCOC(C)c1cccc(-c2csc(NC(=O)c3cc(Cl)c(C=C(C)C(=O)O)c(Cl)c3)n2)c1OC,-0.42549887,-3.2280948,3.8124871,4.29243,7.4591246,-0.18561491,-6.1787453,9.047158,5.206535,4.3833523,4.0930843,-1.6189073,0.85374415,0.8951553,4.5728574,2.7814763,-1.9195441,-1.5016351,3.475451,1.5108771,-1.512725,-6.3272905,3.7753832,-6.716139,-0.840003,-2.8028736,-2.7801044,2.0468457,-0.44672054,-0.8231253,0.18753156,0.40280896,1.153322,0.4460095,-0.3519931,-0.4175986,-0.37444994,-0.34713203,0.33331442,-0.14761308,-0.18900946,0.48429692,-0.07923967,0.11605178,1.0235516,-0.74528736,0.14070675,-0.16053101,0.4395406,-0.37129232,0.81192636,0.76098096,0.42149085,-0.3034236,0.12421998,0.33860967
5,5,Thrombocytopenia,CHEMBL461101,CC1=NN(c2ccc(C)c(C)c2)C(=O)C1=NNc1cccc(-c2cccc(C(=O)O)c2)c1O,-0.21429566,1.1149248,-0.13298589,-4.355034,-0.64845634,-3.7443671,-2.009869,-0.44913727,1.425532,-0.26392126,2.1840081,-0.46412742,-0.8266609,5.2404976,5.104801,-4.7695017,3.0727212,-7.302621,0.977379,2.787117,-4.437229,-4.956102,0.9113081,0.5820033,1.5332341,2.4824147,-1.257793,6.651516,0.052220155,0.31793907,-0.3221281,0.62079024,0.7518326,-0.6303519,0.04721655,-0.17186889,-0.7793788,-1.5342678,-0.49673033,-0.9350842,0.4699672,-0.2907328,-0.6769214,-0.10363246,0.98047006,-0.15776324,1.0823469,-1.1664716,-0.23972523,-0.9911793,0.42679486,0.81643236,0.90814805,-0.6708313,-0.60055774,-1.0925982
6,6,Thrombocytopenia,CHEMBL1650,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(=O)CC21C,1.55702,2.3508816,-1.8186039,-3.145192,5.848249,-0.7555943,0.16049635,2.044721,4.961332,1.8140324,0.4929706,3.5729086,0.5407446,0.45775402,7.9895205,4.439494,0.23605292,-2.7022116,1.6745301,-1.7658892,7.892719,1.6024047,3.045781,1.3826594,5.2827187,-1.6466008,4.7944427,1.0577288,0.14617307,0.60605377,-0.89016676,0.091654256,-0.15066102,0.6410289,1.0226264,-1.0999439,1.5543249,-0.50086623,-0.12915652,0.37421447,0.63788986,-0.2735297,1.1700194,1.2426667,1.5972477,0.3078979,-0.4232514,2.0147474,-1.0973946,0.5421225,-0.3020008,-0.06482035,0.1892096,0.7396015,-0.49831107,1.0397822
7,7,Thrombocytopenia,CHEMBL635,CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,2.8286889,1.6994758,-0.94880176,0.43813914,4.980709,-1.0404078,-2.2851255,-2.8906832,2.5527005,3.237648,-0.015127763,3.4175642,-2.2038693,1.8968036,4.5808363,4.28027,4.542518,-3.1738675,-2.4924366,-1.4320114,4.0908356,0.72246706,4.8787465,0.14041309,5.106479,1.0846128,3.0822105,5.8411827,-0.11975068,0.99691373,-0.77919644,0.18459912,-0.36632332,0.1461204,1.4382267,-1.3091757,1.7747949,-0.8911125,0.32713673,0.53602153,1.0611675,0.26941508,0.58779496,2.1086946,1.60857,0.109237455,0.065457284,2.4127235,-1.1821116,0.21012214,-0.27387258,-0.10123524,0.28085762,0.74712944,-0.67959356,1.6891528
8,8,Thrombocytopenia,CHEMBL1201302,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)COP(=O)(O)O,-1.3515016,2.061723,-0.52958775,3.5664222,11.285143,1.3826859,0.21091461,-3.6024423,3.7787755,-2.0598125,0.23591043,3.929603,4.013109,3.7328427,5.309936,3.6601417,2.9744322,-1.5510505,0.11482443,-3.281733,2.4237192,1.4274585,5.833115,-0.6897355,2.6605647,4.5167727,3.5237942,6.9306383,-0.0911072,1.1462253,-0.9278159,0.25704986,-0.41630015,0.30228177,1.2347343,-0.7643574,1.1430401,-0.3721483,0.39456332,0.14902432,0.36707175,-0.020725742,-0.029940672,1.7998902,1.8007109,0.31498387,-0.013271883,2.0752037,-0.9331306,0.13460538,-0.529639,0.17106465,0.41215616,1.1384631,-0.5258816,1.3288056
9,9,Thrombocytopenia,CHEMBL1201202,COC1OC(COS(=O)(=O)O)C(OC2OC(C(=O)O)C(OC3OC(COS(=O)(=O)O)C(OC4OC(C(=O)O)C(OC5OC(COS(=O)(=O)O)C(O)C(O)C5NS(=O)(=O)O)C(O)C4O)C(OS(=O)(=O)O)C3NS(=O)(=O)O)C(O)C2OS(=O)(=O)O)C(O)C1NS(=O)(=O)O,7.1533074,0.22659905,8.164112,4.722397,17.321386,-15.591407,-1.1652219,-4.44788,1.3835264,2.7047906,-4.7742677,10.117375,7.056175,9.198596,30.88139,4.2009788,1.9054974,-5.413471,-3.636863,-1.6179307,1.6043631,-10.0737505,20.762558,6.7513885,7.415711,21.803925,14.483967,17.19346,-0.8194287,0.33135232,-0.4774583,0.5963139,0.40361327,-0.6331023,0.09686704,-0.3682429,0.37800562,-0.661124,0.39159858,-0.46456394,0.24679905,0.21110633,0.40490055,0.8126083,1.0959151,-0.32197788,0.5459257,-0.2902671,0.3341141,-0.4218117,-0.77562964,0.5644289,0.30362839,-0.3069163,0.5405989,0.60057545
