,Unnamed: 0,hastalik,idd,smiles,jtvae_0,jtvae_1,jtvae_2,jtvae_3,jtvae_4,jtvae_5,jtvae_6,jtvae_7,jtvae_8,jtvae_9,jtvae_10,jtvae_11,jtvae_12,jtvae_13,jtvae_14,jtvae_15,jtvae_16,jtvae_17,jtvae_18,jtvae_19,jtvae_20,jtvae_21,jtvae_22,jtvae_23,jtvae_24,jtvae_25,jtvae_26,jtvae_27,jtvae_28,jtvae_29,jtvae_30,jtvae_31,jtvae_32,jtvae_33,jtvae_34,jtvae_35,jtvae_36,jtvae_37,jtvae_38,jtvae_39,jtvae_40,jtvae_41,jtvae_42,jtvae_43,jtvae_44,jtvae_45,jtvae_46,jtvae_47,jtvae_48,jtvae_49,jtvae_50,jtvae_51,jtvae_52,jtvae_53,jtvae_54,jtvae_55
0,0,acne,CHEMBL1433,CC1c2cccc(O)c2C(=O)C2=C(O)C3(O)C(=O)C(C(N)=O)=C(O)C(N(C)C)C3C(O)C21,0.5922371,5.584555,-1.3374715,-1.4144173,8.566183,-3.0523202,-1.0387592,1.4102663,-4.5943184,0.7986596,-4.1791997,2.414382,6.1158867,8.313702,13.515143,1.6883262,2.935105,2.0410724,-0.94830614,-2.1958923,6.9982867,-2.1969686,6.7530265,-0.35806972,2.4572365,6.764359,-2.675571,9.665263,-0.4297267,-0.8334306,-0.06471626,0.50007266,1.7335796,-0.07384822,0.047788695,0.2543671,-0.050297193,-0.44357362,-0.91853034,0.14391908,0.15964577,1.2070526,0.6305268,-0.0005963119,1.0646366,-0.7015101,-0.51211756,-1.3340716,-0.13987207,-0.57628334,-0.08112359,0.61748505,0.53654134,1.1936324,0.43959433,0.70917547
1,1,acne,CHEMBL1657,CCOC(=O)c1ccc(C#Cc2ccc3c(c2)C(C)(C)CCS3)nc1,0.730685,-1.0873114,0.012013048,0.28596747,4.4852786,0.36801,-3.1262336,2.0609083,4.7067385,0.38623428,3.601689,-0.35520887,1.1349095,1.892151,1.2804778,1.6131148,1.3693322,-4.6668463,1.5761931,2.577288,-0.40890807,2.9822917,-3.6709003,-0.647075,0.9784332,-4.31329,0.8476505,-2.588793,0.30951414,0.19087344,0.20645699,0.5928225,0.6606034,0.020430535,-0.1148348,-0.22297062,0.90282434,0.20640828,1.0084229,0.30521122,0.76068085,1.2670864,0.20847365,0.35863733,2.411216,0.83668405,0.17470098,-0.9137839,-0.6207633,0.19425738,0.59095764,0.6271026,-0.23521112,0.2792261,-0.5278618,0.35837796
2,2,acne,CHEMBL79,CCN(CC)CC(=O)Nc1c(C)cccc1C,-0.5660069,3.2284465,-4.0173626,-3.4272993,-1.6224928,-3.497231,-0.16107523,3.2445452,2.9278111,-1.2616447,-0.48751217,0.39150852,0.9040284,2.1848059,-2.9942896,-2.6711767,0.58422554,-0.68879175,2.1800277,-0.52229995,-2.1420317,-3.696504,0.9961577,0.6128992,-4.321156,-2.4598684,2.3592558,-1.0926704,-0.5194073,-0.6759629,0.078141876,0.8724821,0.52676487,0.95833355,-0.42189267,0.8517126,0.020762868,0.35766008,-0.86486727,1.1798463,-0.95685405,0.5073246,0.009769812,0.15504515,0.9109106,1.1597015,2.0886786,0.19911209,-0.3025924,-1.7787822,-0.89620405,0.7401396,0.9011174,0.36913612,0.32131737,1.6183599
3,3,acne,CHEMBL3989740,CC1c2cccc(O)c2C(=O)C2=C(O)C3(O)C(=O)C(C(N)=O)=C(O)C(N(C)C)C3C(O)C21.CC1c2cccc(O)c2C(=O)C2=C(O)C3(O)C(=O)C(C(N)=O)=C(O)C(N(C)C)C3C(O)C21.CCO.Cl.Cl.O,0.6088785,5.2546654,-1.2884302,-1.5974429,8.989895,-3.2703488,-1.8052608,0.95422953,-5.048001,1.142077,-4.891467,2.2599473,6.3344755,8.452429,13.39179,1.7020392,3.1512132,2.0608058,-1.11852,-2.4867752,6.794175,-2.2111063,6.8063054,-0.37871864,2.7581115,6.319109,-2.359295,9.354741,-0.42888182,-0.7599395,-0.10505881,0.42505813,1.684641,-0.07868886,0.030746961,0.21189,0.117904946,-0.44372603,-0.86008996,0.13829145,0.16512164,1.1081613,0.6880369,0.019854855,1.1085559,-0.59221804,-0.4766683,-1.2415656,-0.08832685,-0.53216505,-0.12910423,0.5743012,0.6460285,1.0487095,0.41835135,0.6702609
4,4,acne,CHEMBL1265,COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2,2.5428169,-3.5964792,2.250513,0.7358306,5.3538275,-0.5988393,-1.3281325,0.2804916,-0.5840585,0.45539355,-1.6713127,-5.6044946,-1.5134367,1.750459,4.5337267,0.41836533,2.3790238,-3.1104789,0.92603385,0.37919366,-0.9695416,4.021954,3.3081903,1.3197161,1.9451756,2.0287738,-4.102657,1.1731424,1.276162,0.7314088,-0.50402796,1.0263375,-0.355208,0.29795784,1.063485,-0.71492875,-0.11038727,-0.4224861,1.3416994,-0.24629223,-0.114749394,0.85005414,-0.2603671,-0.73690987,0.8788649,0.49001184,0.73880166,0.16188431,0.8470023,-0.34707856,0.53513664,-0.121806294,0.20806776,0.30412796,-0.03670883,-0.4525325
5,5,acne,CHEMBL38,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)O,2.8053768,3.3784742,-1.765898,-4.323414,5.009334,0.955103,0.22810057,-0.32219046,3.8571002,6.4038315,5.1464233,1.3857586,6.9166765,2.8919814,-2.4142668,1.3647269,3.9020052,-2.248546,-1.1690784,-2.6887107,-2.959888,-1.7457517,3.2245822,-4.7526064,3.5194323,-1.8049841,-0.23714954,3.2724671,-0.04136165,0.22825876,-0.3157911,-0.031655148,1.1500065,1.3480877,-0.31595486,-0.7963666,-1.0844789,0.1609095,-0.7806834,1.0486288,0.12404882,-0.39357305,1.1621844,-0.017315362,1.622997,1.670295,-0.1581759,-0.041706182,-1.1663604,-0.13656357,-0.17962438,0.0497967,0.9583085,1.202991,0.558984,0.2629794
6,6,acne,CHEMBL1200699,CC1c2cccc(O)c2C(=O)C2=C(O)C3(O)C(=O)C(C(N)=O)=C(O)C(N(C)C)C3C(O)C21.O,0.5922371,5.584555,-1.3374715,-1.4144173,8.566183,-3.0523202,-1.0387592,1.4102663,-4.5943184,0.7986596,-4.1791997,2.414382,6.1158867,8.313702,13.515143,1.6883262,2.935105,2.0410724,-0.94830614,-2.1958923,6.9982867,-2.1969686,6.7530265,-0.35806972,2.4572365,6.764359,-2.675571,9.665263,-0.42052203,-0.7879695,-0.085137986,0.4888004,1.7320371,-0.0699991,0.03559029,0.2087218,0.032332167,-0.46460342,-0.922456,0.14867249,0.12340889,1.1486715,0.631418,0.0067197783,1.0457339,-0.6564346,-0.5023305,-1.2393878,-0.13508353,-0.53427637,-0.064205505,0.6166676,0.55190825,1.1161487,0.43764982,0.70781994
7,7,acne,CHEMBL139835,CC(=O)OC1(C(C)=O)CCC2C3C=C(Cl)C4=CC(=O)C5CC5C4(C)C3CCC21C,-2.1757936,5.233717,-6.6333804,-2.488706,3.8318264,3.9132395,0.5168728,3.6557598,3.6589372,0.113332346,-0.14884828,4.556915,3.5417147,2.0053189,6.5435615,2.7623694,0.9386838,-2.5228646,3.6962209,-0.79466915,5.2402115,2.060822,2.1796975,-0.46231017,7.306116,1.851914,2.5052233,3.098172,0.33491096,0.8462293,-1.275595,0.8265092,1.0583237,-0.77522755,0.5131039,-0.87308604,1.049045,-0.4785239,0.20153855,-0.0221503,0.47698885,0.20473512,0.48230785,1.4453075,2.158978,0.1905312,-0.21790437,0.9099831,-0.40181327,-0.31151968,-0.6598146,0.25497603,0.13425417,1.3909824,-0.46464545,0.7661935
8,8,acne,CHEMBL1200934,C#CC1(OC(C)=O)CCC2C3CCC4=CC(=NO)CCC4C3CCC21CC,4.3661203,1.3900086,-0.7627206,-1.5598238,3.3096712,0.68344337,0.24045482,0.7852859,4.634601,-0.8093113,6.181438,2.5054822,1.8607575,4.640986,3.2065005,2.8750794,-1.801407,1.8080056,1.6020585,3.4147933,5.7364216,0.36576667,2.450344,0.78991073,6.7666254,-0.37823072,0.14337045,4.382944,0.34261733,0.55741274,-0.5807289,0.4961695,0.8068471,0.012023851,0.79974073,-0.45523036,1.3843389,-0.57176775,0.19538811,0.5658826,1.1615627,-0.119635954,0.41386977,0.83880776,1.7326304,0.5919163,-1.2341019,0.23506734,-0.41108686,0.44438893,-0.13783497,0.4473349,-0.022629991,0.5725262,-0.74980885,0.82945
9,9,acne,CHEMBL547,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)O,2.8053768,3.3784742,-1.765898,-4.323414,5.009334,0.955103,0.22810057,-0.32219046,3.8571002,6.4038315,5.1464233,1.3857586,6.9166765,2.8919814,-2.4142668,1.3647269,3.9020052,-2.248546,-1.1690784,-2.6887107,-2.959888,-1.7457517,3.2245822,-4.7526064,3.5194323,-1.8049841,-0.23714954,3.2724671,-0.04136165,0.22825876,-0.3157911,-0.031655148,1.1500065,1.3480877,-0.31595486,-0.7963666,-1.0844789,0.1609095,-0.7806834,1.0486288,0.12404882,-0.39357305,1.1621844,-0.017315362,1.622997,1.670295,-0.1581759,-0.041706182,-1.1663604,-0.13656357,-0.17962438,0.0497967,0.9583085,1.202991,0.558984,0.2629794
