,Unnamed: 0,hastalik,idd,smiles,jtvae_0,jtvae_1,jtvae_2,jtvae_3,jtvae_4,jtvae_5,jtvae_6,jtvae_7,jtvae_8,jtvae_9,jtvae_10,jtvae_11,jtvae_12,jtvae_13,jtvae_14,jtvae_15,jtvae_16,jtvae_17,jtvae_18,jtvae_19,jtvae_20,jtvae_21,jtvae_22,jtvae_23,jtvae_24,jtvae_25,jtvae_26,jtvae_27,jtvae_28,jtvae_29,jtvae_30,jtvae_31,jtvae_32,jtvae_33,jtvae_34,jtvae_35,jtvae_36,jtvae_37,jtvae_38,jtvae_39,jtvae_40,jtvae_41,jtvae_42,jtvae_43,jtvae_44,jtvae_45,jtvae_46,jtvae_47,jtvae_48,jtvae_49,jtvae_50,jtvae_51,jtvae_52,jtvae_53,jtvae_54,jtvae_55
0,0,adenocarcinoma,CHEMBL1336,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,-3.8854363,-3.7371593,2.9726236,2.6691,-1.7581531,-1.8560631,-4.5492554,1.188029,0.47566584,-3.90723,0.9660239,4.4261456,1.9336005,0.026133316,10.2617035,1.170545,0.84975624,-5.0108976,-1.8488096,0.7978123,-2.3406086,-1.9314276,-0.5993087,-0.034208234,-0.15296574,-0.58304954,-3.805432,-4.654498,0.23404272,1.3314288,-0.74927396,-0.13762869,0.4127103,-0.41880023,0.7438185,-1.7372414,0.071429804,-0.80631655,-0.62640154,-0.4993669,-1.3642287,-0.012594894,0.03532244,-0.24214104,1.690914,-0.37825236,0.47558528,-0.23617786,-0.4722339,-0.43753913,-0.17622197,-0.50689316,0.41650146,-0.8912847,-0.00790537,-1.0880088
1,1,adenocarcinoma,CHEMBL1200485,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1.Cc1ccc(S(=O)(=O)O)cc1,-3.8854363,-3.7371593,2.9726236,2.6691,-1.7581531,-1.8560631,-4.5492554,1.188029,0.47566584,-3.90723,0.9660239,4.4261456,1.9336005,0.026133316,10.2617035,1.170545,0.84975624,-5.0108976,-1.8488096,0.7978123,-2.3406086,-1.9314276,-0.5993087,-0.034208234,-0.15296574,-0.58304954,-3.805432,-4.654498,0.07591586,1.0218922,-0.5398821,0.15961017,0.60334027,-0.34331745,1.0148267,-1.5185403,0.06273663,-0.53302294,-0.40317544,-0.18771482,-0.7435113,0.49585235,-0.0006232187,-0.21435162,1.544992,-0.040873222,0.1645391,-0.3360992,-0.142153,-0.08293144,-0.39937034,-0.034788072,0.03867142,-0.90154314,-0.24396867,-0.96272945
2,2,adenocarcinoma,CHEMBL477772,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,-1.1632515,-0.20727547,-0.024514556,-0.72568303,3.1747673,-3.9435997,-0.21108738,0.1297311,2.4978852,-6.1592174,-5.1355586,5.0148625,-0.34157246,0.8394793,0.5746924,-0.9817762,1.6732079,-0.88058335,1.3381437,0.906398,2.486284,-2.2912264,-5.824794,-1.90267,-2.4978683,5.452353,-5.368601,3.6618655,0.6399271,0.6876429,-0.4721952,-1.2891566,0.7943219,-0.44613713,0.6447981,-0.8582888,0.5390404,-1.7407023,-0.41338727,-0.76692647,-1.2569542,0.34364575,-0.79549676,-1.0202148,2.6983528,0.10697309,0.25884497,-1.1890159,0.54702777,-0.4625153,0.0053809956,-0.8473674,0.76042753,0.97747564,0.0067531443,-1.3572881
3,3,adenocarcinoma,CHEMBL428647,CC(=O)OC1C(=O)C2(C)C(O)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C2(O)CC(OC(=O)C(O)C(NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C,-7.150333,9.9965925,2.994817,1.408019,13.310491,-6.6096997,-1.7898257,-4.140256,0.21136841,8.896896,3.8296936,5.547561,1.1800364,-0.6271957,15.647297,-2.3967786,-2.7895973,-3.4981065,-2.2362256,-0.44236606,0.9812164,-0.06545253,14.690649,3.1606846,8.765574,4.6137977,0.10865659,7.8827963,0.5680017,0.13897103,0.0011871085,0.47079152,0.24527319,-0.023256004,0.37557548,0.026606461,0.64769655,-0.036702886,0.15288931,0.07197416,-0.0745267,0.24286596,-0.030681185,0.69784373,1.4346685,0.26265723,0.11011207,0.30285943,-0.6291737,-0.072356895,-0.34509006,0.48908556,0.7091514,0.54029703,0.047485672,0.56603295
4,4,adenocarcinoma,CHEMBL888,Nc1ccn(C2OC(CO)C(O)C2(F)F)c(=O)n1,-3.7140522,0.15956318,-1.5351883,0.5491182,-1.4432553,-0.72487885,1.4960122,-1.690715,-3.9544709,-3.0408125,2.518744,2.337449,2.2630982,7.1378922,3.0096643,5.078614,3.1388094,-2.9654033,-3.8805664,3.179088,2.053827,-3.4474254,5.2353163,0.8050817,-3.7358053,4.0845113,0.16620904,0.02193579,-0.26113734,0.27477327,0.02251669,0.42668796,-0.100051045,0.9214301,0.54869217,0.27916214,0.19999045,-0.44814336,-0.25380257,-1.1290863,-0.7336559,1.3382006,0.23905,0.6309883,1.8079387,-0.026358608,0.46025455,-1.0752511,1.0317547,-0.4860369,0.04390011,0.28622726,0.82307565,-0.2432039,-0.050532065,-0.08014184
5,5,adenocarcinoma,CHEMBL2105717,COc1cc2nccc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3)c2cc1OC,-0.14496425,0.12544815,2.223682,4.7658873,4.7394776,-3.3117998,-3.6741645,-1.4594026,0.86454177,0.012671664,-0.11594643,2.8679745,-4.640249,0.2841787,9.413771,2.0353925,1.6440619,0.6647348,-5.29215,4.528387,-4.088337,0.712439,-0.77705544,0.2968729,3.7753036,3.3190808,-0.009415502,-2.2112355,-0.3537247,1.1673232,0.007666759,0.52985245,0.75507176,-0.16164398,0.3347719,-1.7644204,-0.018960468,-0.50412005,0.03192733,1.3263625,-0.009549789,0.691628,0.10018049,0.3538279,1.91321,-0.16920897,0.9907983,0.30289906,-0.20045091,0.06595232,0.24260876,0.025238127,-0.5257079,-0.91837144,-0.29923818,-0.092188954
6,6,adenocarcinoma,CHEMBL1200761,COc1ccc(C(Cl)=C(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1,0.39813668,0.7348268,2.35262,0.29184052,4.145579,0.07427741,2.01488,-0.36869794,2.849415,-2.624888,3.595382,-1.961374,-1.991376,2.4274874,5.1111155,-2.6951988,-1.2897121,2.0111022,2.4790692,3.580262,-2.933893,0.94083583,1.0246725,1.0630279,5.555266,0.8183625,-3.648744,-1.84641,-0.36261186,0.7140931,0.32089296,0.693472,0.8906081,-0.106306255,1.7401986,-1.4309934,-0.07802298,1.33019,-0.33801645,1.8732259,1.4622117,2.3233302,-0.3864371,0.19213317,1.2902719,-0.55791396,0.10291368,-0.8850785,0.75717956,0.44774097,0.35917708,0.6860591,-1.2167914,-0.6198778,-0.10566907,-0.5836427
7,7,adenocarcinoma,CHEMBL92,CC(=O)OC12COC1CC(O)C1(C)C(=O)C(O)C3=C(C)C(OC(=O)C(O)C(NC(=O)OC(C)(C)C)c4ccccc4)CC(O)(C(OC(=O)c4ccccc4)C21)C3(C)C,-4.8127728,7.7749124,-0.2151672,-0.9855166,14.428181,-6.2907553,-3.8059907,-3.6481395,2.0131323,7.1117196,4.989245,7.70707,3.6680183,0.5313916,15.776283,-0.29857698,1.0712684,-4.0241327,-0.93512654,1.5362818,1.0091797,-1.769364,12.461505,2.8900785,6.939343,3.9664912,0.47500962,8.080043,0.6350753,0.2284851,-0.019545227,0.46980757,0.254271,0.15632838,0.39760876,-0.18702999,0.60015285,-0.06979437,-0.12561382,0.29468197,-0.03572526,0.24491864,-0.007845845,0.4975263,1.3788022,0.30001065,-0.071089506,0.46249652,-0.7997659,0.04207761,-0.36503306,0.54983616,0.9562039,0.48150197,-0.09056284,0.38491789
8,8,adenocarcinoma,CHEMBL1289601,COc1cc2nccc(Oc3ccc(NC(=O)NC4CC4)c(Cl)c3)c2cc1C(N)=O,0.9710306,-0.60903966,3.2010875,2.8249896,2.5281723,-3.8325026,-7.046157,1.07649,-3.1879768,-3.3654215,-0.5525132,1.1723404,2.9045558,0.9266622,8.785519,1.6600142,2.7428834,-0.21748301,-3.9109857,-0.034299977,-1.731528,0.2818979,1.6649508,-2.4605129,2.3464823,3.7902331,-3.241403,-0.8308095,-0.10955752,0.65982157,-0.2782838,1.0556903,0.1893998,-0.56344175,-0.047236532,-1.5734059,0.34259546,-0.2926456,0.03241189,1.1812114,-0.3377907,-0.09216939,1.1277227,-0.1284612,2.1870408,-0.03920235,0.911359,-0.1263321,0.029340649,-0.106694594,0.30031726,0.15775338,-0.7659696,-0.0067661554,0.2885006,0.3741474
9,9,adenocarcinoma,CHEMBL866,COc1c(C)c2c(c(O)c1CC=C(C)CCC(=O)O)C(=O)OC2,3.3278682,-0.60194546,-1.2003137,-4.860397,6.86112,-1.5919775,-1.8809174,-1.7444183,1.0490534,8.262955,4.030955,-5.214859,2.2344697,1.076306,3.6589406,3.4169765,-3.3500936,-0.552097,0.5334718,-0.07283125,-0.6659971,-2.0565734,5.301597,2.0180378,-3.7769508,3.6970077,0.003602093,3.0240932,0.55591357,-0.326993,-1.0534228,-0.10331069,1.780052,0.44318515,1.2962579,0.39377606,0.07146579,-0.5707959,-0.6177585,-0.43144694,0.6737111,1.088252,0.68676895,-0.06649876,1.5188384,-0.32358214,-0.61121756,-0.67454374,0.08287238,-0.34683996,0.20734122,0.8426206,0.57708156,0.18119013,0.9168895,-0.003172055
