,Unnamed: 0,hastalik,idd,smiles,jtvae_0,jtvae_1,jtvae_2,jtvae_3,jtvae_4,jtvae_5,jtvae_6,jtvae_7,jtvae_8,jtvae_9,jtvae_10,jtvae_11,jtvae_12,jtvae_13,jtvae_14,jtvae_15,jtvae_16,jtvae_17,jtvae_18,jtvae_19,jtvae_20,jtvae_21,jtvae_22,jtvae_23,jtvae_24,jtvae_25,jtvae_26,jtvae_27,jtvae_28,jtvae_29,jtvae_30,jtvae_31,jtvae_32,jtvae_33,jtvae_34,jtvae_35,jtvae_36,jtvae_37,jtvae_38,jtvae_39,jtvae_40,jtvae_41,jtvae_42,jtvae_43,jtvae_44,jtvae_45,jtvae_46,jtvae_47,jtvae_48,jtvae_49,jtvae_50,jtvae_51,jtvae_52,jtvae_53,jtvae_54,jtvae_55
0,0,adenoma,CHEMBL1680,CC(O)C(CO)NC(=O)C1CSSCC(NC(=O)C(N)Cc2ccccc2)C(=O)NC(Cc2ccccc2)C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)NC(CCCCN)C(=O)NC(C(C)O)C(=O)N1,-9.077129,-3.076383,6.5002656,-4.0124574,5.278831,-6.070751,-1.1468639,7.7252607,4.6862845,16.267061,0.75512636,3.812704,8.595534,-0.5543262,10.445359,6.1895585,-4.2730503,-3.371259,-3.071261,-1.0351583,0.41658837,-1.6585954,13.71185,2.5754051,4.28766,6.9467797,-3.4837527,9.663089,0.5039116,-0.23277935,-0.52521515,1.1236553,0.73714685,0.45502976,0.60377175,0.22526263,0.30782673,-0.5177888,0.440055,-0.51402664,1.0843083,0.47580707,-0.34655192,0.58082306,1.2248482,-0.3774143,-0.25193417,-0.31843683,-0.5353019,-0.51054424,-0.85915506,1.1319168,0.505455,-0.108987875,0.79771477,0.2828526
1,1,adenoma,CHEMBL1042,C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)C,6.357811,-0.64743936,-0.61802864,-7.033458,6.415,3.9039457,-8.845913,-1.4782172,6.2936535,6.855023,3.8469737,1.2451856,5.4213037,-0.8180765,2.9476788,5.237821,1.8818046,-1.0095304,-0.30820966,3.6090722,2.2466664,-4.0402284,-1.9779601,-0.4258458,6.352307,3.2332067,-1.6911623,5.751381,0.4033338,0.21811846,-0.002511032,0.7847012,1.2725784,1.0953755,0.26396874,0.4187714,0.57376105,-0.098823085,0.16174178,-0.04564338,0.97993076,-0.38511115,0.30868077,0.45122796,1.4784802,0.47557917,-0.7587655,1.0445881,-0.8166964,0.353757,-0.107013844,-0.1855725,0.972114,0.009277597,0.032716192,0.48028898
2,2,adenoma,CHEMBL118,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,-2.6074376,-4.126894,-0.5151769,7.7782483,3.7160337,-1.9606322,2.3371153,0.53062457,-2.411906,-2.9832826,0.15704705,-1.4830515,0.38026923,2.5815086,1.1326877,-4.192834,0.035733238,-0.82196766,3.6685328,0.36683503,-1.0368665,-1.6841532,0.20876545,-2.931311,-0.4377023,1.0902944,-3.3643026,3.2008438,-0.487306,0.20276141,0.71630275,1.0586605,-0.04626125,0.20794469,0.9791082,-1.3155397,0.22142404,0.30078366,0.2562156,0.36321348,0.7201865,2.4009392,0.51337904,0.6781922,1.0395195,0.09647805,-0.27713305,-0.2274589,0.25318244,0.92559576,-0.21605629,1.0441469,-0.113520905,-0.76444304,-0.6378414,-0.40561602
3,3,adenoma,CHEMBL596,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,-3.9574573,-0.2737431,0.8965746,-2.864452,-2.5825605,0.46569967,-0.95101964,1.3709642,3.2507694,-0.96066374,-4.472932,-0.7316142,-1.2232169,1.9918703,-1.8070298,1.1660744,-4.346406,5.520277,-1.1603212,0.74358094,-1.3715962,-0.37927663,0.41959864,3.7143571,2.0217013,-2.1599634,-0.72812456,6.0482626,0.18615119,-0.12037689,0.4763643,0.5737903,0.365722,0.38185456,-0.26471367,0.23537579,1.2923381,-0.3830971,-0.29148045,0.21019521,-0.1199406,0.15596461,0.35893306,-0.044599697,1.667381,0.38044617,0.117301285,-0.22437,0.4524159,-0.7127852,0.26041862,0.53106904,-0.5165014,-0.40493473,-0.12038611,0.59104395
4,4,adenoma,CHEMBL25,CC(=O)Oc1ccccc1C(=O)O,0.16630496,1.0300512,-2.1481736,-1.2480403,0.99128294,-1.0670382,1.1721059,-1.856572,-3.0284464,0.98122907,-1.8046672,-2.8756137,0.3298769,1.6138283,2.94803,-0.81093633,0.4237463,-2.2006989,1.2399665,-1.8110745,0.71574324,0.21668983,0.8629846,2.4752524,2.9842262,-4.101698,1.9266654,-0.30993855,-0.56522447,-0.9051214,-1.0878135,-1.7878975,0.82454276,1.4205828,0.053362086,0.9117067,-0.694504,0.1257072,0.59646,-0.7819822,-0.970477,-1.46482,1.6163347,-0.3882348,0.8519429,-0.3888942,-0.36960095,0.28091326,0.061290376,0.24971426,-0.6224736,0.34346503,-0.58567315,-0.37414274,1.1227521,1.7437087
5,5,adenoma,CHEMBL122,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1,-1.2215694,-3.5680656,-1.0789653,-1.2493849,1.6282679,2.582182,-1.367013,-0.14900202,-1.8558904,3.4178255,-1.4030365,-4.5341187,-2.0289042,1.8108691,-0.6439467,-1.489053,3.7135744,-3.8581862,-1.4449505,-2.6661694,2.9825416,-1.5980974,2.767554,-0.8507802,3.4778507,4.6693606,-0.39563,1.589413,0.7045321,0.15007311,-1.0770999,-0.069114774,2.0546083,0.55420285,-0.06829046,-0.122709885,1.0093868,0.59161353,-0.15992853,1.9577328,0.3872023,0.6520029,-0.64997965,-0.3517239,0.893343,0.043401577,0.11382886,-0.5643437,-0.039281063,0.4036008,1.3765492,0.07194495,-0.9468551,-0.72086656,-0.4321037,0.9414524
6,6,adenoma,CHEMBL1201087,C=CCN1CC(C(=O)N(CCCN(C)C)C(=O)NCC)CC2c3cccc4[nH]cc(c34)CC21,1.9340222,0.34707308,1.8315878,-4.441712,-0.91825473,-7.88725,-5.9364386,1.8300353,8.417996,2.4771507,0.3824408,7.0397553,1.764428,1.4050956,-0.34492797,3.4019692,0.76370454,7.629545,-0.8966154,1.964508,-2.8286247,0.8244546,2.777467,-0.7872195,1.3165689,3.5061975,-2.489282,3.28352,0.45648924,-0.01312656,0.34159616,0.43852186,0.6814618,-0.15970701,0.10112638,0.72902906,-0.9276406,0.7382808,0.27904862,-0.35797384,0.16862866,1.1206578,0.46931347,-0.23292226,1.5657485,-1.039694,-0.22877996,-0.59255,-0.3492589,0.36011556,0.011145107,1.705092,0.9034261,-0.28860766,-0.20783791,0.66565514
7,7,adenoma,CHEMBL786,CCC(=C(c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1.O=C(O)CC(O)(CC(=O)O)C(=O)O,-3.1998816,-1.3902049,3.6443288,-3.1401393,3.795488,-0.98319507,0.43814668,1.24096,2.9167652,-1.7078264,-1.5593275,-1.9740479,0.9602581,2.4709852,-1.4508708,-3.5840464,-1.8846225,1.5779749,0.4829458,1.7613344,-1.4790376,-1.3158594,1.6176496,-0.35854757,7.63143,-5.278234,-5.034258,3.4421582,-0.15096693,0.15922838,-0.41558146,0.4455663,0.43098578,0.45335576,0.24352251,-0.27034,0.064210914,0.40546697,0.070392646,0.3680698,0.262365,0.6703469,0.19130749,0.45029423,1.0764735,-0.29575473,-0.0023810714,0.08775468,-0.07908425,-0.376908,0.37223917,0.3885156,0.028757527,-0.42298153,-0.11795498,-0.009939969
8,8,adenoma,CHEMBL3039583,NCCCCC1NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(c2ccccc2)NC(=O)C2CC(OC(=O)NCCN)CN2C(=O)C(Cc2ccccc2)NC(=O)C(Cc2ccc(OCc3ccccc3)cc2)NC1=O,-2.0626116,-3.9285972,12.94233,1.2802689,0.92438734,-13.054456,-5.136296,5.9709597,7.1914573,16.336218,1.6936647,-4.8529644,2.0628347,4.2391677,11.512288,2.0003839,1.4069638,-0.22400331,-1.7817049,-0.7507743,4.946839,-1.2483305,17.71743,0.6400646,-5.192122,4.8783145,-1.7564867,10.636515,0.25475863,0.059438065,-0.70809203,1.1072135,0.9979353,0.15385573,0.4808056,0.05014794,0.26464495,0.24043466,0.19193672,-0.52009165,0.40220407,1.138734,-0.6335457,0.6877374,1.1092263,-0.73149467,-0.28233665,-0.5986316,-0.37834758,-0.5055669,-0.49464726,0.77425134,0.3627392,-0.3021383,0.7070394,0.069073886
9,9,adenoma,CHEMBL554,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,3.2993958,-0.48383093,9.912555,0.47908956,1.0835282,3.9094803,-4.23331,3.809793,5.1726756,0.2632665,0.2891649,2.3857627,0.83614266,3.0633106,2.6927493,-2.0028589,1.0711917,-3.6218688,-0.08727969,-1.0142242,0.14738391,-6.7217183,-0.25169522,-0.42247084,0.9793309,5.4595337,-5.3518667,-3.7680287,-0.6386731,0.17869344,-0.8392992,1.1085138,-0.48673669,0.4324003,-0.2774053,-0.97723806,0.4341524,-0.29384705,0.36175197,-0.31063128,0.009766921,0.4667229,0.6494297,-0.0860088,2.0085676,-1.0884383,0.90181965,0.5312223,0.28856298,-0.30883494,1.3040318,0.47658843,-0.101146236,-0.66626227,-0.13681427,0.18639389
