,Unnamed: 0,hastalik,idd,smiles,jtvae_0,jtvae_1,jtvae_2,jtvae_3,jtvae_4,jtvae_5,jtvae_6,jtvae_7,jtvae_8,jtvae_9,jtvae_10,jtvae_11,jtvae_12,jtvae_13,jtvae_14,jtvae_15,jtvae_16,jtvae_17,jtvae_18,jtvae_19,jtvae_20,jtvae_21,jtvae_22,jtvae_23,jtvae_24,jtvae_25,jtvae_26,jtvae_27,jtvae_28,jtvae_29,jtvae_30,jtvae_31,jtvae_32,jtvae_33,jtvae_34,jtvae_35,jtvae_36,jtvae_37,jtvae_38,jtvae_39,jtvae_40,jtvae_41,jtvae_42,jtvae_43,jtvae_44,jtvae_45,jtvae_46,jtvae_47,jtvae_48,jtvae_49,jtvae_50,jtvae_51,jtvae_52,jtvae_53,jtvae_54,jtvae_55
0,0,asthma,CHEMBL1523964,CNC(C)C(O)c1ccccc1.CNC(C)C(O)c1ccccc1.O=S(=O)(O)O,-0.5425199,1.3856976,-1.6845806,-4.062736,0.57529885,-2.2202902,0.3460698,0.21166937,-3.486321,-4.9119806,0.06592156,-2.0006642,-2.0635483,-2.5335903,-2.026651,2.389648,-2.9850886,-1.9210346,0.8864019,0.82275397,-1.5909892,-0.18590713,4.136139,1.1433969,-0.8302754,-0.18497524,-1.8824372,-2.8502085,-0.20407848,0.0034685582,0.47284007,0.22569378,0.42764983,0.4863754,0.050164625,0.14574654,0.2262291,0.2702339,-0.100143656,0.08318588,0.18802676,0.10852021,0.17130312,-0.12677482,1.3897437,-0.048214003,-0.18114464,0.19913656,0.04801584,-0.11358568,-0.32269222,0.09376478,0.62982386,-0.5799663,-0.19835174,0.11371801
1,1,asthma,CHEMBL190,Cn1c(=O)c2nc[nH]c2n(C)c1=O,-2.8149898,1.3172946,-2.1282797,-5.1185575,-4.5355897,-2.8504117,3.1294029,-2.2241492,-4.753889,-1.2269917,0.538882,0.320849,-0.32469708,3.7898612,-0.2929448,-0.3694632,0.117448375,-2.929445,0.797692,-1.1267362,3.6635447,-0.9648938,3.3371677,-1.2577009,-5.3132234,2.8867736,0.774783,0.13229883,-0.42443526,-0.8629162,1.1153086,0.61543965,-0.09503123,0.113762885,-0.18386908,0.34547418,-0.43905628,-0.47845298,1.1593761,-0.62523246,0.37397364,-0.48490196,1.3530629,0.97876245,1.9412825,0.44432387,0.5897556,0.25879106,-0.65705734,0.65189695,1.3237741,2.436266,2.3265953,-1.8768171,-0.16028461,0.5610116
2,2,asthma,CHEMBL2134724,CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2.O.[Br-],-1.8908817,2.005504,1.6094035,-1.9837531,4.879607,2.1141286,1.5944082,-2.4758255,-2.3013248,0.58051527,-0.1752765,3.6817946,-2.74331,-2.0479798,0.5293612,-0.11060102,-1.2152696,-2.9589694,-2.1073518,2.2445593,-2.6253204,-2.23638,5.555181,0.8579079,5.671431,-0.8883841,4.9771605,2.7701347,0.5803103,0.3950772,0.18131518,0.14145394,0.3829455,0.7153584,-0.4686223,-0.27753827,1.0092628,-0.072219744,-1.1794157,-0.37410465,-0.9935698,0.90005153,-0.28191796,-0.47112417,2.1485677,-0.64020014,-0.14814515,0.028026648,-0.24489814,0.20591232,-0.2769297,0.68325293,0.14996935,0.02161812,-0.8013013,0.2017963
3,3,asthma,CHEMBL1161,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(Cl)C(O)CC2(C)C1(OC(=O)c1ccco1)C(=O)CCl,-3.1924446,5.3230286,0.8071147,3.3676693,9.444416,3.968877,0.2793107,-1.157312,2.9790137,1.15291,1.639093,2.5303335,0.61456734,0.0054644514,8.243856,4.913077,4.3839374,-1.5506517,0.7234733,-3.9806302,0.35796422,1.6238242,7.9957747,-3.75038,4.4587703,4.846865,1.2621765,5.747717,-0.5088946,1.0225811,-0.6570419,0.5484757,-0.37460294,0.52419937,1.1497042,-0.7234912,0.8728918,0.04044978,0.0659035,0.096424475,0.18596953,0.03001365,0.14569448,1.312084,1.7808218,0.5254523,0.021239623,1.885656,-1.0872648,-0.17366977,-0.5459764,-0.4304413,0.58447254,1.0451694,-0.4121577,1.2157615
4,4,asthma,CHEMBL16,O=C1N=C(O)NC1(c1ccccc1)c1ccccc1,-4.188896,2.9498608,1.0770202,-1.3378513,0.9064616,-0.96510756,-0.24595663,-4.274588,-5.6537366,3.2133422,-1.5810384,-2.60201,-4.8013144,3.022384,-0.03711365,-1.3621238,-1.4522372,-1.1837374,0.07213156,3.2447238,-0.75667065,0.6106001,1.938282,2.7860148,2.3315864,2.7816133,3.5432808,0.49648976,-0.70907044,-0.1291942,0.16665402,-0.033849224,-0.3641952,1.2501318,-0.25331295,0.41959268,0.19684088,-0.06110147,-0.64856255,0.5011454,0.23794556,0.12461387,-0.011383414,-0.10054523,1.0098972,-1.0309693,0.37033325,-0.19908053,0.22341533,-0.3313201,-0.5301346,-0.49072114,-0.4171325,-0.11945439,-1.0780264,0.33185852
5,5,asthma,CHEMBL787,CC(C)(O)c1ccccc1CCC(SCC1(CC(=O)O)CC1)c1cccc(C=Cc2ccc3ccc(Cl)cc3n2)c1,2.3084261,-4.277588,9.095204,-0.013136901,10.534964,5.4380364,-1.6975586,2.018535,9.670258,6.5904284,1.7250172,0.96805614,3.9404404,-1.7103748,1.8789114,-0.3076379,-2.8690865,-1.2728909,5.442561,0.9215872,-3.0784276,-0.6176771,2.1180167,-0.39917538,2.3987112,1.0504968,-3.1203208,1.6192327,0.11317094,0.43142617,-0.545928,0.07469858,0.2288917,0.9005334,0.7246309,-0.15465526,0.23696378,-0.3639101,0.267317,-0.4324629,-0.58161235,0.06409274,-0.018638805,-0.08341688,1.1165416,0.5928807,0.043003157,0.390577,0.6257944,-0.07426962,-0.2627851,-0.07986733,0.6874059,0.2987074,-0.0703387,0.34634912
6,6,asthma,CHEMBL1201335,C[N+]1(C)CCC(OC(=O)C(O)(c2ccccc2)C2CCCC2)C1,-2.3322692,0.35625318,2.0140243,0.43656403,3.2691634,0.21809575,1.5155821,-4.3509355,-2.3722358,1.6426439,-2.0686553,0.21384881,1.4752418,-3.347745,4.444021,-0.020464431,0.9654484,-2.144922,-2.1273057,4.743117,1.6660991,-0.62999356,5.2449284,2.5316331,5.109599,2.6585546,3.9186068,1.94629,0.83924025,-0.4458343,-0.56250435,0.91626793,0.22604458,1.2062398,0.006594913,0.41958374,-0.26612505,-0.18778388,-0.108759046,-0.032130696,-0.62576085,0.24668385,0.0146109015,-0.025529813,0.8756095,-0.24142212,0.4591697,0.36759976,-0.014366781,-0.790121,0.025288917,0.33630753,0.3587305,-1.1740271,-0.019525452,0.07431919
7,7,asthma,CHEMBL1370561,Cn1c(=O)c2[nH]cnc2n(C)c1=O.Cn1c(=O)c2[nH]cnc2n(C)c1=O.NCCN,-2.8149898,1.3172946,-2.1282797,-5.1185575,-4.5355897,-2.8504117,3.1294029,-2.2241492,-4.753889,-1.2269917,0.538882,0.320849,-0.32469708,3.7898612,-0.2929448,-0.3694632,0.117448375,-2.929445,0.797692,-1.1267362,3.6635447,-0.9648938,3.3371677,-1.2577009,-5.3132234,2.8867736,0.774783,0.13229883,-1.0125954,-0.49906942,-0.83502364,0.74816495,2.0357246,0.2225186,-1.2295729,0.6931617,0.49976116,-0.20366924,-0.32890803,-0.39596102,-0.5638478,0.24795376,-0.4715951,0.9617757,1.6054828,1.1362203,-0.9647735,0.706627,-0.1879783,1.1762342,-0.4895091,1.2603899,1.6076128,-0.17737377,-0.4469933,0.1407221
8,8,asthma,CHEMBL1659,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1.O=C(O)C=CC(=O)O,0.30069718,0.60709196,3.3450947,-2.8420084,-0.46326947,0.41798115,-1.9683452,1.3546909,2.981664,-0.31914967,0.76637185,-0.119151235,1.9296166,-0.4598458,-3.8306787,-0.49639323,-1.240708,0.24277145,5.024932,1.5580827,-3.0646925,1.4670576,5.0638294,-0.23514202,-4.526936,0.8970947,-1.5405273,-2.3645203,-0.853577,-0.07400474,0.0003844425,0.63946044,0.28568405,0.89816856,1.3314596,0.73560125,0.05189333,0.30105823,0.3180472,-0.07033085,-0.3454907,0.95519733,-0.25264192,0.3182333,1.1828804,0.28672245,-0.25056297,-0.0102621615,-0.22380394,-0.007869475,-0.7789798,0.19373357,0.72422487,0.17064464,-0.62150425,0.14013034
9,9,asthma,CHEMBL1900528,C[N+]1(C)C2CC(OC(=O)C(O)(c3cccs3)c3cccs3)CC1C1OC12,0.531602,1.7835151,0.04815793,-3.0011804,2.464266,2.4650564,2.2504344,-3.5849264,-4.2513347,3.364311,0.43717968,1.971992,0.21947835,-0.24133329,6.575414,-0.13535438,1.4633056,-1.4604137,-1.822361,3.6651864,0.25882423,-3.0328026,8.467287,-2.838293,5.529545,4.246971,2.5516462,-0.22398502,-1.4132005,-0.03061279,0.0017080233,-0.23264109,0.41737244,0.075950414,-0.4645978,-1.2803297,1.2656639,-0.69149894,-0.48957077,-1.2072417,-1.4996592,1.6563624,0.68489134,0.38506532,2.2408817,-0.4023349,-1.0676925,-1.3994929,-1.5357096,0.41267368,-1.0241979,0.91329515,1.4351215,0.11230719,-0.27070698,-0.048035234
10,10,asthma,CHEMBL679,CNCC(O)c1ccc(O)c(O)c1,0.94563556,1.1582108,-0.4667798,-4.501782,0.9336463,-3.9041839,1.3747184,0.36515802,-2.7905982,-4.9227023,-0.6435207,-3.1410584,2.2158706,2.2344809,2.0439935,3.1764467,-1.711541,-1.8424306,1.1180601,2.5462887,0.2652235,-2.601326,5.228106,1.0630603,-2.6886427,0.18528259,-2.4262393,-3.984904,-0.096685514,0.57504123,-0.51030135,-0.33318692,-0.02546522,-0.6084117,0.4737289,-0.7491195,0.17888328,0.22291115,0.67647314,-0.66156155,0.012880005,1.2096994,-0.27588394,-0.54623216,1.8006637,0.5437364,1.0609983,0.12448867,-0.37847617,0.9700356,0.122273214,1.9234815,0.14069389,-1.8153377,-0.73995626,-0.55381596
11,11,asthma,CHEMBL1200695,CC(N)C(O)c1ccccc1.Cl,-0.38513812,1.4213828,-1.1518105,-3.9394617,0.94961405,-0.004664369,2.500607,-1.0050249,-3.908015,-3.454302,-2.1345212,-1.6646057,0.8900019,-1.1122355,-1.4966834,0.88722444,-2.7883675,-2.5441997,1.3530272,-0.27949342,-1.0699981,0.6962942,4.42059,2.2337418,1.2851374,-1.7861792,-2.355357,0.82714367,-0.01987633,-0.053004526,-0.19691566,0.23243153,0.52371216,0.25565577,-0.29940587,0.06855756,0.5549576,-0.30008128,-0.014234389,0.05066081,0.3536747,0.5447824,0.08894064,-0.058186464,0.8932947,0.018606775,0.3114438,-0.5477247,0.0025974456,-0.49702632,0.19402882,0.71740234,0.52809876,-0.52297235,-0.12860295,0.3152578
12,12,asthma,CHEMBL1256786,COc1ccc(CC(C)NCC(O)c2ccc(O)c(NC=O)c2)cc1,-0.5309081,-1.4553057,3.0661068,0.39588392,5.6233187,-3.2010808,1.2910419,4.038063,-0.03481424,0.4736367,0.26617157,-2.5104547,3.0635667,0.28571293,1.4944685,-0.26152852,1.5711359,2.9015884,0.56104314,-0.8601788,-1.9346997,-4.8699756,1.2730548,3.3744066,0.013902001,1.4431782,-2.3017178,-3.2165484,-0.109675124,0.55103254,0.38232487,0.8030925,0.30191198,0.3306082,0.69643927,-0.6875363,-0.54896885,0.5254444,-0.22045456,-0.26675057,0.9378189,1.4271288,0.027281865,-0.6066969,1.2119436,0.9647935,0.64877653,-0.8438793,0.5802334,0.43210632,-0.43721917,0.97671676,0.2951725,-1.0508522,-0.4294714,-0.56856513
13,13,asthma,CHEMBL25,CC(=O)Oc1ccccc1C(=O)O,0.16630496,1.0300512,-2.1481736,-1.2480403,0.99128294,-1.0670382,1.1721059,-1.856572,-3.0284464,0.98122907,-1.8046672,-2.8756137,0.3298769,1.6138283,2.94803,-0.81093633,0.4237463,-2.2006989,1.2399665,-1.8110745,0.71574324,0.21668983,0.8629846,2.4752524,2.9842262,-4.101698,1.9266654,-0.30993855,-0.56522447,-0.9051214,-1.0878135,-1.7878975,0.82454276,1.4205828,0.053362086,0.9117067,-0.694504,0.1257072,0.59646,-0.7819822,-0.970477,-1.46482,1.6163347,-0.3882348,0.8519429,-0.3888942,-0.36960095,0.28091326,0.061290376,0.24971426,-0.6224736,0.34346503,-0.58567315,-0.37414274,1.1227521,1.7437087
