,Unnamed: 0,hastalik,idd,smiles,jtvae_0,jtvae_1,jtvae_2,jtvae_3,jtvae_4,jtvae_5,jtvae_6,jtvae_7,jtvae_8,jtvae_9,jtvae_10,jtvae_11,jtvae_12,jtvae_13,jtvae_14,jtvae_15,jtvae_16,jtvae_17,jtvae_18,jtvae_19,jtvae_20,jtvae_21,jtvae_22,jtvae_23,jtvae_24,jtvae_25,jtvae_26,jtvae_27,jtvae_28,jtvae_29,jtvae_30,jtvae_31,jtvae_32,jtvae_33,jtvae_34,jtvae_35,jtvae_36,jtvae_37,jtvae_38,jtvae_39,jtvae_40,jtvae_41,jtvae_42,jtvae_43,jtvae_44,jtvae_45,jtvae_46,jtvae_47,jtvae_48,jtvae_49,jtvae_50,jtvae_51,jtvae_52,jtvae_53,jtvae_54,jtvae_55
0,0,atherosclerosis,CHEMBL1431,CN(C)C(=N)NC(=N)N,1.7658916,-0.32675093,-0.35211137,-7.697538,-2.0706518,-4.6510344,0.27253172,-4.1880584,-6.7911644,-6.0403605,0.53055763,7.1199913,3.122106,-1.9500611,1.2690738,0.06970321,-3.0831113,0.68135226,0.49339437,-1.5486231,-0.46575642,-4.833114,3.8848765,-2.9575894,0.19831635,1.9943715,-3.4296927,3.0324929,-0.3267191,0.14767453,0.4592824,-0.11171891,0.38721484,1.7664568,-0.17185022,0.7986102,-0.39695582,1.0097498,0.075734586,0.24100748,0.5707358,0.031905413,0.102189906,0.18632048,2.0067725,-1.3493282,-0.6411687,-0.020506218,-0.836599,-0.8176144,0.10561744,-0.22233778,0.12802726,-0.7067045,-1.1770977,-0.38651386
1,1,atherosclerosis,CHEMBL1771,COC(=O)C(c1ccccc1Cl)N1CCc2sccc2C1,-0.48132172,1.6482863,-2.0010512,-0.42441326,-1.0270786,0.55202246,1.2346421,2.8694506,-0.1342488,0.043737575,3.4170988,1.0317969,0.20180593,0.87790215,1.9882635,-0.7439051,-2.6760275,2.3144186,1.8519036,-0.91340715,-0.41227746,5.861376,-0.13498005,-1.1539701,4.1467986,1.217754,-1.4070863,-2.832554,0.19623947,-0.24800023,0.011465743,0.86773455,-0.041365325,1.2217382,-0.52376705,0.11874278,0.21950588,0.2762458,-0.8606939,-0.18419972,-0.99690783,-0.16382365,2.0867155,-0.6034145,1.1303387,-0.20693362,0.6449888,-0.883374,-1.3839786,-0.6738877,0.72547835,0.68462473,-0.098560944,-0.6857723,1.5184336,-0.058762014
2,2,atherosclerosis,CHEMBL1569,Cl.NC12CC3CC(CC(C3)C1)C2,-1.3714143,1.826126,-0.96913135,-2.3797626,-3.8974745,-1.8267648,3.5582452,-1.2314441,-4.3652086,-3.8230646,-0.087662354,-2.9698324,0.23274298,1.0611603,-2.850559,3.5804062,4.567656,-1.2623075,3.057872,0.29182532,-0.6631256,2.1096916,2.073133,0.20137724,0.42979956,-0.09525655,-0.6425364,-1.9310814,1.3026414,-0.87206143,0.11084231,1.376299,-0.8503679,2.3983922,1.2772309,-2.029839,0.9131689,-0.48313454,1.0746992,1.3626544,0.7387384,0.6334997,-0.14810824,-0.93093604,0.57144743,-0.7358761,-0.8719711,-0.028924085,0.74167085,1.1648479,0.07641945,0.29231715,-0.6825341,1.3489062,-0.72263044,-0.5788207
3,3,atherosclerosis,CHEMBL398435,CCCSc1nc(NC2CC2c2ccc(F)c(F)c2)c2nnn(C3CC(OCCO)C(O)C3O)c2n1,-0.2533568,-2.8341067,6.3528757,3.4631267,5.732678,-0.25013602,-5.0209327,2.9693582,2.728762,-5.694409,-4.0992837,0.7126194,1.2180632,5.743405,6.0107136,3.3876946,-0.9058328,-1.1598122,-3.8458881,3.9011433,1.9471781,-8.669126,2.0631344,-3.2957485,-1.0008502,6.271411,0.04791052,3.8356063,-0.13067119,0.37781498,-0.1330263,0.18384498,0.53821164,-0.47665805,-0.0113855805,-0.5445185,0.043256857,-0.2363969,0.2786108,-1.1467581,-0.39027637,0.85451984,-0.24179158,0.31067008,2.0952713,0.31416366,0.3074416,0.10185326,-0.33530104,0.2833112,0.09563089,0.96021736,0.14426921,-0.9911952,-0.0087901205,-0.13088799
4,4,atherosclerosis,CHEMBL660,NC12CC3CC(CC(C3)C1)C2,-1.3714143,1.826126,-0.96913135,-2.3797626,-3.8974745,-1.8267648,3.5582452,-1.2314441,-4.3652086,-3.8230646,-0.087662354,-2.9698324,0.23274298,1.0611603,-2.850559,3.5804062,4.567656,-1.2623075,3.057872,0.29182532,-0.6631256,2.1096916,2.073133,0.20137724,0.42979956,-0.09525655,-0.6425364,-1.9310814,1.5328007,-0.86942303,0.12795192,1.545785,-1.0388077,2.54414,1.484773,-2.1534204,0.89493746,-0.5317977,1.2117201,1.3756483,0.71269214,0.60774773,-0.1600866,-0.958414,0.45993823,-0.9407508,-1.0021516,0.17009944,0.8620537,1.3033837,0.043889202,0.2313075,-0.96869916,1.4000803,-0.8605446,-0.6405364
5,5,atherosclerosis,CHEMBL113,Cn1c(=O)c2c(ncn2C)n(C)c1=O,-1.4096394,0.7956971,-1.6595736,-5.4102554,-4.305303,-3.7813509,2.7673407,-1.800218,-4.4736094,-1.8550198,-0.53676105,2.9636285,0.7335701,3.6305523,1.3451082,-0.56929225,-0.012740374,-2.9346209,1.1399451,-0.9550987,3.8649726,-1.2120615,1.834966,-1.4842018,-5.993061,3.459762,-0.21172523,0.96667266,-0.7498916,-0.43676504,-1.480728,0.47697473,2.622633,0.23509136,-1.2569921,0.34175408,0.9999674,-0.012319762,-0.81386006,-0.032263957,-0.81514555,-0.001142472,-0.6219843,1.031988,1.5187879,0.9070085,-0.95774215,1.1195202,-0.19868186,1.6089104,0.19723913,1.2277359,1.4578077,0.05419548,-0.74770993,1.0142266
6,6,atherosclerosis,CHEMBL25,CC(=O)Oc1ccccc1C(=O)O,0.16630496,1.0300512,-2.1481736,-1.2480403,0.99128294,-1.0670382,1.1721059,-1.856572,-3.0284464,0.98122907,-1.8046672,-2.8756137,0.3298769,1.6138283,2.94803,-0.81093633,0.4237463,-2.2006989,1.2399665,-1.8110745,0.71574324,0.21668983,0.8629846,2.4752524,2.9842262,-4.101698,1.9266654,-0.30993855,-0.56522447,-0.9051214,-1.0878135,-1.7878975,0.82454276,1.4205828,0.053362086,0.9117067,-0.694504,0.1257072,0.59646,-0.7819822,-0.970477,-1.46482,1.6163347,-0.3882348,0.8519429,-0.3888942,-0.36960095,0.28091326,0.061290376,0.24971426,-0.6224736,0.34346503,-0.58567315,-0.37414274,1.1227521,1.7437087
7,7,atherosclerosis,CHEMBL1201775,CC(O)C(O)C1CNc2[nH]c(N)nc(=O)c2N1.Cl.Cl,0.89397097,-0.82047224,-0.072726995,-7.214596,3.1141198,-3.1191523,3.432601,1.0895404,-3.9606156,-1.0455278,1.0278841,4.268344,1.7020439,5.787947,-1.3741482,2.7295492,-4.580787,-5.4237156,-0.19081105,-1.2336681,0.82425684,3.1354837,-0.4803781,-1.4954067,3.8420515,0.8253509,-0.75917774,-0.75203896,-1.4878968,-0.5324636,-0.70089287,0.20862885,-0.043286532,1.7960677,-0.7857384,0.71267784,-0.48889166,-0.7302558,-1.0088233,-1.4684038,1.2215642,0.9111515,0.6091926,1.2187009,1.4661186,-0.444382,0.40351987,-0.49002504,-0.29701984,-0.09461357,-0.45499247,1.5383838,-0.81490004,-0.33466542,-0.68455213,-0.19588503
8,8,atherosclerosis,CHEMBL1200692,CCCc1nc(C(C)(C)O)c(C(=O)OCc2oc(=O)oc2C)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,-1.9353203,-2.2782438,2.0812051,0.938389,6.9456496,-0.8247871,0.051487587,7.264495,4.097429,6.2913766,-3.0720336,-3.416667,1.9805919,1.754839,1.4241749,-0.6579837,1.1199275,-6.2978897,0.14424543,3.509846,-2.5042152,-5.233658,6.7785525,-3.7310026,-4.078894,0.113316596,-0.36470407,5.712905,-0.6950492,0.0007122457,0.05928316,0.5011284,0.49537024,1.2778362,0.37538096,-0.2570828,-0.1337831,0.21459652,-0.5631218,0.8539564,0.2710147,-0.0023390949,0.1458548,0.28805473,0.92459846,-0.4607805,-0.539904,0.7095948,-1.2839832,0.42082784,-0.71951735,-0.23228735,0.0651301,-0.58226454,-0.20364042,0.69510436
9,9,atherosclerosis,CHEMBL1083385,COC(=O)C(c1ccccc1Cl)N1CCc2sccc2C1.O=S(=O)(O)O,-0.48132172,1.6482863,-2.0010512,-0.42441326,-1.0270786,0.55202246,1.2346421,2.8694506,-0.1342488,0.043737575,3.4170988,1.0317969,0.20180593,0.87790215,1.9882635,-0.7439051,-2.6760275,2.3144186,1.8519036,-0.91340715,-0.41227746,5.861376,-0.13498005,-1.1539701,4.1467986,1.217754,-1.4070863,-2.832554,0.09135242,-0.13465157,0.49519593,0.5580623,0.07687011,1.1077099,-0.25333425,0.0672117,0.13111833,0.5015729,-0.74107665,-0.12615702,-0.71682835,-0.30452698,1.895604,-0.42210716,1.4679123,-0.21606559,0.18187344,-0.4116506,-1.1148148,-0.2952976,0.09475101,0.14803092,0.19306014,-0.6563437,1.2037252,-0.13940284
