,Unnamed: 0,hastalik,idd,smiles,jtvae_0,jtvae_1,jtvae_2,jtvae_3,jtvae_4,jtvae_5,jtvae_6,jtvae_7,jtvae_8,jtvae_9,jtvae_10,jtvae_11,jtvae_12,jtvae_13,jtvae_14,jtvae_15,jtvae_16,jtvae_17,jtvae_18,jtvae_19,jtvae_20,jtvae_21,jtvae_22,jtvae_23,jtvae_24,jtvae_25,jtvae_26,jtvae_27,jtvae_28,jtvae_29,jtvae_30,jtvae_31,jtvae_32,jtvae_33,jtvae_34,jtvae_35,jtvae_36,jtvae_37,jtvae_38,jtvae_39,jtvae_40,jtvae_41,jtvae_42,jtvae_43,jtvae_44,jtvae_45,jtvae_46,jtvae_47,jtvae_48,jtvae_49,jtvae_50,jtvae_51,jtvae_52,jtvae_53,jtvae_54,jtvae_55
0,0,atopic eczema,CHEMBL1200686,CCC1C=C(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(Cl)C(OC)C3)C(C)C(O)CC1=O)C(C)CC2OC,-2.8630514,3.639026,-2.9974892,-5.9252887,13.785625,-1.7106087,-2.9491081,1.8034927,6.0682,3.2820296,1.0113965,-0.024957374,5.3239202,9.058563,10.904433,0.14565231,-0.37771922,-4.0913525,-1.8552889,-1.6066636,0.77368397,2.4506788,14.333537,-2.0684848,-7.4721656,9.896156,4.2892275,13.325317,-0.21215096,0.51749253,-1.093866,-0.062587366,-0.101854086,-0.13930434,0.29916894,0.4939356,0.72415704,-0.62652606,-0.013571453,-1.4245591,-0.6115645,0.7637377,0.12776941,0.8604257,1.5417075,-0.031484284,0.06320416,0.11710127,-0.59543175,-0.63139576,-0.47713128,1.0856346,0.8425314,-0.99515784,-0.0045058713,-0.24404821
1,1,atopic eczema,CHEMBL705,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)O,2.8053768,3.3784742,-1.765898,-4.323414,5.009334,0.955103,0.22810057,-0.32219046,3.8571002,6.4038315,5.1464233,1.3857586,6.9166765,2.8919814,-2.4142668,1.3647269,3.9020052,-2.248546,-1.1690784,-2.6887107,-2.959888,-1.7457517,3.2245822,-4.7526064,3.5194323,-1.8049841,-0.23714954,3.2724671,-0.04136165,0.22825876,-0.3157911,-0.031655148,1.1500065,1.3480877,-0.31595486,-0.7963666,-1.0844789,0.1609095,-0.7806834,1.0486288,0.12404882,-0.39357305,1.1621844,-0.017315362,1.622997,1.670295,-0.1581759,-0.041706182,-1.1663604,-0.13656357,-0.17962438,0.0497967,0.9583085,1.202991,0.558984,0.2629794
2,2,atopic eczema,CHEMBL160,CC=CCC(C)C(O)C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C,-9.045027,4.64271,-12.856607,-12.583915,20.822664,-17.551615,-11.731176,7.357916,14.525643,23.441954,-0.14211975,9.258908,19.795141,0.41780618,19.760809,1.58607,0.31769437,-10.513057,7.1835694,-2.4041796,7.7961445,-4.778511,21.489584,-2.7958722,-11.606461,13.480124,-10.662146,18.813297,-0.2814109,0.1077533,-0.82042503,0.7547351,0.84931016,0.11393331,0.33387893,-0.64419544,0.4104129,-0.62328523,-0.060515773,-0.54901737,1.265448,0.5662799,0.021247841,0.26478386,1.146524,-0.60968786,0.03883463,0.16852811,-0.06627896,-0.6297596,-0.6229713,1.1084315,0.6257747,-0.4134034,0.8616951,0.3541858
3,3,atopic eczema,CHEMBL1501,CC(=O)OCC(=O)C12OC(C)(C)OC1CC1C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC12C,-1.9135116,2.618931,-2.9174247,0.31847894,7.6636767,-0.41366124,-1.7599418,-0.49947965,8.038039,-0.0100023,2.5296137,5.3235207,6.0641737,5.0539412,7.046495,4.1107054,2.0254378,-3.5275853,2.9143357,-1.3649424,7.759119,2.4522872,3.515506,0.7032546,1.6779337,3.647707,4.06459,2.7764225,-0.1395615,1.0169194,-0.654904,0.41933703,-0.3495579,0.65538025,1.3626938,-0.9352546,0.5736048,-0.30987227,0.34961677,-0.13745019,0.051844828,-0.040956274,0.05519342,1.063718,1.4202418,-0.38807958,0.28904057,2.7733748,-0.26961026,0.21325934,-0.6289101,-0.31647602,0.6564994,0.67049265,-0.5400248,1.0450661
4,4,atopic eczema,CHEMBL384467,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,0.4460127,2.7536254,-1.4413164,2.3533416,10.2369995,2.324731,-0.69502604,-2.1507735,1.6554855,-1.0187858,-0.05786352,2.4431086,0.8397759,2.0059276,4.9834423,3.7510722,1.0637542,-2.251259,-0.7574223,-3.5981836,3.9128683,-0.38386035,6.439456,0.1832993,1.006124,3.024087,1.683089,7.2400723,0.039248843,1.1508647,-1.1236318,0.25796396,-0.59084415,0.05280763,1.3016458,-0.9679594,1.4104737,-0.58479345,0.40309164,0.19101015,0.43789113,-0.08294095,-0.0415181,2.124689,1.8497238,0.44472113,0.094305955,2.5206976,-1.0053723,-0.123554826,-0.72718704,0.055338144,0.49393904,1.2353134,-0.48323625,1.4618407
5,5,atopic eczema,CHEMBL484785,N#Cc1ccc(Oc2ccc3c(c2)COB3O)cc1,-0.057954878,-3.2217145,2.1925664,-1.535361,-0.38112694,1.3150854,-1.409296,-0.2301462,-2.835271,-2.7571714,0.17495157,-4.269055,-2.2851827,1.6880348,4.487333,-2.4226289,2.189207,1.729072,0.8574628,2.1407688,0.25290304,1.3479669,-0.7712792,0.37804502,2.237947,-0.65986776,-0.95008564,0.01049,0.9207226,0.2097297,-0.5673101,0.9982584,1.3352501,-0.23519197,1.3897535,-1.2757419,0.5701067,0.6262876,-0.015403296,0.7638351,1.0182106,1.1220866,-1.1208076,-0.28288352,1.8115897,0.29225373,-1.1219857,-0.65291035,0.022167126,0.101991065,0.39523676,0.0036875308,-0.3128826,0.7000979,0.43231943,-0.84201694
6,6,atopic eczema,CHEMBL269732,C=CCC1C=C(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(OC)C3)C(C)C(O)CC1=O)C(C)CC2OC,-0.6829442,0.7011254,-2.6739976,-10.749906,13.598922,-3.758854,-4.8981724,-0.07095198,6.605951,5.2928853,3.8732474,0.38664877,5.413797,11.035794,10.81316,-1.1600844,0.48844498,-2.9679885,-4.893448,0.07695072,3.9577303,0.9019604,15.221317,-1.4004716,-6.13705,9.625582,4.2109666,11.44995,-0.19994538,0.48089126,-0.9935559,-0.011252657,-0.07100341,-0.19621289,0.2747275,0.25532195,0.5653107,-0.5728814,0.0652471,-1.3501667,-0.55095994,0.7551751,0.14237025,0.8518409,1.4747031,-0.18690068,0.2032611,0.13744459,-0.56709725,-0.5477896,-0.32346582,1.1473429,0.7618072,-1.1270368,0.043862857,-0.2978735
7,7,atopic eczema,CHEMBL1200953,CCCC(=O)OC1(C(=O)COC(=O)CC)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,-2.8810897,1.5638715,-0.14227179,-1.7751638,9.868619,-0.91273427,1.4100049,2.9185438,7.526559,3.2556083,0.5265352,1.4940479,-0.06710996,0.79466724,5.866962,7.8963895,-1.5476757,-1.1728354,-2.2496364,-2.4272828,6.311341,-1.7871963,5.1343794,-1.8255975,4.9951186,-3.9784036,4.8437233,2.7888494,0.15495346,0.5672975,-0.78561115,0.61787724,0.10063633,0.7595697,1.0363852,-0.73137206,1.3168257,-0.21067311,-0.06689136,0.24128532,0.59083104,-0.20259176,0.8952057,0.97209656,1.5463313,0.08028827,-0.3465249,1.5688425,-0.7239542,0.1373645,-0.038084783,0.016719654,0.33013427,0.5484786,-0.4282182,0.7863411
8,8,atopic eczema,CHEMBL1766,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1C(=O)CO,0.017007768,1.6326464,-0.23264417,1.9547849,9.341459,1.3932446,-1.6915323,0.54100466,2.02545,-0.7574359,1.0167693,0.46430922,1.3320109,1.9829321,2.5350747,3.1735578,2.1227663,-3.2288778,-0.071343675,-4.8230414,5.337407,0.451679,6.7547116,-0.62072355,-2.101395,2.546791,1.8925745,5.7684355,-0.048924726,1.3347659,-1.0388556,0.42715985,-0.53774023,0.32788914,1.5922182,-0.8513353,0.89480865,-0.7140556,0.03934076,0.3547924,0.8571973,-0.41899115,0.22462758,1.810185,1.8118297,0.19138038,0.4135167,2.3633287,-0.6653577,-0.23167288,-0.4513429,0.22461835,0.12974864,1.7072918,-0.6224677,2.0447814
9,9,atopic eczema,CHEMBL2021430,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)COP(=O)([O-])[O-].[Na+].[Na+],-1.9728471,1.9745953,-1.1004293,4.5524817,10.842404,2.1768563,-0.23085624,-3.412123,4.2071967,-0.46457636,0.80324006,3.287633,2.5189908,2.68048,6.467193,3.8948796,3.2983072,-2.4394767,0.14781041,-4.3529468,2.4401,2.119701,6.6693196,-1.3134675,3.2216148,5.1468043,4.677316,7.130848,-0.12145862,1.0045432,-0.7958894,0.2923085,-0.22171238,0.30318788,1.0590533,-0.6702489,0.99978155,-0.35916826,0.47996354,0.15965284,0.37492058,0.009513214,-0.10128067,1.634902,1.7706801,0.3577508,-0.11161165,1.9430174,-0.8045178,0.033175923,-0.58878386,0.06720194,0.5880081,1.0397862,-0.42666978,1.1838579
