,Unnamed: 0,hastalik,idd,smiles,jtvae_0,jtvae_1,jtvae_2,jtvae_3,jtvae_4,jtvae_5,jtvae_6,jtvae_7,jtvae_8,jtvae_9,jtvae_10,jtvae_11,jtvae_12,jtvae_13,jtvae_14,jtvae_15,jtvae_16,jtvae_17,jtvae_18,jtvae_19,jtvae_20,jtvae_21,jtvae_22,jtvae_23,jtvae_24,jtvae_25,jtvae_26,jtvae_27,jtvae_28,jtvae_29,jtvae_30,jtvae_31,jtvae_32,jtvae_33,jtvae_34,jtvae_35,jtvae_36,jtvae_37,jtvae_38,jtvae_39,jtvae_40,jtvae_41,jtvae_42,jtvae_43,jtvae_44,jtvae_45,jtvae_46,jtvae_47,jtvae_48,jtvae_49,jtvae_50,jtvae_51,jtvae_52,jtvae_53,jtvae_54,jtvae_55
0,0,bacterial disease,CHEMBL112,CC(=O)Nc1ccc(O)cc1,-0.7130991,3.5547688,-2.189852,-2.5957115,-1.2106632,-0.74815404,-0.031337686,-1.8462358,-3.033496,-2.1320763,-0.8442875,-1.6034187,0.58025587,1.1177254,1.370674,-0.7857965,-1.9395419,-0.13632283,1.2990943,-1.6766235,2.2057111,-1.4214715,-0.56582457,2.035881,-0.46854272,-2.0007277,0.096411094,-0.27674007,-0.14473727,0.8128929,0.8525981,0.052915394,0.26916403,1.6208473,2.2021084,-1.1135801,-0.91823137,0.59167904,-0.55020064,0.49406624,0.8304262,1.5039438,-0.26952484,1.3672605,1.0995041,-0.89557296,0.31585222,-0.13685825,-1.1927376,-0.5330924,0.043597557,-0.8071518,-0.39552802,-2.6155908,-1.1971258,-1.2663597
1,1,bacterial disease,CHEMBL1433,CC1c2cccc(O)c2C(=O)C2=C(O)C3(O)C(=O)C(C(N)=O)=C(O)C(N(C)C)C3C(O)C21,0.5922371,5.584555,-1.3374715,-1.4144173,8.566183,-3.0523202,-1.0387592,1.4102663,-4.5943184,0.7986596,-4.1791997,2.414382,6.1158867,8.313702,13.515143,1.6883262,2.935105,2.0410724,-0.94830614,-2.1958923,6.9982867,-2.1969686,6.7530265,-0.35806972,2.4572365,6.764359,-2.675571,9.665263,-0.4297267,-0.8334306,-0.06471626,0.50007266,1.7335796,-0.07384822,0.047788695,0.2543671,-0.050297193,-0.44357362,-0.91853034,0.14391908,0.15964577,1.2070526,0.6305268,-0.0005963119,1.0646366,-0.7015101,-0.51211756,-1.3340716,-0.13987207,-0.57628334,-0.08112359,0.61748505,0.53654134,1.1936324,0.43959433,0.70917547
2,2,bacterial disease,CHEMBL1201320,COc1ccc2[nH]c([S+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1,-2.756985,-4.6061196,1.7300241,-4.492692,4.61062,-1.7884303,2.6898217,-2.319653,2.911917,-1.4631716,-1.2507364,0.87431973,-1.3077167,6.576451,3.4912653,2.5609674,3.8989048,-5.394953,0.15094565,5.0747952,-1.629567,1.3180648,-4.8606715,-1.3637655,1.6841115,6.249984,1.7224298,2.1834366,0.21355136,0.24708694,-0.8987079,-0.23646386,0.84605944,0.73208094,-0.2819964,-1.3958436,1.5982454,-2.0190303,-0.54878414,0.5414515,-0.34212965,0.9416617,-0.024742581,-0.11321771,1.6147758,1.5137656,-0.17842956,0.20192736,-1.3783703,0.8692796,1.6679288,0.37543374,1.2355802,-0.60394704,-0.35812262,-0.4516991
3,3,bacterial disease,CHEMBL679,CNCC(O)c1ccc(O)c(O)c1,0.94563556,1.1582108,-0.4667798,-4.501782,0.9336463,-3.9041839,1.3747184,0.36515802,-2.7905982,-4.9227023,-0.6435207,-3.1410584,2.2158706,2.2344809,2.0439935,3.1764467,-1.711541,-1.8424306,1.1180601,2.5462887,0.2652235,-2.601326,5.228106,1.0630603,-2.6886427,0.18528259,-2.4262393,-3.984904,-0.096685514,0.57504123,-0.51030135,-0.33318692,-0.02546522,-0.6084117,0.4737289,-0.7491195,0.17888328,0.22291115,0.67647314,-0.66156155,0.012880005,1.2096994,-0.27588394,-0.54623216,1.8006637,0.5437364,1.0609983,0.12448867,-0.37847617,0.9700356,0.122273214,1.9234815,0.14069389,-1.8153377,-0.73995626,-0.55381596
4,4,bacterial disease,CHEMBL79,CCN(CC)CC(=O)Nc1c(C)cccc1C,-0.5660069,3.2284465,-4.0173626,-3.4272993,-1.6224928,-3.497231,-0.16107523,3.2445452,2.9278111,-1.2616447,-0.48751217,0.39150852,0.9040284,2.1848059,-2.9942896,-2.6711767,0.58422554,-0.68879175,2.1800277,-0.52229995,-2.1420317,-3.696504,0.9961577,0.6128992,-4.321156,-2.4598684,2.3592558,-1.0926704,-0.5194073,-0.6759629,0.078141876,0.8724821,0.52676487,0.95833355,-0.42189267,0.8517126,0.020762868,0.35766008,-0.86486727,1.1798463,-0.95685405,0.5073246,0.009769812,0.15504515,0.9109106,1.1597015,2.0886786,0.19911209,-0.3025924,-1.7787822,-0.89620405,0.7401396,0.9011174,0.36913612,0.32131737,1.6183599
5,5,bacterial disease,CHEMBL1200699,CC1c2cccc(O)c2C(=O)C2=C(O)C3(O)C(=O)C(C(N)=O)=C(O)C(N(C)C)C3C(O)C21.O,0.5922371,5.584555,-1.3374715,-1.4144173,8.566183,-3.0523202,-1.0387592,1.4102663,-4.5943184,0.7986596,-4.1791997,2.414382,6.1158867,8.313702,13.515143,1.6883262,2.935105,2.0410724,-0.94830614,-2.1958923,6.9982867,-2.1969686,6.7530265,-0.35806972,2.4572365,6.764359,-2.675571,9.665263,-0.42052203,-0.7879695,-0.085137986,0.4888004,1.7320371,-0.0699991,0.03559029,0.2087218,0.032332167,-0.46460342,-0.922456,0.14867249,0.12340889,1.1486715,0.631418,0.0067197783,1.0457339,-0.6564346,-0.5023305,-1.2393878,-0.13508353,-0.53427637,-0.064205505,0.6166676,0.55190825,1.1161487,0.43764982,0.70781994
6,6,bacterial disease,CHEMBL1201302,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)COP(=O)(O)O,-1.3515016,2.061723,-0.52958775,3.5664222,11.285143,1.3826859,0.21091461,-3.6024423,3.7787755,-2.0598125,0.23591043,3.929603,4.013109,3.7328427,5.309936,3.6601417,2.9744322,-1.5510505,0.11482443,-3.281733,2.4237192,1.4274585,5.833115,-0.6897355,2.6605647,4.5167727,3.5237942,6.9306383,-0.0911072,1.1462253,-0.9278159,0.25704986,-0.41630015,0.30228177,1.2347343,-0.7643574,1.1430401,-0.3721483,0.39456332,0.14902432,0.36707175,-0.020725742,-0.029940672,1.7998902,1.8007109,0.31498387,-0.013271883,2.0752037,-0.9331306,0.13460538,-0.529639,0.17106465,0.41215616,1.1384631,-0.5258816,1.3288056
7,7,bacterial disease,CHEMBL1093,CCCNC(C)C(=O)Nc1c(C)csc1C(=O)OC,-1.257075,1.5407034,-4.1164336,-2.0049338,1.6382241,-1.7854694,-0.24456683,6.3939347,0.4353867,-1.5018169,1.2188224,-0.00280042,-1.1871061,-3.2694345,0.6652858,0.3784946,-0.4070204,-0.24157333,-2.8118734,-2.026201,-2.8436909,-4.0190196,3.387119,-3.6153755,-3.7904215,-2.8667626,0.5132701,-0.8461522,-1.1114811,-0.48534575,-0.5597433,1.4194964,0.9099374,0.35108554,0.23704043,-0.8881484,0.02007347,0.56859106,-0.5061849,1.0077777,0.697162,-0.3981595,-0.15713733,0.2196604,0.14442521,0.31408244,0.42114925,0.9345887,-0.035023622,-0.9616441,-0.88316774,0.16433562,1.3219731,-1.1027604,0.4840623,1.1088713
8,8,bacterial disease,CHEMBL521,CC(C)Cc1ccc(C(C)C(=O)O)cc1,1.3787907,-2.6979744,-1.6029305,-0.15693305,5.719788,0.39786676,0.28508255,2.640706,-1.0258197,2.5082479,0.76399726,-2.4104304,0.13699012,1.0284274,-3.9383492,-2.3526495,0.5699777,-2.5161433,5.483047,-1.2734339,-2.4166667,-0.39376962,3.5572228,1.4575351,0.97193635,-5.374747,-1.2314298,2.1689825,-0.018865446,-0.1986858,-0.37119445,0.98243,1.1539098,-0.33416402,0.07227723,-0.7319919,0.7641123,0.42522475,0.75988555,0.73325455,1.1187345,1.9742134,-0.17265022,0.53176546,1.5656552,-0.47841474,-0.008373082,-0.40386018,0.22583961,-0.08472349,0.3269246,0.430865,-0.94092613,-0.7588545,-0.16478351,-0.10202178
9,9,bacterial disease,CHEMBL1737,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12.O=C(O)CC(O)(CC(=O)O)C(=O)O,1.8422893,-2.8242254,2.299956,-1.5068781,3.2048352,-3.8632727,3.70183,6.848851,1.7004241,-0.0045660883,-3.2249696,1.1237686,-1.1425219,3.4938993,2.899786,-0.54421306,-1.4042147,-6.0098734,0.7926333,-0.55290514,1.3439234,-3.253697,1.0039458,-5.2300177,-3.5324693,-1.1363568,-3.0468435,4.8679056,-0.100302935,0.17125872,-0.2322331,0.9824528,0.46041873,0.71593606,0.30183515,-0.66665155,-0.052242383,0.5305677,0.39980108,-1.5047756,0.12486162,0.76743364,0.16221544,1.0882096,1.0549208,0.50938267,-0.20810394,0.7998633,-0.010027265,0.32192755,0.18027651,0.6743318,0.790051,-0.5332101,0.5643139,0.21969318
