,Unnamed: 0,hastalik,idd,smiles,jtvae_0,jtvae_1,jtvae_2,jtvae_3,jtvae_4,jtvae_5,jtvae_6,jtvae_7,jtvae_8,jtvae_9,jtvae_10,jtvae_11,jtvae_12,jtvae_13,jtvae_14,jtvae_15,jtvae_16,jtvae_17,jtvae_18,jtvae_19,jtvae_20,jtvae_21,jtvae_22,jtvae_23,jtvae_24,jtvae_25,jtvae_26,jtvae_27,jtvae_28,jtvae_29,jtvae_30,jtvae_31,jtvae_32,jtvae_33,jtvae_34,jtvae_35,jtvae_36,jtvae_37,jtvae_38,jtvae_39,jtvae_40,jtvae_41,jtvae_42,jtvae_43,jtvae_44,jtvae_45,jtvae_46,jtvae_47,jtvae_48,jtvae_49,jtvae_50,jtvae_51,jtvae_52,jtvae_53,jtvae_54,jtvae_55
0,0,bipolar disorder,CHEMBL3187365,CN1CC2c3ccccc3Oc3ccc(Cl)cc3C2C1,-1.5203083,2.0271745,-2.5554883,1.5807986,-4.622591,1.6696845,1.5167676,0.42971408,-1.9180819,-4.8464837,1.6920418,-1.6946999,-0.58825403,3.4834483,0.652517,4.210525,3.5099728,-1.8733302,3.3059576,2.7942119,-0.26841938,1.5919029,1.2303267,1.1340108,1.0663451,3.5980816,-3.036905,2.668846,0.7436764,-0.4155583,-0.029461987,0.9104062,1.6512887,0.6584311,0.19405289,0.28773636,-1.3910152,0.623513,-0.1194033,0.145874,-1.212623,0.8895643,-0.28304622,-0.21625999,1.6908259,-1.8774736,-1.1811099,1.1530395,-0.7059378,-0.49040976,-0.9780638,-0.2989268,0.8869237,-2.3000004,-0.33454168,0.69228685
1,1,bipolar disorder,CHEMBL108,NC(=O)N1c2ccccc2C=Cc2ccccc21,-1.7311623,2.8682141,-0.9603257,-3.7787404,-5.514119,-1.1793882,-0.9199972,-3.002827,-1.3974895,-3.1099808,0.1411515,0.12168379,-1.8229753,1.5975125,1.1401099,-1.1581283,0.60927284,-2.8714478,2.1964579,1.3606741,3.3288643,0.81296504,3.0257747,1.846766,1.1755874,2.1591907,-2.7969167,1.3530879,-0.9802404,0.50615877,-0.15383473,0.40172082,-0.32742724,1.2280002,0.4331518,0.05744954,0.35559303,-0.30379814,0.6865145,0.45196256,1.074846,0.49528491,0.19706148,0.71372885,1.4925686,1.0971303,0.62227446,-0.15888968,-0.04125178,-0.96019924,0.877321,0.41400772,0.9992145,-0.39914033,-0.27623403,1.9692206
2,2,bipolar disorder,CHEMBL134,Clc1cccc(Cl)c1N=C1NCCN1,0.45009843,2.0068226,-1.428069,0.5884548,-2.764411,1.1105692,-1.9424255,-5.060313,-2.25312,-1.2650393,1.0056936,-0.9698294,-0.29397404,0.76395017,1.1869059,-0.95929927,-1.031067,5.218706,6.723775,-2.1133409,2.7648265,-0.5728302,0.2571773,-1.5973654,0.38788584,6.6334596,-1.8244507,0.7331964,-1.8662355,-1.1710771,0.123918734,1.0580136,0.42921877,0.65660894,-0.43152872,0.80634373,0.29089385,0.02056669,-1.4987798,0.61303324,0.07200449,1.1715791,0.6006634,-0.62551516,0.23510431,0.56883353,2.560429,-2.3404005,-0.965463,-1.274184,0.07164503,1.0503886,-0.15317743,1.4103682,0.5388862,0.97634745
3,3,bipolar disorder,CHEMBL1431,CN(C)C(=N)NC(=N)N,1.7658916,-0.32675093,-0.35211137,-7.697538,-2.0706518,-4.6510344,0.27253172,-4.1880584,-6.7911644,-6.0403605,0.53055763,7.1199913,3.122106,-1.9500611,1.2690738,0.06970321,-3.0831113,0.68135226,0.49339437,-1.5486231,-0.46575642,-4.833114,3.8848765,-2.9575894,0.19831635,1.9943715,-3.4296927,3.0324929,-0.3267191,0.14767453,0.4592824,-0.11171891,0.38721484,1.7664568,-0.17185022,0.7986102,-0.39695582,1.0097498,0.075734586,0.24100748,0.5707358,0.031905413,0.102189906,0.18632048,2.0067725,-1.3493282,-0.6411687,-0.020506218,-0.836599,-0.8176144,0.10561744,-0.22233778,0.12802726,-0.7067045,-1.1770977,-0.38651386
4,4,bipolar disorder,CHEMBL741,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,0.8786578,-0.40744698,-1.1661226,-1.9501616,-2.1756756,0.4422104,-2.6568115,-1.6439263,-1.8759804,-3.9204361,-0.4809413,-1.1576686,2.0584035,0.84637976,2.1351435,1.1187341,1.7430594,1.0119958,5.1140203,-0.06349803,-2.092173,-0.06149435,5.0380425,-1.679294,-6.303272,3.7568984,-3.6127038,0.10916281,-1.0033623,0.11903205,-0.16681322,0.28773826,0.8806249,2.0487177,-0.6788141,1.5875775,1.0417455,0.7162218,-0.18208574,-0.46045014,1.1066993,-0.35336208,-1.8953797,0.18898837,0.64514816,-0.49436638,-0.48602998,-1.6715168,-1.6121453,-0.44549674,1.5214937,0.19180435,-0.81693286,-0.44424716,-0.21837316,0.21124673
5,5,bipolar disorder,CHEMBL742,CNC1(c2ccccc2Cl)CCCCC1=O,-0.49229428,0.26094612,-2.57069,-0.76665586,-2.569737,0.061385654,0.16775429,0.54955786,-0.2147033,-5.6729293,2.0393305,-2.5137544,-1.9622084,-1.6550289,0.6200868,3.6624277,1.2701658,-1.2330062,0.5159953,-0.7140968,-2.059796,2.174705,3.055882,-0.5678974,0.22800851,0.4522462,-2.8685806,-2.8224008,-0.065593295,-0.18025076,-1.2858055,-0.09158982,1.0352106,1.2974064,-1.6905845,-0.40289414,-0.3774925,0.4055258,0.06088125,-0.018730037,-0.29581517,-0.58125776,1.3559093,-0.2508894,0.7821462,1.2941812,0.26835585,-1.3168216,-2.1872005,-0.22954676,-0.43107554,-0.31560007,0.39074457,0.8903552,2.2306736,0.25166008
6,6,bipolar disorder,CHEMBL932,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1,-4.904656,-0.024231896,10.089705,-1.5825646,4.1528583,-5.3861356,-2.3881922,2.0993598,0.0730789,-4.5789847,-1.7032728,3.4056594,0.8081629,6.1343193,-4.578588,4.359224,-6.551812,5.852788,-6.411366,1.1004255,-1.3914292,-3.1458187,6.2473397,2.2331548,1.4824853,11.686047,0.04535032,2.896329,-0.14582595,-0.10684905,-0.47623062,-0.018003702,1.1395392,0.5088287,0.34948298,-0.3147625,0.6404721,-0.3074702,-0.058314655,-0.6314502,-0.66346526,0.7283602,-0.22129446,0.5226654,0.85857236,-0.18151817,-0.39457798,-0.6326544,-0.021483323,-0.0460923,0.4261537,0.035024345,1.0048803,-0.14512277,0.39059827,0.41537857
7,7,bipolar disorder,CHEMBL1068,NC(=O)N1c2ccccc2CC(=O)c2ccccc21,-3.6556053,3.4041083,-0.64341056,-3.131978,-5.975823,-2.0683548,-0.19175458,-2.2495956,-2.1221316,-1.7556771,-1.532336,-0.6191749,0.4973271,-0.17006908,2.1124542,-1.1582325,2.2122698,-3.2563486,1.8689284,0.71029955,3.0348785,2.3378558,4.3826547,1.8902957,-0.504936,3.7921739,1.4619855,1.2984321,-0.73575974,-0.23399356,-0.17868364,-0.28876495,-0.42751393,0.7123271,-0.61377,-1.1323577,0.36015785,-0.5197688,-0.43951777,-0.007991672,0.045992427,-0.016170442,0.90677196,0.4328148,1.6266849,0.3308527,-0.019251183,1.5947278,-0.7002217,0.32402876,0.06382943,0.72478735,0.4397875,-1.7388192,-0.9840723,1.2484576
8,8,bipolar disorder,CHEMBL2024517,CN(C)C(=O)NC1CCC(CCN2CCN(c3cccc(Cl)c3Cl)CC2)CC1.Cl,0.68401515,-2.3028886,0.6110462,-3.790548,-4.327,3.2821524,-3.8321338,4.712299,2.3436701,-2.4404526,0.663206,6.6925635,3.3124926,-0.53289837,2.6102402,4.2515125,-0.24990536,1.0144411,2.000827,-0.77462286,-3.3281069,-2.2078376,-0.3190158,3.3654191,-1.0884247,4.6980057,-3.9469757,1.6103939,-0.03758464,-0.05182012,-0.1709404,0.6338448,0.7736267,0.78447455,-0.605648,0.1445882,1.5227027,-0.27812225,0.044155996,0.069190174,0.7855009,0.6949257,-1.1349716,-0.46520704,1.394794,0.37539825,-0.097321644,-0.8366729,-0.22847897,-0.38590977,0.6103519,1.5314504,-0.8351876,-0.521261,0.6188697,0.76146495
9,9,bipolar disorder,CHEMBL1201082,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1.Cl,-0.284853,-5.0585957,2.7614663,2.6328707,-0.23386823,-4.9395614,-0.71234846,0.20526649,2.191344,-3.3316135,3.035773,-4.1055226,-1.75334,1.2764958,0.087440535,2.0348988,-2.8276684,-1.9005828,1.2209681,4.3162985,-3.0403657,-4.484956,7.003225,0.96168286,-2.3474526,-1.0961609,-2.7097363,-4.25677,-0.06095883,-0.012270045,-0.05070547,0.8150662,0.54390824,0.113647655,0.47116116,-0.5221444,0.325505,0.44491625,0.16931333,0.7350048,0.75275403,1.4258512,-0.10596854,0.27665144,1.1266986,-0.3497635,0.31464767,-0.22992817,-0.1622241,-0.081004895,0.30321726,0.50026983,-0.23522826,-0.7456846,0.05961723,-0.27424517
