,Unnamed: 0,hastalik,idd,smiles,jtvae_0,jtvae_1,jtvae_2,jtvae_3,jtvae_4,jtvae_5,jtvae_6,jtvae_7,jtvae_8,jtvae_9,jtvae_10,jtvae_11,jtvae_12,jtvae_13,jtvae_14,jtvae_15,jtvae_16,jtvae_17,jtvae_18,jtvae_19,jtvae_20,jtvae_21,jtvae_22,jtvae_23,jtvae_24,jtvae_25,jtvae_26,jtvae_27,jtvae_28,jtvae_29,jtvae_30,jtvae_31,jtvae_32,jtvae_33,jtvae_34,jtvae_35,jtvae_36,jtvae_37,jtvae_38,jtvae_39,jtvae_40,jtvae_41,jtvae_42,jtvae_43,jtvae_44,jtvae_45,jtvae_46,jtvae_47,jtvae_48,jtvae_49,jtvae_50,jtvae_51,jtvae_52,jtvae_53,jtvae_54,jtvae_55
0,0,breast cancer,CHEMBL1201752,CC(=Cc1csc(C)n1)C1CC2OC2(C)CCCC(C)C(O)C(C)C(=O)C(C)(C)C(O)CC(=O)N1,-3.808428,5.4945273,-7.209748,-4.6020536,6.3332696,-1.934992,-0.40101752,-0.63445,1.9630457,5.949959,5.1098785,-0.46805006,8.854532,6.1967397,2.4743545,-1.953803,3.2112737,-5.579032,1.7343639,-0.3050267,3.6209226,-1.4602493,8.245014,-4.200502,0.74285567,5.0334616,1.2906348,6.7959976,0.47061133,-0.2778497,0.49304998,-1.306851,-0.26355603,0.20031084,0.8495558,-1.1191165,0.40239787,-0.9069856,-0.032874454,-0.53685516,-0.6925314,0.43642336,-0.35400957,-0.20725136,2.1196842,-0.37151095,0.6222935,-0.31123817,-0.5667601,-0.84821403,-0.03788998,1.0873128,1.194632,-0.2589323,0.3157199,-0.7505467
1,1,breast cancer,CHEMBL1637,Cl.Nc1ccn(C2OC(CO)C(O)C2(F)F)c(=O)n1,-3.7140522,0.15956318,-1.5351883,0.5491182,-1.4432553,-0.72487885,1.4960122,-1.690715,-3.9544709,-3.0408125,2.518744,2.337449,2.2630982,7.1378922,3.0096643,5.078614,3.1388094,-2.9654033,-3.8805664,3.179088,2.053827,-3.4474254,5.2353163,0.8050817,-3.7358053,4.0845113,0.16620904,0.02193579,-0.31208336,0.212886,0.017259799,0.37854394,-0.030444562,0.91478443,0.4668803,0.2291829,0.24808124,-0.42181167,-0.26320934,-1.0054646,-0.64108217,1.3160201,0.22560802,0.5646902,1.8074179,0.05490998,0.46550518,-1.1354052,0.946792,-0.479353,0.06444491,0.3218691,0.90950745,-0.18903582,-0.0060605914,-0.07065801
2,2,breast cancer,CHEMBL53463,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3OC1CC(N)C(O)C(C)O1,-2.5293174,3.1930053,0.07237898,-1.7687807,8.158602,-4.878851,2.6270952,-0.07632284,-3.6389134,1.3133931,-0.28549248,2.1379294,2.0797884,6.3584356,16.648624,2.1301756,3.6581054,-0.4592836,0.493858,1.3583727,8.496842,-2.7169971,3.4820745,2.9340208,5.2598543,5.9196773,-0.3259471,4.2936916,0.17350309,-0.65524024,-0.032062925,0.11672711,1.166051,-0.34365487,0.2925122,-0.018868502,0.17510581,-0.5196186,-1.220491,-0.9649565,-0.53296065,1.5373231,0.3109597,-1.1562458,1.1791439,-1.8775128,-0.5684937,-0.23607194,0.7426456,0.05862125,-0.39590654,1.7338622,0.93518513,0.51393926,0.7764142,0.24107543
3,3,breast cancer,CHEMBL553025,CCC1=CC2CN(C1)Cc1c([nH]c3ccccc13)C(C(=O)OC)(c1cc3c(cc1OC)N(C)C1C(O)(C(=O)OC)C(OC(C)=O)C4(CC)C=CCN5CCC31C54)C2,2.612076,0.30934834,3.2184064,0.37352154,13.782637,-4.872644,3.5872002,2.239026,5.0247736,0.51032287,0.6020809,8.024433,-2.5707724,3.2223804,9.416069,4.2326827,-5.1816216,-2.5353854,-2.4284685,3.7883856,-0.91517645,4.381008,8.927483,0.056853477,3.8984237,0.3893206,-4.824892,8.775755,0.34209484,-0.5208703,0.30134952,1.0836354,0.0218876,0.12286845,-0.20758702,0.99413294,-0.673276,-0.41990682,0.87303025,-0.11236601,0.22424817,0.042467967,1.18596,0.7111476,1.101381,-0.43323767,0.6178026,-0.45203447,0.26105598,-0.3688065,0.44590494,1.0456812,0.69349366,-1.2369084,0.51715606,0.5132064
4,4,breast cancer,CHEMBL428647,CC(=O)OC1C(=O)C2(C)C(O)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C2(O)CC(OC(=O)C(O)C(NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C,-7.150333,9.9965925,2.994817,1.408019,13.310491,-6.6096997,-1.7898257,-4.140256,0.21136841,8.896896,3.8296936,5.547561,1.1800364,-0.6271957,15.647297,-2.3967786,-2.7895973,-3.4981065,-2.2362256,-0.44236606,0.9812164,-0.06545253,14.690649,3.1606846,8.765574,4.6137977,0.10865659,7.8827963,0.5680017,0.13897103,0.0011871085,0.47079152,0.24527319,-0.023256004,0.37557548,0.026606461,0.64769655,-0.036702886,0.15288931,0.07197416,-0.0745267,0.24286596,-0.030681185,0.69784373,1.4346685,0.26265723,0.11011207,0.30285943,-0.6291737,-0.072356895,-0.34509006,0.48908556,0.7091514,0.54029703,0.047485672,0.56603295
5,5,breast cancer,CHEMBL92,CC(=O)OC12COC1CC(O)C1(C)C(=O)C(O)C3=C(C)C(OC(=O)C(O)C(NC(=O)OC(C)(C)C)c4ccccc4)CC(O)(C(OC(=O)c4ccccc4)C21)C3(C)C,-4.8127728,7.7749124,-0.2151672,-0.9855166,14.428181,-6.2907553,-3.8059907,-3.6481395,2.0131323,7.1117196,4.989245,7.70707,3.6680183,0.5313916,15.776283,-0.29857698,1.0712684,-4.0241327,-0.93512654,1.5362818,1.0091797,-1.769364,12.461505,2.8900785,6.939343,3.9664912,0.47500962,8.080043,0.6350753,0.2284851,-0.019545227,0.46980757,0.254271,0.15632838,0.39760876,-0.18702999,0.60015285,-0.06979437,-0.12561382,0.29468197,-0.03572526,0.24491864,-0.007845845,0.4975263,1.3788022,0.30001065,-0.071089506,0.46249652,-0.7997659,0.04207761,-0.36503306,0.54983616,0.9562039,0.48150197,-0.09056284,0.38491789
6,6,breast cancer,CHEMBL786,CCC(=C(c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1.O=C(O)CC(O)(CC(=O)O)C(=O)O,-3.1998816,-1.3902049,3.6443288,-3.1401393,3.795488,-0.98319507,0.43814668,1.24096,2.9167652,-1.7078264,-1.5593275,-1.9740479,0.9602581,2.4709852,-1.4508708,-3.5840464,-1.8846225,1.5779749,0.4829458,1.7613344,-1.4790376,-1.3158594,1.6176496,-0.35854757,7.63143,-5.278234,-5.034258,3.4421582,-0.15096693,0.15922838,-0.41558146,0.4455663,0.43098578,0.45335576,0.24352251,-0.27034,0.064210914,0.40546697,0.070392646,0.3680698,0.262365,0.6703469,0.19130749,0.45029423,1.0764735,-0.29575473,-0.0023810714,0.08775468,-0.07908425,-0.376908,0.37223917,0.3885156,0.028757527,-0.42298153,-0.11795498,-0.009939969
7,7,breast cancer,CHEMBL2396661,Cc1nc(NC(=O)N2CCCC2C(N)=O)sc1-c1ccnc(C(C)(C)C(F)(F)F)c1,-2.3257756,-3.9072115,-6.7458773,4.415395,4.848088,2.2417674,-3.1816597,1.1423653,0.029752493,2.1789458,0.3526665,6.7950926,3.872318,-0.75853544,1.1987364,1.6201994,1.4536182,-3.559858,-2.9951925,2.4646482,-2.8176541,-2.5353856,2.8698587,-0.29887283,-2.8933065,0.7552451,-3.4995651,3.886562,-0.40064335,0.71661085,-0.33876655,-0.6939575,0.7077592,0.2233406,-0.1632428,-1.1027281,0.6760693,-1.1542815,-1.2134496,0.010867484,0.001398392,-0.14476644,0.3142509,-0.637141,1.2889404,-0.74677974,0.26370728,0.40412325,0.22491068,-0.30881223,-0.11017891,-0.59287214,0.7864083,-0.31642082,-0.61080855,0.5594856
8,8,breast cancer,CHEMBL3545252,CC(=O)OC12COC1CC(O)C1(C)C(=O)C(O)C3=C(C)C(OC(=O)C(O)C(NC(=O)OC(C)(C)C)c4ccccc4)CC(O)(C(OC(=O)c4ccccc4)C21)C3(C)C.O.O.O,-4.8127728,7.7749124,-0.2151672,-0.9855166,14.428181,-6.2907553,-3.8059907,-3.6481395,2.0131323,7.1117196,4.989245,7.70707,3.6680183,0.5313916,15.776283,-0.29857698,1.0712684,-4.0241327,-0.93512654,1.5362818,1.0091797,-1.769364,12.461505,2.8900785,6.939343,3.9664912,0.47500962,8.080043,0.5976464,0.25004083,-0.05491037,0.4530018,0.32452023,0.15125513,0.36060703,-0.23940186,0.7022669,-0.122307315,-0.17098083,0.29498172,-0.08492756,0.1974868,0.024995808,0.48490226,1.3326733,0.32391083,-0.07689558,0.52780783,-0.75954044,0.079841755,-0.32361314,0.5518366,0.9605046,0.39077246,-0.06764534,0.3986649
9,9,breast cancer,CHEMBL3137320,Cn1ncnc1C1c2n[nH]c(=O)c3cc(F)cc(c23)NC1c1ccc(F)cc1,0.035784274,-5.3477902,-0.6928923,1.5135812,0.3507825,-1.1129713,0.44556347,-2.4613562,1.1140411,-0.041890696,1.9924535,1.3301013,-2.6491487,5.0504923,0.60919493,-2.1553128,1.9930826,-3.0556517,-1.6938338,4.6672935,-2.983967,1.4552828,3.8425734,-2.0997474,-2.3926623,1.3637718,-5.50012,-0.007931799,-0.9086836,-0.2801977,0.32198775,0.033336565,0.45895305,0.19900075,0.7076315,-0.5830371,0.14011353,-0.13331147,-0.633545,0.3575522,1.2029883,1.0590646,0.40904295,0.29706573,0.39233267,-0.073887184,-0.58660525,-0.8481297,0.05121676,0.703303,-0.46804714,1.7005799,1.2353941,-0.45272502,-0.7544467,0.7640487
