,Unnamed: 0,hastalik,idd,smiles,jtvae_0,jtvae_1,jtvae_2,jtvae_3,jtvae_4,jtvae_5,jtvae_6,jtvae_7,jtvae_8,jtvae_9,jtvae_10,jtvae_11,jtvae_12,jtvae_13,jtvae_14,jtvae_15,jtvae_16,jtvae_17,jtvae_18,jtvae_19,jtvae_20,jtvae_21,jtvae_22,jtvae_23,jtvae_24,jtvae_25,jtvae_26,jtvae_27,jtvae_28,jtvae_29,jtvae_30,jtvae_31,jtvae_32,jtvae_33,jtvae_34,jtvae_35,jtvae_36,jtvae_37,jtvae_38,jtvae_39,jtvae_40,jtvae_41,jtvae_42,jtvae_43,jtvae_44,jtvae_45,jtvae_46,jtvae_47,jtvae_48,jtvae_49,jtvae_50,jtvae_51,jtvae_52,jtvae_53,jtvae_54,jtvae_55
0,0,cardiomyopathy,CHEMBL723,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,0.49939117,3.6987445,7.5375824,0.78565794,3.8901622,-3.667153,3.2652779,0.35424626,2.2377775,-0.34893864,-1.3450661,-0.9061343,-1.0086365,3.1544795,3.2932107,1.8755738,1.6356266,3.07165,-1.2841184,2.7770905,-1.1870552,-4.6019874,-4.060897,5.5866013,1.3701863,2.4653902,2.392531,-5.5436583,-0.35567874,-1.0528812,0.12364326,-0.3853163,1.0140498,1.0704691,-0.33298656,0.40639174,-0.39040744,-0.21667558,-0.40192136,-0.12036825,-0.2442239,0.30659115,0.47583252,-0.7474499,0.932528,-0.04909135,-0.6066896,0.1545259,-0.06754069,0.34972668,-0.645437,1.1336939,0.6558658,0.30634603,0.53061014,1.1514179
1,1,cardiomyopathy,CHEMBL838,CCOC(=O)C(CCc1ccccc1)NC1CCc2ccccc2N(CC(=O)O)C1=O,-5.1452413,1.2375548,3.0042965,0.1818614,0.21556367,-4.2540693,-2.2204,5.339553,1.7495142,5.0315557,-2.5130184,-2.0426993,2.5485125,0.54517794,1.7290236,3.1132374,-0.8868634,2.741686,0.57918733,-0.70051175,-0.35177267,-1.521731,5.120957,2.1171954,3.7439954,0.47911316,3.3516834,2.0301301,-0.5045553,-0.080386005,-0.37283248,0.7585583,0.620855,0.623768,-0.30954793,-0.16466737,-0.079575635,-0.46190923,0.18698795,-0.10293277,0.735135,0.08903851,0.16686147,0.423144,1.2260731,0.6567637,0.1460788,-0.24564603,-0.13730142,-0.5453093,-0.42021435,0.46244377,0.677415,-0.4530403,-0.0055042193,0.31590283
2,2,cardiomyopathy,CHEMBL1200561,COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC.CS(=O)(=O)O,2.1519935,0.11005245,0.024564251,1.2162831,3.1604893,-5.5913024,-3.056227,0.9135106,-0.48796588,-1.0711544,-4.044024,2.710424,-3.2923253,2.7462652,2.022229,1.3804044,-0.72895426,1.9409295,-4.3442316,2.3577304,-0.20190038,2.9798303,-1.4334235,-0.5688777,1.360894,9.790485,1.5321051,1.5540322,0.55762434,0.067652024,-0.31897444,0.17808022,0.10922752,0.020211354,0.43660012,0.039375834,0.0039706007,-0.46489096,0.30016625,-0.5136316,-0.43373996,0.49858767,0.8666984,0.13822661,2.389565,0.021496326,0.5885603,-0.08916553,0.23311312,-0.4047821,-0.2931333,0.31007063,-0.028757513,0.37678346,0.6132929,-0.17984617
3,3,cardiomyopathy,CHEMBL13,COCCc1ccc(OCC(O)CNC(C)C)cc1,1.6252601,-1.613338,4.330817,-0.36917883,6.300173,-6.1741724,-1.8997123,1.9303356,-0.28949195,-0.3308921,-0.46532768,-2.9612978,2.4849262,1.1768464,1.0548608,4.235008,0.48841292,2.2107713,1.9510756,1.7916855,-1.3083723,-4.84171,-0.42400593,0.7332243,2.9212875,-1.8691796,-0.2945041,-2.7373486,-0.4904828,-0.016296208,-0.21624584,0.9298793,1.1307943,0.38508978,0.5254897,-0.8588445,0.31268796,0.85767573,0.46091703,0.68959343,0.5733749,1.1736753,-0.09242346,0.4286703,1.7178764,-0.77169645,0.0016519651,-0.2941834,0.043641023,-0.22595885,0.2679354,0.20220205,-0.5424459,-0.7475629,-0.07288536,-0.22575355
4,4,cardiomyopathy,CHEMBL635,CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,2.8286889,1.6994758,-0.94880176,0.43813914,4.980709,-1.0404078,-2.2851255,-2.8906832,2.5527005,3.237648,-0.015127763,3.4175642,-2.2038693,1.8968036,4.5808363,4.28027,4.542518,-3.1738675,-2.4924366,-1.4320114,4.0908356,0.72246706,4.8787465,0.14041309,5.106479,1.0846128,3.0822105,5.8411827,-0.11975068,0.99691373,-0.77919644,0.18459912,-0.36632332,0.1461204,1.4382267,-1.3091757,1.7747949,-0.8911125,0.32713673,0.53602153,1.0611675,0.26941508,0.58779496,2.1086946,1.60857,0.109237455,0.065457284,2.4127235,-1.1821116,0.21012214,-0.27387258,-0.10123524,0.28085762,0.74712944,-0.67959356,1.6891528
5,5,cardiomyopathy,CHEMBL2103837,O=C(O)c1ccc2nc(-c3cc(Cl)cc(Cl)c3)oc2c1,0.23253693,-1.1697543,0.6148336,-2.7039928,-0.5499513,4.001583,-0.39800307,-1.141897,-1.0127904,-0.6580383,2.0873275,-0.69659865,-0.41637844,2.7579947,4.7478023,-1.6260523,-1.3625983,-2.8910413,5.1818414,-0.93491036,-1.2556347,1.1639066,-0.0447717,1.4609885,4.7039437,0.95256245,-2.4641557,-1.8287369,0.19773617,-1.5667096,-0.21342054,1.27268,-0.58672845,0.26076835,-1.0502613,-0.5565823,-0.6350667,0.019401204,1.7797453,0.3390439,0.35688907,0.9886499,-0.4400527,1.6390431,2.0549736,0.070524395,-0.50709337,1.6148182,0.73378336,-1.1391606,0.22995177,1.0287951,0.16006248,0.6211339,-0.29794168,-0.073312014
6,6,cardiomyopathy,CHEMBL2107355,Cl.OCC1NCC(O)C(O)C1O,1.6036941,1.9164091,0.64831483,-2.0243988,2.3514884,-2.151928,-1.9491446,-1.095039,-4.8942814,-4.459156,-0.80380255,-5.4213123,2.9284692,6.844237,1.3627717,3.9697492,0.12382217,-0.6022508,-0.7272566,0.85524553,0.066724226,0.9298551,5.498978,1.3196055,0.18581995,2.4568777,2.2319288,3.1476026,-0.45890918,0.66264594,-1.8633399,0.31881678,1.6275871,-1.0741742,0.15498309,-0.992823,1.8314475,-1.2515473,0.7398099,-0.14525983,0.022887401,0.6301797,0.26516986,0.5527486,1.0500873,1.7691764,-0.21078809,-0.116283186,-0.9325325,0.2781485,0.03202591,1.3313211,0.8253327,-1.3628771,2.108961,-0.27575916
7,7,cardiomyopathy,CHEMBL468,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,-2.2715132,1.2801702,-3.6791704,0.9997476,-5.292047,-1.7311213,-2.6370616,-0.85159856,-1.1312573,0.95337343,0.5712313,-2.4822865,-2.98821,2.334128,3.7835703,0.72918683,3.9862,-0.93166494,-3.9002156,-2.6803687,2.227805,3.973837,1.5894811,3.2977104,0.32136232,1.9492961,6.930539,4.3678055,0.51475984,-0.39436314,-1.1527076,0.9737517,0.81577337,1.0669574,2.0717447,0.6314489,-0.5077594,0.330528,-0.23156185,-1.0794326,1.3150758,0.40242565,-0.82811445,0.65794337,1.1083107,0.2770075,-1.0966483,-0.13708842,-0.9331642,-1.3873,-0.7421576,0.5166942,0.6310657,-0.8750315,0.7581229,-0.36373952
8,8,cardiomyopathy,CHEMBL393220,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CCC(O)CC(O)CC(=O)[O-].CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CCC(O)CC(O)CC(=O)[O-].[Ca+2],-5.7425027,-2.3142636,6.5010414,2.3546836,6.687161,-0.050150923,-0.41046616,2.9804347,-0.9864279,9.993825,0.8033509,1.2014894,3.7696905,1.6242352,1.6459643,0.25792232,-2.6392267,-1.271784,1.7149926,1.6224663,-5.2392483,-4.3037724,10.527414,2.9556277,1.2813498,3.345921,-4.1272736,8.183068,-0.14566205,0.17166364,0.06644859,-0.25042593,0.6623262,0.34091368,1.1299866,-0.52106774,-0.14342135,-0.33552605,-0.040595207,0.20226237,0.36542284,0.004289195,0.24808615,0.056371186,0.8250005,-0.23850048,-0.1964867,-0.10497103,0.18312976,-0.049322747,-0.19205436,0.0576109,0.61268604,-0.56795216,-0.120972574,0.3180684
9,9,cardiomyopathy,CHEMBL957,COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO,-5.793541,-1.0554819,4.8185964,0.7905379,7.117076,-5.5716777,-1.797521,-1.3357602,1.0529933,-0.6816819,-2.0604677,-2.4852793,0.26955128,0.2844552,4.8778663,1.3988795,0.017716423,-5.626561,-0.1899561,5.8841968,-0.8014652,-4.724747,-2.3189044,1.4183681,4.790155,8.236103,-0.2782179,4.528282,-0.10232574,-0.66431755,-0.53366387,0.37871063,0.60023075,0.1885932,0.34304827,-0.034291398,0.058708213,0.24572773,0.9541049,-0.5154835,0.19541901,1.0838455,-0.6053818,-0.021192532,0.93575466,0.6866591,0.0026118904,0.39442337,0.024481142,0.6967023,-0.10627458,1.3282862,0.2464074,0.42792872,0.9613806,0.46504804
