,Unnamed: 0,hastalik,idd,smiles,jtvae_0,jtvae_1,jtvae_2,jtvae_3,jtvae_4,jtvae_5,jtvae_6,jtvae_7,jtvae_8,jtvae_9,jtvae_10,jtvae_11,jtvae_12,jtvae_13,jtvae_14,jtvae_15,jtvae_16,jtvae_17,jtvae_18,jtvae_19,jtvae_20,jtvae_21,jtvae_22,jtvae_23,jtvae_24,jtvae_25,jtvae_26,jtvae_27,jtvae_28,jtvae_29,jtvae_30,jtvae_31,jtvae_32,jtvae_33,jtvae_34,jtvae_35,jtvae_36,jtvae_37,jtvae_38,jtvae_39,jtvae_40,jtvae_41,jtvae_42,jtvae_43,jtvae_44,jtvae_45,jtvae_46,jtvae_47,jtvae_48,jtvae_49,jtvae_50,jtvae_51,jtvae_52,jtvae_53,jtvae_54,jtvae_55
0,0,chronic obstructive pulmonary disease,CHEMBL1042,C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)C,6.357811,-0.64743936,-0.61802864,-7.033458,6.415,3.9039457,-8.845913,-1.4782172,6.2936535,6.855023,3.8469737,1.2451856,5.4213037,-0.8180765,2.9476788,5.237821,1.8818046,-1.0095304,-0.30820966,3.6090722,2.2466664,-4.0402284,-1.9779601,-0.4258458,6.352307,3.2332067,-1.6911623,5.751381,0.4033338,0.21811846,-0.002511032,0.7847012,1.2725784,1.0953755,0.26396874,0.4187714,0.57376105,-0.098823085,0.16174178,-0.04564338,0.97993076,-0.38511115,0.30868077,0.45122796,1.4784802,0.47557917,-0.7587655,1.0445881,-0.8166964,0.353757,-0.107013844,-0.1855725,0.972114,0.009277597,0.032716192,0.48028898
1,1,chronic obstructive pulmonary disease,CHEMBL1473,CCC(=O)OC1(C(=O)SCF)C(C)CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,-5.094681,0.41346383,-3.5366237,0.29791045,8.93774,1.0104918,-0.21817866,-1.7857438,6.9602075,-1.030984,-1.3323858,3.803802,4.0609064,3.1614382,7.151043,4.268342,-4.6035466,-3.0906243,-2.6085217,-4.5353136,6.863242,-0.09770875,3.5442505,-3.6178212,3.2000508,2.4740186,3.4756525,1.8207262,-0.2876348,1.1002791,-1.0133944,0.6073044,-0.32127282,0.48519313,1.0690869,-0.83683294,0.66689295,0.11850378,0.0920602,0.101087555,0.030339167,-0.053144813,0.29596877,1.6527497,1.5418054,0.025678553,0.29309595,2.3685858,-0.5713554,0.092986606,-0.52851653,-0.11838582,0.45553082,0.9069836,-0.8090312,1.3876885
2,2,chronic obstructive pulmonary disease,CHEMBL27810,CCN(CC)C(=O)Nc1ccc(OCC(O)CNC(C)(C)C)c(C(C)=O)c1,-3.527025,2.029859,-0.5645741,-4.8113914,4.9064765,-4.9538393,0.40294173,1.882362,3.2760413,-2.4309099,0.61717874,4.547787,2.6018298,-0.25313315,2.6244187,1.5176312,-0.5366994,-2.4738493,0.17789857,0.8407593,-3.9000852,-7.586265,0.9396563,2.723596,-0.7980015,-0.796023,-0.4008519,2.2021353,-0.04069723,0.5270604,-0.50403523,-0.06767695,0.7315136,0.6545223,0.49181333,-0.5885645,-0.07935243,-0.1388367,0.48092496,-0.770093,-0.1135171,0.014726579,0.52386516,0.0753313,1.9242958,-0.8993266,0.5966575,-0.34008792,-0.34843892,-0.77794814,0.3375931,-0.39014617,0.10096193,-0.87841344,-0.1648435,-0.08562568
3,3,chronic obstructive pulmonary disease,CHEMBL1256786,COc1ccc(CC(C)NCC(O)c2ccc(O)c(NC=O)c2)cc1,-0.5309081,-1.4553057,3.0661068,0.39588392,5.6233187,-3.2010808,1.2910419,4.038063,-0.03481424,0.4736367,0.26617157,-2.5104547,3.0635667,0.28571293,1.4944685,-0.26152852,1.5711359,2.9015884,0.56104314,-0.8601788,-1.9346997,-4.8699756,1.2730548,3.3744066,0.013902001,1.4431782,-2.3017178,-3.2165484,-0.109675124,0.55103254,0.38232487,0.8030925,0.30191198,0.3306082,0.69643927,-0.6875363,-0.54896885,0.5254444,-0.22045456,-0.26675057,0.9378189,1.4271288,0.027281865,-0.6066969,1.2119436,0.9647935,0.64877653,-0.8438793,0.5802334,0.43210632,-0.43721917,0.97671676,0.2951725,-1.0508522,-0.4294714,-0.56856513
4,4,chronic obstructive pulmonary disease,CHEMBL193240,O=C(Nc1c(Cl)cncc1Cl)c1ccc(OC(F)F)c(OCC2CC2)c1,-4.4538245,1.2111148,5.2595606,3.898782,-0.2062332,2.8077946,-1.2758557,-1.3304759,0.4985359,-1.9058975,1.0834327,2.834947,5.0754905,1.9750882,9.187866,0.0994378,0.65568095,0.21544826,2.2930427,1.9552028,-1.4168468,1.6541901,2.6530304,-0.15084913,0.48150373,2.3260126,-0.9534486,-2.2337415,0.1965913,-0.03243391,-0.7733576,1.2839383,0.32038558,0.18655173,-1.4043498,-0.24648635,0.26034683,0.2808168,-0.5232751,0.81430185,-0.2807554,1.127616,-0.1492672,-0.27372319,1.0486557,1.4450189,1.482616,0.40629238,-0.37310487,0.32028404,-0.52255636,2.4139526,-0.15486513,-1.4647954,0.3013605,1.302636
5,5,chronic obstructive pulmonary disease,CHEMBL1082607,O=C(O)c1ccc2ccccc2c1O.OCc1cc(C(O)CNCCCCCCOCCCCc2ccccc2)ccc1O,0.5071529,1.394032,-1.6251771,-2.9928758,0.41962945,-0.1830352,0.4267995,-2.2497904,-2.6414044,-0.7637883,-0.393507,-2.1718085,2.194381,3.3577752,1.3224297,-1.9275362,-1.154105,-1.7219477,1.3550006,-3.0270877,4.164918,1.9787303,1.1055899,3.6747534,2.6844494,1.4265103,1.2936313,-2.1704054,0.023716139,0.35277608,-0.10509044,0.33194035,0.7630012,0.37231255,0.38542965,-0.07258566,-0.2808586,-0.010941613,0.4458485,-0.2694665,0.44054925,0.77986044,0.37565184,-0.09930288,1.189864,0.3764231,0.47085202,-1.1418253,-0.10412445,-0.30139577,0.4972773,0.81461847,0.517347,-0.6987704,0.06508458,0.049160436
6,6,chronic obstructive pulmonary disease,CHEMBL1200699,CC1c2cccc(O)c2C(=O)C2=C(O)C3(O)C(=O)C(C(N)=O)=C(O)C(N(C)C)C3C(O)C21.O,0.5922371,5.584555,-1.3374715,-1.4144173,8.566183,-3.0523202,-1.0387592,1.4102663,-4.5943184,0.7986596,-4.1791997,2.414382,6.1158867,8.313702,13.515143,1.6883262,2.935105,2.0410724,-0.94830614,-2.1958923,6.9982867,-2.1969686,6.7530265,-0.35806972,2.4572365,6.764359,-2.675571,9.665263,-0.42052203,-0.7879695,-0.085137986,0.4888004,1.7320371,-0.0699991,0.03559029,0.2087218,0.032332167,-0.46460342,-0.922456,0.14867249,0.12340889,1.1486715,0.631418,0.0067197783,1.0457339,-0.6564346,-0.5023305,-1.2393878,-0.13508353,-0.53427637,-0.064205505,0.6166676,0.55190825,1.1161487,0.43764982,0.70781994
7,7,chronic obstructive pulmonary disease,CHEMBL1431,CN(C)C(=N)NC(=N)N,1.7658916,-0.32675093,-0.35211137,-7.697538,-2.0706518,-4.6510344,0.27253172,-4.1880584,-6.7911644,-6.0403605,0.53055763,7.1199913,3.122106,-1.9500611,1.2690738,0.06970321,-3.0831113,0.68135226,0.49339437,-1.5486231,-0.46575642,-4.833114,3.8848765,-2.9575894,0.19831635,1.9943715,-3.4296927,3.0324929,-0.3267191,0.14767453,0.4592824,-0.11171891,0.38721484,1.7664568,-0.17185022,0.7986102,-0.39695582,1.0097498,0.075734586,0.24100748,0.5707358,0.031905413,0.102189906,0.18632048,2.0067725,-1.3493282,-0.6411687,-0.020506218,-0.836599,-0.8176144,0.10561744,-0.22233778,0.12802726,-0.7067045,-1.1770977,-0.38651386
8,8,chronic obstructive pulmonary disease,CHEMBL1441059,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1.CC(C)(C)NCC(O)c1ccc(O)c(CO)c1.O=S(=O)(O)O,-1.3855853,4.0804315,0.3098506,-3.2760484,5.401233,1.1957927,-1.1091621,2.7482965,-1.3938129,-2.5607347,-1.340184,-0.47524375,2.318868,1.1493516,0.49240977,-0.49516657,-2.991274,-2.3018568,2.9293487,0.06258955,-0.82417023,-5.7342734,4.20111,3.593563,-3.189175,-1.02127,-0.03898289,0.5957085,0.16071175,0.4038621,0.6437716,-0.46368742,-0.01924643,0.48898602,0.6644947,-0.5858748,-0.8973231,0.3702984,0.21033534,-1.23554,0.18182275,0.4523214,0.87833995,-0.28107136,1.8931315,0.55641884,0.9914578,-0.6190104,-0.21824926,-0.041698825,0.007714547,0.34535125,0.70278364,-1.4598424,-0.2638653,-0.761778
9,9,chronic obstructive pulmonary disease,CHEMBL1676,CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(OC(=O)c1ccco1)C(=O)SCF,-2.3285027,2.7798219,-0.6035869,5.456449,10.424904,3.2320092,0.56165314,-3.7745118,2.5508728,-0.21300538,1.0393077,4.0077624,2.3846362,3.0444632,8.28528,2.8712676,0.1570922,-3.5214767,-4.375898,-5.5078597,1.9189421,1.0491816,6.5360637,-3.9335034,3.7037094,5.843825,1.313329,5.6758795,-0.6210956,0.94806194,-0.9571468,0.7077181,-0.3870748,0.6033685,1.0100702,-0.8906523,0.5853341,0.23098457,0.052164745,0.020684041,-0.02217947,0.0021110177,0.3667844,1.2639748,1.6448262,0.09248739,0.16959636,2.0999491,-0.7606573,0.09877878,-0.51216114,-0.23138115,0.52413166,0.7950535,-0.7306748,1.2010001
