,Unnamed: 0,hastalik,idd,smiles,jtvae_0,jtvae_1,jtvae_2,jtvae_3,jtvae_4,jtvae_5,jtvae_6,jtvae_7,jtvae_8,jtvae_9,jtvae_10,jtvae_11,jtvae_12,jtvae_13,jtvae_14,jtvae_15,jtvae_16,jtvae_17,jtvae_18,jtvae_19,jtvae_20,jtvae_21,jtvae_22,jtvae_23,jtvae_24,jtvae_25,jtvae_26,jtvae_27,jtvae_28,jtvae_29,jtvae_30,jtvae_31,jtvae_32,jtvae_33,jtvae_34,jtvae_35,jtvae_36,jtvae_37,jtvae_38,jtvae_39,jtvae_40,jtvae_41,jtvae_42,jtvae_43,jtvae_44,jtvae_45,jtvae_46,jtvae_47,jtvae_48,jtvae_49,jtvae_50,jtvae_51,jtvae_52,jtvae_53,jtvae_54,jtvae_55
0,0,cirrhosis of liver,CHEMBL526,CC(C)c1cccc(C(C)C)c1O,-0.5840869,1.7442225,-3.193424,-1.3907892,5.0964656,0.51224947,-0.023437597,0.55863166,-2.0249195,-0.8801885,-0.06360446,-2.500775,2.718654,1.6566089,-2.1653042,-2.858353,0.24254827,-3.4897316,5.624126,-0.857919,-0.18315558,-0.71516937,1.7731736,0.7976596,0.25998026,-3.7287364,-2.1695094,2.9421594,-0.5602234,-0.30510873,-0.4967798,1.8235697,2.0095148,0.90374285,-1.1717533,1.2267004,0.15693054,-2.3715026,0.39865774,-0.21285704,0.9462515,-1.0065458,-0.23462152,0.71521527,-0.38285133,-0.3541681,-0.2109739,-2.9962084,-0.17941156,-1.9887964,2.554703,0.27296746,1.2239746,-1.0360143,-0.49292457,0.74241054
1,1,cirrhosis of liver,CHEMBL1218,CCC(=O)NCCC1CCc2ccc3c(c21)CCO3,4.7233176,2.5728137,-0.5645335,1.7255684,-1.7129923,2.8288271,0.6117058,5.1388683,6.3357143,0.6807102,-2.4903538,-0.65419877,0.61810875,1.2977332,-1.0216228,3.0367537,-3.183616,1.3170248,1.597158,-0.62583405,3.2203293,-2.664662,0.25017446,1.5947212,-0.35609305,-3.2848659,0.04948423,-0.523443,-0.77958757,-0.5487803,1.1115676,0.35977545,1.0403156,0.52391756,0.73325676,-0.2152601,0.51257443,0.23663984,-0.61956966,1.1793487,0.5998125,0.33828774,0.4747861,-0.1347349,1.0841967,-0.3262828,-0.47617108,0.042755164,-0.27561042,-0.07968182,0.40326944,1.3786746,0.32336476,-1.3324101,0.48724067,0.3598868
2,2,cirrhosis of liver,CHEMBL278020,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1,1.4906548,1.2904388,-0.16635677,-5.4775143,-0.45947772,-2.8908055,1.6736678,-1.5811404,-2.6817944,-6.610388,-0.1921056,2.8315668,3.1721115,-0.9651465,5.009685,-2.1450765,0.3089052,-1.3478436,-0.99794555,1.095623,-0.4298042,-0.8984338,1.5921531,-0.5453727,-0.41647965,-1.132526,2.2707257,1.9322333,0.9526075,0.9465694,-0.037923656,1.1492758,0.15550926,0.37910628,0.15826656,0.08975114,1.0997682,-0.73225087,-1.2236041,-0.36792794,-0.31095636,-1.1456299,0.26248553,-0.41890365,1.5727428,-0.9350122,-0.48262435,-0.49154735,0.04972712,-0.8515868,0.27719945,0.19104128,1.1858436,1.2286714,-0.9856878,-0.4713435
3,3,cirrhosis of liver,CHEMBL723,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,0.49939117,3.6987445,7.5375824,0.78565794,3.8901622,-3.667153,3.2652779,0.35424626,2.2377775,-0.34893864,-1.3450661,-0.9061343,-1.0086365,3.1544795,3.2932107,1.8755738,1.6356266,3.07165,-1.2841184,2.7770905,-1.1870552,-4.6019874,-4.060897,5.5866013,1.3701863,2.4653902,2.392531,-5.5436583,-0.35567874,-1.0528812,0.12364326,-0.3853163,1.0140498,1.0704691,-0.33298656,0.40639174,-0.39040744,-0.21667558,-0.40192136,-0.12036825,-0.2442239,0.30659115,0.47583252,-0.7474499,0.932528,-0.04909135,-0.6066896,0.1545259,-0.06754069,0.34972668,-0.645437,1.1336939,0.6558658,0.30634603,0.53061014,1.1514179
4,4,cirrhosis of liver,CHEMBL27,CC(C)NCC(O)COc1cccc2ccccc12,-0.0003375709,3.944845,4.614239,-1.9998991,3.198092,-0.5313757,0.061022095,1.412187,0.5966886,-3.8062837,-0.75821775,1.784019,0.3214904,0.9529541,-2.235395,2.2501853,-1.8652623,-1.3788769,-0.722276,-3.1133268,0.024480663,-2.272098,3.1960182,2.3503664,-0.78380525,-0.444238,2.4643579,-1.7069354,-0.8507404,-0.46457976,0.0029061139,0.022126377,1.3495966,1.1933358,-0.2167405,0.20576915,0.07590181,0.27022123,0.087176874,-0.36775032,0.25126815,0.80620176,-0.01648736,-0.64400136,1.1316636,-0.51673615,-0.7065417,-0.11037553,0.03183717,0.15842322,0.0079148635,1.0121486,0.81626874,-0.57511675,0.14025044,1.2021438
5,5,cirrhosis of liver,CHEMBL35,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,-0.43750182,-0.90768754,2.216479,-2.938699,0.6576295,1.3111131,0.048310302,-2.1893291,-2.7013743,1.0138538,-2.0554488,0.9567315,3.0452192,0.3562077,4.994829,-1.4383831,3.7339678,-0.2583013,2.2097142,-1.8209689,1.3802379,-2.7711797,5.6513944,-0.04927219,-0.04341588,5.996204,-3.5996766,-0.29830593,-0.8442711,0.6901137,0.15601856,0.67323774,-0.49239334,-0.27001148,0.6059449,0.6505394,-0.58433396,0.79810387,0.36494544,-0.6911493,0.08829739,-0.5301559,1.5488465,-0.6173956,2.575575,-0.7090952,0.8836861,-0.11573654,0.34135535,-0.23439288,-0.22895887,0.34840906,-0.023927972,0.023010373,-0.28897777,0.22589043
6,6,cirrhosis of liver,CHEMBL655,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,-2.1747289,-0.28024536,-1.3644934,0.7400006,-1.2080595,5.2108493,0.05334451,-1.371513,0.45260778,0.17528142,-3.006847,-1.2292411,-2.618975,4.507475,0.11549051,-1.0607742,1.2831873,-4.9557037,0.24493475,2.7691946,-1.0080467,0.6459992,2.4390047,-1.2431847,-3.4056687,2.6406722,-2.969304,0.33395243,-0.55810374,-1.0541042,-1.127165,0.1493825,0.94580555,2.00492,-0.39113554,-1.0125978,-0.8016689,0.7252003,-0.008419822,-0.6555009,0.7367419,0.84797245,1.1833894,-0.31596404,0.91582525,0.21575418,-1.0887731,-0.41604313,-2.5491474,-0.8439688,0.18165344,-1.6197083,0.4936543,-1.7559761,1.1347239,0.14537412
7,7,cirrhosis of liver,CHEMBL1551,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,3.02736,-1.1307527,2.8063319,-1.4169645,7.3215365,0.06792886,-1.269371,5.704278,4.2652583,-1.3510783,1.7462586,1.3474438,5.3727775,3.5491366,-0.45604086,4.148461,1.7185925,-4.2229137,3.2890363,-2.3020477,7.0706015,-1.5926774,8.2411175,1.2871838,1.8477979,-3.6556182,0.5009578,3.368371,0.53059846,0.15636075,-0.6026914,0.42554635,0.22521423,0.54819727,0.8058175,0.1367154,1.4206146,-0.13072088,-0.86821616,-0.100141056,0.8084198,0.092232205,0.4219438,1.1556503,2.1642084,0.3475847,-0.8221877,0.69383967,-1.0804935,-0.05791015,-0.96508354,1.1473823,0.21549681,0.68632424,0.01700394,0.4418498
8,8,cirrhosis of liver,CHEMBL1680,CC(O)C(CO)NC(=O)C1CSSCC(NC(=O)C(N)Cc2ccccc2)C(=O)NC(Cc2ccccc2)C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)NC(CCCCN)C(=O)NC(C(C)O)C(=O)N1,-9.077129,-3.076383,6.5002656,-4.0124574,5.278831,-6.070751,-1.1468639,7.7252607,4.6862845,16.267061,0.75512636,3.812704,8.595534,-0.5543262,10.445359,6.1895585,-4.2730503,-3.371259,-3.071261,-1.0351583,0.41658837,-1.6585954,13.71185,2.5754051,4.28766,6.9467797,-3.4837527,9.663089,0.5039116,-0.23277935,-0.52521515,1.1236553,0.73714685,0.45502976,0.60377175,0.22526263,0.30782673,-0.5177888,0.440055,-0.51402664,1.0843083,0.47580707,-0.34655192,0.58082306,1.2248482,-0.3774143,-0.25193417,-0.31843683,-0.5353019,-0.51054424,-0.85915506,1.1319168,0.505455,-0.108987875,0.79771477,0.2828526
9,9,cirrhosis of liver,CHEMBL596,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,-3.9574573,-0.2737431,0.8965746,-2.864452,-2.5825605,0.46569967,-0.95101964,1.3709642,3.2507694,-0.96066374,-4.472932,-0.7316142,-1.2232169,1.9918703,-1.8070298,1.1660744,-4.346406,5.520277,-1.1603212,0.74358094,-1.3715962,-0.37927663,0.41959864,3.7143571,2.0217013,-2.1599634,-0.72812456,6.0482626,0.18615119,-0.12037689,0.4763643,0.5737903,0.365722,0.38185456,-0.26471367,0.23537579,1.2923381,-0.3830971,-0.29148045,0.21019521,-0.1199406,0.15596461,0.35893306,-0.044599697,1.667381,0.38044617,0.117301285,-0.22437,0.4524159,-0.7127852,0.26041862,0.53106904,-0.5165014,-0.40493473,-0.12038611,0.59104395
