,Unnamed: 0,hastalik,idd,smiles,jtvae_0,jtvae_1,jtvae_2,jtvae_3,jtvae_4,jtvae_5,jtvae_6,jtvae_7,jtvae_8,jtvae_9,jtvae_10,jtvae_11,jtvae_12,jtvae_13,jtvae_14,jtvae_15,jtvae_16,jtvae_17,jtvae_18,jtvae_19,jtvae_20,jtvae_21,jtvae_22,jtvae_23,jtvae_24,jtvae_25,jtvae_26,jtvae_27,jtvae_28,jtvae_29,jtvae_30,jtvae_31,jtvae_32,jtvae_33,jtvae_34,jtvae_35,jtvae_36,jtvae_37,jtvae_38,jtvae_39,jtvae_40,jtvae_41,jtvae_42,jtvae_43,jtvae_44,jtvae_45,jtvae_46,jtvae_47,jtvae_48,jtvae_49,jtvae_50,jtvae_51,jtvae_52,jtvae_53,jtvae_54,jtvae_55
0,0,diabetic nephropathy,CHEMBL25,CC(=O)Oc1ccccc1C(=O)O,0.16630496,1.0300512,-2.1481736,-1.2480403,0.99128294,-1.0670382,1.1721059,-1.856572,-3.0284464,0.98122907,-1.8046672,-2.8756137,0.3298769,1.6138283,2.94803,-0.81093633,0.4237463,-2.2006989,1.2399665,-1.8110745,0.71574324,0.21668983,0.8629846,2.4752524,2.9842262,-4.101698,1.9266654,-0.30993855,-0.56522447,-0.9051214,-1.0878135,-1.7878975,0.82454276,1.4205828,0.053362086,0.9117067,-0.694504,0.1257072,0.59646,-0.7819822,-0.970477,-1.46482,1.6163347,-0.3882348,0.8519429,-0.3888942,-0.36960095,0.28091326,0.061290376,0.24971426,-0.6224736,0.34346503,-0.58567315,-0.37414274,1.1227521,1.7437087
1,1,diabetic nephropathy,CHEMBL1393,CC(=O)SC1CC2=CC(=O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12,4.464014,3.622815,-3.5957158,-1.8053668,5.573746,4.661652,-0.86015403,2.6849217,3.5618742,2.3911045,0.3029511,3.0559978,0.37752324,1.629397,3.6835525,0.19862725,2.2149837,-3.6764257,-1.5404083,-3.6730855,5.732312,0.37899464,2.0078225,-0.09319929,3.4170768,4.2198615,1.5262117,1.5381458,0.28441256,0.17553777,-0.62851465,-0.24904694,-0.41289386,1.4667389,1.2292775,-0.8696617,2.3068655,-0.3305882,-0.5771842,0.2603021,1.0189549,0.20600915,-0.37228078,0.6809125,2.0110915,1.1845081,-0.84883875,1.4547536,-1.4687923,0.46501702,0.1331285,0.41286314,0.100960076,0.52524793,-0.6403058,0.35397705
2,2,diabetic nephropathy,CHEMBL628,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,2.4145794,-0.69473684,1.7279376,-2.1630754,-1.7809689,-5.3797503,0.02614402,5.353056,0.42012653,7.732565,-0.90350175,2.8875647,4.9094086,5.7273626,-1.194131,-0.53642875,-1.6020423,0.18237013,4.9439344,-5.808844,5.545474,-2.8807726,0.93700236,-3.2657707,-5.488517,-0.43408313,2.5740995,0.45233667,-1.2594855,0.025077721,-1.3609898,0.9771254,2.5634303,0.90305537,-1.4174504,0.7288003,0.33221662,0.5188478,-0.48467335,-0.15058038,-0.5326898,0.5539496,-0.6163535,1.1525569,1.2315936,1.0879416,-0.9556528,0.6376996,-0.057837673,0.86163354,0.49757907,0.79032016,0.8155725,0.28886774,-0.69153076,0.86747444
3,3,diabetic nephropathy,CHEMBL134,Clc1cccc(Cl)c1N=C1NCCN1,0.45009843,2.0068226,-1.428069,0.5884548,-2.764411,1.1105692,-1.9424255,-5.060313,-2.25312,-1.2650393,1.0056936,-0.9698294,-0.29397404,0.76395017,1.1869059,-0.95929927,-1.031067,5.218706,6.723775,-2.1133409,2.7648265,-0.5728302,0.2571773,-1.5973654,0.38788584,6.6334596,-1.8244507,0.7331964,-1.8662355,-1.1710771,0.123918734,1.0580136,0.42921877,0.65660894,-0.43152872,0.80634373,0.29089385,0.02056669,-1.4987798,0.61303324,0.07200449,1.1715791,0.6006634,-0.62551516,0.23510431,0.56883353,2.560429,-2.3404005,-0.965463,-1.274184,0.07164503,1.0503886,-0.15317743,1.4103682,0.5388862,0.97634745
4,4,diabetic nephropathy,CHEMBL1064,CCC(C)(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,0.71927893,0.66522694,-1.7119013,-4.4181323,8.865918,4.9532824,-0.8705925,8.887474,0.7308661,5.449336,-3.856968,2.0382662,1.4358516,3.703878,1.4915618,5.5603123,-2.1190279,-3.4117079,1.8804464,-0.76026136,1.7255683,-4.391056,3.0681658,0.41004094,0.73476636,-0.2829965,3.5194883,7.425473,-0.5193617,0.23270431,-0.45478737,0.5833313,0.030842543,0.46613038,0.97787017,-0.5764996,0.525733,0.038855094,-0.47799033,-0.3955172,0.6008939,1.0335132,-0.1710296,1.269641,0.2068516,-2.1886494,-0.12523736,0.6291694,0.3042781,-0.069210544,-0.1953476,1.2218274,1.7538447,0.48006794,-0.7811804,1.8550409
5,5,diabetic nephropathy,CHEMBL846,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)CC1O,7.218947,0.43696666,-1.4150937,-7.4095416,8.310756,3.5217083,-7.9014273,-1.2134048,6.7709875,6.002004,3.3894827,1.9995766,6.900334,1.4797904,5.0357594,5.253682,1.0987811,-1.6276146,0.23489378,3.3479252,2.4191535,-5.2301245,-0.58097994,1.1007825,5.0375323,5.3612423,-1.4539223,5.335252,0.15659432,-0.2877459,0.23777911,0.51144236,1.1126578,0.91301465,-0.27924848,-0.42822897,0.1559145,-0.335651,-0.2055149,0.19716254,1.1699662,-0.39100343,0.051850032,0.52292997,1.4659481,-0.03962156,-1.1929716,0.9535042,-0.53520423,0.55307513,-0.23143712,0.64962506,1.0175864,0.27506465,-0.24000233,0.82580173
6,6,diabetic nephropathy,CHEMBL1014,CCOc1nc2cccc(C(=O)OC(C)OC(=O)OC3CCCCC3)c2n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,0.05621603,-0.7243078,5.523609,-0.28674987,3.4257777,-3.8166192,-0.240239,0.65656465,3.3107908,3.223704,0.4275241,-1.5149502,-6.614027,3.1394594,3.3386064,-1.4270937,1.646952,-4.495945,-1.9649364,6.557145,-8.541858,-2.9551654,2.2080958,3.068765,1.9847553,-0.6721291,0.16143948,2.2531126,-0.46012613,-0.6034009,0.7226788,0.2035,0.74855024,0.76384914,0.7836976,0.0944176,-0.4152705,-0.17891268,0.052496567,0.3383467,0.50661004,-0.19841768,0.30281055,-0.11118622,1.0592787,-0.95498097,-0.36492187,-0.06982269,-0.53811115,0.042551585,0.16254506,0.23274729,0.59194726,-0.33390424,0.20780125,0.49299672
7,7,diabetic nephropathy,CHEMBL414357,CCC(C)C(NC(=O)C(Cc1ccccc1)NC(=O)C(CC(C)C)NC(=O)C(CCCNC(=N)N)NC(=O)C(NC(=O)C(C)NC(=O)C(CCC(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C(CCSC)NC(=O)C(CCC(N)=O)NC(=O)C(CCCCN)NC(=O)C(CO)NC(=O)C(CC(C)C)NC(=O)C(CC(=O)O)NC(=O)C(CO)NC(=O)C(NC(=O)C(Cc1ccccc1)NC(=O)C(NC(=O)CNC(=O)C(CCC(=O)O)NC(=O)CNC(=O)C(N)Cc1cnc[nH]1)C(C)O)C(C)O)C(C)C)C(=O)NC(CCC(=O)O)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CC(C)C)C(=O)NC(CCCCN)C(=O)NC(CC(N)=O)C(=O)NCC(=O)NCC(=O)N1CCCC1C(=O)NC(CO)C(=O)NC(CO)C(=O)NCC(=O)NC(C)C(=O)N1CCCC1C(=O)N1CCCC1C(=O)N1CCCC1C(=O)NC(CO)C(N)=O,-16.541204,-12.129229,24.320162,-10.944808,35.477257,-40.76664,-4.883127,23.512363,37.106525,100.33864,6.267606,46.136543,26.56298,-14.093327,63.72761,24.423384,-20.431257,4.5300226,-1.4496453,-13.755659,-2.4724402,-31.55808,67.747986,11.950507,0.14385866,19.391962,-10.832609,42.524582,-0.45800212,0.35767612,-0.7654404,0.5050152,1.0575814,1.1115294,0.288975,-0.31684846,0.22225711,0.006947983,0.043371964,-0.20491326,0.37261063,0.19294852,0.029608734,0.18208447,0.97684944,-0.23966819,-0.39008486,0.4830295,-0.32140416,-0.30732226,-0.118180014,0.50358945,0.63321936,-0.5240587,0.31234694,0.19353479
8,8,diabetic nephropathy,CHEMBL191,CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,-1.5244704,-1.7651345,5.11317,2.9089797,1.3929867,-0.3324527,-3.9969378,5.9978685,1.7983214,4.522236,-3.8760765,-7.2749014,-0.068801746,5.0361743,-0.42099303,0.13480867,-0.9655649,-1.4150635,3.4427185,5.057479,-1.6717163,-6.4908843,2.6526957,-4.672993,-4.1114626,0.9151598,-1.7047307,2.9539566,-1.0572982,-0.48352757,-0.6892871,-0.19038196,0.4017983,1.2289168,-0.0072255637,-0.9841596,-0.004020255,0.13184246,0.009930906,0.31902704,0.8432623,0.16369525,1.0702405,-0.060894784,0.9311249,-0.97568756,-0.4889056,0.46517226,-0.83774817,0.28678426,-0.5688976,-0.5943364,-0.7407927,-1.1599362,-0.08251571,1.0216787
9,9,diabetic nephropathy,CHEMBL1726,COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)C1c1ccccc1[N+](=O)[O-],0.084754586,0.66779083,-2.5859835,-4.1780305,5.8479095,-2.7008784,1.0091144,1.2249172,0.1173487,7.377993,3.1240852,1.0180805,3.3398423,0.4555299,3.0261261,-2.1092122,-0.11251138,-3.0190535,0.53698033,2.9185672,-1.7852491,-0.14046052,4.6404314,0.14624783,1.606561,0.9551157,5.9971356,1.9484799,-0.72580326,-0.56766224,0.038208835,-0.14542486,0.7170874,1.5357075,0.0790163,0.88890964,-1.5962408,-0.2972446,0.17230533,0.16577223,0.48521733,-0.6696034,0.43521458,-0.6120773,0.7085842,-0.16308483,-0.16496353,0.3970613,-1.1109247,0.12630829,-0.3225428,0.061742023,-0.6479626,-0.7038162,-0.5237929,0.305388
