,Unnamed: 0,hastalik,idd,smiles,jtvae_0,jtvae_1,jtvae_2,jtvae_3,jtvae_4,jtvae_5,jtvae_6,jtvae_7,jtvae_8,jtvae_9,jtvae_10,jtvae_11,jtvae_12,jtvae_13,jtvae_14,jtvae_15,jtvae_16,jtvae_17,jtvae_18,jtvae_19,jtvae_20,jtvae_21,jtvae_22,jtvae_23,jtvae_24,jtvae_25,jtvae_26,jtvae_27,jtvae_28,jtvae_29,jtvae_30,jtvae_31,jtvae_32,jtvae_33,jtvae_34,jtvae_35,jtvae_36,jtvae_37,jtvae_38,jtvae_39,jtvae_40,jtvae_41,jtvae_42,jtvae_43,jtvae_44,jtvae_45,jtvae_46,jtvae_47,jtvae_48,jtvae_49,jtvae_50,jtvae_51,jtvae_52,jtvae_53,jtvae_54,jtvae_55
0,0,diabetic neuropathy,CHEMBL1200503,CC(C)CC1C(=O)N2CCCC2C2(O)OC(NC(=O)C3C=C4c5cccc6[nH]c(Br)c(c56)CC4N(C)C3)(C(C)C)C(=O)N12.CS(=O)(=O)O,-0.10424104,1.0343959,-0.62916756,-1.3487896,6.424072,-4.6602736,-2.9131947,4.8051524,2.68838,2.1114202,4.194522,11.399382,0.94274294,2.6228278,5.013929,3.7804847,-1.3978753,1.0336466,3.6823275,-2.1674247,2.3672616,2.9575238,6.7457347,-1.4138808,1.6026099,1.9152082,0.23740381,8.675695,0.47888082,0.22550052,0.4202122,0.6159624,0.7615733,-0.2591039,0.61858857,0.3481446,-1.1328099,0.2654507,0.25348905,-0.46771142,0.5760063,0.75091964,0.1384246,0.030786451,1.4580841,-0.8062848,-0.20733042,-0.4556914,-0.09729196,-0.070103146,-0.389619,1.1690516,1.4528338,0.02241715,0.55940455,0.5572835
1,1,diabetic neuropathy,CHEMBL79,CCN(CC)CC(=O)Nc1c(C)cccc1C,-0.5660069,3.2284465,-4.0173626,-3.4272993,-1.6224928,-3.497231,-0.16107523,3.2445452,2.9278111,-1.2616447,-0.48751217,0.39150852,0.9040284,2.1848059,-2.9942896,-2.6711767,0.58422554,-0.68879175,2.1800277,-0.52229995,-2.1420317,-3.696504,0.9961577,0.6128992,-4.321156,-2.4598684,2.3592558,-1.0926704,-0.5194073,-0.6759629,0.078141876,0.8724821,0.52676487,0.95833355,-0.42189267,0.8517126,0.020762868,0.35766008,-0.86486727,1.1798463,-0.95685405,0.5073246,0.009769812,0.15504515,0.9109106,1.1597015,2.0886786,0.19911209,-0.3025924,-1.7787822,-0.89620405,0.7401396,0.9011174,0.36913612,0.32131737,1.6183599
2,2,diabetic neuropathy,CHEMBL1200328,CNCCC(Oc1cccc2ccccc12)c1cccs1.Cl,1.8831543,-1.1346239,4.215464,-1.6906927,-0.9551681,-3.0097356,-1.0343932,2.4386911,1.498386,-3.2521186,2.2972586,-2.478349,-2.6200788,1.5775862,-2.0446696,4.3726487,-0.8089626,0.4186368,-1.5542215,0.5418308,0.9736886,-0.67300004,5.78257,-2.6987858,-1.003414,1.3582197,-1.674874,-4.3638077,-1.2867825,-0.73711056,-0.24036166,0.23221049,1.0172055,1.1045406,-0.34100518,-0.13531046,0.18454981,0.3596426,0.110547066,-0.5709573,0.37541968,0.96386415,0.32970294,-1.138124,1.0118926,-0.38272014,-1.0465306,-0.6420305,-0.4592389,0.45572877,0.03529755,0.8763261,1.0742368,-0.44485757,0.2162683,0.76407444
3,3,diabetic neuropathy,CHEMBL493,CC(C)CC1C(=O)N2CCCC2C2(O)OC(NC(=O)C3C=C4c5cccc6[nH]c(Br)c(c56)CC4N(C)C3)(C(C)C)C(=O)N12,0.07870987,0.82820904,-0.28108683,-1.0564349,6.5425906,-4.1590962,-2.51596,4.602597,3.0707383,2.1142898,4.5019455,12.34147,0.12356727,2.6153045,4.8614383,3.8626304,-1.0209104,1.3146019,3.724556,-1.7083689,2.1499903,2.905149,6.3537602,-1.2695537,1.7790291,1.3812999,-0.23225182,9.130799,0.63156766,0.24617761,0.28914398,0.7904073,0.80494213,-0.24741396,0.7245545,0.41759557,-1.353759,0.20209156,0.28194568,-0.5004092,0.7193123,0.8304337,-0.15238193,-0.10678763,1.4075643,-0.8875666,-0.12905802,-0.6265344,-0.22126186,-0.21186441,-0.12987265,1.5148468,1.4087629,0.13630214,0.530412,0.64905113
4,4,diabetic neuropathy,CHEMBL294199,COc1cc(CNC(=O)CCCCC=CC(C)C)ccc1O,1.2717042,-1.6488065,3.5105722,-3.9575846,2.6780965,-0.89918435,-0.08383749,0.18569858,4.5217605,7.2574406,3.4164953,-3.4670029,4.8094726,-1.8977396,0.28330177,7.3611097,-2.17286,1.4611907,2.7702448,-0.46868798,-2.2022502,-6.684651,-2.8002088,2.5334995,-1.7628564,2.7122192,0.48261887,1.4657274,0.2194523,0.4991822,-0.7214057,-0.3945306,0.6674769,0.124036714,0.75528604,-0.55176616,-0.06938895,-0.24352624,0.20911543,-1.1562595,-0.031666152,0.30784643,0.20444465,-0.052919056,1.8998966,0.3486021,0.45093244,-0.6963508,-0.10413244,-0.21803686,-0.23769382,0.9145665,0.6619596,-1.3370045,-0.6936748,-0.8097451
5,5,diabetic neuropathy,CHEMBL1175,CNCCC(Oc1cccc2ccccc12)c1cccs1,1.8831543,-1.1346239,4.215464,-1.6906927,-0.9551681,-3.0097356,-1.0343932,2.4386911,1.498386,-3.2521186,2.2972586,-2.478349,-2.6200788,1.5775862,-2.0446696,4.3726487,-0.8089626,0.4186368,-1.5542215,0.5418308,0.9736886,-0.67300004,5.78257,-2.6987858,-1.003414,1.3582197,-1.674874,-4.3638077,-1.2895288,-0.7293023,-0.24812347,0.2665084,1.0074309,1.1192728,-0.30935147,-0.10982789,0.14030397,0.37428463,0.1364079,-0.65622777,0.3444755,0.9661066,0.34618148,-1.1623832,0.97445655,-0.4732186,-1.1230329,-0.56697565,-0.45336765,0.4945274,0.016299732,0.87217855,1.0079968,-0.50346935,0.188737,0.7956945
6,6,diabetic neuropathy,CHEMBL1059,CC(C)CC(CN)CC(=O)O,-0.3420414,-1.6161752,0.11031827,-2.6982467,4.250591,0.8027114,1.0501181,2.6549191,-1.6051599,2.989046,-0.64316416,-0.103024855,4.0442696,0.44739655,-4.9445553,1.7912052,-0.5974087,-0.16279194,3.312255,-3.4015112,-0.16343392,-1.1500095,6.9363465,1.2885013,-0.7013503,-5.1765504,-0.4837498,1.5807536,0.022473471,0.3221907,-0.5530619,0.22378913,1.1346053,0.98745906,0.15059672,0.5373254,0.7610868,0.39858386,0.61089003,-0.35957852,0.3319582,0.38340735,0.57394576,0.40170848,1.5726191,-0.42216522,-0.35495794,0.09395113,0.20008034,-0.10771487,0.11794255,0.44746193,0.2420157,-0.68120193,-0.14274183,0.13347694
7,7,diabetic neuropathy,CHEMBL940,NCC1(CC(=O)O)CCCCC1,2.3922281,-2.2924771,-0.42871293,-2.9721396,-0.4523527,-2.4277706,2.6613152,0.0274017,-0.68873847,-1.8409132,1.1578978,-1.9909632,1.4970456,1.9340695,-2.4400406,6.015807,1.4341787,-0.25813302,0.20549287,-0.8794163,1.0292547,0.53263736,8.064494,0.065816246,1.9180671,-3.9235291,-2.3060095,-2.5753596,0.24036856,-0.45585293,-0.5366007,0.37289786,0.85488415,1.0357825,-0.20969848,0.16194874,-0.2668297,0.5875207,0.38277483,0.2908658,0.29901135,0.17282233,0.09858607,0.06360339,1.3262283,0.16003472,-0.33508217,-0.4780596,-0.5595368,-0.098133154,0.44404367,-0.01376158,0.83505964,-0.16127697,-0.11379852,-0.57791674
8,8,diabetic neuropathy,CHEMBL112,CC(=O)Nc1ccc(O)cc1,-0.7130991,3.5547688,-2.189852,-2.5957115,-1.2106632,-0.74815404,-0.031337686,-1.8462358,-3.033496,-2.1320763,-0.8442875,-1.6034187,0.58025587,1.1177254,1.370674,-0.7857965,-1.9395419,-0.13632283,1.2990943,-1.6766235,2.2057111,-1.4214715,-0.56582457,2.035881,-0.46854272,-2.0007277,0.096411094,-0.27674007,-0.14473727,0.8128929,0.8525981,0.052915394,0.26916403,1.6208473,2.2021084,-1.1135801,-0.91823137,0.59167904,-0.55020064,0.49406624,0.8304262,1.5039438,-0.26952484,1.3672605,1.0995041,-0.89557296,0.31585222,-0.13685825,-1.1927376,-0.5330924,0.043597557,-0.8071518,-0.39552802,-2.6155908,-1.1971258,-1.2663597
9,9,diabetic neuropathy,CHEMBL192,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12,1.8422893,-2.8242254,2.299956,-1.5068781,3.2048352,-3.8632727,3.70183,6.848851,1.7004241,-0.0045660883,-3.2249696,1.1237686,-1.1425219,3.4938993,2.899786,-0.54421306,-1.4042147,-6.0098734,0.7926333,-0.55290514,1.3439234,-3.253697,1.0039458,-5.2300177,-3.5324693,-1.1363568,-3.0468435,4.8679056,0.029270442,0.062422417,-0.013046183,1.2966629,0.546292,0.6094847,0.37644684,-1.0087442,-0.016096309,0.5259232,0.567234,-1.8637575,0.0204316,0.9773847,-0.018653266,1.319719,1.0151924,0.7426805,-0.19294246,0.8822845,0.017697418,0.5417007,0.14927477,0.67594516,1.00302,-0.6003227,0.8027804,0.3012276
