,Unnamed: 0,hastalik,idd,smiles,jtvae_0,jtvae_1,jtvae_2,jtvae_3,jtvae_4,jtvae_5,jtvae_6,jtvae_7,jtvae_8,jtvae_9,jtvae_10,jtvae_11,jtvae_12,jtvae_13,jtvae_14,jtvae_15,jtvae_16,jtvae_17,jtvae_18,jtvae_19,jtvae_20,jtvae_21,jtvae_22,jtvae_23,jtvae_24,jtvae_25,jtvae_26,jtvae_27,jtvae_28,jtvae_29,jtvae_30,jtvae_31,jtvae_32,jtvae_33,jtvae_34,jtvae_35,jtvae_36,jtvae_37,jtvae_38,jtvae_39,jtvae_40,jtvae_41,jtvae_42,jtvae_43,jtvae_44,jtvae_45,jtvae_46,jtvae_47,jtvae_48,jtvae_49,jtvae_50,jtvae_51,jtvae_52,jtvae_53,jtvae_54,jtvae_55
0,0,endometriosis,CHEMBL2103846,CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(c3ccc(N(C)C)cc3)CC21C,2.709059,1.0509202,-0.5400655,-2.2604995,5.023424,-0.14856291,1.5458746,5.4809456,2.6239011,0.0500703,-2.4226973,3.3059971,3.1901844,0.77146655,4.733405,-0.17048152,0.52420616,-2.6919243,2.8219478,-0.7898083,4.7839375,2.0752392,1.6078749,2.03996,6.3600965,1.278984,-2.6243353,4.7767887,0.21841422,0.68995446,0.40169376,0.8132251,0.44210467,-0.09397149,1.4487591,-1.116839,0.44057897,0.30033794,-0.10116183,0.7216193,0.70958745,0.56020373,0.52355546,0.42956805,1.5869483,-0.57301486,-0.6965045,0.7312151,-0.2981151,0.21473351,0.24934092,0.32210734,-0.14724205,-0.03598605,-0.74503857,0.48210478
1,1,endometriosis,CHEMBL1200775,CC(=O)O.CCNC(=O)C1CCCN1C(=O)C(CCCNC(=N)N)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CO)NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(Cc1c[nH]cn1)NC(=O)C1CCC(=O)N1,1.568463,2.3760898,-4.0386868,-3.1800742,-0.6613201,-0.5168565,0.5397305,-2.0918424,-4.523154,-0.23913746,-1.9244996,-2.2932677,1.0663013,2.7865202,-0.70513856,0.6012281,-1.1927632,-0.64166677,2.4123251,-1.3386607,1.8529761,1.3834182,-0.41132557,1.1531041,1.7685938,-2.0468073,2.8721695,-0.7042531,-0.18684895,0.31261352,-0.23573914,0.22663598,0.93799484,0.9621047,1.0616832,-0.7355383,0.1653299,0.026623849,-0.25131288,0.024060644,0.45694262,0.08478519,-0.106105156,0.3157523,1.1013153,-0.50134313,-0.4136008,0.66137123,-0.31923422,-0.33394727,-0.2738763,0.35567012,0.63839275,-0.8289697,0.2826416,0.19793712
2,2,endometriosis,CHEMBL1399,CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1,-4.017089,-1.191799,-1.4314753,-3.021104,5.566074,2.246656,-4.034701,2.7894502,-1.1464306,3.7638798,3.1755035,-2.6492703,5.196008,-0.6375404,-0.8632603,-6.586624,0.8791116,0.8898978,4.2270737,1.4700198,-3.9989736,0.49462155,5.04952,-1.4827137,-1.6756151,-0.14827247,-2.0814898,5.6516685,0.9432904,0.17694229,0.6597583,-0.2632308,-0.189221,-0.25086552,-0.81320894,-1.5960307,-0.5118841,1.4821881,-0.64801574,-1.2213093,-1.5312719,1.1142362,-0.48903304,0.5448954,1.4644,0.5931115,-0.36020684,-0.17652884,-0.26921228,-0.513692,0.72471803,0.68862814,1.4823122,-0.18929185,-0.8702419,-0.08818628
3,3,endometriosis,CHEMBL1389,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21CC,4.374436,-0.6047689,-1.522855,-2.3861237,2.9168906,2.1983097,-0.81946903,1.9417013,2.896706,-0.46819842,4.4364796,0.5920603,0.2116857,3.8267846,3.042147,4.526771,-1.3845297,1.0190301,1.1343166,3.0326734,6.520321,1.1494786,2.0434284,2.8021789,3.4303758,-0.4587417,-0.975445,2.8924537,0.16784315,0.68636674,-1.0000069,0.29227644,0.69207907,-0.11972663,1.0109677,-0.75310326,1.8190227,-0.77908784,0.5048108,0.35177043,1.4616495,-0.14625733,0.72070086,0.93511957,1.5351635,0.32602996,-1.2774725,0.7763197,-0.48192662,0.8709752,0.034146853,0.54149127,-0.2543739,0.5568192,-1.2337471,1.3726897
4,4,endometriosis,CHEMBL502182,COc1cccc(-c2c(C)n(Cc3c(F)cccc3C(F)(F)F)c(=O)n(CC(NCCCC(=O)[O-])c3ccccc3)c2=O)c1F.[Na+],-6.780356,-7.478415,0.339223,5.320142,3.3147433,0.7612287,0.97127104,1.3991548,6.861007,8.737672,1.5626279,-0.7481515,3.0738666,4.3018637,7.1503253,0.013728458,-4.106818,-1.0878062,0.98890036,0.44902438,-3.8249235,-7.134644,4.5533648,4.1739187,-3.9246538,8.589889,-2.084448,2.7964833,-0.5296236,-0.023750007,-0.34053335,0.53068054,1.5298995,1.0764028,-0.3152395,0.61038756,-0.48591077,0.060183603,-0.2675313,0.3807641,-0.04073681,-0.39108086,-0.44544244,-0.105310746,0.17997491,0.52172256,0.117892414,-0.9580051,-0.21665463,-0.74864423,0.6152429,0.03735058,0.9810791,0.06530984,0.5239593,0.9394957
5,5,endometriosis,CHEMBL717,CC(=O)OC1(C(C)=O)CCC2C3CC(C)C4=CC(=O)CCC4(C)C3CCC21C,-0.89436626,4.307942,-6.253105,-3.4344726,5.388587,1.2927116,1.6901147,1.6064763,5.4777684,-0.060999647,1.1469735,2.8286772,2.9311993,0.5231981,3.2460904,2.2988417,1.44991,-5.1772623,1.4512028,-1.5453459,5.274298,1.9737737,0.5283106,1.6270614,7.512546,-0.37268454,0.99095803,3.9124444,0.25071198,0.5808246,-1.35073,0.35267764,0.5337664,0.15926304,0.95105904,-0.8559029,1.767584,-0.6340068,-0.024215301,0.33820042,0.3939398,-0.14619686,0.92904335,1.4129525,2.0100894,0.7198872,-0.46162653,1.6400341,-0.8470473,0.18514705,-0.25122628,0.0097720325,0.2322003,0.56051755,-0.40916878,0.9248544
6,6,endometriosis,CHEMBL1531,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3C(=C)CC21CC,4.1186013,-0.7341762,-1.5448776,-3.9480069,2.50431,2.0418553,-2.419866,0.64853024,2.9321642,-0.9104998,6.2854614,0.712545,3.0571308,3.2032769,5.0745735,4.418262,-1.1971532,1.1052119,0.35321385,1.7588803,6.6416936,1.2421539,2.003158,0.3750404,3.7373607,-0.15564162,-1.0269706,4.0712194,0.027738402,0.71501255,-0.88757384,0.6248415,0.13586971,-0.14406413,0.89762235,-0.5662029,1.1634976,-0.41383845,0.11300901,0.37758294,0.5437778,0.008245662,0.9052983,0.90327084,1.0087068,-0.39257762,-0.772262,0.98789614,-0.7750546,0.35622862,-0.13161892,0.35945994,0.33525717,0.5740019,-0.9959153,1.0545455
7,7,endometriosis,CHEMBL1042,C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)C,6.357811,-0.64743936,-0.61802864,-7.033458,6.415,3.9039457,-8.845913,-1.4782172,6.2936535,6.855023,3.8469737,1.2451856,5.4213037,-0.8180765,2.9476788,5.237821,1.8818046,-1.0095304,-0.30820966,3.6090722,2.2466664,-4.0402284,-1.9779601,-0.4258458,6.352307,3.2332067,-1.6911623,5.751381,0.4033338,0.21811846,-0.002511032,0.7847012,1.2725784,1.0953755,0.26396874,0.4187714,0.57376105,-0.098823085,0.16174178,-0.04564338,0.97993076,-0.38511115,0.30868077,0.45122796,1.4784802,0.47557917,-0.7587655,1.0445881,-0.8166964,0.353757,-0.107013844,-0.1855725,0.972114,0.009277597,0.032716192,0.48028898
8,8,endometriosis,CHEMBL1208155,COc1cccc(-c2c(C)n(Cc3c(F)cccc3C(F)(F)F)c(=O)n(CC(NCCCC(=O)O)c3ccccc3)c2=O)c1F,-6.89324,-6.2015586,0.8077204,3.7430177,4.5552506,-0.31320342,1.3739107,0.96683794,5.989749,8.977807,0.8696319,-1.0765287,2.8309295,5.2295427,7.208992,0.4861658,-3.2473493,-0.8381941,0.8207668,0.346103,-3.6449864,-7.239051,5.304358,5.861645,-3.8488557,7.876803,-3.2278051,2.464153,-0.53274345,0.013803318,-0.37759054,0.50288165,1.5298196,1.1083537,-0.2951271,0.63555276,-0.4962933,0.08340791,-0.29060692,0.37297156,-0.08306868,-0.41612673,-0.39937118,-0.010868528,0.15657009,0.5369775,0.16374384,-0.9568459,-0.25269803,-0.755752,0.6321269,0.00073614717,0.9607183,0.07664874,0.5167853,0.9742893
9,9,endometriosis,CHEMBL1201247,CC(C)CC(NC(=O)C(COC(C)(C)C)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CO)NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(Cc1cnc[nH]1)NC(=O)C1CCC(=O)N1)C(=O)NC(CCCNC(=N)N)C(=O)N1CCCC1C(=O)NNC(N)=O,-7.853735,-5.574494,8.613719,0.45308954,11.16045,-13.292322,-0.39280626,7.3975124,9.766033,22.637438,6.166274,21.317633,5.777122,-8.108198,9.846664,3.741155,-8.812861,3.66359,-3.7934582,-2.581159,-3.066047,-8.731261,14.8843,1.5308485,5.1896157,5.8017516,-5.443619,8.168726,-0.38823116,0.30467638,-0.5159142,0.27932453,0.87071216,1.1782281,0.69840074,-0.62929773,0.17761114,0.1994509,-0.38511562,0.0074094906,0.6104345,0.20893551,-0.10804228,0.20651066,0.9596578,-0.43861893,-0.5579927,0.5282776,-0.57986975,-0.179587,-0.21443924,0.45204586,0.52017945,-0.8451853,0.062153704,0.24342237
