,Unnamed: 0,hastalik,idd,smiles,jtvae_0,jtvae_1,jtvae_2,jtvae_3,jtvae_4,jtvae_5,jtvae_6,jtvae_7,jtvae_8,jtvae_9,jtvae_10,jtvae_11,jtvae_12,jtvae_13,jtvae_14,jtvae_15,jtvae_16,jtvae_17,jtvae_18,jtvae_19,jtvae_20,jtvae_21,jtvae_22,jtvae_23,jtvae_24,jtvae_25,jtvae_26,jtvae_27,jtvae_28,jtvae_29,jtvae_30,jtvae_31,jtvae_32,jtvae_33,jtvae_34,jtvae_35,jtvae_36,jtvae_37,jtvae_38,jtvae_39,jtvae_40,jtvae_41,jtvae_42,jtvae_43,jtvae_44,jtvae_45,jtvae_46,jtvae_47,jtvae_48,jtvae_49,jtvae_50,jtvae_51,jtvae_52,jtvae_53,jtvae_54,jtvae_55
0,0,epilepsy,CHEMBL220492,CC1(C)OC2COC3(COS(N)(=O)=O)OC(C)(C)OC3C2O1,1.879282,4.2831683,0.8956636,0.7735474,4.536487,0.21620592,-2.3958797,0.12359847,-2.334089,-2.911674,-1.2984103,5.0594997,3.6203732,4.067118,-0.008248091,2.7640445,4.888502,-2.3872426,4.1727166,0.81845456,-0.8639209,1.1959344,2.1848242,1.6486061,2.163135,0.43886554,3.34671,5.3135223,-0.6240848,1.0368274,-0.763582,0.78287977,0.74532884,0.30449224,0.933149,-0.7828376,-0.18993816,0.20191972,0.14750104,-0.8224405,0.4833185,0.49394673,-0.4626595,-0.49359673,0.3596054,-0.8824977,0.13225912,1.6666154,0.6064069,0.17651734,0.014928438,-0.20349568,0.56607544,-0.31635857,0.25813526,0.7489563
1,1,epilepsy,CHEMBL108,NC(=O)N1c2ccccc2C=Cc2ccccc21,-1.7311623,2.8682141,-0.9603257,-3.7787404,-5.514119,-1.1793882,-0.9199972,-3.002827,-1.3974895,-3.1099808,0.1411515,0.12168379,-1.8229753,1.5975125,1.1401099,-1.1581283,0.60927284,-2.8714478,2.1964579,1.3606741,3.3288643,0.81296504,3.0257747,1.846766,1.1755874,2.1591907,-2.7969167,1.3530879,-0.9802404,0.50615877,-0.15383473,0.40172082,-0.32742724,1.2280002,0.4331518,0.05744954,0.35559303,-0.30379814,0.6865145,0.45196256,1.074846,0.49528491,0.19706148,0.71372885,1.4925686,1.0971303,0.62227446,-0.15888968,-0.04125178,-0.96019924,0.877321,0.41400772,0.9992145,-0.39914033,-0.27623403,1.9692206
2,2,epilepsy,CHEMBL452,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1,1.0075942,1.8069398,-0.018887967,1.7978933,-2.5854442,3.4308507,-1.4463077,-0.2229553,-0.48907852,0.54023,0.57625794,-1.4621391,-2.5526319,5.891389,0.8130271,-1.9135438,4.8304133,-1.6567893,1.6100569,-0.6952786,-0.60462826,0.7231774,2.6605546,0.060248535,0.60532653,0.47575164,0.32450682,0.63509303,-0.04478165,-0.8487918,0.6489793,0.23267125,-0.5313693,2.309886,-0.2343467,-0.52809274,-0.46651542,0.26953578,-0.058148954,-0.73275644,0.05913929,0.9055408,1.9902471,0.44568396,1.4891782,0.0065932274,-0.32596898,-0.6360507,-2.906742,-0.68083435,0.59465617,-0.5883492,0.12005992,-1.0818455,0.98778325,-0.48444334
3,3,epilepsy,CHEMBL1068,NC(=O)N1c2ccccc2CC(=O)c2ccccc21,-3.6556053,3.4041083,-0.64341056,-3.131978,-5.975823,-2.0683548,-0.19175458,-2.2495956,-2.1221316,-1.7556771,-1.532336,-0.6191749,0.4973271,-0.17006908,2.1124542,-1.1582325,2.2122698,-3.2563486,1.8689284,0.71029955,3.0348785,2.3378558,4.3826547,1.8902957,-0.504936,3.7921739,1.4619855,1.2984321,-0.73575974,-0.23399356,-0.17868364,-0.28876495,-0.42751393,0.7123271,-0.61377,-1.1323577,0.36015785,-0.5197688,-0.43951777,-0.007991672,0.045992427,-0.016170442,0.90677196,0.4328148,1.6266849,0.3308527,-0.019251183,1.5947278,-0.7002217,0.32402876,0.06382943,0.72478735,0.4397875,-1.7388192,-0.9840723,1.2484576
4,4,epilepsy,CHEMBL1201754,NC(=O)c1cn(Cc2c(F)cccc2F)nn1,-1.359755,-3.6381974,0.19651067,0.58515555,-4.4932914,-1.75638,0.96051556,-1.4634594,-1.6721278,-0.73924863,2.0480146,2.6176717,4.8681755,4.009312,-0.9781228,0.6394994,-1.6700298,-4.756135,2.131348,0.27459866,-0.32352573,1.744577,-0.171969,2.2268026,-1.7922044,-0.43574542,-3.3843658,-1.9247434,0.9309706,-0.51351833,0.41271067,0.11575621,0.85800505,0.4377293,0.25148714,-0.053049427,-1.1592624,1.547985,-0.28383186,-0.21043834,-0.96515787,0.23476343,1.071017,-0.458121,0.8088339,0.37278232,0.82806766,-1.0022894,-0.38287818,-0.04380373,-0.08290153,1.729043,0.2562287,0.5612936,1.6171665,1.4806551
5,5,epilepsy,CHEMBL58323,COCC(NC(C)=O)C(=O)NCc1ccccc1,-1.0785036,2.5112593,-1.246377,-0.7035938,-0.43644315,-5.625359,0.862103,1.7011167,-0.65694547,1.1979947,0.2792281,-2.1490147,0.9105071,-2.0325198,-1.3639114,2.7930517,-1.4671824,1.0754749,-3.770497,-1.348273,-3.511401,-0.85516095,4.5452347,0.053961303,3.8065655,1.7158718,-1.8526435,-2.995299,-0.16242991,0.14441791,-0.21993709,0.7018668,0.5830608,0.7669075,0.16120847,0.08535464,0.26890308,0.2776459,0.14179544,-0.07539428,-0.11836949,0.53647107,-0.029783688,-0.006370318,1.0810003,-0.18288389,-0.012095675,0.08659875,0.29023847,-0.11828466,-0.23295337,0.5942714,0.7002811,-0.5330181,0.24164331,0.022913307
6,6,epilepsy,CHEMBL750,N=S(=O)(O)Cc1noc2ccccc12,3.6214383,2.9421363,1.6957368,-1.2740631,-0.8673056,-0.6100353,-2.4168165,-5.158356,-1.738111,-0.6556646,-1.2311058,3.571879,-0.6757435,6.1257863,-3.9713044,0.02839877,0.5857331,-1.7766938,1.2039379,0.7103948,-0.8990486,-1.8262385,4.800142,0.113038994,3.6812756,1.9788045,0.111410625,0.9032341,0.11129828,-0.98069245,0.6489416,0.58536875,1.1411762,0.86820346,0.44913557,-0.24208711,-0.27977192,0.2899813,0.08678326,-0.33839795,0.4622205,0.21037158,0.51797456,-0.78391945,1.8214071,0.60917383,-0.6325014,0.18723634,-0.6064392,0.3367638,0.6057271,1.0685284,0.59506893,-0.38781533,0.515451,0.6092977
7,7,epilepsy,CHEMBL315985,NC(=O)N1c2ccccc2CC(O)c2ccccc21,-3.6034734,4.1353784,1.3029284,-4.1820188,-3.9774818,-2.0059516,-0.6869963,-2.2113597,-3.1442657,-3.6195476,-1.2591037,-0.29651153,1.3751097,0.5493506,2.1104283,-0.25247288,1.5460376,-2.9762442,2.6157455,2.0638504,3.0813174,0.930781,4.587037,3.0518627,-0.32343972,4.543714,1.3392103,1.381178,-0.6288053,0.10102511,0.087052725,-0.060495764,-0.11056408,0.66237557,-0.8861087,-0.63902056,0.3954882,-0.3220088,-0.25648057,0.055163868,-0.095811754,-0.26314473,0.7556182,0.17795298,2.021365,0.083211355,-0.06445688,1.0017103,-0.4649142,0.51019186,0.092357494,0.74091256,0.32021785,-0.8918407,-1.0950779,1.336101
8,8,epilepsy,CHEMBL856,CCC1(c2ccccc2)C(=O)NCNC1=O,-2.0760262,0.5665677,-2.1668932,-1.2065743,0.4665159,0.0664354,2.1928167,-0.1929973,-3.424086,0.4957112,-1.4603776,-4.1368823,-3.2450783,4.2576327,-1.8655705,0.7524005,-0.3666023,-0.4164838,-0.056093425,-3.8246589,-3.273314,3.9366875,5.2043443,-1.1363306,1.6528708,-5.1392827,0.54067236,4.8659077,-0.8694585,0.069806404,-0.9965645,0.9462583,2.0344875,0.14755765,-0.7395872,1.1500006,0.4266983,0.06645894,0.45418033,0.3283204,0.73588663,-0.42713892,0.19004068,-0.46895236,0.84543633,0.6198265,0.73760515,-3.0219026,-0.6239803,-1.0785872,1.7469102,-0.22479543,-0.17846562,-0.94898,-0.16332689,-0.08736089
9,9,epilepsy,CHEMBL940,NCC1(CC(=O)O)CCCCC1,2.3922281,-2.2924771,-0.42871293,-2.9721396,-0.4523527,-2.4277706,2.6613152,0.0274017,-0.68873847,-1.8409132,1.1578978,-1.9909632,1.4970456,1.9340695,-2.4400406,6.015807,1.4341787,-0.25813302,0.20549287,-0.8794163,1.0292547,0.53263736,8.064494,0.065816246,1.9180671,-3.9235291,-2.3060095,-2.5753596,0.24036856,-0.45585293,-0.5366007,0.37289786,0.85488415,1.0357825,-0.20969848,0.16194874,-0.2668297,0.5875207,0.38277483,0.2908658,0.29901135,0.17282233,0.09858607,0.06360339,1.3262283,0.16003472,-0.33508217,-0.4780596,-0.5595368,-0.098133154,0.44404367,-0.01376158,0.83505964,-0.16127697,-0.11379852,-0.57791674
10,10,epilepsy,CHEMBL741,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,0.8786578,-0.40744698,-1.1661226,-1.9501616,-2.1756756,0.4422104,-2.6568115,-1.6439263,-1.8759804,-3.9204361,-0.4809413,-1.1576686,2.0584035,0.84637976,2.1351435,1.1187341,1.7430594,1.0119958,5.1140203,-0.06349803,-2.092173,-0.06149435,5.0380425,-1.679294,-6.303272,3.7568984,-3.6127038,0.10916281,-1.0033623,0.11903205,-0.16681322,0.28773826,0.8806249,2.0487177,-0.6788141,1.5875775,1.0417455,0.7162218,-0.18208574,-0.46045014,1.1066993,-0.35336208,-1.8953797,0.18898837,0.64514816,-0.49436638,-0.48602998,-1.6715168,-1.6121453,-0.44549674,1.5214937,0.19180435,-0.81693286,-0.44424716,-0.21837316,0.21124673
11,11,epilepsy,CHEMBL503,CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,0.13528892,-0.2735499,-0.8308619,-4.1646366,7.0184307,4.377244,1.0075518,8.940447,0.84872806,4.5533113,-3.5613577,1.8042626,1.2949343,4.0467596,1.0631889,7.0507073,-1.0065008,-3.2140853,1.1892291,-0.45609802,2.0325353,-3.9656467,2.832754,0.2416006,2.1664767,-1.231446,3.2294512,5.9828243,-0.5624766,0.27311635,-0.4868436,0.553463,0.031425565,0.48287994,0.960813,-0.4899705,0.6021552,0.04604446,-0.45267904,-0.45058993,0.63179713,1.0872182,-0.24015808,1.4173554,0.21349743,-2.2026684,-0.24716796,0.69829714,0.23473284,0.07070527,-0.21142125,1.2829875,1.6982542,0.6277751,-0.9230547,1.9565814
12,12,epilepsy,CHEMBL1214124,N#Cc1ccccc1-c1cc(-c2ccccn2)cn(-c2ccccc2)c1=O,-5.617063,-5.891403,0.640352,-0.74465525,-0.015347555,2.432833,-2.6886196,2.638492,-1.6193768,2.4458735,1.3007638,-6.1607857,-0.96012515,2.822695,1.804519,-3.2856247,3.6940775,1.6334553,-0.39369136,1.5914142,3.063914,1.8874846,3.4737678,-0.43528193,-2.0443637,2.7186346,-3.2452207,3.063925,-0.21249066,0.20639706,0.2667583,0.8317549,0.66053945,0.7114552,0.20978819,0.8104356,-0.6553303,1.4033365,0.4709705,-0.5497679,-0.9619708,-0.77734816,-0.10467399,-0.52485144,1.0592625,-0.101353,-0.2852537,-0.34874666,-1.0402343,0.30306002,0.2662699,-0.8531674,0.19964567,-0.20772448,0.55839944,0.0908017
13,13,epilepsy,CHEMBL16,O=C1N=C(O)NC1(c1ccccc1)c1ccccc1,-4.188896,2.9498608,1.0770202,-1.3378513,0.9064616,-0.96510756,-0.24595663,-4.274588,-5.6537366,3.2133422,-1.5810384,-2.60201,-4.8013144,3.022384,-0.03711365,-1.3621238,-1.4522372,-1.1837374,0.07213156,3.2447238,-0.75667065,0.6106001,1.938282,2.7860148,2.3315864,2.7816133,3.5432808,0.49648976,-0.70907044,-0.1291942,0.16665402,-0.033849224,-0.3641952,1.2501318,-0.25331295,0.41959268,0.19684088,-0.06110147,-0.64856255,0.5011454,0.23794556,0.12461387,-0.011383414,-0.10054523,1.0098972,-1.0309693,0.37033325,-0.19908053,0.22341533,-0.3313201,-0.5301346,-0.49072114,-0.4171325,-0.11945439,-1.0780264,0.33185852
