,Unnamed: 0,hastalik,idd,smiles,jtvae_0,jtvae_1,jtvae_2,jtvae_3,jtvae_4,jtvae_5,jtvae_6,jtvae_7,jtvae_8,jtvae_9,jtvae_10,jtvae_11,jtvae_12,jtvae_13,jtvae_14,jtvae_15,jtvae_16,jtvae_17,jtvae_18,jtvae_19,jtvae_20,jtvae_21,jtvae_22,jtvae_23,jtvae_24,jtvae_25,jtvae_26,jtvae_27,jtvae_28,jtvae_29,jtvae_30,jtvae_31,jtvae_32,jtvae_33,jtvae_34,jtvae_35,jtvae_36,jtvae_37,jtvae_38,jtvae_39,jtvae_40,jtvae_41,jtvae_42,jtvae_43,jtvae_44,jtvae_45,jtvae_46,jtvae_47,jtvae_48,jtvae_49,jtvae_50,jtvae_51,jtvae_52,jtvae_53,jtvae_54,jtvae_55
0,0,erectile dysfunction,CHEMBL53,CN1CCc2cccc3c2C1Cc1ccc(O)c(O)c1-3,2.2581956,2.1345377,-1.5379055,-0.16903234,-0.9180667,-3.95826,0.8881834,-2.9692578,-0.42009258,-6.8673334,-0.020517305,-0.052050665,-1.6090547,3.140508,2.9641962,2.0061138,1.8239496,-2.0647025,3.205432,3.03199,-0.06297287,1.3740313,3.3122823,1.6195312,2.2936895,1.2624501,-4.306167,2.6372118,-0.3112538,1.0514059,-0.12984326,-0.49841565,2.0425098,-0.4365703,1.6876792,-0.83143824,0.4455663,-0.097822845,-0.49253115,1.3817835,0.13233572,1.1287798,-1.0336922,-1.5947037,0.96077,0.34040597,-1.3330297,-0.06889812,-0.6388109,0.3831166,1.3498532,0.9381559,1.9827517,-0.2552064,1.6574692,1.0405891
1,1,erectile dysfunction,CHEMBL1520,CCCc1nc(C)c2c(=O)nc(-c3cc(S(=O)(=O)N4CCN(CC)CC4)ccc3OCC)[nH]n12,1.4875206,-4.528256,4.4447722,-0.79688746,5.764675,-3.4262104,-1.9137914,4.6294427,3.4342601,4.9640064,-4.234447,-0.34377456,-2.8640654,5.500757,0.8646098,-3.4733474,1.0305275,-6.4502153,0.9200095,1.50418,-0.5259281,-2.8009038,-0.46898803,-4.529698,-5.829034,0.061177194,1.6128695,4.6287107,-0.29219586,-0.04805333,-0.46741822,0.461375,0.6549964,0.9106197,0.19079545,-1.6042633,-0.013993368,0.25654924,0.5408613,-1.5815632,0.49611247,1.077323,0.5003664,0.41517663,1.0945374,0.08637271,-0.15207092,0.48245907,0.13487865,0.36515123,0.89673346,0.12496595,0.6689965,-0.96308815,0.28847095,0.40618107
2,2,erectile dysfunction,CHEMBL495,CCCCCC(O)C=CC1C(O)CC(=O)C1CCCCCCC(=O)O,4.0896215,-4.2278333,5.977217,-2.1177464,5.5187345,-0.13066053,-3.758709,6.447159,5.6526875,7.9096184,-0.89281595,-5.1665416,5.423371,3.0004938,1.1422561,9.967366,-2.7551177,1.3604733,0.75514,0.014018677,2.3941574,-7.435685,7.662242,-2.7059932,0.45986837,-3.7286372,1.1452243,4.6104593,-0.4950445,0.5356203,0.082202084,0.44520438,0.36394814,0.97891206,0.45201102,0.5515926,0.08638033,-0.21132965,-0.4819483,-0.0958189,1.1234733,-0.3989424,1.2517318,1.2876997,1.3336295,-0.02696402,0.010042563,0.4675613,-0.7137521,-0.22968152,-0.93866634,0.95585394,0.44616985,-0.26995844,-0.89602715,0.9978148
3,3,erectile dysfunction,CHEMBL192,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12,1.8422893,-2.8242254,2.299956,-1.5068781,3.2048352,-3.8632727,3.70183,6.848851,1.7004241,-0.0045660883,-3.2249696,1.1237686,-1.1425219,3.4938993,2.899786,-0.54421306,-1.4042147,-6.0098734,0.7926333,-0.55290514,1.3439234,-3.253697,1.0039458,-5.2300177,-3.5324693,-1.1363568,-3.0468435,4.8679056,0.029270442,0.062422417,-0.013046183,1.2966629,0.546292,0.6094847,0.37644684,-1.0087442,-0.016096309,0.5259232,0.567234,-1.8637575,0.0204316,0.9773847,-0.018653266,1.319719,1.0151924,0.7426805,-0.19294246,0.8822845,0.017697418,0.5417007,0.14927477,0.67594516,1.00302,-0.6003227,0.8027804,0.3012276
4,4,erectile dysfunction,CHEMBL1737,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12.O=C(O)CC(O)(CC(=O)O)C(=O)O,1.8422893,-2.8242254,2.299956,-1.5068781,3.2048352,-3.8632727,3.70183,6.848851,1.7004241,-0.0045660883,-3.2249696,1.1237686,-1.1425219,3.4938993,2.899786,-0.54421306,-1.4042147,-6.0098734,0.7926333,-0.55290514,1.3439234,-3.253697,1.0039458,-5.2300177,-3.5324693,-1.1363568,-3.0468435,4.8679056,-0.100302935,0.17125872,-0.2322331,0.9824528,0.46041873,0.71593606,0.30183515,-0.66665155,-0.052242383,0.5305677,0.39980108,-1.5047756,0.12486162,0.76743364,0.16221544,1.0882096,1.0549208,0.50938267,-0.20810394,0.7998633,-0.010027265,0.32192755,0.18027651,0.6743318,0.790051,-0.5332101,0.5643139,0.21969318
5,5,erectile dysfunction,CHEMBL779,CN1CC(=O)N2C(Cc3c([nH]c4ccccc34)C2c2ccc3c(c2)OCO3)C1=O,1.0021238,1.492294,1.2232885,-3.2199333,-3.319509,-1.8009005,0.7220803,1.0277054,2.5116494,-0.035063103,1.406652,-0.33677566,-1.5352348,6.875405,3.1435714,0.3452011,1.0687476,-1.7640682,0.8949095,0.9226291,3.5180442,6.69068,3.2690582,-0.030475492,-4.877107,1.804968,-0.07139813,5.142276,-0.6753686,0.27185088,-0.5432885,0.8739868,1.2002289,0.30867386,-0.12869668,-0.5592867,-0.30802497,-0.045639183,-0.5944177,-0.88354367,-0.029417329,1.1204706,0.1447868,0.7947561,1.2373941,-0.19161391,-0.6314391,0.7925532,-0.31283033,1.0129107,-0.5076564,1.97605,1.3125323,-0.5346444,0.26770565,0.9754989
6,6,erectile dysfunction,CHEMBL1339,CCCc1nc(C)c2c(O)nc(-c3cc(S(=O)(=O)N4CCN(CC)CC4)ccc3OCC)nn12.Cl,1.4894209,-3.2872689,4.705267,-1.0575784,6.7791905,-2.767053,-2.476504,4.123665,1.9946069,2.521731,-4.350751,-0.10318191,-0.10465175,5.5989623,1.5690327,-1.2047185,-0.010989532,-4.768855,0.9642599,3.036087,0.28791338,-3.4986753,1.3050606,-5.0336103,-5.676273,0.9211807,1.5519205,4.9182644,0.041022416,-0.24547556,-0.5168847,0.21647312,0.6877098,0.72996247,0.29496112,-1.202235,-0.15434101,0.1332544,0.6072404,-1.4436047,0.07265244,0.81676316,0.0029577091,0.5858221,1.3255274,0.091059364,0.14190255,-0.06381882,0.41199052,-0.14249164,0.5487866,0.26910192,0.51162124,-0.32247415,0.60163456,0.10145792
7,7,erectile dysfunction,CHEMBL1963681,COc1ccc(CN=c2[nH]c(N3CCCC3CO)ncc2C(=O)NCc2ncccn2)cc1Cl,-1.7610666,-1.3698846,3.7638054,0.9143192,1.2583827,-1.8893955,-0.83462584,0.96142215,0.20225802,3.5189624,1.5598158,1.5363691,-1.6219654,0.53523004,1.47838,2.6071572,-2.7071455,4.7153416,-0.24505667,0.7950335,1.2531239,-7.432427,-0.07738984,-0.255388,1.6876493,8.141574,-1.2481992,0.8580179,-1.4532406,-0.5666904,-0.46329036,-0.0551897,0.041549608,0.2890311,0.6802093,-0.08111118,-0.1436145,-0.6833173,0.53426725,-0.09934571,1.4870435,0.3482689,0.650688,-0.570618,1.9552367,-0.70665705,0.5290898,0.07905949,-0.18190612,0.86521214,0.5796967,0.82028484,-0.25681442,0.44435146,0.0056552677,0.5377103
8,8,erectile dysfunction,CHEMBL434394,OC(CNCC(O)C1CCc2cc(F)ccc2O1)C1CCc2cc(F)ccc2O1,0.24682993,-0.30200404,6.0824966,5.89898,3.4749622,-1.5608133,0.63873047,4.3445945,3.015769,-3.9130118,0.7065505,3.201495,4.422007,1.1214063,-1.292716,2.376685,-2.9992428,-3.3115,0.7551121,2.2301512,-0.04187514,0.31792837,2.4510944,4.9533777,0.85942304,2.0109053,-0.35213688,-7.7856855,-0.14053176,0.91756636,-0.82880247,1.2656106,-0.49794963,1.6170759,0.61683124,-0.33748028,0.7322863,-0.21331592,0.34933126,-1.2415273,-0.9877523,1.8859309,0.8082029,0.68817866,1.4740248,-0.4625861,0.38173747,1.257631,0.07558615,-0.3886196,0.8694406,-0.14997974,0.9538477,-1.0538145,0.18871278,-0.38410023
9,9,erectile dysfunction,CHEMBL159226,CC(=O)Oc1cc(C(C)C)c(OCCN(C)C)cc1C,-0.1442908,4.0252185,-0.879071,-3.6293814,4.948712,-3.6522582,0.06070476,0.24956025,-1.1970657,2.1895976,-0.8084748,-0.37405854,6.9217787,1.5400074,1.9574903,-3.390579,0.010852575,-1.4534922,4.0813327,-2.2616382,-1.0193679,-1.7665244,-1.5783286,2.271416,1.0850092,0.62651026,0.28982067,3.890682,0.34126794,1.7776438,-0.21646163,1.4559697,0.18000746,-0.14245707,0.21885476,0.56130505,0.12992883,-0.14471473,0.32632008,-0.5428892,-0.40908957,-0.25254512,0.5351221,-0.17341416,2.3014383,-0.08407389,1.0273294,0.78699845,0.23126432,-0.21318752,-0.79019606,0.063729525,0.06607658,0.16156325,-0.40550536,0.40968147
10,10,erectile dysfunction,CHEMBL2107067,CCCCCCCCCCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,8.202337,-0.8415271,5.033865,2.2350414,7.116824,-0.98593533,-3.4256783,8.153217,10.410447,7.331226,0.10202521,-1.531389,0.13329394,3.8761692,-2.5190945,6.131665,2.0503967,0.14716727,3.6257284,-0.77234876,5.600094,-4.9505043,4.34471,-2.193661,-2.7405398,-4.039973,3.2867055,1.9880445,0.552612,0.48786256,-0.88132644,0.17522989,0.80678904,0.7218199,0.93582463,-1.0385585,1.8422538,-0.7896126,0.13717696,0.4191667,1.30973,-0.105209336,0.5652759,0.8010436,2.2246974,1.1064131,-0.9406993,0.9915688,-1.1400343,0.17132765,-0.07931175,0.41091597,0.14833078,0.5006045,-0.38196492,0.64762414
