,Unnamed: 0,hastalik,idd,smiles,jtvae_0,jtvae_1,jtvae_2,jtvae_3,jtvae_4,jtvae_5,jtvae_6,jtvae_7,jtvae_8,jtvae_9,jtvae_10,jtvae_11,jtvae_12,jtvae_13,jtvae_14,jtvae_15,jtvae_16,jtvae_17,jtvae_18,jtvae_19,jtvae_20,jtvae_21,jtvae_22,jtvae_23,jtvae_24,jtvae_25,jtvae_26,jtvae_27,jtvae_28,jtvae_29,jtvae_30,jtvae_31,jtvae_32,jtvae_33,jtvae_34,jtvae_35,jtvae_36,jtvae_37,jtvae_38,jtvae_39,jtvae_40,jtvae_41,jtvae_42,jtvae_43,jtvae_44,jtvae_45,jtvae_46,jtvae_47,jtvae_48,jtvae_49,jtvae_50,jtvae_51,jtvae_52,jtvae_53,jtvae_54,jtvae_55
0,0,familial hypercholesterolemia,CHEMBL1491,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,-0.7895676,1.8943483,1.1999131,-2.5914233,4.279056,-2.340918,1.4784424,4.9937105,-0.14707448,5.6468725,0.64677066,-1.3471577,4.3818765,3.9254947,3.0816355,1.615495,-0.3162809,-1.1288064,-0.4667798,-0.0046710446,-4.023516,-0.89017844,6.061321,-1.9247277,-0.074777015,1.6686741,3.436131,-0.4206172,-0.5379621,0.21786255,-0.14553013,0.25754505,0.2990421,1.1257381,-0.6926505,0.3723635,-0.70910144,0.05659672,-0.39239874,0.37067243,0.29786065,-0.40320188,0.82950914,-0.35510215,1.0586432,-0.43477505,0.05224561,-0.11822445,-1.6332213,0.50817835,0.31241345,0.77294695,-0.74792576,0.16451299,-0.19289573,0.6913512
1,1,familial hypercholesterolemia,CHEMBL1200402,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl.O=S(=O)(O)c1ccccc1,-0.7895676,1.8943483,1.1999131,-2.5914233,4.279056,-2.340918,1.4784424,4.9937105,-0.14707448,5.6468725,0.64677066,-1.3471577,4.3818765,3.9254947,3.0816355,1.615495,-0.3162809,-1.1288064,-0.4667798,-0.0046710446,-4.023516,-0.89017844,6.061321,-1.9247277,-0.074777015,1.6686741,3.436131,-0.4206172,-0.39464378,0.09798998,0.013998538,0.16311716,0.18731216,0.79070634,-0.57677686,0.16778903,-0.45213673,0.1493657,-0.3452914,0.23971179,0.3653794,-0.24600784,0.7799823,-0.29836467,1.0724819,-0.3473356,0.12169442,-0.17494905,-1.0839235,0.2946167,0.22079208,0.7280183,-0.51312536,0.07622351,0.018198365,0.58192134
2,2,familial hypercholesterolemia,CHEMBL2105662,CS(=O)(=O)O.O=C(NC1CCN(CCCCC2(C(=O)NCC(F)(F)F)c3ccccc3-c3ccccc32)CC1)c1ccccc1-c1ccc(C(F)(F)F)cc1,3.1669233,0.35533684,-3.5643349,-3.5907521,-0.50290835,-0.32241172,-0.27015123,-4.5804143,-4.707357,-0.2751053,-3.6730409,-1.9473878,0.72065866,2.6598155,-0.76433015,-0.43598542,1.8559997,-1.2620175,1.7634395,-0.9027129,1.297983,-0.65145296,2.89407,0.68806237,3.6581788,2.7301145,2.269549,-0.55488986,-0.24775681,-0.22795853,0.49352485,0.11402633,0.6747148,0.5326053,0.407326,0.03178795,0.67928,0.3202582,-0.10854324,0.45047426,0.21290842,0.2404592,0.8149487,-0.071928784,1.6647421,-0.10225146,-0.6587814,0.10546882,-0.495857,0.10498641,-0.07100988,0.023276389,-0.0964015,-0.4852797,0.1095301,0.7264341
3,3,familial hypercholesterolemia,CHEMBL3545313,CC(C)(CCCCCC(O)CCCCCC(C)(C)C(=O)O)C(=O)O,3.2010055,-1.9397162,3.6810644,-3.4527686,8.342854,-1.111096,0.42694846,5.1384687,4.4121804,11.990518,-1.2075417,0.7052769,7.180667,2.1631787,-3.1832514,5.8207817,-3.0387785,-3.6557362,5.692605,-0.47410458,-0.4977997,-6.26779,8.68211,3.1993475,-2.5197861,-2.5864115,1.5657458,3.9733307,0.092012316,0.4110779,-0.5135698,0.47106606,1.1798059,0.8086578,0.16618581,0.18069439,0.25220105,0.48882776,0.05966862,-0.5174951,0.11742506,0.40525025,0.4526226,-0.08834007,1.1863252,-0.19481605,0.098334864,0.26057583,-0.10154148,-0.56137305,0.039591126,0.50911975,0.7240526,-0.97376275,0.09800859,0.08883276
4,4,familial hypercholesterolemia,CHEMBL354541,O=C(NC1CCN(CCCCC2(C(=O)NCC(F)(F)F)c3ccccc3-c3ccccc32)CC1)c1ccccc1-c1ccc(C(F)(F)F)cc1,-3.4859726,-7.272048,3.9644034,10.787522,-0.47289938,-0.7703326,-2.4831033,0.9296735,13.11282,6.6135087,4.1202145,4.161879,4.1500797,0.7509715,2.3697326,1.0587624,-1.6594883,0.00831157,4.124851,2.8153882,-1.4288024,-4.807009,2.711036,8.445913,2.2331343,4.3811665,-4.2814007,2.541674,-0.1891099,-0.25552216,0.38813737,0.2138554,0.70332617,0.6218295,0.47733054,0.059880137,0.67047286,0.27125025,-0.12027377,0.5141729,0.29984188,0.25779545,0.6325076,-0.20051402,1.6419607,-0.10175068,-0.63661224,0.014659941,-0.6423277,0.0005807057,0.18423286,0.2060828,-0.28922606,-0.43810835,0.039608896,0.8222693
5,5,familial hypercholesterolemia,CHEMBL393220,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CCC(O)CC(O)CC(=O)[O-].CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CCC(O)CC(O)CC(=O)[O-].[Ca+2],-5.7425027,-2.3142636,6.5010414,2.3546836,6.687161,-0.050150923,-0.41046616,2.9804347,-0.9864279,9.993825,0.8033509,1.2014894,3.7696905,1.6242352,1.6459643,0.25792232,-2.6392267,-1.271784,1.7149926,1.6224663,-5.2392483,-4.3037724,10.527414,2.9556277,1.2813498,3.345921,-4.1272736,8.183068,-0.14566205,0.17166364,0.06644859,-0.25042593,0.6623262,0.34091368,1.1299866,-0.52106774,-0.14342135,-0.33552605,-0.040595207,0.20226237,0.36542284,0.004289195,0.24808615,0.056371186,0.8250005,-0.23850048,-0.1964867,-0.10497103,0.18312976,-0.049322747,-0.19205436,0.0576109,0.61268604,-0.56795216,-0.120972574,0.3180684
6,6,familial hypercholesterolemia,CHEMBL1064,CCC(C)(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,0.71927893,0.66522694,-1.7119013,-4.4181323,8.865918,4.9532824,-0.8705925,8.887474,0.7308661,5.449336,-3.856968,2.0382662,1.4358516,3.703878,1.4915618,5.5603123,-2.1190279,-3.4117079,1.8804464,-0.76026136,1.7255683,-4.391056,3.0681658,0.41004094,0.73476636,-0.2829965,3.5194883,7.425473,-0.5193617,0.23270431,-0.45478737,0.5833313,0.030842543,0.46613038,0.97787017,-0.5764996,0.525733,0.038855094,-0.47799033,-0.3955172,0.6008939,1.0335132,-0.1710296,1.269641,0.2068516,-2.1886494,-0.12523736,0.6291694,0.3042781,-0.069210544,-0.1953476,1.2218274,1.7538447,0.48006794,-0.7811804,1.8550409
7,7,familial hypercholesterolemia,CHEMBL1487,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CCC(O)CC(O)CC(=O)O,-5.9807086,-1.4420289,6.7414145,0.37567228,7.567653,-0.63237345,-0.6108992,2.7415457,-1.5189954,9.88183,-0.093870744,1.1008878,3.653846,2.522469,1.6028479,0.5276248,-1.3701738,-1.2166154,1.3349829,1.353077,-4.9491324,-3.7833676,11.219728,4.1973896,1.063062,2.431684,-4.9608173,7.3531218,-0.15056123,0.20442557,0.03427101,-0.29766583,0.6352613,0.39010704,1.1868278,-0.53063637,-0.100490056,-0.33038995,-0.054529328,0.17026003,0.3440169,0.0074622035,0.3143198,0.13572317,0.8490393,-0.25884044,-0.17200504,-0.0937657,0.14531904,-0.005679615,-0.1547319,0.044508964,0.5574079,-0.60883045,-0.13655286,0.3343048
8,8,familial hypercholesterolemia,CHEMBL1496,CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1C=CC(O)CC(O)CC(=O)O,-1.4567155,-4.099645,6.5828586,0.9120319,9.959911,-2.3445127,1.0986183,-1.354642,2.212726,4.0877748,-0.39463937,3.1277874,5.8954077,1.0757376,-0.25941443,1.1520139,-3.6744292,-2.7346604,1.9246103,-0.88305634,-3.0071003,-2.736228,8.760047,-0.64269733,1.3960856,2.9060035,-1.7985227,7.5799704,-0.0102992775,0.48703715,0.46217096,-0.15478577,0.8029187,0.6910938,1.0673559,-0.017509628,-0.32220465,-0.47339535,-0.39680114,0.45790318,0.42338514,0.49882936,0.2534232,0.1442437,1.5256823,-0.603733,-0.29645735,-0.422616,-0.27513525,-0.0059328154,-0.3186887,-0.14532444,0.13231193,-0.13300924,-0.72921795,0.050178975
9,9,familial hypercholesterolemia,CHEMBL2035874,CC(C)c1cc(Oc2c(Br)cc(NC(=O)CC(=O)O)cc2Br)ccc1O,-1.8602217,-0.31119174,-0.80778337,0.8629828,5.6636486,1.6029115,-0.59621406,1.1155394,-1.1074535,0.8097792,0.16934879,-1.450443,0.97801554,1.9595958,7.7053165,0.4411542,-0.118512034,-3.446504,-0.17647393,-6.4056463,-1.0699832,-6.3137407,3.921254,2.5733607,2.0934405,-0.13867147,-1.2798288,3.3773909,-0.0048658075,0.0023844764,-0.25294095,-0.40855753,0.6875212,0.07301372,-0.09583333,-2.1413012,0.021938168,0.43835115,-0.4481992,-1.436441,-0.33984664,0.3305912,0.18967184,0.09376809,1.6662306,-1.4123497,1.2093121,-1.1714574,-0.37629914,-0.74092525,1.3736168,0.21778527,-0.32354313,-0.72675407,0.029363485,-0.41243204
