,Unnamed: 0,hastalik,idd,smiles,jtvae_0,jtvae_1,jtvae_2,jtvae_3,jtvae_4,jtvae_5,jtvae_6,jtvae_7,jtvae_8,jtvae_9,jtvae_10,jtvae_11,jtvae_12,jtvae_13,jtvae_14,jtvae_15,jtvae_16,jtvae_17,jtvae_18,jtvae_19,jtvae_20,jtvae_21,jtvae_22,jtvae_23,jtvae_24,jtvae_25,jtvae_26,jtvae_27,jtvae_28,jtvae_29,jtvae_30,jtvae_31,jtvae_32,jtvae_33,jtvae_34,jtvae_35,jtvae_36,jtvae_37,jtvae_38,jtvae_39,jtvae_40,jtvae_41,jtvae_42,jtvae_43,jtvae_44,jtvae_45,jtvae_46,jtvae_47,jtvae_48,jtvae_49,jtvae_50,jtvae_51,jtvae_52,jtvae_53,jtvae_54,jtvae_55
0,0,glaucoma,CHEMBL778,Cc1cccc(C(C)c2c[nH]cn2)c1C,-1.8085023,-1.3782756,-3.7517025,-0.7338324,5.217379,1.8448107,1.0708537,0.018854573,-2.672671,0.9332354,-1.5024201,-4.340028,-0.0847535,1.3233526,-3.8872123,-4.1495385,-1.8344737,-0.4866051,3.0197284,-1.8054044,0.41490138,0.7471316,-0.3586205,-1.2496247,-2.196546,-1.6593868,-2.036235,2.3984854,0.91607803,1.316839,1.8078264,0.21378337,1.7888535,0.5881938,-0.19608794,0.61878115,-0.8141214,-0.7338523,-0.2393316,0.8803507,0.15084675,-0.7149774,-3.2630122,-0.08711058,1.3436688,-0.26163623,0.5911029,0.74901044,-1.844489,-1.2681724,2.447211,0.911515,1.3855491,-0.51133144,0.47715273,1.3794425
1,1,glaucoma,CHEMBL1201002,CC(C)(C)NCC(O)COc1cccc2c1CCC(=O)N2.Cl,0.73423815,4.9277625,2.945187,-2.1187525,4.8844886,-0.15751302,-1.2279041,2.6488872,-2.6065319,-1.3305049,0.56712735,2.4691484,-0.18565759,0.8129541,0.8013405,-0.7811414,-2.7819753,-3.445247,-0.20030466,-2.0344973,-2.0081863,-3.3263845,2.8692396,2.1263993,-3.6574187,-2.9081025,1.6350956,-1.5767349,-0.6831359,-0.8284554,1.1140884,-0.41030598,0.9660553,1.0071868,0.28381816,0.59095585,0.30739108,0.0926687,-1.5059226,-0.17177287,0.20132327,0.51082313,-0.41893432,-0.71319854,1.2310896,-0.41738045,-0.75126845,0.6522939,0.12131456,1.1551268,-0.900067,2.1149042,0.87290126,-0.35424733,0.11154694,0.06866932
2,2,glaucoma,CHEMBL1200814,CC(=O)Nc1nnc(S([NH-])(=O)=O)s1.[Na+],-1.4139857,1.76303,-2.5884197,-2.6374261,-3.352568,-1.2557272,0.5586151,-1.9513863,-2.0585053,-1.5447471,-2.0376737,2.2852721,-1.5336442,0.6120405,0.13589154,-0.7506209,-1.1258935,-0.43245387,3.1248248,-1.6928505,4.018037,-3.1067762,-1.0109305,-3.310143,1.3775868,-0.9252688,1.9729869,-0.21936542,0.061437804,-0.3401877,0.11496977,-0.8644344,0.21443711,1.0414603,0.33952245,-0.090152755,-0.19646841,-0.7602057,0.041535,-0.33103806,0.19484451,0.91866326,0.23754504,-0.4322927,2.10937,-0.54716414,0.14008313,-0.30805415,-3.287755e-05,-0.4339816,0.17592669,0.15209232,-0.12944175,-0.17985557,-0.2117522,-0.31931177
3,3,glaucoma,CHEMBL1051,CC(C)OC(=O)CCCC=CCC1C(O)CC(O)C1CCC(O)CCc1ccccc1,1.5609393,1.8516268,6.7778554,-3.3502767,4.975553,2.0662587,-0.36461958,4.090054,5.755425,8.464622,0.6226674,-1.513298,7.700064,1.6179303,0.11040442,5.5355134,-3.3704643,-1.7916353,1.1928953,-0.02650977,0.1939864,-6.4535475,4.971268,3.473453,4.381023,0.19042069,2.9377277,4.177971,-0.3197474,0.50951415,0.21240726,0.92402375,0.16546503,0.8231939,0.31837514,0.66293156,-0.04992626,0.1821392,-0.5395778,-0.010140486,0.8170893,-0.26003218,1.037351,1.1685226,1.2871143,-0.27530757,0.13179147,0.47645956,-0.46939105,-0.3318599,-0.815133,0.95436835,0.43893892,0.118888855,-0.4294804,0.8270836
4,4,glaucoma,CHEMBL844,Brc1c(NC2=NCCN2)ccc2nccnc12,-1.5398967,5.47297,-2.285031,1.9991071,-0.54232657,-0.38199043,-6.849569,-4.5358806,-2.0608537,0.5715864,-1.3832384,-1.8892081,-2.4648707,6.8712907,-3.9175668,1.2831874,0.045259908,1.2728496,-3.4295924,-2.4227035,0.10233258,-1.5156288,0.033202335,-0.7104564,-1.411144,8.571836,-0.9671195,-1.7660463,-1.3807445,0.5492998,-0.5102162,-0.0733635,1.4498312,0.1705592,-0.24900348,0.13821949,0.2723278,-2.0783114,-1.2188684e-07,0.53793377,0.111144535,1.3147242,-1.102171,-0.40141794,2.1213307,1.5340587,-0.36892074,-1.2922533,-1.3556085,0.081794195,1.2622263,-0.0025987923,0.79304856,0.5015924,-0.46187857,-0.88887596
5,5,glaucoma,CHEMBL1200870,CC(C)(C)NCC(O)COc1nsnc1N1CCOCC1.O=C(O)C=CC(=O)O,1.6513484,3.625528,2.0549843,-2.715564,4.9434752,-0.23147517,0.024334453,3.4414513,-2.4987857,-2.819438,-1.665945,3.3998215,2.163755,0.9423362,-0.67305344,-0.80529064,-2.7586462,0.15201044,-0.83413637,-1.8970873,-0.39672565,-4.599581,3.3451905,1.2694988,-2.6055546,0.8689656,3.7618926,0.15583614,-0.43480286,-0.17069215,-0.26020753,0.51833546,1.2408574,0.95849204,0.7263351,0.12888265,0.071889915,0.23091424,0.7434836,-0.4060011,-0.10231276,-0.08774386,0.09802409,0.35949695,1.1388549,0.117517255,-0.20003347,0.2042996,-0.062717445,0.048775233,0.11689717,0.28891367,0.7522963,-0.42639318,0.153697,0.38687465
6,6,glaucoma,CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,-0.11280072,1.7597696,-2.695772,-1.1589258,-3.5594652,-2.3194823,1.0508666,-1.6610913,-2.8691225,-1.4677202,-2.6774662,2.9888902,-0.96208155,-0.007894086,-0.34628743,-0.69165117,-1.2464496,0.010667786,4.198111,-2.4529228,4.103189,-3.8512068,-0.7580251,-2.9861195,1.1771376,-0.50089896,0.75222766,-0.53618467,0.19228166,-0.36670938,0.20733485,-1.1699353,0.0672732,1.1146693,0.42707175,0.074384704,-0.2507833,-0.9945783,0.011454833,-0.28184578,0.043524556,1.0113571,0.31625146,-0.5532314,2.1900895,-0.8804784,0.44688922,-0.3780587,-0.11064583,-0.5352845,0.08041475,-0.12315002,-0.34734088,-0.014391847,-0.23713295,-0.5633682
7,7,glaucoma,CHEMBL2062257,Brc1c(NC2=NCCN2)ccc2nccnc12.O=C(O)C(O)C(O)C(=O)O,-1.5398967,5.47297,-2.285031,1.9991071,-0.54232657,-0.38199043,-6.849569,-4.5358806,-2.0608537,0.5715864,-1.3832384,-1.8892081,-2.4648707,6.8712907,-3.9175668,1.2831874,0.045259908,1.2728496,-3.4295924,-2.4227035,0.10233258,-1.5156288,0.033202335,-0.7104564,-1.411144,8.571836,-0.9671195,-1.7660463,-1.0363526,0.42992297,-0.5457179,0.1381494,0.9966284,0.38755667,-0.18233894,0.19282669,0.18203783,-1.2434174,0.1816984,0.07878058,0.04875236,0.8704362,-0.5408116,-0.08186062,1.9590497,0.82664067,-0.23021175,-0.7846617,-0.8898446,0.016189463,0.7051609,0.3006096,0.6206251,0.16810036,-0.31787926,-0.6666249
8,8,glaucoma,CHEMBL384467,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,0.4460127,2.7536254,-1.4413164,2.3533416,10.2369995,2.324731,-0.69502604,-2.1507735,1.6554855,-1.0187858,-0.05786352,2.4431086,0.8397759,2.0059276,4.9834423,3.7510722,1.0637542,-2.251259,-0.7574223,-3.5981836,3.9128683,-0.38386035,6.439456,0.1832993,1.006124,3.024087,1.683089,7.2400723,0.039248843,1.1508647,-1.1236318,0.25796396,-0.59084415,0.05280763,1.3016458,-0.9679594,1.4104737,-0.58479345,0.40309164,0.19101015,0.43789113,-0.08294095,-0.0415181,2.124689,1.8497238,0.44472113,0.094305955,2.5206976,-1.0053723,-0.123554826,-0.72718704,0.055338144,0.49393904,1.2353134,-0.48323625,1.4618407
9,9,glaucoma,CHEMBL218490,CCNC1CC(C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,3.4637177,3.1521661,-3.722451,-1.3907026,-1.6214803,-1.8173821,-2.4280841,1.3465794,-0.44318712,-2.4073346,1.3206153,0.5680947,-1.0951251,1.4693772,1.1551188,2.3516777,-0.05275096,-2.4962938,0.40112793,-0.756774,1.8824037,-4.3708377,2.4313314,-7.529731,-3.6841516,3.168223,0.5044942,1.253923,-0.7504543,-0.4051858,0.30236456,-0.920482,-0.060363352,0.33097,-1.0212355,-0.037541296,0.24223739,-1.0223083,-0.44325683,-1.0018393,-1.3898757,0.9196507,1.3582871,-0.21912332,3.323068,-0.5255811,1.197984,-0.6551133,-0.037025236,-1.0662,-1.3456552,0.5392324,-0.14326267,-1.1266243,-0.24575505,-0.15269265
