,Unnamed: 0,hastalik,idd,smiles,jtvae_0,jtvae_1,jtvae_2,jtvae_3,jtvae_4,jtvae_5,jtvae_6,jtvae_7,jtvae_8,jtvae_9,jtvae_10,jtvae_11,jtvae_12,jtvae_13,jtvae_14,jtvae_15,jtvae_16,jtvae_17,jtvae_18,jtvae_19,jtvae_20,jtvae_21,jtvae_22,jtvae_23,jtvae_24,jtvae_25,jtvae_26,jtvae_27,jtvae_28,jtvae_29,jtvae_30,jtvae_31,jtvae_32,jtvae_33,jtvae_34,jtvae_35,jtvae_36,jtvae_37,jtvae_38,jtvae_39,jtvae_40,jtvae_41,jtvae_42,jtvae_43,jtvae_44,jtvae_45,jtvae_46,jtvae_47,jtvae_48,jtvae_49,jtvae_50,jtvae_51,jtvae_52,jtvae_53,jtvae_54,jtvae_55
0,0,heart failure,CHEMBL1215,CNCC(O)c1cccc(O)c1,1.5139925,0.9177249,0.3481576,-3.8146014,0.13080503,-3.760625,0.9460003,0.21850698,-2.6658223,-4.311955,-0.45676792,-3.5528033,0.5548255,0.75564003,0.08645345,2.7159474,-2.3217385,-1.4103932,0.8251328,2.125603,-0.46684152,-1.5949982,4.364444,0.9825322,-2.5976198,-0.5938294,-2.4503262,-3.8448803,0.41952074,0.45650372,-0.42554444,1.3839941,-0.6906773,-0.011223286,-1.5629305,0.8260278,1.0812819,-1.16323,0.19088563,-0.16894078,-0.36082345,-0.7420959,-0.8722757,0.14620449,1.1477845,-1.0224514,0.8751769,1.5261157,0.44575915,-0.34472802,0.714146,0.5159863,1.2585893,0.3672635,-0.6512533,-0.2241076
1,1,heart failure,CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,-0.11280072,1.7597696,-2.695772,-1.1589258,-3.5594652,-2.3194823,1.0508666,-1.6610913,-2.8691225,-1.4677202,-2.6774662,2.9888902,-0.96208155,-0.007894086,-0.34628743,-0.69165117,-1.2464496,0.010667786,4.198111,-2.4529228,4.103189,-3.8512068,-0.7580251,-2.9861195,1.1771376,-0.50089896,0.75222766,-0.53618467,0.19228166,-0.36670938,0.20733485,-1.1699353,0.0672732,1.1146693,0.42707175,0.074384704,-0.2507833,-0.9945783,0.011454833,-0.28184578,0.043524556,1.0113571,0.31625146,-0.5532314,2.1900895,-0.8804784,0.44688922,-0.3780587,-0.11064583,-0.5352845,0.08041475,-0.12315002,-0.34734088,-0.014391847,-0.23713295,-0.5633682
2,2,heart failure,CHEMBL471737,COc1cc2c(cc1OC)CC(=O)N(CCCN(C)CC1Cc3cc(OC)c(OC)cc31)CC2,5.176378,-0.03851925,3.6673281,-1.1634603,2.7209399,-2.1990852,2.1449647,3.0427918,5.4979844,0.69151783,-1.9202387,3.355521,2.3399382,4.898692,5.592075,2.442383,0.82679135,3.261351,-0.35599107,4.0412226,-3.7106717,-2.4274364,-4.3986583,3.9440327,-0.8141144,8.876687,-0.6439075,1.2283736,0.23307522,1.5032429,-0.98258185,1.2347792,0.58201814,-0.39347833,-0.13795371,0.56456167,0.3817524,-0.11948219,0.51200277,-0.41882643,-0.7187067,-0.22533919,0.33418536,-0.4679356,2.3963082,0.23485667,1.0437623,1.0629146,0.48125702,-0.06302423,-0.7760601,0.7519514,-0.11025734,-0.047358576,0.0721764,0.54985
3,3,heart failure,CHEMBL842,NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O,1.0756706,-0.48937505,-0.9016473,-0.5374798,-1.5959798,1.7567255,0.5527175,-4.5618095,-1.7994845,-1.5378764,-1.523811,1.5816562,0.12052952,-0.062109604,3.37209,-0.5541562,3.2351496,-1.2821001,5.065367,-0.006323941,2.3633385,0.30659026,2.7486274,-1.0922229,1.5229498,4.741146,-1.7945302,-0.57754546,-0.29898095,1.7136737,-0.08133275,1.1169522,1.1120162,-1.7078371,0.045319565,-0.17464425,-0.2507464,0.04364856,-0.0109467385,-0.79784364,-0.7007515,-0.75166297,1.4708433,0.027576271,2.8797553,-0.15473932,1.6261095,-1.0676115,0.13328308,-0.68868,-0.23814437,0.7466143,-0.09619875,1.0930487,-0.353138,0.5797757
4,4,heart failure,CHEMBL1144,CCC(C)C(=O)OC1CC(O)C=C2C=CC(C)C(CCC(O)CC(O)CC(=O)O)C21,0.7117541,0.02946271,3.0405295,-2.4651918,9.508138,0.76224494,2.5428615,6.100245,-0.006995499,6.723744,-3.6555321,4.070637,1.1448555,3.3927178,3.3074954,7.6120195,-3.0654001,-1.0692716,1.9908316,0.56718296,0.50350654,-6.882694,6.509462,1.3366681,3.9946122,-1.8224449,2.2476664,5.4486256,-0.68170494,0.70542574,-0.53262883,0.47339916,0.5968522,0.5324731,0.83211833,-0.14759055,0.5558824,0.015759168,-0.0323407,0.056787703,0.90449727,0.39337027,-0.079715334,1.2400413,0.3063301,-1.3804698,-0.242382,0.42410168,-0.1803375,-0.13066047,-0.42498308,0.4875459,1.5111835,0.2506931,-0.725861,1.7924678
5,5,heart failure,CHEMBL723,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,0.49939117,3.6987445,7.5375824,0.78565794,3.8901622,-3.667153,3.2652779,0.35424626,2.2377775,-0.34893864,-1.3450661,-0.9061343,-1.0086365,3.1544795,3.2932107,1.8755738,1.6356266,3.07165,-1.2841184,2.7770905,-1.1870552,-4.6019874,-4.060897,5.5866013,1.3701863,2.4653902,2.392531,-5.5436583,-0.35567874,-1.0528812,0.12364326,-0.3853163,1.0140498,1.0704691,-0.33298656,0.40639174,-0.39040744,-0.21667558,-0.40192136,-0.12036825,-0.2442239,0.30659115,0.47583252,-0.7474499,0.932528,-0.04909135,-0.6066896,0.1545259,-0.06754069,0.34972668,-0.645437,1.1336939,0.6558658,0.30634603,0.53061014,1.1514179
6,6,heart failure,CHEMBL1437,NCC(O)c1ccc(O)c(O)c1,1.4044164,1.000324,-0.517683,-4.2865734,0.620092,-2.7230828,2.3771038,-0.3024827,-3.5990398,-4.5636125,-0.5608285,-3.4222085,3.020342,3.191798,2.5151184,3.1887848,-1.8981067,-1.9617536,1.4335455,0.96683425,1.0762265,-1.130546,4.8500237,0.58448505,-0.19633813,-0.33447227,-3.799493,-1.2054522,0.20455492,0.6261669,-0.2938401,0.2519625,-0.21752396,-0.6503724,0.323391,-0.5238297,0.40226907,0.4515836,0.71054906,-0.77847,0.23052824,1.5911603,-0.25599444,-0.38561392,1.6990342,0.86883146,1.0450761,0.22973603,-0.4487802,1.2419233,0.10796348,2.2106328,0.22585717,-1.8185447,-0.6963876,-0.56090283
7,7,heart failure,CHEMBL3137301,CCOC(=O)C(C)CC(Cc1ccc(-c2ccccc2)cc1)NC(=O)CCC(=O)O,-2.0901175,-2.3941696,1.546798,-0.46941498,5.3491917,-1.0460395,1.7085476,6.0187883,5.2898912,9.863148,0.8476496,-2.7489867,0.062608436,-3.4025352,-0.48340058,3.0788422,-4.7169104,-0.33036992,2.3831542,-0.7660209,-4.0339727,-2.4490328,4.4757166,4.9701624,4.0540442,-1.5708793,0.32508546,0.50088584,-0.2535927,0.18406278,-0.51247656,0.52820605,0.8687241,0.4318731,0.09343652,-0.17642467,0.56825066,0.32251796,0.51072204,0.07178274,0.5228579,1.1056428,0.10398482,0.32207575,1.468371,-0.46805826,0.07667964,-0.20947906,0.17634273,-0.07953889,0.10614588,0.5469904,-0.11227287,-0.38274154,0.053886123,0.30696744
8,8,heart failure,CHEMBL878,Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C,-1.8005252,0.17688665,-2.2646992,-1.91742,0.7177354,-2.1400883,0.44762036,-1.0016297,0.101498455,-2.5075593,0.63762337,-2.0862687,-0.61989295,3.3978915,2.5766835,-1.138116,2.6648538,-0.3257147,6.452438,-2.8145704,-2.7368095,0.22961578,-0.6935446,-2.0819163,-2.92833,2.2548866,-0.53272057,2.4203718,-0.00575569,0.90012485,-0.6930355,0.61670077,0.20586388,0.4013553,-0.01866187,0.7203494,-1.012647,0.9185913,0.5706918,-0.49772474,-0.82400477,-0.0020475835,1.0352724,-0.30455494,2.3035889,0.7002159,1.2969545,-1.285411,-0.42657956,-0.8027665,-0.81165993,-0.16722581,0.4788816,1.4327489,0.90305954,0.8256285
9,9,heart failure,CHEMBL1431,CN(C)C(=N)NC(=N)N,1.7658916,-0.32675093,-0.35211137,-7.697538,-2.0706518,-4.6510344,0.27253172,-4.1880584,-6.7911644,-6.0403605,0.53055763,7.1199913,3.122106,-1.9500611,1.2690738,0.06970321,-3.0831113,0.68135226,0.49339437,-1.5486231,-0.46575642,-4.833114,3.8848765,-2.9575894,0.19831635,1.9943715,-3.4296927,3.0324929,-0.3267191,0.14767453,0.4592824,-0.11171891,0.38721484,1.7664568,-0.17185022,0.7986102,-0.39695582,1.0097498,0.075734586,0.24100748,0.5707358,0.031905413,0.102189906,0.18632048,2.0067725,-1.3493282,-0.6411687,-0.020506218,-0.836599,-0.8176144,0.10561744,-0.22233778,0.12802726,-0.7067045,-1.1770977,-0.38651386
10,10,heart failure,CHEMBL2103873,CCCNS(=O)(=O)Nc1ncnc(OCCOc2ncc(Br)cn2)c1-c1ccc(Br)cc1,-2.2567508,-0.8582722,6.328648,3.8162103,0.25549775,-1.0688196,0.65344036,2.8448067,2.3210914,-5.043934,-3.8781598,1.0787491,-2.3805149,2.713477,1.2928008,5.341114,-0.82957697,-4.035163,-1.5102708,-1.9929419,-1.9286367,-9.193492,1.2062714,-0.68110204,-0.20538153,3.4458642,5.724317,1.7374529,-0.0018502597,0.17818493,-0.5763906,-0.37526816,1.0455433,0.58089566,1.5315956,0.8612103,0.6818633,-0.53188705,0.23828502,0.9005922,-0.6680657,0.5296236,0.18637851,-0.28318977,1.2600365,0.43939978,-0.39377147,0.14111617,-0.7377767,0.57038367,0.62953347,0.17713274,0.5824376,-1.4861345,-0.8745653,0.77648604
11,11,heart failure,CHEMBL494,CC#CCC(C)C(O)C=CC1C(O)CC2CC(=CCCCC(=O)O)CC21,4.6692963,-3.0166953,3.735664,-3.0341144,7.900007,2.9985058,-3.4894204,4.0268016,3.9436576,6.1318154,3.7840664,1.0021857,5.6471076,1.868492,0.59121555,6.069862,-3.9045503,3.3218737,0.83099335,1.6969442,1.1896989,-5.7031436,3.9437373,-0.30190074,3.8644106,-2.8342352,1.8953856,5.428273,-0.09905273,0.4974603,-0.59097904,0.4411435,1.0891759,0.003648743,-0.4523398,0.8430627,-0.06771211,0.44608927,-0.5296496,-0.7068609,-0.75929695,0.87072575,0.44040406,0.63633376,1.7098607,-1.1464075,0.021448627,-0.22402188,0.08413635,-0.4679283,-1.0960102,1.0704689,0.52101564,0.03721963,-0.60723954,0.754789
12,12,heart failure,CHEMBL645,CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1,-1.4104363,0.8366293,5.868355,-5.200196,6.4726887,0.10618395,0.64593774,2.8988247,0.16752508,-3.4895518,0.4359479,1.9361169,2.264698,-0.06868942,-0.86468756,2.7995634,-0.21864344,-3.040383,1.8638347,1.0637238,-2.964492,-7.2808895,0.36265802,5.391966,-0.53859305,-2.559094,3.4741254,-1.1309923,-0.60604984,0.12756623,-0.14530535,0.858881,1.1454934,0.39094025,0.6423698,-0.7025028,0.24135074,0.9608257,0.59595394,0.46453705,0.65268385,0.90394044,0.12548608,0.53981286,1.6321496,-0.8091314,-0.06590222,-0.12325255,0.24417163,-0.09936704,0.30939034,0.28402013,-0.32641006,-0.727322,-0.11018711,-0.13302621
13,13,heart failure,CHEMBL2051955,CC1CC(=O)NN=C1c1ccc(NN=C(C#N)C#N)cc1,-1.815662,-0.53785956,3.4744542,-1.8348501,-1.0346845,-1.5055141,0.4591681,2.1204398,0.48873457,-0.24689431,4.585089,-1.1177708,-3.0110424,3.0391119,0.87124735,-2.005008,4.329011,2.0765135,3.229255,0.17698461,-5.4063826,0.36615825,-0.2523905,-1.7333829,3.3952782,-0.84161633,1.9959861,5.2229958,-0.11057416,-0.76527566,-0.6889483,0.32201886,0.49121165,0.7843037,0.6425873,-0.21633957,0.24494237,-0.29928127,0.90217596,0.19765015,0.019468598,1.5094255,0.68885607,1.8960729,2.2217846,-0.1623246,-0.11144371,0.42580873,-0.863303,-0.11885015,0.11823074,-0.32112673,-0.6493424,0.30122122,0.24098122,-0.447737
