,Unnamed: 0,hastalik,idd,smiles,jtvae_0,jtvae_1,jtvae_2,jtvae_3,jtvae_4,jtvae_5,jtvae_6,jtvae_7,jtvae_8,jtvae_9,jtvae_10,jtvae_11,jtvae_12,jtvae_13,jtvae_14,jtvae_15,jtvae_16,jtvae_17,jtvae_18,jtvae_19,jtvae_20,jtvae_21,jtvae_22,jtvae_23,jtvae_24,jtvae_25,jtvae_26,jtvae_27,jtvae_28,jtvae_29,jtvae_30,jtvae_31,jtvae_32,jtvae_33,jtvae_34,jtvae_35,jtvae_36,jtvae_37,jtvae_38,jtvae_39,jtvae_40,jtvae_41,jtvae_42,jtvae_43,jtvae_44,jtvae_45,jtvae_46,jtvae_47,jtvae_48,jtvae_49,jtvae_50,jtvae_51,jtvae_52,jtvae_53,jtvae_54,jtvae_55
0,0,hypertension,CHEMBL118,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,-2.6074376,-4.126894,-0.5151769,7.7782483,3.7160337,-1.9606322,2.3371153,0.53062457,-2.411906,-2.9832826,0.15704705,-1.4830515,0.38026923,2.5815086,1.1326877,-4.192834,0.035733238,-0.82196766,3.6685328,0.36683503,-1.0368665,-1.6841532,0.20876545,-2.931311,-0.4377023,1.0902944,-3.3643026,3.2008438,-0.487306,0.20276141,0.71630275,1.0586605,-0.04626125,0.20794469,0.9791082,-1.3155397,0.22142404,0.30078366,0.2562156,0.36321348,0.7201865,2.4009392,0.51337904,0.6781922,1.0395195,0.09647805,-0.27713305,-0.2274589,0.25318244,0.92559576,-0.21605629,1.0441469,-0.113520905,-0.76444304,-0.6378414,-0.40561602
1,1,hypertension,CHEMBL1431,CN(C)C(=N)NC(=N)N,1.7658916,-0.32675093,-0.35211137,-7.697538,-2.0706518,-4.6510344,0.27253172,-4.1880584,-6.7911644,-6.0403605,0.53055763,7.1199913,3.122106,-1.9500611,1.2690738,0.06970321,-3.0831113,0.68135226,0.49339437,-1.5486231,-0.46575642,-4.833114,3.8848765,-2.9575894,0.19831635,1.9943715,-3.4296927,3.0324929,-0.3267191,0.14767453,0.4592824,-0.11171891,0.38721484,1.7664568,-0.17185022,0.7986102,-0.39695582,1.0097498,0.075734586,0.24100748,0.5707358,0.031905413,0.102189906,0.18632048,2.0067725,-1.3493282,-0.6411687,-0.020506218,-0.836599,-0.8176144,0.10561744,-0.22233778,0.12802726,-0.7067045,-1.1770977,-0.38651386
2,2,hypertension,CHEMBL1496,CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1C=CC(O)CC(O)CC(=O)O,-1.4567155,-4.099645,6.5828586,0.9120319,9.959911,-2.3445127,1.0986183,-1.354642,2.212726,4.0877748,-0.39463937,3.1277874,5.8954077,1.0757376,-0.25941443,1.1520139,-3.6744292,-2.7346604,1.9246103,-0.88305634,-3.0071003,-2.736228,8.760047,-0.64269733,1.3960856,2.9060035,-1.7985227,7.5799704,-0.0102992775,0.48703715,0.46217096,-0.15478577,0.8029187,0.6910938,1.0673559,-0.017509628,-0.32220465,-0.47339535,-0.39680114,0.45790318,0.42338514,0.49882936,0.2534232,0.1442437,1.5256823,-0.603733,-0.29645735,-0.422616,-0.27513525,-0.0059328154,-0.3186887,-0.14532444,0.13231193,-0.13300924,-0.72921795,0.050178975
3,3,hypertension,CHEMBL1560,CC(CS)C(=O)N1CCCC1C(=O)O,0.6682925,-2.2257826,-2.5861347,-1.2907804,2.7023132,-0.2700608,0.8303839,2.127709,-3.3264873,1.0114758,-2.9871309,2.4426792,-0.64876544,-0.669518,-2.4366884,2.0050166,0.887394,-1.112819,-0.8758813,-1.738477,0.97126776,0.010080703,5.7254634,-0.24551538,3.5835972,-1.653082,0.18886614,0.5426119,-0.83641475,0.2741384,-0.5686049,-0.24877293,1.0091316,0.69534606,0.7946624,-1.6618203,0.49909046,-1.3804616,-1.1954906,-0.538255,1.6422321,-0.44969583,0.782454,0.025094036,1.256391,0.113391586,-0.69603276,1.3760426,-0.58100355,-0.72593975,-0.62701464,0.08786245,0.571532,-0.8431637,1.0376776,0.21516477
4,4,hypertension,CHEMBL1200561,COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC.CS(=O)(=O)O,2.1519935,0.11005245,0.024564251,1.2162831,3.1604893,-5.5913024,-3.056227,0.9135106,-0.48796588,-1.0711544,-4.044024,2.710424,-3.2923253,2.7462652,2.022229,1.3804044,-0.72895426,1.9409295,-4.3442316,2.3577304,-0.20190038,2.9798303,-1.4334235,-0.5688777,1.360894,9.790485,1.5321051,1.5540322,0.55762434,0.067652024,-0.31897444,0.17808022,0.10922752,0.020211354,0.43660012,0.039375834,0.0039706007,-0.46489096,0.30016625,-0.5136316,-0.43373996,0.49858767,0.8666984,0.13822661,2.389565,0.021496326,0.5885603,-0.08916553,0.23311312,-0.4047821,-0.2931333,0.31007063,-0.028757513,0.37678346,0.6132929,-0.17984617
5,5,hypertension,CHEMBL2111097,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,-0.7895676,1.8943483,1.1999131,-2.5914233,4.279056,-2.340918,1.4784424,4.9937105,-0.14707448,5.6468725,0.64677066,-1.3471577,4.3818765,3.9254947,3.0816355,1.615495,-0.3162809,-1.1288064,-0.4667798,-0.0046710446,-4.023516,-0.89017844,6.061321,-1.9247277,-0.074777015,1.6686741,3.436131,-0.4206172,-0.5379621,0.21786255,-0.14553013,0.25754505,0.2990421,1.1257381,-0.6926505,0.3723635,-0.70910144,0.05659672,-0.39239874,0.37067243,0.29786065,-0.40320188,0.82950914,-0.35510215,1.0586432,-0.43477505,0.05224561,-0.11822445,-1.6332213,0.50817835,0.31241345,0.77294695,-0.74792576,0.16451299,-0.19289573,0.6913512
6,6,hypertension,CHEMBL526,CC(C)c1cccc(C(C)C)c1O,-0.5840869,1.7442225,-3.193424,-1.3907892,5.0964656,0.51224947,-0.023437597,0.55863166,-2.0249195,-0.8801885,-0.06360446,-2.500775,2.718654,1.6566089,-2.1653042,-2.858353,0.24254827,-3.4897316,5.624126,-0.857919,-0.18315558,-0.71516937,1.7731736,0.7976596,0.25998026,-3.7287364,-2.1695094,2.9421594,-0.5602234,-0.30510873,-0.4967798,1.8235697,2.0095148,0.90374285,-1.1717533,1.2267004,0.15693054,-2.3715026,0.39865774,-0.21285704,0.9462515,-1.0065458,-0.23462152,0.71521527,-0.38285133,-0.3541681,-0.2109739,-2.9962084,-0.17941156,-1.9887964,2.554703,0.27296746,1.2239746,-1.0360143,-0.49292457,0.74241054
7,7,hypertension,CHEMBL191,CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,-1.5244704,-1.7651345,5.11317,2.9089797,1.3929867,-0.3324527,-3.9969378,5.9978685,1.7983214,4.522236,-3.8760765,-7.2749014,-0.068801746,5.0361743,-0.42099303,0.13480867,-0.9655649,-1.4150635,3.4427185,5.057479,-1.6717163,-6.4908843,2.6526957,-4.672993,-4.1114626,0.9151598,-1.7047307,2.9539566,-1.0572982,-0.48352757,-0.6892871,-0.19038196,0.4017983,1.2289168,-0.0072255637,-0.9841596,-0.004020255,0.13184246,0.009930906,0.31902704,0.8432623,0.16369525,1.0702405,-0.060894784,0.9311249,-0.97568756,-0.4889056,0.46517226,-0.83774817,0.28678426,-0.5688976,-0.5943364,-0.7407927,-1.1599362,-0.08251571,1.0216787
8,8,hypertension,CHEMBL723,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,0.49939117,3.6987445,7.5375824,0.78565794,3.8901622,-3.667153,3.2652779,0.35424626,2.2377775,-0.34893864,-1.3450661,-0.9061343,-1.0086365,3.1544795,3.2932107,1.8755738,1.6356266,3.07165,-1.2841184,2.7770905,-1.1870552,-4.6019874,-4.060897,5.5866013,1.3701863,2.4653902,2.392531,-5.5436583,-0.35567874,-1.0528812,0.12364326,-0.3853163,1.0140498,1.0704691,-0.33298656,0.40639174,-0.39040744,-0.21667558,-0.40192136,-0.12036825,-0.2442239,0.30659115,0.47583252,-0.7474499,0.932528,-0.04909135,-0.6066896,0.1545259,-0.06754069,0.34972668,-0.645437,1.1336939,0.6558658,0.30634603,0.53061014,1.1514179
9,9,hypertension,CHEMBL1017,CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2ccccc2C(=O)O)cc1,-1.0658251,-1.5094572,5.3983903,-0.02700954,3.3407166,-3.9774666,-2.4848533,3.9484816,4.483977,3.1604977,-3.48129,-5.699762,-1.5572556,5.533847,-0.79729205,-1.788334,0.8848913,-6.596813,1.0153538,3.5687213,-6.0699625,-2.9046564,2.0325987,-1.8892708,-3.1129947,-0.9300736,-5.340796,3.6465049,-0.6535787,-0.7793826,-0.39273012,-0.18196605,0.2770517,0.7845566,-0.11089294,-0.69532335,-0.022566691,0.2293636,0.47361252,-0.02670332,-0.33526084,0.7645537,0.6992651,0.6978375,1.7440002,0.22749901,-0.48670554,-0.051647544,-0.05770871,-0.34515607,-0.12534419,0.25026456,-0.023868874,-0.24959183,0.44128323,0.6305344
