,Unnamed: 0,hastalik,idd,smiles,jtvae_0,jtvae_1,jtvae_2,jtvae_3,jtvae_4,jtvae_5,jtvae_6,jtvae_7,jtvae_8,jtvae_9,jtvae_10,jtvae_11,jtvae_12,jtvae_13,jtvae_14,jtvae_15,jtvae_16,jtvae_17,jtvae_18,jtvae_19,jtvae_20,jtvae_21,jtvae_22,jtvae_23,jtvae_24,jtvae_25,jtvae_26,jtvae_27,jtvae_28,jtvae_29,jtvae_30,jtvae_31,jtvae_32,jtvae_33,jtvae_34,jtvae_35,jtvae_36,jtvae_37,jtvae_38,jtvae_39,jtvae_40,jtvae_41,jtvae_42,jtvae_43,jtvae_44,jtvae_45,jtvae_46,jtvae_47,jtvae_48,jtvae_49,jtvae_50,jtvae_51,jtvae_52,jtvae_53,jtvae_54,jtvae_55
0,0,hypertrophic cardiomyopathy,CHEMBL2107355,Cl.OCC1NCC(O)C(O)C1O,1.6036941,1.9164091,0.64831483,-2.0243988,2.3514884,-2.151928,-1.9491446,-1.095039,-4.8942814,-4.459156,-0.80380255,-5.4213123,2.9284692,6.844237,1.3627717,3.9697492,0.12382217,-0.6022508,-0.7272566,0.85524553,0.066724226,0.9298551,5.498978,1.3196055,0.18581995,2.4568777,2.2319288,3.1476026,-0.45890918,0.66264594,-1.8633399,0.31881678,1.6275871,-1.0741742,0.15498309,-0.992823,1.8314475,-1.2515473,0.7398099,-0.14525983,0.022887401,0.6301797,0.26516986,0.5527486,1.0500873,1.7691764,-0.21078809,-0.116283186,-0.9325325,0.2781485,0.03202591,1.3313211,0.8253327,-1.3628771,2.108961,-0.27575916
1,1,hypertrophic cardiomyopathy,CHEMBL468,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,-2.2715132,1.2801702,-3.6791704,0.9997476,-5.292047,-1.7311213,-2.6370616,-0.85159856,-1.1312573,0.95337343,0.5712313,-2.4822865,-2.98821,2.334128,3.7835703,0.72918683,3.9862,-0.93166494,-3.9002156,-2.6803687,2.227805,3.973837,1.5894811,3.2977104,0.32136232,1.9492961,6.930539,4.3678055,0.51475984,-0.39436314,-1.1527076,0.9737517,0.81577337,1.0669574,2.0717447,0.6314489,-0.5077594,0.330528,-0.23156185,-1.0794326,1.3150758,0.40242565,-0.82811445,0.65794337,1.1083107,0.2770075,-1.0966483,-0.13708842,-0.9331642,-1.3873,-0.7421576,0.5166942,0.6310657,-0.8750315,0.7581229,-0.36373952
2,2,hypertrophic cardiomyopathy,CHEMBL714,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,-1.3855853,4.0804315,0.3098506,-3.2760484,5.401233,1.1957927,-1.1091621,2.7482965,-1.3938129,-2.5607347,-1.340184,-0.47524375,2.318868,1.1493516,0.49240977,-0.49516657,-2.991274,-2.3018568,2.9293487,0.06258955,-0.82417023,-5.7342734,4.20111,3.593563,-3.189175,-1.02127,-0.03898289,0.5957085,0.23569502,0.41304573,0.36684638,-0.42267656,-0.10640895,0.46842653,0.6324376,-0.65008897,-0.993972,0.21182059,0.27636763,-1.4345347,0.14098695,0.65052754,0.8467818,-0.37231475,1.7471625,0.6756598,1.3965561,-0.9408634,-0.25264964,-0.23823997,0.38448176,0.7057946,0.5976241,-1.5961806,-0.28530887,-0.80349624
3,3,hypertrophic cardiomyopathy,CHEMBL549,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,4.2209597,-1.5201894,2.9815354,-1.8859576,-1.2550656,0.9080353,-0.9605981,5.220307,4.4144707,0.97564244,2.7536337,0.8875689,2.4817953,1.826967,-0.9719993,-1.321143,-2.3025227,-0.7156286,3.5483313,4.1383553,-2.7815003,-1.1193302,4.585858,1.5733014,-4.960267,-0.5202527,-2.9337022,-0.54827905,0.7602497,0.41146705,-0.70320386,0.8769701,1.0131875,0.12354839,1.7565604,-0.67265046,0.6617755,0.41405118,0.40259263,0.20231217,0.67743623,1.3573358,-0.4221095,0.56350875,0.9312309,0.843623,-0.9305447,0.09846091,-0.3124566,0.4419315,0.671756,0.07444382,0.8006707,-0.13276106,-0.31514245,-0.28089604
4,4,hypertrophic cardiomyopathy,CHEMBL34259,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,-1.916247,-6.7261186,4.461464,-4.709805,2.9115028,-6.1015015,0.75921583,0.7755938,2.2796268,2.9843984,2.32784,6.4704013,3.7424414,2.069999,0.42672688,4.54787,1.1678137,-2.2695746,-4.571883,0.4639979,-1.8430842,-3.2075324,2.9944608,2.2618926,1.0431386,1.7759775,-7.6656556,1.5799856,-0.039003637,-0.2959477,-0.6032287,0.26075715,0.02195856,0.6637666,0.40814963,-0.4788375,-0.49868172,0.4208284,0.5316075,-0.004134156,1.2338935,0.70495814,0.38271955,0.5728201,1.7069899,-0.22113708,-0.37078112,-0.46459693,0.035675943,0.01662632,-0.017822735,0.5192524,-0.25858247,-0.20647717,-0.34904364,-0.043868333
5,5,hypertrophic cardiomyopathy,CHEMBL894,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,-3.4048965,3.6974194,-4.1685405,-0.64192194,0.48648107,-1.9157919,1.2219672,0.85809964,-0.72252,-0.77745956,1.8221594,0.15643103,3.314139,-1.9223219,-1.5076451,-0.34061024,2.0486112,-5.648158,3.6332808,-2.253176,-3.5464609,0.9344615,3.5677366,-1.2878343,0.48304358,-0.8786126,-1.6836872,0.21103835,-0.07481101,-0.11513268,0.291513,0.96291196,0.08393732,-0.0684661,-0.9229788,-0.039384853,0.31736934,-0.5485299,1.2159523,-0.27748114,0.79575574,-0.32166523,-0.93894297,-0.08153759,1.1600792,-1.1565163,0.7035864,1.3106933,0.932493,-0.45646852,0.6662135,0.0047675073,0.9552373,-0.7038921,-0.15661347,-0.1808694
6,6,hypertrophic cardiomyopathy,CHEMBL13,COCCc1ccc(OCC(O)CNC(C)C)cc1,1.6252601,-1.613338,4.330817,-0.36917883,6.300173,-6.1741724,-1.8997123,1.9303356,-0.28949195,-0.3308921,-0.46532768,-2.9612978,2.4849262,1.1768464,1.0548608,4.235008,0.48841292,2.2107713,1.9510756,1.7916855,-1.3083723,-4.84171,-0.42400593,0.7332243,2.9212875,-1.8691796,-0.2945041,-2.7373486,-0.4904828,-0.016296208,-0.21624584,0.9298793,1.1307943,0.38508978,0.5254897,-0.8588445,0.31268796,0.85767573,0.46091703,0.68959343,0.5733749,1.1736753,-0.09242346,0.4286703,1.7178764,-0.77169645,0.0016519651,-0.2941834,0.043641023,-0.22595885,0.2679354,0.20220205,-0.5424459,-0.7475629,-0.07288536,-0.22575355
7,7,hypertrophic cardiomyopathy,CHEMBL110458,OCC1NCC(O)C(O)C1O,1.6036941,1.9164091,0.64831483,-2.0243988,2.3514884,-2.151928,-1.9491446,-1.095039,-4.8942814,-4.459156,-0.80380255,-5.4213123,2.9284692,6.844237,1.3627717,3.9697492,0.12382217,-0.6022508,-0.7272566,0.85524553,0.066724226,0.9298551,5.498978,1.3196055,0.18581995,2.4568777,2.2319288,3.1476026,-0.38889086,0.8048033,-2.0257013,0.39216793,1.6644158,-1.2441142,0.26050276,-1.0221305,1.8966957,-1.3700658,0.84638613,-0.26934913,-0.06823629,0.604126,0.29076228,0.6601508,0.98209095,1.7920337,-0.2808612,0.074798405,-0.9643502,0.33607507,-0.0045400336,1.3647665,0.6762467,-1.558229,2.2284644,-0.30992392
8,8,hypertrophic cardiomyopathy,CHEMBL325041,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,-5.480195,-1.9495767,1.7342569,0.20963323,3.390928,-0.28050864,-3.5967019,1.8826448,4.254957,5.4813404,2.979388,2.8809988,-3.2493465,-3.1406393,-3.8110223,1.090917,-7.156063,-0.08954054,-0.1770718,-3.2355688,0.069813296,0.42210257,5.200673,0.8376667,4.0135064,-1.7945247,-4.2137575,1.1815908,0.1719551,0.23457077,-0.26305035,0.6988672,0.3556597,0.2627684,0.5548251,0.069677845,0.43780768,0.03987312,0.57471627,-0.120882116,0.08036595,-0.10149743,0.46948126,-0.16796188,1.2337494,-0.23885533,0.4324599,-0.19671744,-0.28621736,-0.016679652,-0.030674405,0.63860106,0.5828866,0.035731338,0.3434314,0.32902825
9,9,hypertrophic cardiomyopathy,CHEMBL1404,COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1,-1.0583373,-2.0882854,1.7377708,-0.84269565,3.0313318,-6.518014,2.071952,2.4487529,0.5898651,0.099701926,-1.9945812,0.44425368,2.445768,1.591783,3.2627718,3.2800078,2.130477,1.8505278,0.5287734,1.5098871,-3.7104766,-3.104014,-4.6823416,4.004206,3.3288348,2.0042253,1.9217854,-1.7276677,-0.43881708,-0.78472537,-0.20725942,-0.07753377,0.57162946,0.89471424,-0.46052366,0.6939068,-0.27460617,-0.12394059,-0.040027212,0.3613009,-0.85128456,0.2543521,0.31795448,-0.07105122,0.9949039,1.1130197,1.1999948,0.2901386,-0.07641127,-0.9994087,-1.036838,0.6140964,0.4193939,0.2236071,0.6805436,1.5096109
10,10,hypertrophic cardiomyopathy,CHEMBL2105675,CNCC(O)C(O)C(O)C(O)CO.O=C(O)c1ccc2nc(-c3cc(Cl)cc(Cl)c3)oc2c1,0.66550803,-0.6406034,1.9281096,-5.1639566,6.1833982,-4.589524,3.5015593,-1.7995734,-2.5768201,-3.3774955,-0.47974545,1.6844305,-0.6031629,-0.796212,2.6419945,6.8427277,-5.428934,0.65327746,0.69959366,4.2292013,-1.3173512,-2.6502934,7.3548293,2.161007,-0.026875205,0.038448423,-1.7581201,-4.7360716,0.014329824,-0.9032783,-0.34187642,0.91509557,0.10038455,0.63230914,-0.72940457,-0.33078554,-0.25627536,0.029476088,1.1849886,0.10460272,0.22904468,0.6883011,-0.027216554,0.8818327,1.8479674,-0.08648376,-0.34160084,1.0121888,0.40384832,-0.7529954,0.11752882,0.8057101,0.41055095,0.12143424,-0.38247383,0.06771129
11,11,hypertrophic cardiomyopathy,CHEMBL2103837,O=C(O)c1ccc2nc(-c3cc(Cl)cc(Cl)c3)oc2c1,0.23253693,-1.1697543,0.6148336,-2.7039928,-0.5499513,4.001583,-0.39800307,-1.141897,-1.0127904,-0.6580383,2.0873275,-0.69659865,-0.41637844,2.7579947,4.7478023,-1.6260523,-1.3625983,-2.8910413,5.1818414,-0.93491036,-1.2556347,1.1639066,-0.0447717,1.4609885,4.7039437,0.95256245,-2.4641557,-1.8287369,0.19773617,-1.5667096,-0.21342054,1.27268,-0.58672845,0.26076835,-1.0502613,-0.5565823,-0.6350667,0.019401204,1.7797453,0.3390439,0.35688907,0.9886499,-0.4400527,1.6390431,2.0549736,0.070524395,-0.50709337,1.6148182,0.73378336,-1.1391606,0.22995177,1.0287951,0.16006248,0.6211339,-0.29794168,-0.073312014
