,Unnamed: 0,hastalik,idd,smiles,jtvae_0,jtvae_1,jtvae_2,jtvae_3,jtvae_4,jtvae_5,jtvae_6,jtvae_7,jtvae_8,jtvae_9,jtvae_10,jtvae_11,jtvae_12,jtvae_13,jtvae_14,jtvae_15,jtvae_16,jtvae_17,jtvae_18,jtvae_19,jtvae_20,jtvae_21,jtvae_22,jtvae_23,jtvae_24,jtvae_25,jtvae_26,jtvae_27,jtvae_28,jtvae_29,jtvae_30,jtvae_31,jtvae_32,jtvae_33,jtvae_34,jtvae_35,jtvae_36,jtvae_37,jtvae_38,jtvae_39,jtvae_40,jtvae_41,jtvae_42,jtvae_43,jtvae_44,jtvae_45,jtvae_46,jtvae_47,jtvae_48,jtvae_49,jtvae_50,jtvae_51,jtvae_52,jtvae_53,jtvae_54,jtvae_55
0,0,inflammatory bowel disease,CHEMBL704,Nc1ccc(O)c(C(=O)O)c1,0.372736,-0.115715936,-1.8318914,-3.4701924,0.57806706,-2.3603377,2.5900528,-3.1643112,-4.20024,-1.1946536,-0.43664557,-3.4320712,1.0970734,0.74520814,3.5011349,0.7999336,0.92423743,-1.9263897,1.0994601,-0.5987334,3.245521,0.23332854,2.3458607,1.6106234,-2.4425447,-0.335214,-3.1356459,-0.76265657,0.37779784,0.4062989,0.41017103,-0.83362824,0.27811605,2.373881,-1.0032536,0.733378,-0.18945193,0.24431743,0.6272099,-0.9238819,-0.36012962,0.48798037,1.5064937,0.022182364,1.7687496,-1.1052582,-0.18478887,-0.14491656,-1.5366577,0.15248832,0.12389494,-3.038746,0.5806562,-0.7742853,0.05017414,-0.5286932
1,1,inflammatory bowel disease,CHEMBL1542,Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12,-0.70020545,-0.100150585,3.0431116,-0.43933362,-1.9645276,-1.6997484,2.6869006,-5.671906,-2.1005504,-0.17460714,-4.6067104,0.8253053,1.5216882,-0.095806465,0.16618864,-4.281165,-1.3177879,-4.574992,-3.3777025,3.421234,2.307712,-0.2728888,-2.4231875,-4.6417637,-3.4271626,7.110847,-0.2370463,-0.9558395,-2.3707168,0.5536713,-1.6611655,2.2124815,1.7945964,-0.07655221,-0.5834611,1.6146833,0.43236688,0.11100751,-0.6941683,1.9015577,1.035998,-0.1872056,-1.3935084,0.27003813,0.45390326,1.6509273,-0.40094084,1.6080886,-0.7769193,2.3854947,-1.2284992,2.5571263,2.4170623,-1.2392871,-0.91398054,2.5325263
2,2,inflammatory bowel disease,CHEMBL526,CC(C)c1cccc(C(C)C)c1O,-0.5840869,1.7442225,-3.193424,-1.3907892,5.0964656,0.51224947,-0.023437597,0.55863166,-2.0249195,-0.8801885,-0.06360446,-2.500775,2.718654,1.6566089,-2.1653042,-2.858353,0.24254827,-3.4897316,5.624126,-0.857919,-0.18315558,-0.71516937,1.7731736,0.7976596,0.25998026,-3.7287364,-2.1695094,2.9421594,-0.5602234,-0.30510873,-0.4967798,1.8235697,2.0095148,0.90374285,-1.1717533,1.2267004,0.15693054,-2.3715026,0.39865774,-0.21285704,0.9462515,-1.0065458,-0.23462152,0.71521527,-0.38285133,-0.3541681,-0.2109739,-2.9962084,-0.17941156,-1.9887964,2.554703,0.27296746,1.2239746,-1.0360143,-0.49292457,0.74241054
3,3,inflammatory bowel disease,CHEMBL1433,CC1c2cccc(O)c2C(=O)C2=C(O)C3(O)C(=O)C(C(N)=O)=C(O)C(N(C)C)C3C(O)C21,0.5922371,5.584555,-1.3374715,-1.4144173,8.566183,-3.0523202,-1.0387592,1.4102663,-4.5943184,0.7986596,-4.1791997,2.414382,6.1158867,8.313702,13.515143,1.6883262,2.935105,2.0410724,-0.94830614,-2.1958923,6.9982867,-2.1969686,6.7530265,-0.35806972,2.4572365,6.764359,-2.675571,9.665263,-0.4297267,-0.8334306,-0.06471626,0.50007266,1.7335796,-0.07384822,0.047788695,0.2543671,-0.050297193,-0.44357362,-0.91853034,0.14391908,0.15964577,1.2070526,0.6305268,-0.0005963119,1.0646366,-0.7015101,-0.51211756,-1.3340716,-0.13987207,-0.57628334,-0.08112359,0.61748505,0.53654134,1.1936324,0.43959433,0.70917547
4,4,inflammatory bowel disease,CHEMBL1098,CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C,0.34215713,-1.0272275,-1.5680584,0.24328575,0.5462537,-4.0923777,-5.3768973,4.1086497,3.5535665,-1.5406728,0.83694094,-3.4316473,-0.062120408,1.6395017,-3.5983095,2.2028959,1.0229712,-0.5454245,1.7615621,-1.7439536,-2.5833685,-1.8397791,0.33883584,-1.3177159,-3.959269,-4.2192326,1.0472468,2.0774739,-1.035154,-0.2801942,-0.7291066,-0.11929698,0.57242453,0.48716006,0.48819837,-0.58788884,0.18726343,-0.23368962,-1.3525343,0.70361197,-0.036601983,-0.04571739,0.57227117,0.41485095,0.86140466,0.91665286,1.5407575,1.3454825,-0.9555477,-1.16434,-0.8009226,0.42797485,1.5785483,0.6806079,1.6084794,1.5130228
5,5,inflammatory bowel disease,CHEMBL655,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,-2.1747289,-0.28024536,-1.3644934,0.7400006,-1.2080595,5.2108493,0.05334451,-1.371513,0.45260778,0.17528142,-3.006847,-1.2292411,-2.618975,4.507475,0.11549051,-1.0607742,1.2831873,-4.9557037,0.24493475,2.7691946,-1.0080467,0.6459992,2.4390047,-1.2431847,-3.4056687,2.6406722,-2.969304,0.33395243,-0.55810374,-1.0541042,-1.127165,0.1493825,0.94580555,2.00492,-0.39113554,-1.0125978,-0.8016689,0.7252003,-0.008419822,-0.6555009,0.7367419,0.84797245,1.1833894,-0.31596404,0.91582525,0.21575418,-1.0887731,-0.41604313,-2.5491474,-0.8439688,0.18165344,-1.6197083,0.4936543,-1.7559761,1.1347239,0.14537412
6,6,inflammatory bowel disease,CHEMBL1200760,O=C([O-])CCNC(=O)c1ccc(N=Nc2ccc(O)c(C(=O)[O-])c2)cc1.[Na+].[Na+],-0.39828548,-5.815226,3.8472238,0.04618349,-2.0761209,-2.4959865,-4.2551627,3.3162675,0.6059065,1.6570933,2.9603105,2.815375,0.84690964,1.0797437,4.495525,-3.4425285,0.50789875,-0.8704909,3.7270806,-2.2158227,1.3749294,-5.1862073,1.591152,3.7678952,0.51223344,-0.7891619,3.028471,-0.80394566,-0.17258976,0.40768024,-0.49872983,-0.30645233,0.7718455,0.19303142,0.2542136,-0.9248576,-0.23725116,0.12636007,0.59351057,-0.39124787,0.37010646,0.7123718,0.538278,0.42004168,2.0323536,-0.5118734,0.182825,-1.0114588,-0.22293882,0.014838882,0.74933684,-0.20092812,-0.41759664,-0.6610223,-0.25919113,-0.4590554
7,7,inflammatory bowel disease,CHEMBL1201013,O=C([O-])c1cc(N=Nc2ccc(O)c(C(=O)[O-])c2)ccc1O.[Na+].[Na+],-1.0050546,-4.353164,0.88686097,-0.9488842,0.41278136,-0.63491994,-2.8038187,-0.85731834,-3.2305076,-1.7201004,1.0986267,0.89944094,1.5184473,2.8966637,6.6980214,-4.388749,0.85591996,-0.778073,2.7745419,-0.5894095,1.2535123,-2.9716911,2.0964036,4.20077,1.9015367,2.1207066,1.3876779,3.3066099,0.14292343,1.4977448,-0.53286487,-1.8734351,0.9295039,0.78079456,0.82409596,-1.2593243,-0.9257172,-0.5633157,-0.2592605,-2.308988,-0.40093303,-0.15983294,0.8852012,-0.49559528,2.1876168,-0.62227327,0.8236621,-1.8124528,-1.2659107,-0.007819317,1.4988196,-1.3787721,0.036694273,-1.5324137,-0.58715683,-1.5618008
8,8,inflammatory bowel disease,CHEMBL1042,C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)C,6.357811,-0.64743936,-0.61802864,-7.033458,6.415,3.9039457,-8.845913,-1.4782172,6.2936535,6.855023,3.8469737,1.2451856,5.4213037,-0.8180765,2.9476788,5.237821,1.8818046,-1.0095304,-0.30820966,3.6090722,2.2466664,-4.0402284,-1.9779601,-0.4258458,6.352307,3.2332067,-1.6911623,5.751381,0.4033338,0.21811846,-0.002511032,0.7847012,1.2725784,1.0953755,0.26396874,0.4187714,0.57376105,-0.098823085,0.16174178,-0.04564338,0.97993076,-0.38511115,0.30868077,0.45122796,1.4784802,0.47557917,-0.7587655,1.0445881,-0.8166964,0.353757,-0.107013844,-0.1855725,0.972114,0.009277597,0.032716192,0.48028898
9,9,inflammatory bowel disease,CHEMBL635,CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,2.8286889,1.6994758,-0.94880176,0.43813914,4.980709,-1.0404078,-2.2851255,-2.8906832,2.5527005,3.237648,-0.015127763,3.4175642,-2.2038693,1.8968036,4.5808363,4.28027,4.542518,-3.1738675,-2.4924366,-1.4320114,4.0908356,0.72246706,4.8787465,0.14041309,5.106479,1.0846128,3.0822105,5.8411827,-0.11975068,0.99691373,-0.77919644,0.18459912,-0.36632332,0.1461204,1.4382267,-1.3091757,1.7747949,-0.8911125,0.32713673,0.53602153,1.0611675,0.26941508,0.58779496,2.1086946,1.60857,0.109237455,0.065457284,2.4127235,-1.1821116,0.21012214,-0.27387258,-0.10123524,0.28085762,0.74712944,-0.67959356,1.6891528
