,Unnamed: 0,hastalik,idd,smiles,jtvae_0,jtvae_1,jtvae_2,jtvae_3,jtvae_4,jtvae_5,jtvae_6,jtvae_7,jtvae_8,jtvae_9,jtvae_10,jtvae_11,jtvae_12,jtvae_13,jtvae_14,jtvae_15,jtvae_16,jtvae_17,jtvae_18,jtvae_19,jtvae_20,jtvae_21,jtvae_22,jtvae_23,jtvae_24,jtvae_25,jtvae_26,jtvae_27,jtvae_28,jtvae_29,jtvae_30,jtvae_31,jtvae_32,jtvae_33,jtvae_34,jtvae_35,jtvae_36,jtvae_37,jtvae_38,jtvae_39,jtvae_40,jtvae_41,jtvae_42,jtvae_43,jtvae_44,jtvae_45,jtvae_46,jtvae_47,jtvae_48,jtvae_49,jtvae_50,jtvae_51,jtvae_52,jtvae_53,jtvae_54,jtvae_55
0,0,juvenile idiopathic arthritis,CHEMBL154,COc1ccc2cc(C(C)C(=O)O)ccc2c1,2.0523746,-1.4356365,-3.2486537,0.37675744,5.224411,-1.9683822,1.9918696,-2.9116485,-0.30005866,0.76576126,-0.62208295,-2.6821387,-1.31178,2.0477123,0.15207009,2.152123,4.2152805,-1.8945395,-0.008469598,-0.39810127,-2.6629796,2.5391893,-0.99637944,2.002592,3.8895519,1.8436333,-2.260913,-0.22525361,1.528817,1.8083738,-1.008796,1.3345464,0.08595702,-0.29119253,0.9341857,-0.19834882,0.69535506,-0.09858057,0.44351614,0.039494485,-0.7715993,0.26337627,0.046969116,0.49636292,1.7963393,0.7709864,-0.28011024,-0.009055741,0.20369558,-0.84907556,0.21414861,-0.36098883,0.48388255,1.5037675,-0.25645292,-0.4771199
1,1,juvenile idiopathic arthritis,CHEMBL521,CC(C)Cc1ccc(C(C)C(=O)O)cc1,1.3787907,-2.6979744,-1.6029305,-0.15693305,5.719788,0.39786676,0.28508255,2.640706,-1.0258197,2.5082479,0.76399726,-2.4104304,0.13699012,1.0284274,-3.9383492,-2.3526495,0.5699777,-2.5161433,5.483047,-1.2734339,-2.4166667,-0.39376962,3.5572228,1.4575351,0.97193635,-5.374747,-1.2314298,2.1689825,-0.018865446,-0.1986858,-0.37119445,0.98243,1.1539098,-0.33416402,0.07227723,-0.7319919,0.7641123,0.42522475,0.75988555,0.73325455,1.1187345,1.9742134,-0.17265022,0.53176546,1.5656552,-0.47841474,-0.008373082,-0.40386018,0.22583961,-0.08472349,0.3269246,0.430865,-0.94092613,-0.7588545,-0.16478351,-0.10202178
2,2,juvenile idiopathic arthritis,CHEMBL34259,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,-1.916247,-6.7261186,4.461464,-4.709805,2.9115028,-6.1015015,0.75921583,0.7755938,2.2796268,2.9843984,2.32784,6.4704013,3.7424414,2.069999,0.42672688,4.54787,1.1678137,-2.2695746,-4.571883,0.4639979,-1.8430842,-3.2075324,2.9944608,2.2618926,1.0431386,1.7759775,-7.6656556,1.5799856,-0.039003637,-0.2959477,-0.6032287,0.26075715,0.02195856,0.6637666,0.40814963,-0.4788375,-0.49868172,0.4208284,0.5316075,-0.004134156,1.2338935,0.70495814,0.38271955,0.5728201,1.7069899,-0.22113708,-0.37078112,-0.46459693,0.035675943,0.01662632,-0.017822735,0.5192524,-0.25858247,-0.20647717,-0.34904364,-0.043868333
3,3,juvenile idiopathic arthritis,CHEMBL960,Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1,-2.9732697,-0.9119954,-2.3152597,4.714543,2.1318688,1.4853904,0.032561503,-0.6641534,-1.7931195,1.1611528,0.73760456,0.839557,-0.6540731,2.3763206,0.9602336,-2.2694538,-0.2953475,-2.496725,-0.32706422,-0.070976146,-1.637471,-0.729475,-1.6029198,2.122517,0.7888727,-3.4647121,-2.38905,0.29269403,1.0138413,0.58557814,0.16559091,0.22902146,1.3167777,-0.99040234,0.17312726,0.34277794,-0.13316172,-0.34253907,0.84117764,1.9740361,1.9836181,0.71628577,-0.3104188,-0.13795011,2.084756,-0.19032633,0.56997037,-1.6956192,-0.22070651,-0.23996755,0.21720454,0.5123271,-0.44654495,-0.5543046,-0.51834923,0.08243418
4,4,juvenile idiopathic arthritis,CHEMBL1200806,COc1ccc2cc(C(C)C(=O)[O-])ccc2c1.[Na+],1.3788223,-2.3147616,-3.8545914,2.021643,4.3486414,-0.9341357,1.0148859,-2.2912974,-0.4033597,0.8135666,0.20475908,-2.7077644,-0.9382185,1.546366,0.37508816,1.935564,2.9153762,-1.3387271,0.2775849,-0.8836072,-2.898984,1.967349,-2.4470236,0.7442257,4.173885,2.4961724,-1.189778,0.52862996,1.4632761,1.7976156,-0.8915183,1.425594,0.10600272,-0.2858606,0.9196789,-0.054465014,0.62846935,-0.10214186,0.51412404,0.0588059,-0.75778973,0.30423027,-0.0650299,0.3373477,1.8391299,0.852381,-0.2564999,0.04871221,0.28422326,-0.80174357,0.07867307,-0.16173741,0.58522373,1.3690927,-0.23195869,-0.37932715
5,5,juvenile idiopathic arthritis,CHEMBL421,O=C(O)c1cc(N=Nc2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,0.6919725,-1.3046248,5.644109,-1.3338088,0.41299772,-3.7267876,-3.4326766,-1.0414106,-2.3699768,-1.7860434,0.45511377,2.4462743,0.33068633,0.20222934,4.94461,-5.568111,-0.9180065,0.2615558,3.3734775,-3.2733078,0.07990241,0.7746051,-1.8838377,2.3297038,2.9813275,3.2325788,-0.51925576,1.8087665,-0.5510996,0.20832524,-0.30326843,-0.381998,0.49213472,0.43741655,0.7595027,-0.39571077,-0.16476181,-0.35485047,0.66598314,-0.21018139,-0.094318695,0.89086187,0.5378196,0.31274638,2.2798324,-1.1730031,0.59927475,-1.077318,-0.9087106,0.4090482,0.8190797,-0.6463704,-0.49335665,-0.061940014,-0.48772812,-0.58153534
6,6,juvenile idiopathic arthritis,CHEMBL902,NC(N)=Nc1nc(CSCCC(N)=NS(N)(=O)=O)cs1,4.56732,-3.5675895,3.4072554,-5.4934177,-3.5182927,-1.8753033,1.8948402,-2.207475,-1.9828547,0.014833793,1.4918455,6.777715,6.6870947,-4.1215706,-0.49438155,4.6065135,-2.705174,-1.5492307,0.58623195,0.27593142,-1.5313944,-8.643526,0.47772568,-3.494151,1.390149,6.2270017,-4.1671414,0.6081085,0.6549206,-0.16762176,1.1672752,0.2017408,0.45924526,0.95162916,0.7917016,-0.21309875,-0.7297056,-0.10789664,0.7095727,-0.21786028,0.10294258,-0.050061196,0.44064844,-0.6104612,2.0296266,-0.9130418,-0.25070167,-0.018879957,0.13002239,-0.14396313,0.033495687,0.2507988,1.0753633,0.21846062,-0.3759637,-0.05485697
7,7,juvenile idiopathic arthritis,CHEMBL1200878,CC(C)(C)CC(=O)OCC(=O)C12OC(C)(C)OC1CC1C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC12C,-1.2196482,2.0425987,-1.089633,-1.3728192,12.081167,0.75040185,-3.9035716,2.8046215,6.4042935,3.132442,1.8971022,6.5842447,4.5014925,3.2952566,4.386598,2.5006263,-0.7162389,-4.208045,2.5531235,-3.0893924,5.9865856,0.09751655,5.289293,0.2471731,-0.6700027,0.14192235,6.6138806,5.88842,0.012208003,1.0174218,-0.5316233,0.3748929,-0.225297,0.6764699,1.2545843,-0.7837601,0.76769114,-0.46236846,0.45085892,-0.12662464,0.37134716,0.07510539,-0.07751273,1.0344721,1.4380134,-0.009234719,0.10385669,2.3264377,-0.28052175,-0.07127984,-0.47682986,-0.29423282,0.5959874,0.6912463,-0.23234613,0.941412
8,8,juvenile idiopathic arthritis,CHEMBL131,CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,2.4336793,2.572963,-0.32610986,-0.20108181,6.1155005,-1.1203312,-2.414103,-2.8469343,1.6376265,1.0588582,-0.0702361,3.207738,-0.9534558,3.1484299,3.8848658,4.234468,4.048184,-2.943199,-2.3740144,-0.0068103746,3.3450072,-0.5025525,5.6337976,0.7536127,4.9815683,2.2106133,2.3313794,5.597393,4.260499e-05,1.0776292,-0.9131837,0.58506215,-0.3185099,0.27038756,1.3446717,-1.1912746,1.8342375,-0.76940876,0.34262362,0.47801283,1.020885,0.17374626,0.5158725,2.2095816,1.6974393,0.13530982,0.14483768,2.2909002,-1.1032333,0.049925633,-0.28170878,-0.040848494,0.43923992,0.80791485,-0.58322895,1.8185656
9,9,juvenile idiopathic arthritis,CHEMBL384467,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,0.4460127,2.7536254,-1.4413164,2.3533416,10.2369995,2.324731,-0.69502604,-2.1507735,1.6554855,-1.0187858,-0.05786352,2.4431086,0.8397759,2.0059276,4.9834423,3.7510722,1.0637542,-2.251259,-0.7574223,-3.5981836,3.9128683,-0.38386035,6.439456,0.1832993,1.006124,3.024087,1.683089,7.2400723,0.039248843,1.1508647,-1.1236318,0.25796396,-0.59084415,0.05280763,1.3016458,-0.9679594,1.4104737,-0.58479345,0.40309164,0.19101015,0.43789113,-0.08294095,-0.0415181,2.124689,1.8497238,0.44472113,0.094305955,2.5206976,-1.0053723,-0.123554826,-0.72718704,0.055338144,0.49393904,1.2353134,-0.48323625,1.4618407
