,Unnamed: 0,hastalik,idd,smiles,jtvae_0,jtvae_1,jtvae_2,jtvae_3,jtvae_4,jtvae_5,jtvae_6,jtvae_7,jtvae_8,jtvae_9,jtvae_10,jtvae_11,jtvae_12,jtvae_13,jtvae_14,jtvae_15,jtvae_16,jtvae_17,jtvae_18,jtvae_19,jtvae_20,jtvae_21,jtvae_22,jtvae_23,jtvae_24,jtvae_25,jtvae_26,jtvae_27,jtvae_28,jtvae_29,jtvae_30,jtvae_31,jtvae_32,jtvae_33,jtvae_34,jtvae_35,jtvae_36,jtvae_37,jtvae_38,jtvae_39,jtvae_40,jtvae_41,jtvae_42,jtvae_43,jtvae_44,jtvae_45,jtvae_46,jtvae_47,jtvae_48,jtvae_49,jtvae_50,jtvae_51,jtvae_52,jtvae_53,jtvae_54,jtvae_55
0,0,left ventricular hypertrophy,CHEMBL1639,COCCCOc1cc(CC(CC(N)C(O)CC(C(=O)NCC(C)(C)C(N)=O)C(C)C)C(C)C)ccc1OC,0.48340413,-3.6177468,0.6767559,-1.6485094,14.844882,-8.96271,-0.088739015,3.7697606,8.498951,6.053888,1.4525114,1.3984299,4.9726806,-3.9939594,3.616988,6.713223,-1.8870659,1.0676432,5.3630724,5.777892,-5.7724423,-4.6301956,6.228843,-0.047406223,1.0752549,2.2873173,-5.64205,-1.57362,0.13708562,0.36736917,-0.23026156,0.43621767,0.9492277,0.56934,-0.16473721,-0.1630442,-0.021150798,0.095227495,0.29516143,-0.5982011,0.045166634,0.47732192,0.025585879,-0.75855356,1.4613936,0.070605524,0.10749703,-0.023678131,0.45878384,0.34765685,-0.25132978,0.5514553,0.5909093,-0.56426966,-0.24773331,0.058939055
1,1,left ventricular hypertrophy,CHEMBL1456,COc1c(C)c2c(c(O)c1CC=C(C)CCC(=O)OCCN1CCOCC1)C(=O)OC2,3.3668027,-0.9025309,1.0496306,-4.305874,7.8983808,-1.2141333,-1.039415,0.16696452,2.696557,9.68978,2.9843261,-2.85829,3.7902281,1.3992741,3.6003454,0.94064957,-2.928714,2.3500125,-1.4027691,-0.72045594,-1.1517258,-2.6182265,4.491486,3.303576,-2.9084451,4.2103753,1.9961463,2.063227,0.42999947,-0.2840423,-0.76774526,0.17874825,1.3635348,0.49392733,1.0303713,0.2864935,0.12755522,-0.4615837,-0.40349895,-0.33111098,0.52634585,0.79545176,0.59332436,-0.07930851,1.3238074,-0.15404321,-0.5669669,-0.59933895,0.106888644,-0.24910146,0.19444665,0.87727964,0.5518064,-0.029073425,0.86865604,-0.030670375
2,2,left ventricular hypertrophy,CHEMBL269732,C=CCC1C=C(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(OC)C3)C(C)C(O)CC1=O)C(C)CC2OC,-0.6829442,0.7011254,-2.6739976,-10.749906,13.598922,-3.758854,-4.8981724,-0.07095198,6.605951,5.2928853,3.8732474,0.38664877,5.413797,11.035794,10.81316,-1.1600844,0.48844498,-2.9679885,-4.893448,0.07695072,3.9577303,0.9019604,15.221317,-1.4004716,-6.13705,9.625582,4.2109666,11.44995,-0.19994538,0.48089126,-0.9935559,-0.011252657,-0.07100341,-0.19621289,0.2747275,0.25532195,0.5653107,-0.5728814,0.0652471,-1.3501667,-0.55095994,0.7551751,0.14237025,0.8518409,1.4747031,-0.18690068,0.2032611,0.13744459,-0.56709725,-0.5477896,-0.32346582,1.1473429,0.7618072,-1.1270368,0.043862857,-0.2978735
3,3,left ventricular hypertrophy,CHEMBL1908360,COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(OCCO)C(OC)C2)CC(=O)C(C)C=C(C)C(O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C1C,-2.3397913,3.1098828,-3.220647,-8.078021,16.61303,-5.772609,-3.6899376,3.0751615,4.675328,8.073236,2.4449198,-0.12140788,5.464613,7.639888,11.58157,0.5880479,-1.239159,-5.453928,1.2194382,-0.9655181,2.654146,0.48101303,14.141373,4.6784234,-4.473767,15.415462,6.002307,11.017849,-0.3609493,0.40440214,-0.95064193,0.07623937,0.55693376,-0.55939066,-0.10097468,0.2047664,1.0240141,-0.95858586,0.7919281,-1.2429941,-0.20588046,1.3077847,-0.08496048,0.76508087,1.9557786,-0.59269303,1.0481741,0.3219266,-0.64145374,-0.82226187,-0.6103103,0.38671145,0.62708586,-0.75869834,0.42450553,0.12514785
4,4,left ventricular hypertrophy,CHEMBL1095097,COC(=O)C1CC2=CC(=O)CCC2(C)C23OC2CC2(C)C(CCC24CCC(=O)O4)C13,3.7606826,2.4754877,-5.154975,-1.6937163,4.872985,3.4579992,-1.7437172,4.7012157,1.6777084,1.8828888,4.0177135,0.6408622,0.98050106,3.3377335,6.445398,3.1911628,1.2762582,-2.5397723,0.39266858,-1.8038676,4.476705,2.554418,4.218633,1.3183502,3.2556088,5.4116135,2.1676273,1.8399727,-0.10690239,-0.06834034,-0.28677556,0.13302574,-0.7004391,1.7663648,0.88078517,-0.5559842,1.9225708,0.09534931,-0.49468037,0.04903856,0.23258328,0.6145153,0.22360656,0.78181094,1.3203276,0.79233027,-0.62332815,1.5150883,-1.0411509,0.25878876,-0.0060663745,-0.35537478,0.041936398,0.5279957,-0.65500313,0.37015378
5,5,left ventricular hypertrophy,CHEMBL723,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,0.49939117,3.6987445,7.5375824,0.78565794,3.8901622,-3.667153,3.2652779,0.35424626,2.2377775,-0.34893864,-1.3450661,-0.9061343,-1.0086365,3.1544795,3.2932107,1.8755738,1.6356266,3.07165,-1.2841184,2.7770905,-1.1870552,-4.6019874,-4.060897,5.5866013,1.3701863,2.4653902,2.392531,-5.5436583,-0.35567874,-1.0528812,0.12364326,-0.3853163,1.0140498,1.0704691,-0.33298656,0.40639174,-0.39040744,-0.21667558,-0.40192136,-0.12036825,-0.2442239,0.30659115,0.47583252,-0.7474499,0.932528,-0.04909135,-0.6066896,0.1545259,-0.06754069,0.34972668,-0.645437,1.1336939,0.6558658,0.30634603,0.53061014,1.1514179
6,6,left ventricular hypertrophy,CHEMBL1016,CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,0.9402164,-0.6332518,2.7639792,-0.5476845,-0.4312396,-3.9032922,-0.6340647,2.8291287,2.1023214,2.0396063,-3.7021775,-4.6794295,-4.0883946,4.3431644,0.83676714,-0.92283946,0.9267401,-6.1108904,-0.017058069,5.9940186,-6.699073,-2.9975553,-0.44983685,0.15578823,1.3492528,1.2428521,-0.88329977,0.9648068,-1.108556,-0.7222273,0.4859923,-0.2968884,0.4273045,0.90462816,0.41094926,-0.24286015,-0.3494985,0.13931102,0.07985148,0.32923102,0.86651325,-0.30400687,0.7417746,0.095241845,0.6551001,-0.86417294,-0.5284818,-0.19725713,-0.75727385,0.59151214,-0.015243672,0.06983343,0.52856857,-1.0357463,-0.28190964,1.0073385
7,7,left ventricular hypertrophy,CHEMBL1200622,CC(C=CC(C)C(C)(C)O)C1CCC2C(=CC=C3CC(O)CC(O)C3)CCCC21C,2.3899443,0.60069287,0.12692472,-3.235742,11.493163,1.2119269,-1.3679243,1.7154595,6.8288097,-0.41246688,7.148396,2.6822367,7.2453866,1.815932,-1.7499803,1.5796666,4.0949793,-1.7136532,0.007333411,-1.7040522,1.2331975,-1.7195561,4.296987,-2.0543065,3.6793952,-0.37787905,-1.1377121,4.075631,0.19146384,-0.5573419,-0.039906643,0.84493226,0.5639119,0.95070136,-0.36960426,-0.57173556,0.21601984,-0.2204061,-0.29678544,0.32474127,0.8154258,-0.26958942,0.5038328,0.59215283,1.1491358,-0.6939215,-0.9298392,0.44198158,-0.21604371,0.053275026,0.01402808,0.84006584,0.773213,0.26557657,-0.3597775,0.84912205
8,8,left ventricular hypertrophy,CHEMBL24,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,-0.29434252,0.6603781,3.858981,-2.4315403,2.5757186,-0.4465459,-1.008891,2.785604,-0.14851958,-1.7456858,-1.5290478,0.79225975,2.7337933,-1.2527148,0.047320858,2.982359,-1.7936339,-2.3633976,1.8822546,0.89921266,-2.9096165,-5.928323,2.908532,4.042065,0.68121207,-3.4393415,0.33632985,-0.51166457,-0.43381178,0.107993655,-0.068400584,0.84839696,1.0548155,0.5078043,0.46803182,-0.68096,0.3116161,1.0229208,0.57708234,0.6419446,0.63717204,1.3207402,0.055920966,0.6308649,1.6457492,-0.8228711,-0.07909034,-0.25678092,-0.12693422,-0.14745897,0.3009017,0.06851807,-0.50241345,-0.80505157,-0.1781134,-0.012239441
9,9,left ventricular hypertrophy,CHEMBL1237,NCCCCC(NC(CCc1ccccc1)C(=O)O)C(=O)N1CCCC1C(=O)O,0.2991409,-6.7415066,2.607403,-0.07629365,1.0798577,-5.94047,-0.056047536,5.645314,4.717386,6.826791,0.026117697,-1.6580685,-0.29613966,-1.7654979,-1.3196707,8.380351,-2.4477127,3.0831134,0.034894615,3.8186655,-0.63711584,-6.1383023,14.746024,1.4257722,-0.2110535,-2.0367374,-6.1160684,0.85573566,-0.5053247,0.25947955,-0.47141996,0.26671055,0.86838126,0.6852506,0.31823364,-0.7922639,0.121572785,-0.7717338,-0.5747964,-0.37122697,0.88073254,-0.034524783,0.4418538,0.224543,0.9497943,-0.12393557,-0.44479114,0.7594312,-0.40092438,-0.49524793,-0.47463837,0.22495906,0.5770984,-0.4195421,0.46205217,0.14435343
