,Unnamed: 0,hastalik,idd,smiles,jtvae_0,jtvae_1,jtvae_2,jtvae_3,jtvae_4,jtvae_5,jtvae_6,jtvae_7,jtvae_8,jtvae_9,jtvae_10,jtvae_11,jtvae_12,jtvae_13,jtvae_14,jtvae_15,jtvae_16,jtvae_17,jtvae_18,jtvae_19,jtvae_20,jtvae_21,jtvae_22,jtvae_23,jtvae_24,jtvae_25,jtvae_26,jtvae_27,jtvae_28,jtvae_29,jtvae_30,jtvae_31,jtvae_32,jtvae_33,jtvae_34,jtvae_35,jtvae_36,jtvae_37,jtvae_38,jtvae_39,jtvae_40,jtvae_41,jtvae_42,jtvae_43,jtvae_44,jtvae_45,jtvae_46,jtvae_47,jtvae_48,jtvae_49,jtvae_50,jtvae_51,jtvae_52,jtvae_53,jtvae_54,jtvae_55
0,0,myocardial infarction,CHEMBL723,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,0.49939117,3.6987445,7.5375824,0.78565794,3.8901622,-3.667153,3.2652779,0.35424626,2.2377775,-0.34893864,-1.3450661,-0.9061343,-1.0086365,3.1544795,3.2932107,1.8755738,1.6356266,3.07165,-1.2841184,2.7770905,-1.1870552,-4.6019874,-4.060897,5.5866013,1.3701863,2.4653902,2.392531,-5.5436583,-0.35567874,-1.0528812,0.12364326,-0.3853163,1.0140498,1.0704691,-0.33298656,0.40639174,-0.39040744,-0.21667558,-0.40192136,-0.12036825,-0.2442239,0.30659115,0.47583252,-0.7474499,0.932528,-0.04909135,-0.6066896,0.1545259,-0.06754069,0.34972668,-0.645437,1.1336939,0.6558658,0.30634603,0.53061014,1.1514179
1,1,myocardial infarction,CHEMBL1201772,CC(=O)Oc1cc2c(s1)CCN(C(C(=O)C1CC1)c1ccccc1F)C2,-1.0551584,1.2012707,-3.7230587,1.4797447,0.25689125,3.6137137,1.1356645,-0.21035244,2.804482,2.8116333,1.0765465,4.6188836,-1.703629,1.2155439,4.438417,0.47072646,-1.7317942,0.6463307,-0.5941782,3.5919065,0.26355302,2.713378,-1.7533002,0.20054094,4.4400387,-2.0701513,-0.41707748,1.1699936,-0.13969836,-0.22637808,-0.2223202,0.123557165,0.0021602511,0.82146525,-0.64198005,-0.11327651,-0.038963906,-0.18617272,-0.22496356,-1.1210256,-0.743905,0.19951478,1.9630488,-0.9884813,1.6502163,0.18323934,0.321607,-0.83608115,-0.16650072,-0.93480784,-0.52769154,0.18917878,-0.50065917,-1.1226983,1.3929223,0.060205624
2,2,myocardial infarction,CHEMBL13,COCCc1ccc(OCC(O)CNC(C)C)cc1,1.6252601,-1.613338,4.330817,-0.36917883,6.300173,-6.1741724,-1.8997123,1.9303356,-0.28949195,-0.3308921,-0.46532768,-2.9612978,2.4849262,1.1768464,1.0548608,4.235008,0.48841292,2.2107713,1.9510756,1.7916855,-1.3083723,-4.84171,-0.42400593,0.7332243,2.9212875,-1.8691796,-0.2945041,-2.7373486,-0.4904828,-0.016296208,-0.21624584,0.9298793,1.1307943,0.38508978,0.5254897,-0.8588445,0.31268796,0.85767573,0.46091703,0.68959343,0.5733749,1.1736753,-0.09242346,0.4286703,1.7178764,-0.77169645,0.0016519651,-0.2941834,0.043641023,-0.22595885,0.2679354,0.20220205,-0.5424459,-0.7475629,-0.07288536,-0.22575355
3,3,myocardial infarction,CHEMBL107,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,0.8304626,4.855702,-4.2270384,-0.15575927,4.715592,-2.564531,1.8508527,1.8968843,-0.7354654,-2.255006,-1.1479965,-2.1456258,-0.15040144,2.4221473,7.698962,0.68968993,0.9134156,0.48131058,-3.0226655,-1.0752904,-0.8023084,-0.2521169,0.16206276,1.2035432,0.5840152,9.787832,-0.24745637,-0.8676492,-0.6611881,-0.2522327,-1.5890828,0.11424762,1.5023426,0.044267073,0.19444028,-0.80915314,0.53731954,-1.4909947,0.32614425,0.41862735,0.45251358,0.19251499,0.4977405,-1.0870113,1.6616589,0.54276145,-0.5195347,0.62096363,0.32252377,0.49861544,0.05038444,1.5704465,0.34615237,-1.2196423,0.5948777,0.92339134
4,4,myocardial infarction,CHEMBL1487,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CCC(O)CC(O)CC(=O)O,-5.9807086,-1.4420289,6.7414145,0.37567228,7.567653,-0.63237345,-0.6108992,2.7415457,-1.5189954,9.88183,-0.093870744,1.1008878,3.653846,2.522469,1.6028479,0.5276248,-1.3701738,-1.2166154,1.3349829,1.353077,-4.9491324,-3.7833676,11.219728,4.1973896,1.063062,2.431684,-4.9608173,7.3531218,-0.15056123,0.20442557,0.03427101,-0.29766583,0.6352613,0.39010704,1.1868278,-0.53063637,-0.100490056,-0.33038995,-0.054529328,0.17026003,0.3440169,0.0074622035,0.3143198,0.13572317,0.8490393,-0.25884044,-0.17200504,-0.0937657,0.14531904,-0.005679615,-0.1547319,0.044508964,0.5574079,-0.60883045,-0.13655286,0.3343048
5,5,myocardial infarction,CHEMBL1200694,FCOC(C(F)(F)F)C(F)(F)F,-1.6243099,-2.7534769,-4.4945154,8.998884,1.4157676,0.17502701,0.9552978,-4.4797964,-0.6378833,-2.4496095,1.8674525,0.82402724,2.4975047,5.8487077,1.9024676,0.8339664,-6.2581086,-2.3968053,0.3873844,1.7240223,-4.0080595,-0.84836984,4.0459633,0.61769146,1.238553,1.6319035,1.2431486,-4.858756,0.23833291,0.32450897,-0.8642814,0.39791983,0.8507252,-0.7932961,-0.15372019,0.072562635,0.95565456,-0.2776621,0.3415791,-0.6828436,-0.1060301,0.5865075,1.0478296,0.12971056,1.810041,0.36447853,0.6943951,-0.45899844,0.4817339,-0.58676267,0.28376946,0.7556734,0.05915682,-0.9409783,0.4579368,-0.18030557
6,6,myocardial infarction,CHEMBL1771,COC(=O)C(c1ccccc1Cl)N1CCc2sccc2C1,-0.48132172,1.6482863,-2.0010512,-0.42441326,-1.0270786,0.55202246,1.2346421,2.8694506,-0.1342488,0.043737575,3.4170988,1.0317969,0.20180593,0.87790215,1.9882635,-0.7439051,-2.6760275,2.3144186,1.8519036,-0.91340715,-0.41227746,5.861376,-0.13498005,-1.1539701,4.1467986,1.217754,-1.4070863,-2.832554,0.19623947,-0.24800023,0.011465743,0.86773455,-0.041365325,1.2217382,-0.52376705,0.11874278,0.21950588,0.2762458,-0.8606939,-0.18419972,-0.99690783,-0.16382365,2.0867155,-0.6034145,1.1303387,-0.20693362,0.6449888,-0.883374,-1.3839786,-0.6738877,0.72547835,0.68462473,-0.098560944,-0.6857723,1.5184336,-0.058762014
7,7,myocardial infarction,CHEMBL2107386,CCOC(=O)NC1CCC2C(C1)CC1C(=O)OC(C)C1C2C=Cc1ccc(-c2cccc(F)c2)cn1.O=S(=O)(O)O,-0.39828715,3.022908,0.15831944,-0.48074993,1.2489785,4.042481,-4.4653726,3.7600393,8.263897,-1.097327,3.899773,0.8269697,1.8908757,0.8016457,5.2510467,6.3005075,-1.6367438,-4.560878,-6.0145197,1.253032,-0.19908695,0.5567056,-1.9312649,0.3411106,1.8805581,0.68056196,-1.0163954,-0.802111,0.51701087,0.6461947,-0.7321759,0.59917116,0.3929081,-0.22897825,0.65078276,0.9947761,0.55043954,0.42511368,-0.07035136,-0.25814316,-0.14866379,0.47158408,-0.59172046,0.82249886,1.526714,-1.8119919,0.24636972,0.32621673,0.15868461,-0.27948886,-0.3176364,0.8881403,0.4590143,0.20936394,0.108025596,0.5008702
8,8,myocardial infarction,CHEMBL1174,N=C(N)NCCCCC1NC(=O)CCSSCC(C(N)=O)NC(=O)C2CCCN2C(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(CC(=O)O)NC(=O)CNC1=O,-0.016624138,-2.0468214,4.5941896,-7.401231,-3.0569615,-6.9352336,-4.1031485,2.1151536,5.2026668,16.780941,-1.6480635,7.378489,5.091512,0.9015683,9.498657,4.5903873,-0.20780967,-4.57786,-1.2195578,-0.9535665,4.4774075,-0.820994,15.708076,3.5659099,-3.9740503,8.7659645,3.082236,5.292699,-0.033837046,-0.22765598,-0.10935048,0.65628076,1.0454227,0.62656426,0.5609874,0.18038599,0.40403,-0.21635672,-0.16855387,-0.69742024,1.3101269,0.44100815,-0.34769326,0.85529596,1.1548749,-0.36189532,-0.6529672,0.14040276,-1.0448118,-0.06848041,-0.76269406,0.86012924,1.0667329,-0.07025945,0.7235014,0.25918418
9,9,myocardial infarction,CHEMBL1491,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,-0.7895676,1.8943483,1.1999131,-2.5914233,4.279056,-2.340918,1.4784424,4.9937105,-0.14707448,5.6468725,0.64677066,-1.3471577,4.3818765,3.9254947,3.0816355,1.615495,-0.3162809,-1.1288064,-0.4667798,-0.0046710446,-4.023516,-0.89017844,6.061321,-1.9247277,-0.074777015,1.6686741,3.436131,-0.4206172,-0.5379621,0.21786255,-0.14553013,0.25754505,0.2990421,1.1257381,-0.6926505,0.3723635,-0.70910144,0.05659672,-0.39239874,0.37067243,0.29786065,-0.40320188,0.82950914,-0.35510215,1.0586432,-0.43477505,0.05224561,-0.11822445,-1.6332213,0.50817835,0.31241345,0.77294695,-0.74792576,0.16451299,-0.19289573,0.6913512
10,10,myocardial infarction,CHEMBL2062335,COCCc1ccc(OCC(O)CNC(C)C)cc1.COCCc1ccc(OCC(O)CNC(C)C)cc1.O=C(O)C(O)C(O)C(=O)O,1.6252601,-1.613338,4.330817,-0.36917883,6.300173,-6.1741724,-1.8997123,1.9303356,-0.28949195,-0.3308921,-0.46532768,-2.9612978,2.4849262,1.1768464,1.0548608,4.235008,0.48841292,2.2107713,1.9510756,1.7916855,-1.3083723,-4.84171,-0.42400593,0.7332243,2.9212875,-1.8691796,-0.2945041,-2.7373486,-0.48223358,0.03438676,-0.2974593,0.83984643,0.9423337,0.46245703,0.40163574,-0.6204064,0.25349143,0.7156396,0.4670981,0.39972395,0.44198132,0.95314854,0.012977187,0.43548632,1.7106463,-0.6892534,0.0024731457,-0.21659434,0.0141228605,-0.1987463,0.16172996,0.3300899,-0.36120582,-0.6749116,-0.07292595,-0.23888788
11,11,myocardial infarction,CHEMBL398435,CCCSc1nc(NC2CC2c2ccc(F)c(F)c2)c2nnn(C3CC(OCCO)C(O)C3O)c2n1,-0.2533568,-2.8341067,6.3528757,3.4631267,5.732678,-0.25013602,-5.0209327,2.9693582,2.728762,-5.694409,-4.0992837,0.7126194,1.2180632,5.743405,6.0107136,3.3876946,-0.9058328,-1.1598122,-3.8458881,3.9011433,1.9471781,-8.669126,2.0631344,-3.2957485,-1.0008502,6.271411,0.04791052,3.8356063,-0.13067119,0.37781498,-0.1330263,0.18384498,0.53821164,-0.47665805,-0.0113855805,-0.5445185,0.043256857,-0.2363969,0.2786108,-1.1467581,-0.39027637,0.85451984,-0.24179158,0.31067008,2.0952713,0.31416366,0.3074416,0.10185326,-0.33530104,0.2833112,0.09563089,0.96021736,0.14426921,-0.9911952,-0.0087901205,-0.13088799
