,Unnamed: 0,hastalik,idd,smiles,jtvae_0,jtvae_1,jtvae_2,jtvae_3,jtvae_4,jtvae_5,jtvae_6,jtvae_7,jtvae_8,jtvae_9,jtvae_10,jtvae_11,jtvae_12,jtvae_13,jtvae_14,jtvae_15,jtvae_16,jtvae_17,jtvae_18,jtvae_19,jtvae_20,jtvae_21,jtvae_22,jtvae_23,jtvae_24,jtvae_25,jtvae_26,jtvae_27,jtvae_28,jtvae_29,jtvae_30,jtvae_31,jtvae_32,jtvae_33,jtvae_34,jtvae_35,jtvae_36,jtvae_37,jtvae_38,jtvae_39,jtvae_40,jtvae_41,jtvae_42,jtvae_43,jtvae_44,jtvae_45,jtvae_46,jtvae_47,jtvae_48,jtvae_49,jtvae_50,jtvae_51,jtvae_52,jtvae_53,jtvae_54,jtvae_55
0,0,nephrolithiasis,CHEMBL193,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],1.826307,1.3096474,-3.2409232,-3.9353366,3.8529584,-2.0120916,1.693215,2.2659764,-1.1135421,5.491789,3.3650556,-0.5144126,2.3736334,1.8841693,2.892864,-3.9243805,-0.51842886,-2.4281483,-0.8338657,2.1028416,-1.3389922,2.2383785,5.410214,0.62474936,1.044645,2.0927649,5.283022,0.7329252,-0.68548316,-0.6641828,-0.038328566,-0.35519844,0.6896163,1.5243556,-0.017735166,0.96785957,-1.5881469,-0.18777584,0.17508209,0.30245492,0.21433109,-0.7277795,0.5962868,-0.48452675,0.56775075,-0.15503138,-0.15053274,0.44233197,-1.141543,0.44531167,-0.18726721,-0.13482034,-0.8514386,-0.61856973,-0.49311727,0.4205991
1,1,nephrolithiasis,CHEMBL6966,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,2.377644,1.7986042,5.224253,-2.7763743,8.103147,-2.7877474,3.704084,4.4783072,7.4940248,5.302776,1.9530221,-0.56518227,4.541618,2.0097032,2.602852,-0.35186923,-1.0715566,5.1408596,4.63041,6.684639,-5.225877,-3.4751587,2.8032033,2.7394896,-3.1284037,5.4322267,-1.929771,0.16847187,0.02420398,0.5716146,-0.9140873,0.28195423,0.6566025,-0.50562394,-0.25221935,-1.037844,-0.17795369,-0.15521629,0.46045116,-0.11831523,0.11437189,0.32340714,0.22049871,-0.4990347,1.8223212,-0.09965671,1.253581,-0.0013466477,0.48763344,0.3675505,-0.024669096,0.7618362,-0.2345119,-0.6023979,-0.19105981,-0.2710149
2,2,nephrolithiasis,CHEMBL1077896,CCCN1CCCCC1C(=O)Nc1c(C)cccc1C,-0.36565796,0.06807007,-2.9690125,-0.6534715,-0.54529345,-3.8256178,-3.8950171,3.0053632,2.7631984,-2.7914152,1.1224409,-3.0825906,0.015627593,1.1718895,-2.5826206,1.8086509,1.1463746,-1.5232276,1.4461119,-1.6937507,-2.8741527,-0.7842461,-0.6339057,-0.4268407,-2.9053705,-3.458179,1.1263056,1.8217072,-1.094835,-0.3331365,-0.7262451,-0.113579676,0.6041968,0.528088,0.45667258,-0.59980774,0.16888842,-0.3254667,-1.4188206,0.7327366,-0.13278422,-0.11166181,0.6890925,0.5255192,0.877601,1.0731443,1.5552443,1.3535258,-1.0069315,-1.1632881,-0.779995,0.40184715,1.6396395,0.75281894,1.6288711,1.5462301
3,3,nephrolithiasis,CHEMBL1180725,CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C,-1.8755797,5.6801643,3.5023267,-0.21804541,6.0059166,-0.11714154,-2.6825218,0.94164616,1.4292784,0.6623154,-1.203726,4.0059724,1.2745463,-1.8466699,0.6189069,-3.8198125,0.06801869,-5.0317593,-2.302064,3.0764036,-0.15815948,-0.31235227,5.4314713,2.2146773,3.1331725,0.22471976,5.909566,2.09867,-0.75518125,0.33071503,0.67729,0.5424963,0.9842125,1.0582551,0.0031196196,-0.09115389,-0.041902766,0.12130137,-0.88375056,0.65260917,0.32718143,-0.1886731,0.46993423,-0.3875514,2.0753713,-0.3347735,-0.4693402,0.4071121,-0.54045486,-0.39155358,-0.3735596,1.0907049,0.34467393,-0.91951203,-0.1626463,0.6443012
4,4,nephrolithiasis,CHEMBL384467,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,0.4460127,2.7536254,-1.4413164,2.3533416,10.2369995,2.324731,-0.69502604,-2.1507735,1.6554855,-1.0187858,-0.05786352,2.4431086,0.8397759,2.0059276,4.9834423,3.7510722,1.0637542,-2.251259,-0.7574223,-3.5981836,3.9128683,-0.38386035,6.439456,0.1832993,1.006124,3.024087,1.683089,7.2400723,0.039248843,1.1508647,-1.1236318,0.25796396,-0.59084415,0.05280763,1.3016458,-0.9679594,1.4104737,-0.58479345,0.40309164,0.19101015,0.43789113,-0.08294095,-0.0415181,2.124689,1.8497238,0.44472113,0.094305955,2.5206976,-1.0053723,-0.123554826,-0.72718704,0.055338144,0.49393904,1.2353134,-0.48323625,1.4618407
5,5,nephrolithiasis,CHEMBL2095212,Nc1nc(CC(=O)Nc2ccc(CCNCC(O)c3ccccc3)cc2)cs1,0.30557847,-4.587747,6.3191566,0.1306468,-0.7129483,-0.698573,0.348277,2.749684,1.0975999,4.4337645,0.32048988,0.7444328,2.9745493,-0.50062937,-1.4362413,1.1914299,2.431574,0.2296572,-2.1789138,0.6773009,0.46321744,-7.64599,2.4516919,2.1554093,-0.033466287,-0.49614814,-6.2243752,0.92647624,0.47757468,-0.3567151,0.83545786,0.19770604,0.40008363,0.29765508,0.8905063,-0.49342918,-0.29044425,-0.18008114,0.60011715,0.66875356,0.011822455,0.47595495,-0.34388953,0.45513347,1.8520236,-1.3776896,0.19483364,-0.1612128,0.085456856,-0.45069474,-0.25947145,0.13676271,-0.014313951,0.038629152,0.12758964,-0.2613128
6,6,nephrolithiasis,CHEMBL112,CC(=O)Nc1ccc(O)cc1,-0.7130991,3.5547688,-2.189852,-2.5957115,-1.2106632,-0.74815404,-0.031337686,-1.8462358,-3.033496,-2.1320763,-0.8442875,-1.6034187,0.58025587,1.1177254,1.370674,-0.7857965,-1.9395419,-0.13632283,1.2990943,-1.6766235,2.2057111,-1.4214715,-0.56582457,2.035881,-0.46854272,-2.0007277,0.096411094,-0.27674007,-0.14473727,0.8128929,0.8525981,0.052915394,0.26916403,1.6208473,2.2021084,-1.1135801,-0.91823137,0.59167904,-0.55020064,0.49406624,0.8304262,1.5039438,-0.26952484,1.3672605,1.0995041,-0.89557296,0.31585222,-0.13685825,-1.1927376,-0.5330924,0.043597557,-0.8071518,-0.39552802,-2.6155908,-1.1971258,-1.2663597
7,7,nephrolithiasis,CHEMBL836,CCOc1ccccc1OCCNC(C)Cc1ccc(OC)c(S(N)(=O)=O)c1,0.48203972,1.9006845,2.5917892,0.96823233,4.0219235,-3.1675649,2.4975433,2.1168714,2.3866754,-2.4843092,-1.3626416,-3.7402043,1.6097994,0.38887027,2.5415883,4.2052584,0.89385873,0.16897029,1.0932417,0.06568735,-5.271073,-6.6134024,-3.8774142,-0.44089037,1.3664539,2.5350986,1.0546763,-1.3946645,0.07554556,-0.17957842,-0.50826377,-1.2414074,0.2193203,0.4204349,-0.2262283,-0.031195026,-0.70841813,-0.5839645,1.0109355,-1.0397758,-0.5284799,0.095177494,1.2110546,-0.52444136,1.4655908,0.5861687,1.1263334,-0.40933302,0.4806499,-0.3758713,-0.73575747,0.29900336,0.38220322,-0.74091494,0.38978723,0.65523684
8,8,nephrolithiasis,CHEMBL1200914,CCOc1ccccc1OCCNC(C)Cc1ccc(OC)c(S(N)(=O)=O)c1.Cl,0.48203972,1.9006845,2.5917892,0.96823233,4.0219235,-3.1675649,2.4975433,2.1168714,2.3866754,-2.4843092,-1.3626416,-3.7402043,1.6097994,0.38887027,2.5415883,4.2052584,0.89385873,0.16897029,1.0932417,0.06568735,-5.271073,-6.6134024,-3.8774142,-0.44089037,1.3664539,2.5350986,1.0546763,-1.3946645,0.030557299,-0.20445791,-0.493405,-1.2154294,0.25391167,0.43335658,-0.25310782,-0.053238075,-0.64558583,-0.5620292,0.9611608,-0.96186185,-0.474903,0.12350827,1.1687305,-0.52803564,1.4770548,0.6182919,1.1068051,-0.47170722,0.44398832,-0.37529117,-0.69541234,0.32191437,0.45403332,-0.68826306,0.40374023,0.6360924
9,9,nephrolithiasis,CHEMBL191,CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,-1.5244704,-1.7651345,5.11317,2.9089797,1.3929867,-0.3324527,-3.9969378,5.9978685,1.7983214,4.522236,-3.8760765,-7.2749014,-0.068801746,5.0361743,-0.42099303,0.13480867,-0.9655649,-1.4150635,3.4427185,5.057479,-1.6717163,-6.4908843,2.6526957,-4.672993,-4.1114626,0.9151598,-1.7047307,2.9539566,-1.0572982,-0.48352757,-0.6892871,-0.19038196,0.4017983,1.2289168,-0.0072255637,-0.9841596,-0.004020255,0.13184246,0.009930906,0.31902704,0.8432623,0.16369525,1.0702405,-0.060894784,0.9311249,-0.97568756,-0.4889056,0.46517226,-0.83774817,0.28678426,-0.5688976,-0.5943364,-0.7407927,-1.1599362,-0.08251571,1.0216787
