,Unnamed: 0,hastalik,idd,smiles,jtvae_0,jtvae_1,jtvae_2,jtvae_3,jtvae_4,jtvae_5,jtvae_6,jtvae_7,jtvae_8,jtvae_9,jtvae_10,jtvae_11,jtvae_12,jtvae_13,jtvae_14,jtvae_15,jtvae_16,jtvae_17,jtvae_18,jtvae_19,jtvae_20,jtvae_21,jtvae_22,jtvae_23,jtvae_24,jtvae_25,jtvae_26,jtvae_27,jtvae_28,jtvae_29,jtvae_30,jtvae_31,jtvae_32,jtvae_33,jtvae_34,jtvae_35,jtvae_36,jtvae_37,jtvae_38,jtvae_39,jtvae_40,jtvae_41,jtvae_42,jtvae_43,jtvae_44,jtvae_45,jtvae_46,jtvae_47,jtvae_48,jtvae_49,jtvae_50,jtvae_51,jtvae_52,jtvae_53,jtvae_54,jtvae_55
0,0,non-alcoholic steatohepatitis,CHEMBL595,CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1,2.5542629,-4.3188567,4.6949763,0.862196,3.4601448,1.8004084,-0.70799243,5.5697875,2.1678717,4.692108,0.8187575,-6.026022,-0.36999786,2.7108276,0.07263698,2.9995146,5.1212907,-3.1657622,-1.3454586,0.41954535,-3.3377435,-1.3921729,0.3406641,-1.30641,-0.5330715,-3.2580986,2.1584258,1.8079007,0.40857846,-0.27161708,-1.0317314,0.621608,0.9058341,0.023894057,0.24116258,0.22591059,1.0701529,0.58469146,0.57689244,1.262882,0.55035776,1.9308026,-0.7901175,1.2130783,1.7578657,-1.2572584,0.071377926,-0.5348061,0.03685563,-0.03707318,0.15984476,0.89723396,-1.1056291,-0.6442082,-0.71842426,0.5369626
1,1,non-alcoholic steatohepatitis,CHEMBL429910,CCOc1ccc(Cc2cc(C3OC(CO)C(O)C(O)C3O)ccc2Cl)cc1,-2.057927,-1.003322,3.9736845,1.365887,7.6559525,-0.30773932,-1.2864852,3.984983,3.2118843,-1.3310643,-1.7307079,-7.2943377,3.4013085,5.6203275,4.6457787,2.8224504,4.123925,-1.6414479,3.0079422,2.9072256,2.035536,-2.658812,3.364453,0.61176753,-2.2337768,1.5279784,-1.2586555,0.45922434,-0.02577792,0.780485,-0.37850484,0.7552512,0.34863517,-0.21868968,0.373854,-0.82190037,0.19304484,-0.2855965,-0.5020561,-0.70185536,-0.18716696,1.4538321,0.19319761,0.24004354,1.6193388,0.5257114,0.61912423,-0.82272637,-0.16004753,-0.4491992,-0.34349695,0.6761683,0.13971676,-0.8426161,-0.11779746,-0.6223315
2,2,non-alcoholic steatohepatitis,CHEMBL3261331,CC(C)c1cc(Oc2c(Cl)cc(-n3nc(C#N)c(=O)[nH]c3=O)cc2Cl)n[nH]c1=O,-9.063854,-3.7328954,1.9573185,-3.140115,0.9832063,5.0705996,-2.247251,5.395873,-1.6614863,0.94107676,-0.6733832,2.4133787,-0.05141083,6.522613,7.004378,-0.5488869,2.651199,-5.154769,0.4913789,-4.8764906,-0.5154644,-0.60020375,0.87998253,-1.6320386,0.24766202,0.587914,2.2791963,3.3135192,0.17528352,-0.36377415,-0.45464584,-0.24801265,0.023500085,0.5305486,0.0682902,-0.9693506,-0.2293644,-0.12539358,0.10380386,-0.7332072,-0.27311566,0.29001004,0.35448846,0.31543937,1.6768935,-0.8155663,0.9792718,-0.8546573,0.74470824,-0.89160305,0.80938804,0.26071718,-0.39890367,0.23964837,0.45558208,-0.521634
3,3,non-alcoholic steatohepatitis,CHEMBL191,CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,-1.5244704,-1.7651345,5.11317,2.9089797,1.3929867,-0.3324527,-3.9969378,5.9978685,1.7983214,4.522236,-3.8760765,-7.2749014,-0.068801746,5.0361743,-0.42099303,0.13480867,-0.9655649,-1.4150635,3.4427185,5.057479,-1.6717163,-6.4908843,2.6526957,-4.672993,-4.1114626,0.9151598,-1.7047307,2.9539566,-1.0572982,-0.48352757,-0.6892871,-0.19038196,0.4017983,1.2289168,-0.0072255637,-0.9841596,-0.004020255,0.13184246,0.009930906,0.31902704,0.8432623,0.16369525,1.0702405,-0.060894784,0.9311249,-0.97568756,-0.4889056,0.46517226,-0.83774817,0.28678426,-0.5688976,-0.5943364,-0.7407927,-1.1599362,-0.08251571,1.0216787
4,4,non-alcoholic steatohepatitis,CHEMBL2110727,CCCCOCCOc1ccc(-c2ccc3c(c2)C=C(C(=O)Nc2ccc([S+]([O-])Cc4cncn4CCC)cc2)CCCN3CC(C)C)cc1,2.303069,-5.512408,9.4692135,1.2248014,4.542395,-5.13323,-5.3330994,8.57272,8.634418,3.404729,-0.4243757,-0.8368177,-0.38875997,1.836873,2.9358082,1.6410539,-1.1609366,-2.0262935,0.3942752,3.9428084,-2.8059165,-5.2454453,-2.086427,-3.6562672,0.38707328,-1.5367925,-2.0375905,4.9783554,0.08618413,-0.019412264,-0.76993823,0.30511442,0.5474467,0.65301424,-0.09711608,-1.2548835,0.19946948,0.16135535,0.08081285,0.5196989,0.97774434,0.9379908,0.045525633,0.80419445,1.5968363,-0.11570212,0.015070483,-0.15423545,-0.48251987,-0.8793619,1.0356784,0.06523986,-0.45428663,-1.142985,-0.67822117,-0.05137302
5,5,non-alcoholic steatohepatitis,CHEMBL628,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,2.4145794,-0.69473684,1.7279376,-2.1630754,-1.7809689,-5.3797503,0.02614402,5.353056,0.42012653,7.732565,-0.90350175,2.8875647,4.9094086,5.7273626,-1.194131,-0.53642875,-1.6020423,0.18237013,4.9439344,-5.808844,5.545474,-2.8807726,0.93700236,-3.2657707,-5.488517,-0.43408313,2.5740995,0.45233667,-1.2594855,0.025077721,-1.3609898,0.9771254,2.5634303,0.90305537,-1.4174504,0.7288003,0.33221662,0.5188478,-0.48467335,-0.15058038,-0.5326898,0.5539496,-0.6163535,1.1525569,1.2315936,1.0879416,-0.9556528,0.6376996,-0.057837673,0.86163354,0.49757907,0.79032016,0.8155725,0.28886774,-0.69153076,0.86747444
6,6,non-alcoholic steatohepatitis,CHEMBL457748,Cc1cc(OCP2(=O)OCCC(c3cccc(Cl)c3)O2)cc(C)c1Cc1ccc(O)c(C(C)C)c1,1.4682553,0.71680576,3.3462205,-0.165268,8.895533,1.0508319,-2.5041103,-0.7496376,2.865622,2.745281,1.4195601,-5.2461615,1.6347861,1.7838185,5.2121477,-2.7599442,-0.12787531,-3.1915762,7.764003,2.9130888,-3.471093,-2.6357183,2.972008,-1.0693923,-2.9733255,1.793551,-3.0476415,5.9347134,-0.1066101,0.17418236,-0.09529774,0.06466669,0.0031307638,-0.59637094,-0.3234342,-1.3777608,0.20477343,-0.01275266,-0.4969575,-0.78986907,-0.52120674,0.014988288,0.43074313,0.14992215,1.5826894,-1.1588008,1.312524,-0.25115174,0.14021453,-0.67536867,0.9129325,0.1568746,-0.19756629,0.07666527,-0.1696022,-0.25783515
7,7,non-alcoholic steatohepatitis,CHEMBL1431,CN(C)C(=N)NC(=N)N,1.7658916,-0.32675093,-0.35211137,-7.697538,-2.0706518,-4.6510344,0.27253172,-4.1880584,-6.7911644,-6.0403605,0.53055763,7.1199913,3.122106,-1.9500611,1.2690738,0.06970321,-3.0831113,0.68135226,0.49339437,-1.5486231,-0.46575642,-4.833114,3.8848765,-2.9575894,0.19831635,1.9943715,-3.4296927,3.0324929,-0.3267191,0.14767453,0.4592824,-0.11171891,0.38721484,1.7664568,-0.17185022,0.7986102,-0.39695582,1.0097498,0.075734586,0.24100748,0.5707358,0.031905413,0.102189906,0.18632048,2.0067725,-1.3493282,-0.6411687,-0.020506218,-0.836599,-0.8176144,0.10561744,-0.22233778,0.12802726,-0.7067045,-1.1770977,-0.38651386
8,8,non-alcoholic steatohepatitis,CHEMBL3039515,CCCCC1(CCCC)CN(c2ccccc2)c2cc(SC)c(OCC(=O)NC(C(=O)NCC(=O)O)c3ccccc3)cc2S(=O)(=O)C1,-0.40209213,-0.40047228,6.3786297,1.9585576,5.0655656,-5.386169,-3.4238315,4.6829624,4.603662,7.18327,0.26725686,0.51101357,-0.46222192,3.5218601,1.6736072,2.3962727,-2.5729945,4.9754343,1.4970474,0.08242803,-4.360361,-6.834658,12.838462,-1.668197,2.286717,-0.44817525,-3.1650395,6.9387655,0.12776154,0.53443974,-0.41016027,1.0430335,0.6124939,0.3951882,-0.08902689,0.118601754,-0.43116206,0.38450158,0.6469115,-0.40974036,-0.5495587,0.41726387,0.06830078,-0.09640664,1.3018959,-0.027262647,0.11314688,0.258663,-0.032340035,0.49694532,-0.023407556,0.29403016,0.6589935,-0.21864726,-0.23012349,0.19544445
9,9,non-alcoholic steatohepatitis,CHEMBL197672,CC(NC(=O)C(=O)Nc1ccccc1C(C)(C)C)C(=O)NC(CC(=O)O)C(=O)COc1c(F)c(F)cc(F)c1F,-7.869932,-3.3090878,-2.917414,1.713105,5.49219,-1.074235,3.305053,-0.31649846,8.317512,6.7796497,3.1381638,9.779887,3.2644465,-2.030877,11.193468,1.7222162,-3.0053785,-7.1342077,-1.9349445,-2.404404,-3.77356,-3.3739643,5.8825192,3.2977986,0.5206386,-2.712092,-1.9412133,-1.1361418,-0.68853325,-0.54044515,-0.5297804,0.30097347,0.51541555,1.2899518,0.35529992,0.5893279,-0.2997347,0.10269602,0.49580756,0.01537133,0.11813151,0.26735482,-0.0835169,-0.0092277685,0.566002,0.5909628,-0.1994115,0.79385,-0.08915173,-0.30047807,-0.36018246,0.8237959,0.6546919,-0.45862147,0.5539462,0.85155463
