,Unnamed: 0,hastalik,idd,smiles,jtvae_0,jtvae_1,jtvae_2,jtvae_3,jtvae_4,jtvae_5,jtvae_6,jtvae_7,jtvae_8,jtvae_9,jtvae_10,jtvae_11,jtvae_12,jtvae_13,jtvae_14,jtvae_15,jtvae_16,jtvae_17,jtvae_18,jtvae_19,jtvae_20,jtvae_21,jtvae_22,jtvae_23,jtvae_24,jtvae_25,jtvae_26,jtvae_27,jtvae_28,jtvae_29,jtvae_30,jtvae_31,jtvae_32,jtvae_33,jtvae_34,jtvae_35,jtvae_36,jtvae_37,jtvae_38,jtvae_39,jtvae_40,jtvae_41,jtvae_42,jtvae_43,jtvae_44,jtvae_45,jtvae_46,jtvae_47,jtvae_48,jtvae_49,jtvae_50,jtvae_51,jtvae_52,jtvae_53,jtvae_54,jtvae_55
0,0,obesity,CHEMBL526,CC(C)c1cccc(C(C)C)c1O,-0.5840869,1.7442225,-3.193424,-1.3907892,5.0964656,0.51224947,-0.023437597,0.55863166,-2.0249195,-0.8801885,-0.06360446,-2.500775,2.718654,1.6566089,-2.1653042,-2.858353,0.24254827,-3.4897316,5.624126,-0.857919,-0.18315558,-0.71516937,1.7731736,0.7976596,0.25998026,-3.7287364,-2.1695094,2.9421594,-0.5602234,-0.30510873,-0.4967798,1.8235697,2.0095148,0.90374285,-1.1717533,1.2267004,0.15693054,-2.3715026,0.39865774,-0.21285704,0.9462515,-1.0065458,-0.23462152,0.71521527,-0.38285133,-0.3541681,-0.2109739,-2.9962084,-0.17941156,-1.9887964,2.554703,0.27296746,1.2239746,-1.0360143,-0.49292457,0.74241054
1,1,obesity,CHEMBL655,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,-2.1747289,-0.28024536,-1.3644934,0.7400006,-1.2080595,5.2108493,0.05334451,-1.371513,0.45260778,0.17528142,-3.006847,-1.2292411,-2.618975,4.507475,0.11549051,-1.0607742,1.2831873,-4.9557037,0.24493475,2.7691946,-1.0080467,0.6459992,2.4390047,-1.2431847,-3.4056687,2.6406722,-2.969304,0.33395243,-0.55810374,-1.0541042,-1.127165,0.1493825,0.94580555,2.00492,-0.39113554,-1.0125978,-0.8016689,0.7252003,-0.008419822,-0.6555009,0.7367419,0.84797245,1.1833894,-0.31596404,0.91582525,0.21575418,-1.0887731,-0.41604313,-2.5491474,-0.8439688,0.18165344,-1.6197083,0.4936543,-1.7559761,1.1347239,0.14537412
2,2,obesity,CHEMBL112,CC(=O)Nc1ccc(O)cc1,-0.7130991,3.5547688,-2.189852,-2.5957115,-1.2106632,-0.74815404,-0.031337686,-1.8462358,-3.033496,-2.1320763,-0.8442875,-1.6034187,0.58025587,1.1177254,1.370674,-0.7857965,-1.9395419,-0.13632283,1.2990943,-1.6766235,2.2057111,-1.4214715,-0.56582457,2.035881,-0.46854272,-2.0007277,0.096411094,-0.27674007,-0.14473727,0.8128929,0.8525981,0.052915394,0.26916403,1.6208473,2.2021084,-1.1135801,-0.91823137,0.59167904,-0.55020064,0.49406624,0.8304262,1.5039438,-0.26952484,1.3672605,1.0995041,-0.89557296,0.31585222,-0.13685825,-1.1927376,-0.5330924,0.043597557,-0.8071518,-0.39552802,-2.6155908,-1.1971258,-1.2663597
3,3,obesity,CHEMBL503,CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,0.13528892,-0.2735499,-0.8308619,-4.1646366,7.0184307,4.377244,1.0075518,8.940447,0.84872806,4.5533113,-3.5613577,1.8042626,1.2949343,4.0467596,1.0631889,7.0507073,-1.0065008,-3.2140853,1.1892291,-0.45609802,2.0325353,-3.9656467,2.832754,0.2416006,2.1664767,-1.231446,3.2294512,5.9828243,-0.5624766,0.27311635,-0.4868436,0.553463,0.031425565,0.48287994,0.960813,-0.4899705,0.6021552,0.04604446,-0.45267904,-0.45058993,0.63179713,1.0872182,-0.24015808,1.4173554,0.21349743,-2.2026684,-0.24716796,0.69829714,0.23473284,0.07070527,-0.21142125,1.2829875,1.6982542,0.6277751,-0.9230547,1.9565814
4,4,obesity,CHEMBL1431,CN(C)C(=N)NC(=N)N,1.7658916,-0.32675093,-0.35211137,-7.697538,-2.0706518,-4.6510344,0.27253172,-4.1880584,-6.7911644,-6.0403605,0.53055763,7.1199913,3.122106,-1.9500611,1.2690738,0.06970321,-3.0831113,0.68135226,0.49339437,-1.5486231,-0.46575642,-4.833114,3.8848765,-2.9575894,0.19831635,1.9943715,-3.4296927,3.0324929,-0.3267191,0.14767453,0.4592824,-0.11171891,0.38721484,1.7664568,-0.17185022,0.7986102,-0.39695582,1.0097498,0.075734586,0.24100748,0.5707358,0.031905413,0.102189906,0.18632048,2.0067725,-1.3493282,-0.6411687,-0.020506218,-0.836599,-0.8176144,0.10561744,-0.22233778,0.12802726,-0.7067045,-1.1770977,-0.38651386
5,5,obesity,CHEMBL79,CCN(CC)CC(=O)Nc1c(C)cccc1C,-0.5660069,3.2284465,-4.0173626,-3.4272993,-1.6224928,-3.497231,-0.16107523,3.2445452,2.9278111,-1.2616447,-0.48751217,0.39150852,0.9040284,2.1848059,-2.9942896,-2.6711767,0.58422554,-0.68879175,2.1800277,-0.52229995,-2.1420317,-3.696504,0.9961577,0.6128992,-4.321156,-2.4598684,2.3592558,-1.0926704,-0.5194073,-0.6759629,0.078141876,0.8724821,0.52676487,0.95833355,-0.42189267,0.8517126,0.020762868,0.35766008,-0.86486727,1.1798463,-0.95685405,0.5073246,0.009769812,0.15504515,0.9109106,1.1597015,2.0886786,0.19911209,-0.3025924,-1.7787822,-0.89620405,0.7401396,0.9011174,0.36913612,0.32131737,1.6183599
6,6,obesity,CHEMBL1419,CC(C)CC(N(C)C)C1(c2ccc(Cl)cc2)CCC1,-0.32849154,0.48398614,-1.2651027,1.4539473,3.6270773,0.36848116,0.054044865,2.1409628,0.51631,-0.010125592,-0.51162934,4.024589,2.122281,0.5604491,-3.4619832,-1.109475,-3.2872608,-0.37174147,6.5203185,0.6206381,-2.2023258,1.4213818,5.681049,-2.1986647,0.85328656,-1.1630217,-4.373624,1.514192,0.0053321263,0.5003416,0.4570855,0.19434449,1.4579837,0.7761073,0.99598444,0.111925915,-0.50827044,0.299887,0.12522459,-0.15498072,-0.45686537,0.5924149,-0.18059829,0.41330257,1.0553765,0.65217716,-0.61372614,-0.06719119,0.3393801,0.0074887946,0.4757156,0.49019402,0.7792518,-0.91220045,-1.2418296,0.25457862
7,7,obesity,CHEMBL220492,CC1(C)OC2COC3(COS(N)(=O)=O)OC(C)(C)OC3C2O1,1.879282,4.2831683,0.8956636,0.7735474,4.536487,0.21620592,-2.3958797,0.12359847,-2.334089,-2.911674,-1.2984103,5.0594997,3.6203732,4.067118,-0.008248091,2.7640445,4.888502,-2.3872426,4.1727166,0.81845456,-0.8639209,1.1959344,2.1848242,1.6486061,2.163135,0.43886554,3.34671,5.3135223,-0.6240848,1.0368274,-0.763582,0.78287977,0.74532884,0.30449224,0.933149,-0.7828376,-0.18993816,0.20191972,0.14750104,-0.8224405,0.4833185,0.49394673,-0.4626595,-0.49359673,0.3596054,-0.8824977,0.13225912,1.6666154,0.6064069,0.17651734,0.014928438,-0.20349568,0.56607544,-0.31635857,0.25813526,0.7489563
8,8,obesity,CHEMBL211456,CNC(C)C(O)c1ccccc1,-0.5425199,1.3856976,-1.6845806,-4.062736,0.57529885,-2.2202902,0.3460698,0.21166937,-3.486321,-4.9119806,0.06592156,-2.0006642,-2.0635483,-2.5335903,-2.026651,2.389648,-2.9850886,-1.9210346,0.8864019,0.82275397,-1.5909892,-0.18590713,4.136139,1.1433969,-0.8302754,-0.18497524,-1.8824372,-2.8502085,-0.17385043,-0.066936344,0.044918515,0.4274137,0.39727283,0.45670557,-0.12323503,0.20719755,0.3233831,0.02487712,-0.07128117,0.07601171,0.13146862,0.3176871,-0.020703703,-0.22389123,1.0780817,-0.005254492,0.1484525,-0.08637396,0.054753616,-0.40699545,0.14222667,0.551979,0.46564794,-0.5898044,-0.21508148,0.23701213
9,9,obesity,CHEMBL750,N=S(=O)(O)Cc1noc2ccccc12,3.6214383,2.9421363,1.6957368,-1.2740631,-0.8673056,-0.6100353,-2.4168165,-5.158356,-1.738111,-0.6556646,-1.2311058,3.571879,-0.6757435,6.1257863,-3.9713044,0.02839877,0.5857331,-1.7766938,1.2039379,0.7103948,-0.8990486,-1.8262385,4.800142,0.113038994,3.6812756,1.9788045,0.111410625,0.9032341,0.11129828,-0.98069245,0.6489416,0.58536875,1.1411762,0.86820346,0.44913557,-0.24208711,-0.27977192,0.2899813,0.08678326,-0.33839795,0.4622205,0.21037158,0.51797456,-0.78391945,1.8214071,0.60917383,-0.6325014,0.18723634,-0.6064392,0.3367638,0.6057271,1.0685284,0.59506893,-0.38781533,0.515451,0.6092977
