,Unnamed: 0,hastalik,idd,smiles,jtvae_0,jtvae_1,jtvae_2,jtvae_3,jtvae_4,jtvae_5,jtvae_6,jtvae_7,jtvae_8,jtvae_9,jtvae_10,jtvae_11,jtvae_12,jtvae_13,jtvae_14,jtvae_15,jtvae_16,jtvae_17,jtvae_18,jtvae_19,jtvae_20,jtvae_21,jtvae_22,jtvae_23,jtvae_24,jtvae_25,jtvae_26,jtvae_27,jtvae_28,jtvae_29,jtvae_30,jtvae_31,jtvae_32,jtvae_33,jtvae_34,jtvae_35,jtvae_36,jtvae_37,jtvae_38,jtvae_39,jtvae_40,jtvae_41,jtvae_42,jtvae_43,jtvae_44,jtvae_45,jtvae_46,jtvae_47,jtvae_48,jtvae_49,jtvae_50,jtvae_51,jtvae_52,jtvae_53,jtvae_54,jtvae_55
0,0,obstructive sleep apnea,CHEMBL393220,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CCC(O)CC(O)CC(=O)[O-].CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CCC(O)CC(O)CC(=O)[O-].[Ca+2],-5.7425027,-2.3142636,6.5010414,2.3546836,6.687161,-0.050150923,-0.41046616,2.9804347,-0.9864279,9.993825,0.8033509,1.2014894,3.7696905,1.6242352,1.6459643,0.25792232,-2.6392267,-1.271784,1.7149926,1.6224663,-5.2392483,-4.3037724,10.527414,2.9556277,1.2813498,3.345921,-4.1272736,8.183068,-0.14566205,0.17166364,0.06644859,-0.25042593,0.6623262,0.34091368,1.1299866,-0.52106774,-0.14342135,-0.33552605,-0.040595207,0.20226237,0.36542284,0.004289195,0.24808615,0.056371186,0.8250005,-0.23850048,-0.1964867,-0.10497103,0.18312976,-0.049322747,-0.19205436,0.0576109,0.61268604,-0.56795216,-0.120972574,0.3180684
1,1,obstructive sleep apnea,CHEMBL778,Cc1cccc(C(C)c2c[nH]cn2)c1C,-1.8085023,-1.3782756,-3.7517025,-0.7338324,5.217379,1.8448107,1.0708537,0.018854573,-2.672671,0.9332354,-1.5024201,-4.340028,-0.0847535,1.3233526,-3.8872123,-4.1495385,-1.8344737,-0.4866051,3.0197284,-1.8054044,0.41490138,0.7471316,-0.3586205,-1.2496247,-2.196546,-1.6593868,-2.036235,2.3984854,0.91607803,1.316839,1.8078264,0.21378337,1.7888535,0.5881938,-0.19608794,0.61878115,-0.8141214,-0.7338523,-0.2393316,0.8803507,0.15084675,-0.7149774,-3.2630122,-0.08711058,1.3436688,-0.26163623,0.5911029,0.74901044,-1.844489,-1.2681724,2.447211,0.911515,1.3855491,-0.51133144,0.47715273,1.3794425
2,2,obstructive sleep apnea,CHEMBL1522,CN1CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,-3.6653864,0.53210425,1.7008162,-0.31056127,-4.528555,-3.4519577,-0.70832896,1.22048,-2.6639912,-6.2021403,1.8406652,4.16652,0.15510769,3.5094264,6.0040846,5.2016735,0.34283167,-2.1568182,-1.2940725,2.174642,2.244254,3.2977629,1.3255365,-0.39146504,-1.8366685,2.2706108,2.137766,2.5520763,0.0059205173,-0.13356784,-0.5217608,-0.81065184,0.60658455,0.64730054,1.7611187,0.019540574,0.99329793,-1.144919,0.5715005,-0.64716095,-0.37753665,1.5056863,0.10882261,1.520698,1.1658927,0.8476792,-0.6626624,0.51760894,-0.8246001,0.58458984,0.612909,0.36157197,1.4172407,-0.73199844,1.0902709,0.582775
3,3,obstructive sleep apnea,CHEMBL1200682,O=C([O-])CCCO.[Na+],3.2316,-0.78410506,0.73760784,-0.36819082,-0.6056981,1.0027775,-2.692188,0.3344277,-4.631967,5.171706,1.1461649,-2.134935,2.373216,3.166584,-0.9708078,1.3726325,-2.1568599,1.4203624,3.912529,-0.64488626,2.2257493,-3.449345,3.4682126,2.4281063,0.4190927,-0.9349364,4.437408,0.08529878,-0.44040304,0.13118282,-0.6731311,0.45658374,1.2562213,0.83772343,-0.121634275,0.5358236,0.38866514,0.39612854,0.2588776,-0.22853133,0.5034587,0.47645777,0.12839022,0.018315945,1.5088124,-0.05272881,-0.2921312,-0.16088477,0.014284568,-0.22391346,-0.31990293,0.27480394,1.036817,-0.37626213,0.06707064,0.1010878
4,4,obstructive sleep apnea,CHEMBL690,CCC(C)C(=O)OC1CC(O)C=C2C=CC(C)C(CCC(O)CC(O)CC(=O)[O-])C21.[Na+],1.1043518,-0.57483137,2.7245467,-0.90153366,9.085096,1.4753637,2.3422883,6.2786984,0.33725384,6.582239,-3.0449865,4.578976,1.6542572,3.3297672,3.4423864,7.565621,-3.673208,-1.2975805,2.3322365,0.75309813,0.42053628,-7.127939,5.893063,0.8641213,4.1372104,-1.6427363,2.6122358,5.3550873,-0.67717505,0.628914,-0.47229832,0.50961006,0.6528465,0.48001078,0.746232,-0.1291532,0.5209453,-0.014374733,-0.022612387,0.0893122,0.9354384,0.3788501,-0.16171017,1.0643098,0.3147052,-1.3008056,-0.28912568,0.39615154,-0.1099827,-0.16861883,-0.43598214,0.5291201,1.5457811,0.26108402,-0.67936254,1.7252188
5,5,obstructive sleep apnea,CHEMBL526,CC(C)c1cccc(C(C)C)c1O,-0.5840869,1.7442225,-3.193424,-1.3907892,5.0964656,0.51224947,-0.023437597,0.55863166,-2.0249195,-0.8801885,-0.06360446,-2.500775,2.718654,1.6566089,-2.1653042,-2.858353,0.24254827,-3.4897316,5.624126,-0.857919,-0.18315558,-0.71516937,1.7731736,0.7976596,0.25998026,-3.7287364,-2.1695094,2.9421594,-0.5602234,-0.30510873,-0.4967798,1.8235697,2.0095148,0.90374285,-1.1717533,1.2267004,0.15693054,-2.3715026,0.39865774,-0.21285704,0.9462515,-1.0065458,-0.23462152,0.71521527,-0.38285133,-0.3541681,-0.2109739,-2.9962084,-0.17941156,-1.9887964,2.554703,0.27296746,1.2239746,-1.0360143,-0.49292457,0.74241054
6,6,obstructive sleep apnea,CHEMBL469,O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O,-0.29592183,-2.0200996,-0.16129932,-0.1191181,1.0062114,2.086831,2.6829925,1.1779884,-3.7597842,5.158121,-1.7374496,1.8933587,-2.443696,0.48573786,2.428974,0.60043925,1.762436,0.69081616,1.6445739,1.4987239,1.3749806,5.8132176,2.5121515,3.2848434,2.7838318,-2.0007372,-0.02285915,3.4492373,-1.2290894,-0.6359999,-0.019831486,-0.3763849,1.0146348,0.8350992,-0.28160754,-0.84869766,0.48210797,-0.77543527,-0.33189416,0.7387916,1.1432123,-0.09433235,0.2540072,-0.11293067,1.2608874,-0.1280944,-0.38718867,-0.3661885,0.22943738,0.039428957,0.80583185,0.15321834,-0.3892728,-1.1027482,-0.66367847,0.9980508
7,7,obstructive sleep apnea,CHEMBL862,N=C(N)NC(=O)Cc1c(Cl)cccc1Cl,-0.19653592,0.9255424,0.6258211,-5.746915,-6.134601,2.675038,-2.7483392,-2.9740214,-0.35623747,1.9032965,-0.65158904,4.469236,3.4218402,-0.84767085,5.590221,1.6425033,-2.4110696,-1.5055053,6.219407,-0.46106195,-0.03596714,-3.1937108,2.6897755,1.0093105,1.09587,1.8709122,-1.1852044,-2.125103,-0.104716405,-0.3191301,-0.46374172,0.43007195,0.3418075,1.5780638,-0.15181273,-0.10922535,-0.7627575,1.1650276,-1.8523016,0.5064048,-0.38253388,0.7385858,0.82296497,-0.5138999,0.2754175,-0.3245203,1.4489247,-1.6372523,-0.4447999,-0.87904364,0.19720832,1.8690372,-0.23387922,1.3708147,0.66003114,1.3707741
8,8,obstructive sleep apnea,CHEMBL637,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,0.6436788,-1.6793212,1.2563527,-1.2199018,6.6326222,-4.254058,4.3038936,1.0626944,-0.9347446,-3.232077,3.159494,0.060259208,0.6805302,0.5129582,-2.5629594,-1.2102759,1.7291857,3.8119876,2.2208579,1.4698364,-1.3333422,1.8258542,2.6645381,1.7475944,2.2919295,1.8017777,-3.9161277,-1.9785678,-0.10196239,0.1188874,-0.1346649,0.5568639,0.9719175,0.76584136,0.6434628,-0.801645,-0.044512592,0.6955552,-0.24325147,0.90667105,0.47664547,1.0262223,-0.08300564,-0.33910936,1.0222006,-0.1185186,0.053876303,-0.25571582,0.18010414,0.0046268925,0.4731153,0.40005767,0.08824758,-0.53945184,0.13073055,-0.4463109
9,9,obstructive sleep apnea,CHEMBL1342,O=C(O)CCCO,3.3896186,1.0727346,1.6029508,-2.458936,-0.024431929,-0.54423285,-1.5597732,0.9116438,-4.5219398,4.676635,0.37887305,-2.9150028,3.0144007,2.9992461,-1.1367831,2.40037,-2.734985,0.449558,3.0701182,-1.2161686,1.8480096,-2.0054817,3.245261,3.5727243,1.231458,-1.4725243,3.7209508,-1.1263909,-0.2786737,0.3444592,-0.76042986,0.21100414,1.0938619,0.8771149,0.1789792,0.35180333,0.3915873,0.3935564,-0.07872285,-0.36883637,0.3332336,0.32922792,0.41210428,0.4573652,1.5557358,-0.13447502,0.006921515,0.04537204,-0.19241539,-0.36201572,-0.24630773,0.26408908,0.5935512,-0.64560544,-0.09983447,0.04425618
