,Unnamed: 0,hastalik,idd,smiles,jtvae_0,jtvae_1,jtvae_2,jtvae_3,jtvae_4,jtvae_5,jtvae_6,jtvae_7,jtvae_8,jtvae_9,jtvae_10,jtvae_11,jtvae_12,jtvae_13,jtvae_14,jtvae_15,jtvae_16,jtvae_17,jtvae_18,jtvae_19,jtvae_20,jtvae_21,jtvae_22,jtvae_23,jtvae_24,jtvae_25,jtvae_26,jtvae_27,jtvae_28,jtvae_29,jtvae_30,jtvae_31,jtvae_32,jtvae_33,jtvae_34,jtvae_35,jtvae_36,jtvae_37,jtvae_38,jtvae_39,jtvae_40,jtvae_41,jtvae_42,jtvae_43,jtvae_44,jtvae_45,jtvae_46,jtvae_47,jtvae_48,jtvae_49,jtvae_50,jtvae_51,jtvae_52,jtvae_53,jtvae_54,jtvae_55
0,0,oligodendroglioma,CHEMBL513,O=NN(CCCl)C(=O)NCCCl,-3.336612,-2.8653803,2.5461159,-2.9777343,-4.206011,1.90831,-2.757953,-3.0882502,-1.5715121,0.48275763,0.45938265,5.9926157,0.5219324,7.302734,0.45002615,2.3594387,2.6949823,7.8321447,1.2029287,-0.26975435,-5.7724276,-3.5052547,4.485189,-1.0594321,-1.2814264,1.8642424,3.1192002,0.8774625,-0.5039061,0.07381584,-0.19310087,0.30920124,0.91958046,1.3515799,0.052123547,0.19542779,0.114579834,0.14615892,-0.0076406477,0.096785784,0.08810326,0.21609785,-0.046059936,-0.051800128,1.2911053,0.0470628,-0.2521392,0.059236713,-0.061061524,-0.3445782,0.15031326,0.72123057,0.19416922,-0.42042693,-0.30292404,0.030691363
1,1,oligodendroglioma,CHEMBL1425,Sc1ncnc2nc[nH]c12,-2.3048546,-1.998149,-1.2013005,-0.9218671,-0.52004695,1.5696994,1.9199901,-4.351191,-5.260518,-2.101075,-5.449995,-1.8265712,-1.384364,3.0957277,-3.9793339,0.703607,0.24116416,-4.0388327,-2.2441933,0.81170744,3.3278377,-0.5839759,-0.073752314,-3.1676803,0.7814965,3.1973896,-2.303057,-0.99261415,-2.1992922,0.25822017,-1.0167952,1.3901687,3.217595,-1.0533355,-1.9594228,1.0063047,0.7280953,-0.40125373,-0.81329453,0.31500933,0.19860855,0.018160626,-1.8301303,-0.3843459,1.937808,1.4700276,-0.4774515,0.28512225,0.29709068,1.4831676,-2.2197323,2.1309278,1.0774275,-0.45255026,-1.0658252,1.2540314
2,2,oligodendroglioma,CHEMBL535,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,-2.240291,1.7240728,0.12348452,-2.6269872,-0.72097635,-0.16784436,-1.2289547,7.7823324,5.5463004,1.7395091,3.2710106,4.2168784,0.6866492,0.7121887,-1.1413317,-0.74186224,-0.58698064,-2.8012304,-1.7501861,-0.018546708,-4.1607685,-1.4557221,0.8022979,-1.6601892,-7.482803,2.131854,6.00583,0.1779545,-0.07036798,0.06495531,-0.2618733,0.8901859,0.13863623,1.4735283,0.10574305,-0.03025167,-0.42996153,-0.80457044,0.14814228,0.39150342,0.6521483,0.63347155,0.8285155,1.21996,1.9129201,0.04947283,0.2066774,-0.53692627,-0.81088346,-0.18538858,0.66419536,0.58236694,0.041622043,0.237878,-0.77949244,0.2523706
3,3,oligodendroglioma,CHEMBL24828,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1,3.5384638,-1.5300035,1.2121619,4.1398883,2.1233585,-5.4409013,-5.714246,-0.42632562,-0.3095833,-1.9558129,-1.6541551,-1.022748,1.8640038,5.4883137,3.546603,4.028349,2.2744455,-1.8722087,-3.6572237,-1.4095796,-2.0046175,-0.6399082,-1.3886704,-0.7311919,0.53450096,8.110787,-1.4403863,-0.3865676,0.06943448,0.30389187,-0.33124015,1.1477946,0.36105147,-0.035051078,0.82468927,0.31171867,0.50050634,-1.4235896,0.1764843,1.6757296,-1.5389832,-0.24604206,0.8462335,-0.9799121,2.1304076,1.0978068,0.4905398,1.0650663,0.40832934,0.29458866,-0.6083305,0.26558664,0.12861948,-0.8820137,-0.9208724,0.5034275
4,4,oligodendroglioma,CHEMBL502835,COC(=O)c1ccc2c(c1)NC(=O)C2=C(Nc1ccc(N(C)C(=O)CN2CCN(C)CC2)cc1)c1ccccc1,-0.63846564,-3.5552993,0.8384745,-2.0246902,-2.0468826,-6.5753016,0.05089786,4.4149933,2.9382296,0.20885707,1.5395361,4.941173,0.47917336,-1.7324017,7.411189,-3.6783447,0.5318658,2.517068,-1.4805152,-0.12073553,1.445308,2.688501,-4.4241166,2.068418,6.906403,0.38656247,-2.886876,3.147803,0.18469682,-0.25116408,-0.35230127,0.7949122,0.4098912,0.4417263,-0.058979437,-0.11276585,0.29608884,-0.22780894,0.24623148,0.8131375,0.5149073,0.49420083,-0.17727056,0.37730476,1.41936,0.2694111,-0.3710028,-0.35947978,-0.17739841,0.05360868,-0.18313718,0.56817734,-0.13347267,-0.228675,-0.5481807,0.21738741
5,5,oligodendroglioma,CHEMBL44657,COc1cc(C2c3cc4c(cc3C(OC3OC5COC(C)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O,0.13495016,3.2444823,0.7142292,1.4181364,10.5196905,1.6304317,-3.6688554,2.8073614,0.48990908,-4.5970902,2.9030566,-2.3137918,1.5529877,6.0041184,10.726721,1.2032377,2.9870765,0.20219617,-2.4903624,1.7124047,4.6625695,-0.48223644,2.5679905,2.4305456,0.5838318,6.5596747,0.13039243,0.38245744,0.1277693,0.47609735,-0.51963973,-0.15236743,0.98476124,-0.56003803,0.25202307,-0.034007218,-0.21602118,-0.84906614,-0.5349163,-0.5286074,-0.1576606,0.075998016,-0.8873388,0.6010601,1.4195273,-0.6512801,-0.14615487,0.3072322,-0.5620808,-0.690999,-0.6548211,1.06308,1.0743065,-0.8062011,-0.1802349,0.18288276
6,6,oligodendroglioma,CHEMBL1567,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C.O=C(O)CC(O)C(=O)O,-2.240291,1.7240728,0.12348452,-2.6269872,-0.72097635,-0.16784436,-1.2289547,7.7823324,5.5463004,1.7395091,3.2710106,4.2168784,0.6866492,0.7121887,-1.1413317,-0.74186224,-0.58698064,-2.8012304,-1.7501861,-0.018546708,-4.1607685,-1.4557221,0.8022979,-1.6601892,-7.482803,2.131854,6.00583,0.1779545,-0.19925988,0.13990587,-0.34912032,0.7387318,0.2202148,1.3223515,0.09604259,0.03090157,-0.2648331,-0.5139207,0.17875944,0.14639533,0.4927374,0.5422445,0.73879755,1.0974107,1.8160633,-0.025137141,0.13206789,-0.36969888,-0.66966474,-0.18261358,0.44595137,0.5254692,0.15878327,0.06790531,-0.5701657,0.17687312
7,7,oligodendroglioma,CHEMBL289228,Cn1cncc1C(N)(c1ccc(Cl)cc1)c1ccc2c(c1)c(-c1cccc(Cl)c1)cc(=O)n2C,-3.2766395,-4.92284,0.11937091,-2.4061565,-0.6399497,0.34972754,-0.8715792,2.8554559,2.4619162,-0.2170756,-1.7894453,0.17095278,1.6409576,-0.047910586,3.7191381,-2.3459122,2.1817122,-3.2488594,1.6658008,3.0690985,-1.8260652,2.473833,4.1557937,-2.5729294,-3.883656,4.0804734,-10.907019,1.192773,0.2378865,-0.004977312,-0.14284647,0.16047613,0.31974828,0.4143671,-0.56579167,-1.3420745,-0.13798329,0.024012495,0.15606791,0.29711238,0.36383295,-0.40098053,0.098585926,0.4255598,1.9759994,-0.061899662,-0.32504255,0.75990295,-0.34032434,-0.58571833,0.35677332,-0.41394618,-0.19102214,-1.3651844,-1.2638801,0.91220534
8,8,oligodendroglioma,CHEMBL124660,COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1,3.2581108,-0.011836126,4.680562,1.9592085,3.3766143,-8.912504,-7.1480975,-0.7415774,1.9680761,1.0415046,-2.976376,3.3068533,0.25050658,4.3516955,2.61678,3.9862692,2.2185926,2.2297018,-2.4667222,2.5109248,-3.126208,-2.8474908,-2.3960252,3.3158982,4.000858,6.67228,-0.06526976,3.1449172,-0.20930491,0.74340135,0.103884675,1.1906371,0.52564067,-0.24915314,0.41645068,-0.31802988,0.069826774,0.0037743188,0.2391781,0.89330983,0.07432283,0.22750372,0.2195544,-0.26631096,1.9397426,-0.22394416,0.65866965,0.4105069,-0.42060968,0.082104646,0.6944114,0.07637912,0.34759575,-0.81726444,0.13687399,-0.027333751
9,9,oligodendroglioma,CHEMBL1908360,COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(OCCO)C(OC)C2)CC(=O)C(C)C=C(C)C(O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C1C,-2.3397913,3.1098828,-3.220647,-8.078021,16.61303,-5.772609,-3.6899376,3.0751615,4.675328,8.073236,2.4449198,-0.12140788,5.464613,7.639888,11.58157,0.5880479,-1.239159,-5.453928,1.2194382,-0.9655181,2.654146,0.48101303,14.141373,4.6784234,-4.473767,15.415462,6.002307,11.017849,-0.3609493,0.40440214,-0.95064193,0.07623937,0.55693376,-0.55939066,-0.10097468,0.2047664,1.0240141,-0.95858586,0.7919281,-1.2429941,-0.20588046,1.3077847,-0.08496048,0.76508087,1.9557786,-0.59269303,1.0481741,0.3219266,-0.64145374,-0.82226187,-0.6103103,0.38671145,0.62708586,-0.75869834,0.42450553,0.12514785
