,Unnamed: 0,hastalik,idd,smiles,jtvae_0,jtvae_1,jtvae_2,jtvae_3,jtvae_4,jtvae_5,jtvae_6,jtvae_7,jtvae_8,jtvae_9,jtvae_10,jtvae_11,jtvae_12,jtvae_13,jtvae_14,jtvae_15,jtvae_16,jtvae_17,jtvae_18,jtvae_19,jtvae_20,jtvae_21,jtvae_22,jtvae_23,jtvae_24,jtvae_25,jtvae_26,jtvae_27,jtvae_28,jtvae_29,jtvae_30,jtvae_31,jtvae_32,jtvae_33,jtvae_34,jtvae_35,jtvae_36,jtvae_37,jtvae_38,jtvae_39,jtvae_40,jtvae_41,jtvae_42,jtvae_43,jtvae_44,jtvae_45,jtvae_46,jtvae_47,jtvae_48,jtvae_49,jtvae_50,jtvae_51,jtvae_52,jtvae_53,jtvae_54,jtvae_55
0,0,osteoarthritis,CHEMBL1077896,CCCN1CCCCC1C(=O)Nc1c(C)cccc1C,-0.36565796,0.06807007,-2.9690125,-0.6534715,-0.54529345,-3.8256178,-3.8950171,3.0053632,2.7631984,-2.7914152,1.1224409,-3.0825906,0.015627593,1.1718895,-2.5826206,1.8086509,1.1463746,-1.5232276,1.4461119,-1.6937507,-2.8741527,-0.7842461,-0.6339057,-0.4268407,-2.9053705,-3.458179,1.1263056,1.8217072,-1.094835,-0.3331365,-0.7262451,-0.113579676,0.6041968,0.528088,0.45667258,-0.59980774,0.16888842,-0.3254667,-1.4188206,0.7327366,-0.13278422,-0.11166181,0.6890925,0.5255192,0.877601,1.0731443,1.5552443,1.3535258,-1.0069315,-1.1632881,-0.779995,0.40184715,1.6396395,0.75281894,1.6288711,1.5462301
1,1,osteoarthritis,CHEMBL1200694,FCOC(C(F)(F)F)C(F)(F)F,-1.6243099,-2.7534769,-4.4945154,8.998884,1.4157676,0.17502701,0.9552978,-4.4797964,-0.6378833,-2.4496095,1.8674525,0.82402724,2.4975047,5.8487077,1.9024676,0.8339664,-6.2581086,-2.3968053,0.3873844,1.7240223,-4.0080595,-0.84836984,4.0459633,0.61769146,1.238553,1.6319035,1.2431486,-4.858756,0.23833291,0.32450897,-0.8642814,0.39791983,0.8507252,-0.7932961,-0.15372019,0.072562635,0.95565456,-0.2776621,0.3415791,-0.6828436,-0.1060301,0.5865075,1.0478296,0.12971056,1.810041,0.36447853,0.6943951,-0.45899844,0.4817339,-0.58676267,0.28376946,0.7556734,0.05915682,-0.9409783,0.4579368,-0.18030557
2,2,osteoarthritis,CHEMBL622,CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3,-0.9857869,0.7856456,-1.8568338,-3.0560286,2.7586815,2.986538,2.6798506,-1.1409243,1.6086687,2.6269815,-1.4922112,-0.9302387,-3.6952927,4.545536,1.6167618,6.9158874,-0.5975837,0.30993158,0.60402226,1.9820423,-2.3429017,-1.7839751,0.732581,0.14374703,1.0745752,-3.5224853,-5.603447,4.862118,-1.1453178,-0.7219494,0.60311216,0.5608009,1.4645438,-0.7541388,-0.025108142,1.1430216,-0.36423707,-0.3513429,0.0016593608,-0.6402583,1.0788033,-0.12606107,0.63492393,1.3923223,0.48522073,-0.20114008,-0.28325737,0.20762983,-0.12578994,0.34492612,-0.15730447,1.9499193,2.3109398,-1.8618397,1.0715119,0.6084399
3,3,osteoarthritis,CHEMBL679,CNCC(O)c1ccc(O)c(O)c1,0.94563556,1.1582108,-0.4667798,-4.501782,0.9336463,-3.9041839,1.3747184,0.36515802,-2.7905982,-4.9227023,-0.6435207,-3.1410584,2.2158706,2.2344809,2.0439935,3.1764467,-1.711541,-1.8424306,1.1180601,2.5462887,0.2652235,-2.601326,5.228106,1.0630603,-2.6886427,0.18528259,-2.4262393,-3.984904,-0.096685514,0.57504123,-0.51030135,-0.33318692,-0.02546522,-0.6084117,0.4737289,-0.7491195,0.17888328,0.22291115,0.67647314,-0.66156155,0.012880005,1.2096994,-0.27588394,-0.54623216,1.8006637,0.5437364,1.0609983,0.12448867,-0.37847617,0.9700356,0.122273214,1.9234815,0.14069389,-1.8153377,-0.73995626,-0.55381596
4,4,osteoarthritis,CHEMBL877,NCC1CCC(C(=O)O)CC1,2.8557856,-2.3576565,-0.9073638,-0.47931498,0.92311287,-2.538995,-0.3654997,-0.27220425,-1.9689462,-1.7805389,1.128079,-3.5457065,0.68352014,1.6688402,-1.0745444,5.2963524,3.279655,-0.8831114,-1.3819577,-1.5355175,1.4470941,0.5835613,5.259041,-0.8390584,-0.15282658,-2.2847247,-3.2167563,-0.12147574,0.62875754,-0.5559426,1.0411277,2.0034742,-0.076789975,0.7543797,-0.026887236,0.30901104,2.6362875,0.43853536,0.52105224,-0.2959865,0.96622324,1.7790755,-0.63764995,-0.77837956,1.9164177,2.1259308,-0.53552026,0.32096615,1.770457,0.073022164,-0.86500216,1.6794577,-1.6892792,-1.2708904,-0.66435117,0.7762073
5,5,osteoarthritis,CHEMBL79,CCN(CC)CC(=O)Nc1c(C)cccc1C,-0.5660069,3.2284465,-4.0173626,-3.4272993,-1.6224928,-3.497231,-0.16107523,3.2445452,2.9278111,-1.2616447,-0.48751217,0.39150852,0.9040284,2.1848059,-2.9942896,-2.6711767,0.58422554,-0.68879175,2.1800277,-0.52229995,-2.1420317,-3.696504,0.9961577,0.6128992,-4.321156,-2.4598684,2.3592558,-1.0926704,-0.5194073,-0.6759629,0.078141876,0.8724821,0.52676487,0.95833355,-0.42189267,0.8517126,0.020762868,0.35766008,-0.86486727,1.1798463,-0.95685405,0.5073246,0.009769812,0.15504515,0.9109106,1.1597015,2.0886786,0.19911209,-0.3025924,-1.7787822,-0.89620405,0.7401396,0.9011174,0.36913612,0.32131737,1.6183599
6,6,osteoarthritis,CHEMBL107,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,0.8304626,4.855702,-4.2270384,-0.15575927,4.715592,-2.564531,1.8508527,1.8968843,-0.7354654,-2.255006,-1.1479965,-2.1456258,-0.15040144,2.4221473,7.698962,0.68968993,0.9134156,0.48131058,-3.0226655,-1.0752904,-0.8023084,-0.2521169,0.16206276,1.2035432,0.5840152,9.787832,-0.24745637,-0.8676492,-0.6611881,-0.2522327,-1.5890828,0.11424762,1.5023426,0.044267073,0.19444028,-0.80915314,0.53731954,-1.4909947,0.32614425,0.41862735,0.45251358,0.19251499,0.4977405,-1.0870113,1.6616589,0.54276145,-0.5195347,0.62096363,0.32252377,0.49861544,0.05038444,1.5704465,0.34615237,-1.2196423,0.5948777,0.92339134
7,7,osteoarthritis,CHEMBL118,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,-2.6074376,-4.126894,-0.5151769,7.7782483,3.7160337,-1.9606322,2.3371153,0.53062457,-2.411906,-2.9832826,0.15704705,-1.4830515,0.38026923,2.5815086,1.1326877,-4.192834,0.035733238,-0.82196766,3.6685328,0.36683503,-1.0368665,-1.6841532,0.20876545,-2.931311,-0.4377023,1.0902944,-3.3643026,3.2008438,-0.487306,0.20276141,0.71630275,1.0586605,-0.04626125,0.20794469,0.9791082,-1.3155397,0.22142404,0.30078366,0.2562156,0.36321348,0.7201865,2.4009392,0.51337904,0.6781922,1.0395195,0.09647805,-0.27713305,-0.2274589,0.25318244,0.92559576,-0.21605629,1.0441469,-0.113520905,-0.76444304,-0.6378414,-0.40561602
8,8,osteoarthritis,CHEMBL1194,CCCNC(C)C(=O)Nc1ccccc1C,-1.2035867,2.0745223,-4.111664,-0.9029198,0.56883013,-2.6388965,-2.3459802,3.4594505,0.14823261,-2.5019004,-0.84244585,-2.477365,-1.7640566,-2.6103618,-3.4905765,0.64756846,-1.0256177,-0.5770546,-0.8411536,-2.0366588,-4.2358117,-3.178472,2.0473907,-1.3536808,-2.8305035,-3.3962822,-1.3144203,-0.845976,-0.19733256,-0.55048513,0.23954785,1.0186177,0.08823699,1.3046631,-0.79342055,0.6766705,0.10361586,0.6611265,-0.11046394,0.71851397,-0.39288497,0.2891313,0.43331423,-0.6011513,1.476982,1.4754364,1.2891223,0.14524668,-0.92918205,-0.61200505,-1.5920589,0.41396055,0.9085879,0.22079426,0.9659924,0.82194793
9,9,osteoarthritis,CHEMBL1087,Cc1cccc(C)c1NC(=O)C1CCCCN1C,-0.068152755,0.252044,-2.4477875,-2.0961225,1.3972926,-1.5711998,-2.4441774,-0.5914512,0.2531537,-1.5175565,-0.5456991,-1.5555439,-0.33846897,-1.31746,0.2402081,-0.04849301,-0.7462099,0.91266465,1.5772806,-3.5045,0.40952468,1.0923789,-1.2635186,1.1326795,-4.1957145,-1.0826745,-1.2968364,3.0129373,-1.2631967,-0.14359856,-0.578706,0.09317595,0.6240696,0.29821903,-0.005293919,-0.9079348,0.51993656,0.07112174,-2.0158324,1.014113,-0.2665022,0.32632872,0.66146296,0.23007068,1.255226,1.54778,1.9449253,0.8087884,-1.486904,-1.199295,-0.82322836,-0.0012145042,1.8966897,1.401104,2.0846276,1.4552497
