,Unnamed: 0,hastalik,idd,smiles,jtvae_0,jtvae_1,jtvae_2,jtvae_3,jtvae_4,jtvae_5,jtvae_6,jtvae_7,jtvae_8,jtvae_9,jtvae_10,jtvae_11,jtvae_12,jtvae_13,jtvae_14,jtvae_15,jtvae_16,jtvae_17,jtvae_18,jtvae_19,jtvae_20,jtvae_21,jtvae_22,jtvae_23,jtvae_24,jtvae_25,jtvae_26,jtvae_27,jtvae_28,jtvae_29,jtvae_30,jtvae_31,jtvae_32,jtvae_33,jtvae_34,jtvae_35,jtvae_36,jtvae_37,jtvae_38,jtvae_39,jtvae_40,jtvae_41,jtvae_42,jtvae_43,jtvae_44,jtvae_45,jtvae_46,jtvae_47,jtvae_48,jtvae_49,jtvae_50,jtvae_51,jtvae_52,jtvae_53,jtvae_54,jtvae_55
0,0,post-traumatic stress disorder,CHEMBL1201066,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1.Cl,0.6436788,-1.6793212,1.2563527,-1.2199018,6.6326222,-4.254058,4.3038936,1.0626944,-0.9347446,-3.232077,3.159494,0.060259208,0.6805302,0.5129582,-2.5629594,-1.2102759,1.7291857,3.8119876,2.2208579,1.4698364,-1.3333422,1.8258542,2.6645381,1.7475944,2.2919295,1.8017777,-3.9161277,-1.9785678,-0.15563618,0.070317365,-0.13193631,0.5071063,0.9838487,0.7672376,0.56492966,-0.79539716,0.01064115,0.6649175,-0.25226462,0.9215783,0.50276935,1.0210104,-0.07983152,-0.35289818,1.0591456,-0.04060127,0.07797826,-0.34916648,0.14378788,-0.01269082,0.47126445,0.4268846,0.20143941,-0.4763355,0.16233513,-0.42029366
1,1,post-traumatic stress disorder,CHEMBL707,COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC,2.1519935,0.11005245,0.024564251,1.2162831,3.1604893,-5.5913024,-3.056227,0.9135106,-0.48796588,-1.0711544,-4.044024,2.710424,-3.2923253,2.7462652,2.022229,1.3804044,-0.72895426,1.9409295,-4.3442316,2.3577304,-0.20190038,2.9798303,-1.4334235,-0.5688777,1.360894,9.790485,1.5321051,1.5540322,0.76851064,0.070678405,-0.60175854,0.3390416,0.06689817,0.07776411,0.54710305,0.08308952,-0.11169296,-0.6581073,0.34431842,-0.5631954,-0.39999974,0.56396484,0.5981133,-0.024757832,2.4648697,0.041004755,0.8111411,-0.25624496,0.12163793,-0.6402102,0.059943162,0.63050365,-0.31066716,0.5788709,0.5836797,-0.17195639
2,2,post-traumatic stress disorder,CHEMBL220492,CC1(C)OC2COC3(COS(N)(=O)=O)OC(C)(C)OC3C2O1,1.879282,4.2831683,0.8956636,0.7735474,4.536487,0.21620592,-2.3958797,0.12359847,-2.334089,-2.911674,-1.2984103,5.0594997,3.6203732,4.067118,-0.008248091,2.7640445,4.888502,-2.3872426,4.1727166,0.81845456,-0.8639209,1.1959344,2.1848242,1.6486061,2.163135,0.43886554,3.34671,5.3135223,-0.6240848,1.0368274,-0.763582,0.78287977,0.74532884,0.30449224,0.933149,-0.7828376,-0.18993816,0.20191972,0.14750104,-0.8224405,0.4833185,0.49394673,-0.4626595,-0.49359673,0.3596054,-0.8824977,0.13225912,1.6666154,0.6064069,0.17651734,0.014928438,-0.20349568,0.56607544,-0.31635857,0.25813526,0.7489563
3,3,post-traumatic stress disorder,CHEMBL395429,CCC(C)C1NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(N)CSSCC(C(=O)N2CCCC2C(=O)NC(CC(C)C)C(=O)NCC(N)=O)NC(=O)C(CC(N)=O)NC(=O)C(CCC(N)=O)NC1=O,-2.942849,-7.537788,1.1319182,-2.0006385,7.0883565,-8.581028,-4.3451095,8.437604,5.6499157,18.117855,-0.9786478,8.164029,8.61808,1.4002258,12.084319,6.620008,0.66943496,-1.2019573,1.7326435,-1.6191047,1.6216094,-1.5253631,15.1111765,-1.7096148,-3.2855062,2.4942145,-5.320718,15.352147,-0.101288214,0.0790077,-0.6471083,0.59424895,0.68457085,0.5875474,1.212807,-0.24882634,0.69916016,-0.4270465,0.20502648,-0.83425224,1.3542209,0.9551418,-0.20057508,1.1914521,1.0541583,-0.39833406,-0.3935789,0.119251244,-0.4940291,-0.4803189,-0.7542013,0.98677385,0.63209057,-0.06940119,0.8728321,-0.008458212
4,4,post-traumatic stress disorder,CHEMBL3544974,CN1CC2c3ccccc3Oc3ccc(Cl)cc3C2C1.O=C(O)C=CC(=O)O,-1.5203083,2.0271745,-2.5554883,1.5807986,-4.622591,1.6696845,1.5167676,0.42971408,-1.9180819,-4.8464837,1.6920418,-1.6946999,-0.58825403,3.4834483,0.652517,4.210525,3.5099728,-1.8733302,3.3059576,2.7942119,-0.26841938,1.5919029,1.2303267,1.1340108,1.0663451,3.5980816,-3.036905,2.668846,0.33595106,-0.32017007,-0.22336775,0.66047686,1.3765248,0.974787,0.13396405,0.33481917,-0.9457225,0.53054255,0.035484087,-0.070052855,-0.8364595,0.9041298,-0.16483888,0.16733062,1.637449,-1.2475727,-0.9647512,0.85963655,-0.57413054,-0.38562387,-0.7711954,-0.242381,0.8856194,-1.6016288,-0.27265936,0.6100538
5,5,post-traumatic stress disorder,CHEMBL1522,CN1CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,-3.6653864,0.53210425,1.7008162,-0.31056127,-4.528555,-3.4519577,-0.70832896,1.22048,-2.6639912,-6.2021403,1.8406652,4.16652,0.15510769,3.5094264,6.0040846,5.2016735,0.34283167,-2.1568182,-1.2940725,2.174642,2.244254,3.2977629,1.3255365,-0.39146504,-1.8366685,2.2706108,2.137766,2.5520763,0.0059205173,-0.13356784,-0.5217608,-0.81065184,0.60658455,0.64730054,1.7611187,0.019540574,0.99329793,-1.144919,0.5715005,-0.64716095,-0.37753665,1.5056863,0.10882261,1.520698,1.1658927,0.8476792,-0.6626624,0.51760894,-0.8246001,0.58458984,0.612909,0.36157197,1.4172407,-0.73199844,1.0902709,0.582775
6,6,post-traumatic stress disorder,CHEMBL465,CCCCCc1cc(O)c2c(c1)OC(C)(C)C1CCC(C)=CC21,3.6136622,2.1299388,0.20806623,2.1638396,7.0268903,-3.2126055,-3.5697932,4.893592,4.0208197,0.41055965,-1.6022236,-4.4222603,0.76985085,5.162892,0.06421979,3.5130918,-1.4937303,-0.46860898,6.248856,2.2687676,5.437864,-3.1265268,2.2427075,-3.7512136,-4.090316,-2.9922833,-2.9710505,2.819783,0.6030109,0.043507732,-0.5504446,0.14850843,0.9894153,-0.34730816,0.9413665,-0.9745569,-0.1343965,0.20856987,0.2398967,-0.24859151,-0.46972236,0.72201705,-0.85789347,-0.63058746,2.0752852,-0.88108313,-1.512667,0.24878126,1.5989289,-0.028136179,-1.1565201,1.2546626,0.50924164,1.5728492,-0.7908892,0.8574438
7,7,post-traumatic stress disorder,CHEMBL654,CN1CCN2c3ncccc3Cc3ccccc3C2C1,-1.9148468,0.087627694,1.3463842,-2.1856904,-5.0292487,-1.1679752,1.2583404,-2.1205335,-2.1918283,-5.135691,-1.8579677,-0.08072437,-0.13067065,3.8432338,-0.9117976,2.8242424,2.4046388,-2.4336257,3.078919,3.485753,1.0374373,4.8614097,1.6305995,-1.6488578,-0.4668626,2.5483284,-0.73377,4.4936113,-0.61226815,-0.20419228,-1.7420063,0.32396966,0.8361783,0.31756735,0.3407921,1.0780537,-0.066120274,-0.2366684,0.16470477,-0.6891929,-0.4804633,0.6240832,1.1789359,0.5780536,1.4244033,0.10141788,-0.9013558,-0.12691882,-0.6071532,0.24036166,0.46115252,0.86899614,1.4597919,-0.2621032,0.16208676,1.1137215
8,8,post-traumatic stress disorder,CHEMBL2,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,2.757096,0.3286053,-0.1020433,-0.34973863,3.6551406,-5.613424,-3.2059405,0.54357356,-2.6908915,-1.4343612,-3.180017,1.9040451,-3.037369,3.15244,3.072885,2.6225908,-0.32466114,1.5394965,-4.346454,1.6992584,-0.92759556,1.9647974,-0.8219869,-0.9859639,2.12355,8.31512,0.05066163,1.6686772,0.120568916,0.13653049,-0.53603894,0.3796431,0.085363165,0.2825451,0.7468864,-0.31791532,0.35818827,-0.41957778,-0.00920158,-0.62566954,-0.84099126,0.47224033,0.6269049,-0.45209834,2.5083933,-0.24899861,0.53585035,-0.04253479,-0.03803154,-0.5044371,0.18605217,0.14433903,-0.17556886,0.786543,0.96977264,-0.32612267
9,9,post-traumatic stress disorder,CHEMBL452,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1,1.0075942,1.8069398,-0.018887967,1.7978933,-2.5854442,3.4308507,-1.4463077,-0.2229553,-0.48907852,0.54023,0.57625794,-1.4621391,-2.5526319,5.891389,0.8130271,-1.9135438,4.8304133,-1.6567893,1.6100569,-0.6952786,-0.60462826,0.7231774,2.6605546,0.060248535,0.60532653,0.47575164,0.32450682,0.63509303,-0.04478165,-0.8487918,0.6489793,0.23267125,-0.5313693,2.309886,-0.2343467,-0.52809274,-0.46651542,0.26953578,-0.058148954,-0.73275644,0.05913929,0.9055408,1.9902471,0.44568396,1.4891782,0.0065932274,-0.32596898,-0.6360507,-2.906742,-0.68083435,0.59465617,-0.5883492,0.12005992,-1.0818455,0.98778325,-0.48444334
