,Unnamed: 0,hastalik,idd,smiles,jtvae_0,jtvae_1,jtvae_2,jtvae_3,jtvae_4,jtvae_5,jtvae_6,jtvae_7,jtvae_8,jtvae_9,jtvae_10,jtvae_11,jtvae_12,jtvae_13,jtvae_14,jtvae_15,jtvae_16,jtvae_17,jtvae_18,jtvae_19,jtvae_20,jtvae_21,jtvae_22,jtvae_23,jtvae_24,jtvae_25,jtvae_26,jtvae_27,jtvae_28,jtvae_29,jtvae_30,jtvae_31,jtvae_32,jtvae_33,jtvae_34,jtvae_35,jtvae_36,jtvae_37,jtvae_38,jtvae_39,jtvae_40,jtvae_41,jtvae_42,jtvae_43,jtvae_44,jtvae_45,jtvae_46,jtvae_47,jtvae_48,jtvae_49,jtvae_50,jtvae_51,jtvae_52,jtvae_53,jtvae_54,jtvae_55
0,0,preeclampsia,CHEMBL1491,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,-0.7895676,1.8943483,1.1999131,-2.5914233,4.279056,-2.340918,1.4784424,4.9937105,-0.14707448,5.6468725,0.64677066,-1.3471577,4.3818765,3.9254947,3.0816355,1.615495,-0.3162809,-1.1288064,-0.4667798,-0.0046710446,-4.023516,-0.89017844,6.061321,-1.9247277,-0.074777015,1.6686741,3.436131,-0.4206172,-0.5379621,0.21786255,-0.14553013,0.25754505,0.2990421,1.1257381,-0.6926505,0.3723635,-0.70910144,0.05659672,-0.39239874,0.37067243,0.29786065,-0.40320188,0.82950914,-0.35510215,1.0586432,-0.43477505,0.05224561,-0.11822445,-1.6332213,0.50817835,0.31241345,0.77294695,-0.74792576,0.16451299,-0.19289573,0.6913512
1,1,preeclampsia,CHEMBL1200402,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl.O=S(=O)(O)c1ccccc1,-0.7895676,1.8943483,1.1999131,-2.5914233,4.279056,-2.340918,1.4784424,4.9937105,-0.14707448,5.6468725,0.64677066,-1.3471577,4.3818765,3.9254947,3.0816355,1.615495,-0.3162809,-1.1288064,-0.4667798,-0.0046710446,-4.023516,-0.89017844,6.061321,-1.9247277,-0.074777015,1.6686741,3.436131,-0.4206172,-0.39464378,0.09798998,0.013998538,0.16311716,0.18731216,0.79070634,-0.57677686,0.16778903,-0.45213673,0.1493657,-0.3452914,0.23971179,0.3653794,-0.24600784,0.7799823,-0.29836467,1.0724819,-0.3473356,0.12169442,-0.17494905,-1.0839235,0.2946167,0.22079208,0.7280183,-0.51312536,0.07622351,0.018198365,0.58192134
2,2,preeclampsia,CHEMBL25,CC(=O)Oc1ccccc1C(=O)O,0.16630496,1.0300512,-2.1481736,-1.2480403,0.99128294,-1.0670382,1.1721059,-1.856572,-3.0284464,0.98122907,-1.8046672,-2.8756137,0.3298769,1.6138283,2.94803,-0.81093633,0.4237463,-2.2006989,1.2399665,-1.8110745,0.71574324,0.21668983,0.8629846,2.4752524,2.9842262,-4.101698,1.9266654,-0.30993855,-0.56522447,-0.9051214,-1.0878135,-1.7878975,0.82454276,1.4205828,0.053362086,0.9117067,-0.694504,0.1257072,0.59646,-0.7819822,-0.970477,-1.46482,1.6163347,-0.3882348,0.8519429,-0.3888942,-0.36960095,0.28091326,0.061290376,0.24971426,-0.6224736,0.34346503,-0.58567315,-0.37414274,1.1227521,1.7437087
3,3,preeclampsia,CHEMBL429,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,-1.4965638,0.48758554,5.1290245,0.05871863,3.1735969,-2.2608056,-0.30459276,2.1634495,1.3894393,2.0033844,-0.46543288,-2.0137756,4.737901,0.69571996,0.029551014,1.0455301,-2.5022116,-0.16170876,3.9113579,0.20477223,-0.1766422,-6.6375337,6.8823905,2.1385655,-0.25423145,-3.2344189,-4.144959,1.5036598,-0.05502608,0.28364596,-0.10351601,-0.25420207,0.04526429,0.32949087,0.4151477,-0.29097345,-0.71546817,-0.020619791,0.102097094,-1.0609442,0.016073942,0.37767938,0.79707247,-0.13715754,1.5447307,0.15911236,1.0171986,-0.92999536,-0.17246461,-0.41148686,0.6129265,0.43643963,0.33981848,-0.9700787,-0.24234737,-0.6143223
4,4,preeclampsia,CHEMBL459,CC(N)(Cc1ccc(O)c(O)c1)C(=O)O,2.5997398,0.43778956,-0.32818463,-3.13622,3.2248917,-1.7206013,3.33986,1.9548422,-2.6248722,-1.1330917,-1.0608838,-3.6559384,4.851369,2.857172,2.7137125,0.25069183,-0.78915095,-4.120454,2.4547806,-1.0330073,-0.20654325,-0.49228698,7.241409,2.6020336,-1.8331418,-1.8693929,-3.840954,0.8301277,-0.09987672,0.890762,-0.88708174,-0.6094278,0.40239406,-0.5648663,0.6930191,-0.6182926,0.3708299,0.046745528,0.3709181,-1.0837793,-0.22845978,0.80362564,-0.09409533,-0.54738045,1.7150187,0.15891859,0.9317586,0.28337926,-0.16911042,0.6962902,0.2425861,1.3196439,-0.14195369,-1.8430498,-0.55610627,-0.74494183
5,5,preeclampsia,CHEMBL211456,CNC(C)C(O)c1ccccc1,-0.5425199,1.3856976,-1.6845806,-4.062736,0.57529885,-2.2202902,0.3460698,0.21166937,-3.486321,-4.9119806,0.06592156,-2.0006642,-2.0635483,-2.5335903,-2.026651,2.389648,-2.9850886,-1.9210346,0.8864019,0.82275397,-1.5909892,-0.18590713,4.136139,1.1433969,-0.8302754,-0.18497524,-1.8824372,-2.8502085,-0.17385043,-0.066936344,0.044918515,0.4274137,0.39727283,0.45670557,-0.12323503,0.20719755,0.3233831,0.02487712,-0.07128117,0.07601171,0.13146862,0.3176871,-0.020703703,-0.22389123,1.0780817,-0.005254492,0.1484525,-0.08637396,0.054753616,-0.40699545,0.14222667,0.551979,0.46564794,-0.5898044,-0.21508148,0.23701213
6,6,preeclampsia,CHEMBL193,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],1.826307,1.3096474,-3.2409232,-3.9353366,3.8529584,-2.0120916,1.693215,2.2659764,-1.1135421,5.491789,3.3650556,-0.5144126,2.3736334,1.8841693,2.892864,-3.9243805,-0.51842886,-2.4281483,-0.8338657,2.1028416,-1.3389922,2.2383785,5.410214,0.62474936,1.044645,2.0927649,5.283022,0.7329252,-0.68548316,-0.6641828,-0.038328566,-0.35519844,0.6896163,1.5243556,-0.017735166,0.96785957,-1.5881469,-0.18777584,0.17508209,0.30245492,0.21433109,-0.7277795,0.5962868,-0.48452675,0.56775075,-0.15503138,-0.15053274,0.44233197,-1.141543,0.44531167,-0.18726721,-0.13482034,-0.8514386,-0.61856973,-0.49311727,0.4205991
7,7,preeclampsia,CHEMBL134,Clc1cccc(Cl)c1N=C1NCCN1,0.45009843,2.0068226,-1.428069,0.5884548,-2.764411,1.1105692,-1.9424255,-5.060313,-2.25312,-1.2650393,1.0056936,-0.9698294,-0.29397404,0.76395017,1.1869059,-0.95929927,-1.031067,5.218706,6.723775,-2.1133409,2.7648265,-0.5728302,0.2571773,-1.5973654,0.38788584,6.6334596,-1.8244507,0.7331964,-1.8662355,-1.1710771,0.123918734,1.0580136,0.42921877,0.65660894,-0.43152872,0.80634373,0.29089385,0.02056669,-1.4987798,0.61303324,0.07200449,1.1715791,0.6006634,-0.62551516,0.23510431,0.56883353,2.560429,-2.3404005,-0.965463,-1.274184,0.07164503,1.0503886,-0.15317743,1.4103682,0.5388862,0.97634745
8,8,preeclampsia,CHEMBL112,CC(=O)Nc1ccc(O)cc1,-0.7130991,3.5547688,-2.189852,-2.5957115,-1.2106632,-0.74815404,-0.031337686,-1.8462358,-3.033496,-2.1320763,-0.8442875,-1.6034187,0.58025587,1.1177254,1.370674,-0.7857965,-1.9395419,-0.13632283,1.2990943,-1.6766235,2.2057111,-1.4214715,-0.56582457,2.035881,-0.46854272,-2.0007277,0.096411094,-0.27674007,-0.14473727,0.8128929,0.8525981,0.052915394,0.26916403,1.6208473,2.2021084,-1.1135801,-0.91823137,0.59167904,-0.55020064,0.49406624,0.8304262,1.5039438,-0.26952484,1.3672605,1.0995041,-0.89557296,0.31585222,-0.13685825,-1.1927376,-0.5330924,0.043597557,-0.8071518,-0.39552802,-2.6155908,-1.1971258,-1.2663597
9,9,preeclampsia,CHEMBL35,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,-0.43750182,-0.90768754,2.216479,-2.938699,0.6576295,1.3111131,0.048310302,-2.1893291,-2.7013743,1.0138538,-2.0554488,0.9567315,3.0452192,0.3562077,4.994829,-1.4383831,3.7339678,-0.2583013,2.2097142,-1.8209689,1.3802379,-2.7711797,5.6513944,-0.04927219,-0.04341588,5.996204,-3.5996766,-0.29830593,-0.8442711,0.6901137,0.15601856,0.67323774,-0.49239334,-0.27001148,0.6059449,0.6505394,-0.58433396,0.79810387,0.36494544,-0.6911493,0.08829739,-0.5301559,1.5488465,-0.6173956,2.575575,-0.7090952,0.8836861,-0.11573654,0.34135535,-0.23439288,-0.22895887,0.34840906,-0.023927972,0.023010373,-0.28897777,0.22589043
