,Unnamed: 0,hastalik,idd,smiles,jtvae_0,jtvae_1,jtvae_2,jtvae_3,jtvae_4,jtvae_5,jtvae_6,jtvae_7,jtvae_8,jtvae_9,jtvae_10,jtvae_11,jtvae_12,jtvae_13,jtvae_14,jtvae_15,jtvae_16,jtvae_17,jtvae_18,jtvae_19,jtvae_20,jtvae_21,jtvae_22,jtvae_23,jtvae_24,jtvae_25,jtvae_26,jtvae_27,jtvae_28,jtvae_29,jtvae_30,jtvae_31,jtvae_32,jtvae_33,jtvae_34,jtvae_35,jtvae_36,jtvae_37,jtvae_38,jtvae_39,jtvae_40,jtvae_41,jtvae_42,jtvae_43,jtvae_44,jtvae_45,jtvae_46,jtvae_47,jtvae_48,jtvae_49,jtvae_50,jtvae_51,jtvae_52,jtvae_53,jtvae_54,jtvae_55
0,0,schizophrenia,CHEMBL1201293,CC(=O)NCCCS(=O)(=O)O,2.119846,2.014425,0.63400733,-2.2007875,-1.9446127,-1.6938186,-0.34428668,-1.3835229,1.5460819,2.42973,-1.7671639,0.86334556,1.2788239,1.9223236,-1.6917825,2.4128544,-0.8996219,-0.29739177,3.438154,-3.2587745,3.0158489,-4.5281587,1.0583446,0.22323376,-1.5572205,0.006365359,5.2851186,-0.37425092,-0.58372986,0.22725365,-0.38214454,0.2593165,0.7592757,0.9288801,0.1515355,0.3297967,0.009580828,0.45846945,0.24225825,-0.2423037,0.22284591,0.23582512,0.6205668,0.25132236,1.6659881,-0.11704943,-0.41631967,0.22399527,0.06331758,-0.12191132,-0.19434524,0.4627297,0.6145875,-0.350986,-0.4152148,0.16674462
1,1,schizophrenia,CHEMBL1431,CN(C)C(=N)NC(=N)N,1.7658916,-0.32675093,-0.35211137,-7.697538,-2.0706518,-4.6510344,0.27253172,-4.1880584,-6.7911644,-6.0403605,0.53055763,7.1199913,3.122106,-1.9500611,1.2690738,0.06970321,-3.0831113,0.68135226,0.49339437,-1.5486231,-0.46575642,-4.833114,3.8848765,-2.9575894,0.19831635,1.9943715,-3.4296927,3.0324929,-0.3267191,0.14767453,0.4592824,-0.11171891,0.38721484,1.7664568,-0.17185022,0.7986102,-0.39695582,1.0097498,0.075734586,0.24100748,0.5707358,0.031905413,0.102189906,0.18632048,2.0067725,-1.3493282,-0.6411687,-0.020506218,-0.836599,-0.8176144,0.10561744,-0.22233778,0.12802726,-0.7067045,-1.1770977,-0.38651386
2,2,schizophrenia,CHEMBL3187365,CN1CC2c3ccccc3Oc3ccc(Cl)cc3C2C1,-1.5203083,2.0271745,-2.5554883,1.5807986,-4.622591,1.6696845,1.5167676,0.42971408,-1.9180819,-4.8464837,1.6920418,-1.6946999,-0.58825403,3.4834483,0.652517,4.210525,3.5099728,-1.8733302,3.3059576,2.7942119,-0.26841938,1.5919029,1.2303267,1.1340108,1.0663451,3.5980816,-3.036905,2.668846,0.7436764,-0.4155583,-0.029461987,0.9104062,1.6512887,0.6584311,0.19405289,0.28773636,-1.3910152,0.623513,-0.1194033,0.145874,-1.212623,0.8895643,-0.28304622,-0.21625999,1.6908259,-1.8774736,-1.1811099,1.1530395,-0.7059378,-0.49040976,-0.9780638,-0.2989268,0.8869237,-2.3000004,-0.33454168,0.69228685
3,3,schizophrenia,CHEMBL54,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,0.683282,-3.8036983,6.923618,3.9356549,-0.0916381,-0.5412556,-2.5294847,2.0375807,4.400937,0.334664,3.475421,1.1951219,0.48030972,2.768854,-2.5878239,0.35495588,0.21538739,1.7876203,7.2434554,-1.577619,-0.058169127,-0.6500219,3.8049114,3.3361769,0.33461016,-2.6731882,1.4813781,-3.0231206,0.26689684,0.5523082,0.9349911,0.35440278,1.0253994,0.5013647,1.826007,-0.44830823,0.5618574,0.3851668,-0.09060298,0.58188754,-0.06287468,1.0345733,-0.07326352,0.38522613,1.4435496,1.3472219,-0.48961282,-0.821339,0.928476,0.31713778,-0.5664092,1.2932965,-0.4857065,-1.1461073,-1.6368705,0.544389
4,4,schizophrenia,CHEMBL121,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1,-0.09572917,-5.1006455,3.3013747,-3.738516,-3.3642995,0.3680167,3.5558681,4.916644,2.510645,-0.7674503,3.4178667,-1.4699639,-0.44113833,2.8924832,-0.27313405,1.5720382,4.9470444,-2.4829516,-0.61749905,0.8816259,-3.5117834,-2.6604395,-0.35495472,1.47735,1.1716499,-0.77043706,4.095702,-1.1400248,-0.79269034,-0.32984748,-0.10223693,1.3509747,0.2958843,0.52101064,0.33906838,0.40615392,0.23774466,0.050394665,0.33002734,1.2035409,0.57128465,0.98676616,-0.25070408,-0.087659344,1.8032916,-1.5183289,-0.00572975,-0.46986568,-0.46724138,-0.112695694,-0.66508436,0.23679683,-0.5257384,-0.12711619,-0.70444006,0.06782384
5,5,schizophrenia,CHEMBL715,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,-0.63516366,0.8357455,-3.7890594,-2.6025805,-1.448532,0.78269774,0.4263126,-0.8576537,-2.643522,-0.32474333,-5.136317,2.1574998,-2.1621299,4.115266,0.58786833,-2.3603826,4.0945864,1.5812674,-0.18508346,1.0575613,2.7632751,-1.6705822,-2.2820415,-1.3708303,-0.90900695,1.274169,-3.2705126,3.4546444,-0.6550294,-0.0043942034,0.7117843,0.63670254,-1.0041764,0.5767763,0.969571,1.5381211,-0.5689525,-1.1955541,0.51529336,-1.0010372,0.22624257,0.10841252,1.3882442,-0.3569613,2.309351,0.7056475,0.9610979,-0.8516271,0.7132698,-0.8736107,0.34010068,1.5403234,-0.012891814,-0.1925635,0.02333785,-0.6800406
6,6,schizophrenia,CHEMBL243712,CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC,0.21474963,1.5091449,0.23471054,1.2676208,0.428765,-4.495654,2.1574862,5.412372,3.7549098,-3.2654135,0.74626577,-0.16113175,1.4163195,-1.7286305,2.12384,2.302098,2.1472998,-1.6390989,0.73920596,-2.3105073,0.5497816,-4.529706,0.636156,-2.4411387,-4.4411225,2.4615884,-0.19139305,1.3117077,-0.6669006,1.5367527,0.18812442,-0.10846113,0.32791054,0.271789,0.6296732,-0.33951467,-0.0639066,0.2026049,-0.5671644,-1.1754314,0.10597836,-0.5701752,1.7622371,0.6501027,1.9025357,0.6540892,0.24513842,0.96334636,-0.3038624,0.5153172,0.5987877,-0.09985733,0.7301194,0.14918035,0.39151993,0.5290829
7,7,schizophrenia,CHEMBL3188993,O=C(O)C=CC(=O)O.OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1.OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,2.2531629,1.8905425,0.09767637,-3.9991794,-0.44033283,-0.6471548,-1.7334094,-3.4553373,-3.8868322,4.069438,0.8057637,-0.25707853,2.7080488,1.8759781,2.337175,0.42295408,-1.0089176,0.032008797,-0.4765821,-2.5958807,2.0988882,0.9567271,3.5329108,1.3655441,2.8733656,-2.2341084,3.6770573,-2.156771,-0.59328216,-0.28490224,0.05753515,0.53457147,0.66659427,0.86262727,0.295856,-0.046779137,0.36628383,-0.057255667,-0.050730426,-0.46836922,-0.35213998,0.4592858,0.52573997,-0.42041022,1.8037019,0.69063133,-0.34047902,0.2752787,0.12125715,-0.02148626,0.11327238,0.51933086,0.43818367,-0.28494227,0.28935102,0.28076172
8,8,schizophrenia,CHEMBL526,CC(C)c1cccc(C(C)C)c1O,-0.5840869,1.7442225,-3.193424,-1.3907892,5.0964656,0.51224947,-0.023437597,0.55863166,-2.0249195,-0.8801885,-0.06360446,-2.500775,2.718654,1.6566089,-2.1653042,-2.858353,0.24254827,-3.4897316,5.624126,-0.857919,-0.18315558,-0.71516937,1.7731736,0.7976596,0.25998026,-3.7287364,-2.1695094,2.9421594,-0.5602234,-0.30510873,-0.4967798,1.8235697,2.0095148,0.90374285,-1.1717533,1.2267004,0.15693054,-2.3715026,0.39865774,-0.21285704,0.9462515,-1.0065458,-0.23462152,0.71521527,-0.38285133,-0.3541681,-0.2109739,-2.9962084,-0.17941156,-1.9887964,2.554703,0.27296746,1.2239746,-1.0360143,-0.49292457,0.74241054
9,9,schizophrenia,CHEMBL85,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,0.11140743,-1.1287196,1.4107981,0.938101,0.23396538,1.3360878,-4.414079,0.17164345,3.4455721,2.1801028,4.1655717,2.7415419,-1.8995649,7.5507274,-6.046497,0.86940914,0.42180997,-1.6919966,0.72343326,-1.8019522,0.92901033,-1.9280437,0.7551856,2.339595,-4.462734,-0.036622822,0.6375852,1.4646107,0.33320644,0.1792945,-0.5659666,1.7313545,1.0583129,1.0063072,0.55461186,0.06114756,0.1871157,-0.1524245,-0.042410042,0.1990352,0.12269237,-0.75671864,0.72116995,-0.103308626,2.5461133,0.41893283,-0.41434085,-0.59880304,0.029560396,-0.7020947,-0.034904443,0.53550243,-0.7593048,0.40115523,-0.4746958,1.1948202
