,Unnamed: 0,hastalik,idd,smiles,jtvae_0,jtvae_1,jtvae_2,jtvae_3,jtvae_4,jtvae_5,jtvae_6,jtvae_7,jtvae_8,jtvae_9,jtvae_10,jtvae_11,jtvae_12,jtvae_13,jtvae_14,jtvae_15,jtvae_16,jtvae_17,jtvae_18,jtvae_19,jtvae_20,jtvae_21,jtvae_22,jtvae_23,jtvae_24,jtvae_25,jtvae_26,jtvae_27,jtvae_28,jtvae_29,jtvae_30,jtvae_31,jtvae_32,jtvae_33,jtvae_34,jtvae_35,jtvae_36,jtvae_37,jtvae_38,jtvae_39,jtvae_40,jtvae_41,jtvae_42,jtvae_43,jtvae_44,jtvae_45,jtvae_46,jtvae_47,jtvae_48,jtvae_49,jtvae_50,jtvae_51,jtvae_52,jtvae_53,jtvae_54,jtvae_55
0,0,septic shock,CHEMBL1437,NCC(O)c1ccc(O)c(O)c1,1.4044164,1.000324,-0.517683,-4.2865734,0.620092,-2.7230828,2.3771038,-0.3024827,-3.5990398,-4.5636125,-0.5608285,-3.4222085,3.020342,3.191798,2.5151184,3.1887848,-1.8981067,-1.9617536,1.4335455,0.96683425,1.0762265,-1.130546,4.8500237,0.58448505,-0.19633813,-0.33447227,-3.799493,-1.2054522,0.20455492,0.6261669,-0.2938401,0.2519625,-0.21752396,-0.6503724,0.323391,-0.5238297,0.40226907,0.4515836,0.71054906,-0.77847,0.23052824,1.5911603,-0.25599444,-0.38561392,1.6990342,0.86883146,1.0450761,0.22973603,-0.4487802,1.2419233,0.10796348,2.2106328,0.22585717,-1.8185447,-0.6963876,-0.56090283
1,1,septic shock,CHEMBL742,CNC1(c2ccccc2Cl)CCCCC1=O,-0.49229428,0.26094612,-2.57069,-0.76665586,-2.569737,0.061385654,0.16775429,0.54955786,-0.2147033,-5.6729293,2.0393305,-2.5137544,-1.9622084,-1.6550289,0.6200868,3.6624277,1.2701658,-1.2330062,0.5159953,-0.7140968,-2.059796,2.174705,3.055882,-0.5678974,0.22800851,0.4522462,-2.8685806,-2.8224008,-0.065593295,-0.18025076,-1.2858055,-0.09158982,1.0352106,1.2974064,-1.6905845,-0.40289414,-0.3774925,0.4055258,0.06088125,-0.018730037,-0.29581517,-0.58125776,1.3559093,-0.2508894,0.7821462,1.2941812,0.26835585,-1.3168216,-2.1872005,-0.22954676,-0.43107554,-0.31560007,0.39074457,0.8903552,2.2306736,0.25166008
2,2,septic shock,CHEMBL655,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,-2.1747289,-0.28024536,-1.3644934,0.7400006,-1.2080595,5.2108493,0.05334451,-1.371513,0.45260778,0.17528142,-3.006847,-1.2292411,-2.618975,4.507475,0.11549051,-1.0607742,1.2831873,-4.9557037,0.24493475,2.7691946,-1.0080467,0.6459992,2.4390047,-1.2431847,-3.4056687,2.6406722,-2.969304,0.33395243,-0.55810374,-1.0541042,-1.127165,0.1493825,0.94580555,2.00492,-0.39113554,-1.0125978,-0.8016689,0.7252003,-0.008419822,-0.6555009,0.7367419,0.84797245,1.1833894,-0.31596404,0.91582525,0.21575418,-1.0887731,-0.41604313,-2.5491474,-0.8439688,0.18165344,-1.6197083,0.4936543,-1.7559761,1.1347239,0.14537412
3,3,septic shock,CHEMBL373742,N=C(N)NCCCC(NC(=O)C1CCCN1C(=O)C1CSSCC(N)C(=O)NC(Cc2ccc(O)cc2)C(=O)NC(Cc2ccccc2)C(=O)NC(CCC(N)=O)C(=O)NC(CC(N)=O)C(=O)N1)C(=O)NCC(N)=O,-4.8815107,-7.3927574,5.1780014,-8.5262575,-1.5248021,-6.9583774,-3.8416119,6.0375977,9.964514,17.068184,-0.8487345,11.156888,9.371275,-4.4821234,14.734463,7.124386,-1.4475585,-0.47448933,-0.42866194,-0.63008267,2.5281823,-5.626519,15.66496,2.6629617,-0.41448414,7.849706,-6.61197,8.224418,-0.09384052,0.14866334,-0.64054215,0.5166758,0.6666323,0.5723727,1.1286852,-0.20791124,0.6451478,-0.34395182,0.11675869,-0.83364296,1.1955394,0.95835763,-0.19394922,1.2322598,1.0090601,-0.33052513,-0.39527017,0.19450659,-0.52517945,-0.4481897,-0.63628596,0.94930446,0.6186754,-0.029435366,0.77708894,0.02786237
4,4,septic shock,CHEMBL778,Cc1cccc(C(C)c2c[nH]cn2)c1C,-1.8085023,-1.3782756,-3.7517025,-0.7338324,5.217379,1.8448107,1.0708537,0.018854573,-2.672671,0.9332354,-1.5024201,-4.340028,-0.0847535,1.3233526,-3.8872123,-4.1495385,-1.8344737,-0.4866051,3.0197284,-1.8054044,0.41490138,0.7471316,-0.3586205,-1.2496247,-2.196546,-1.6593868,-2.036235,2.3984854,0.91607803,1.316839,1.8078264,0.21378337,1.7888535,0.5881938,-0.19608794,0.61878115,-0.8141214,-0.7338523,-0.2393316,0.8803507,0.15084675,-0.7149774,-3.2630122,-0.08711058,1.3436688,-0.26163623,0.5911029,0.74901044,-1.844489,-1.2681724,2.447211,0.911515,1.3855491,-0.51133144,0.47715273,1.3794425
5,5,septic shock,CHEMBL596,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,-3.9574573,-0.2737431,0.8965746,-2.864452,-2.5825605,0.46569967,-0.95101964,1.3709642,3.2507694,-0.96066374,-4.472932,-0.7316142,-1.2232169,1.9918703,-1.8070298,1.1660744,-4.346406,5.520277,-1.1603212,0.74358094,-1.3715962,-0.37927663,0.41959864,3.7143571,2.0217013,-2.1599634,-0.72812456,6.0482626,0.18615119,-0.12037689,0.4763643,0.5737903,0.365722,0.38185456,-0.26471367,0.23537579,1.2923381,-0.3830971,-0.29148045,0.21019521,-0.1199406,0.15596461,0.35893306,-0.044599697,1.667381,0.38044617,0.117301285,-0.22437,0.4524159,-0.7127852,0.26041862,0.53106904,-0.5165014,-0.40493473,-0.12038611,0.59104395
6,6,septic shock,CHEMBL1064,CCC(C)(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,0.71927893,0.66522694,-1.7119013,-4.4181323,8.865918,4.9532824,-0.8705925,8.887474,0.7308661,5.449336,-3.856968,2.0382662,1.4358516,3.703878,1.4915618,5.5603123,-2.1190279,-3.4117079,1.8804464,-0.76026136,1.7255683,-4.391056,3.0681658,0.41004094,0.73476636,-0.2829965,3.5194883,7.425473,-0.5193617,0.23270431,-0.45478737,0.5833313,0.030842543,0.46613038,0.97787017,-0.5764996,0.525733,0.038855094,-0.47799033,-0.3955172,0.6008939,1.0335132,-0.1710296,1.269641,0.2068516,-2.1886494,-0.12523736,0.6291694,0.3042781,-0.069210544,-0.1953476,1.2218274,1.7538447,0.48006794,-0.7811804,1.8550409
7,7,septic shock,CHEMBL977,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)COC(=O)CCC(=O)O,3.4998946,0.46803814,2.5275931,0.6106034,7.3310866,0.6073401,1.2661624,0.6418138,2.1289794,6.793081,1.6457716,5.8086505,-0.54368436,0.89656705,8.684636,8.037046,2.0115361,-2.8012059,-0.7271123,-0.832841,2.2184517,-2.8024406,4.3082623,2.3146753,5.1449428,0.899541,3.136814,8.278563,0.08679652,0.6533796,-0.9912811,0.38485909,0.072307974,0.83610076,0.8938984,-0.9118204,1.4335729,-0.3652353,-0.0822449,0.20924973,0.490811,-0.15387361,0.996693,1.1700028,1.6555626,0.20663056,-0.353666,1.6213653,-0.94172037,0.28263983,-0.11735176,0.05863732,0.32267153,0.5888835,-0.3947429,0.93114483
8,8,septic shock,CHEMBL1201212,COc1ccc(OC)c(C(O)CNC(=O)CN)c1,-0.33115086,-0.1335647,0.5319958,-1.7726557,4.598873,-3.984191,3.033011,1.8425432,-2.849024,-1.1191578,0.27554625,-1.901474,3.368865,-1.0269054,2.4992342,2.5712237,-1.6482892,2.7165506,-1.1049453,-2.493019,-0.90628284,-1.1528751,-0.3868476,1.866706,1.5576988,2.6780229,-1.0710828,-4.1701956,0.06647028,1.135127,1.1428441,0.92852503,0.52916384,1.7912207,0.12714976,0.55996937,0.08885483,0.61905897,0.61275876,-1.0541042,-0.08317289,0.31649196,0.244396,0.08287072,0.9529562,-0.21354413,-0.32125866,0.85835445,-1.2911955,0.2992192,-0.009971477,-1.2909653,1.0273182,-1.3482774,-0.07420238,-0.029227912
9,9,septic shock,CHEMBL389621,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,2.429953,3.807885,0.026267558,1.4179221,6.4407725,0.34881696,0.1535851,-0.56954867,-0.06315972,1.2761557,1.733951,3.1460268,-1.2547835,3.13399,4.7012253,3.973815,3.3832726,-2.209603,-0.05956602,-0.338508,4.7299876,-0.55542046,4.6056433,1.0182652,3.049299,1.1584371,1.347567,7.2995596,0.3863861,0.63968563,-1.0246016,0.4946282,-0.20389014,0.6046401,1.0117779,-1.16172,1.8832245,-0.59094995,-0.1952692,0.43103638,0.7082396,-0.34878886,1.2211846,1.4420538,1.7525934,0.39106,-0.43084365,2.1342123,-1.1918386,0.37738043,-0.19753954,0.14301065,0.15862325,0.78863907,-0.64651674,1.2113507
