,Unnamed: 0,hastalik,idd,smiles,jtvae_0,jtvae_1,jtvae_2,jtvae_3,jtvae_4,jtvae_5,jtvae_6,jtvae_7,jtvae_8,jtvae_9,jtvae_10,jtvae_11,jtvae_12,jtvae_13,jtvae_14,jtvae_15,jtvae_16,jtvae_17,jtvae_18,jtvae_19,jtvae_20,jtvae_21,jtvae_22,jtvae_23,jtvae_24,jtvae_25,jtvae_26,jtvae_27,jtvae_28,jtvae_29,jtvae_30,jtvae_31,jtvae_32,jtvae_33,jtvae_34,jtvae_35,jtvae_36,jtvae_37,jtvae_38,jtvae_39,jtvae_40,jtvae_41,jtvae_42,jtvae_43,jtvae_44,jtvae_45,jtvae_46,jtvae_47,jtvae_48,jtvae_49,jtvae_50,jtvae_51,jtvae_52,jtvae_53,jtvae_54,jtvae_55
0,0,skin cancer,CHEMBL428647,CC(=O)OC1C(=O)C2(C)C(O)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C2(O)CC(OC(=O)C(O)C(NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C,-7.150333,9.9965925,2.994817,1.408019,13.310491,-6.6096997,-1.7898257,-4.140256,0.21136841,8.896896,3.8296936,5.547561,1.1800364,-0.6271957,15.647297,-2.3967786,-2.7895973,-3.4981065,-2.2362256,-0.44236606,0.9812164,-0.06545253,14.690649,3.1606846,8.765574,4.6137977,0.10865659,7.8827963,0.5680017,0.13897103,0.0011871085,0.47079152,0.24527319,-0.023256004,0.37557548,0.026606461,0.64769655,-0.036702886,0.15288931,0.07197416,-0.0745267,0.24286596,-0.030681185,0.69784373,1.4346685,0.26265723,0.11011207,0.30285943,-0.6291737,-0.072356895,-0.34509006,0.48908556,0.7091514,0.54029703,0.047485672,0.56603295
1,1,skin cancer,CHEMBL1131,COc1cc(C)c(C=CC(C)=CC=CC(C)=CC(=O)O)c(C)c1C,2.6402204,-1.3191397,-0.19717363,-6.497411,10.336427,0.23890653,-2.919168,-3.2201748,3.6757252,6.688053,6.492025,-2.4201236,4.0204105,-1.6474111,0.8286008,-2.395712,-1.3316355,0.5661043,-0.13858591,-1.7140456,-3.526124,-1.7250212,1.9684234,-2.1419392,-3.122637,2.686716,1.517671,2.8220084,-0.10083948,0.19924691,0.035497777,0.6431229,0.22526151,0.8538309,0.027963692,-0.33559695,0.23706448,0.48423854,-0.358592,0.47583467,0.3087573,0.9450244,0.35707557,0.54022205,2.0520432,-0.28599688,0.35178548,-0.048630618,-1.2425592,-0.0278266,0.19270507,0.6335788,-0.35950047,0.51572096,0.44012973,0.56026673
2,2,skin cancer,CHEMBL3545414,CS(=O)(=O)O.N#CC1(c2ccc(NC(=O)c3cccnc3NCc3ccncc3)cc2)CCCC1,3.1669233,0.35533684,-3.5643349,-3.5907521,-0.50290835,-0.32241172,-0.27015123,-4.5804143,-4.707357,-0.2751053,-3.6730409,-1.9473878,0.72065866,2.6598155,-0.76433015,-0.43598542,1.8559997,-1.2620175,1.7634395,-0.9027129,1.297983,-0.65145296,2.89407,0.68806237,3.6581788,2.7301145,2.269549,-0.55488986,-0.8299015,-0.22934774,0.12965289,0.31446263,0.9591056,0.3875305,-0.1773595,0.14333034,-0.40842798,-0.34342748,0.42831752,1.2331227,-0.47104445,0.25563002,1.6192019,0.36317202,1.541173,-0.06078821,0.040129602,-0.12171241,-0.13337463,0.11805654,0.7031846,-0.51891065,-0.2953388,-0.6721896,0.0021042465,0.2375533
3,3,skin cancer,CHEMBL92,CC(=O)OC12COC1CC(O)C1(C)C(=O)C(O)C3=C(C)C(OC(=O)C(O)C(NC(=O)OC(C)(C)C)c4ccccc4)CC(O)(C(OC(=O)c4ccccc4)C21)C3(C)C,-4.8127728,7.7749124,-0.2151672,-0.9855166,14.428181,-6.2907553,-3.8059907,-3.6481395,2.0131323,7.1117196,4.989245,7.70707,3.6680183,0.5313916,15.776283,-0.29857698,1.0712684,-4.0241327,-0.93512654,1.5362818,1.0091797,-1.769364,12.461505,2.8900785,6.939343,3.9664912,0.47500962,8.080043,0.6350753,0.2284851,-0.019545227,0.46980757,0.254271,0.15632838,0.39760876,-0.18702999,0.60015285,-0.06979437,-0.12561382,0.29468197,-0.03572526,0.24491864,-0.007845845,0.4975263,1.3788022,0.30001065,-0.071089506,0.46249652,-0.7997659,0.04207761,-0.36503306,0.54983616,0.9562039,0.48150197,-0.09056284,0.38491789
4,4,skin cancer,CHEMBL2105729,CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(N)n2)s1.CS(=O)(=O)O,1.1406252,-2.7684236,-0.3974569,5.5323353,5.3527603,3.9075532,-4.0815964,3.8983655,0.93604076,-0.48632288,-1.4297075,4.4599395,4.418647,2.7106967,1.5986552,-7.0683417,-3.4779735,-7.8794756,2.0360885,-3.0223408,1.3576645,-1.9259614,2.1848269,-1.972716,-3.604746,1.7305745,-5.342665,5.5743265,-1.2851317,-0.7816224,0.99836004,-0.08878006,0.97683847,0.91142255,-0.18521215,0.15238844,-0.861299,-0.36308664,-1.1337448,0.5339202,0.50543505,-0.40871227,-0.4044345,-1.2484028,0.870353,-0.52243936,0.0062801093,-0.5039449,0.5992334,-0.04229337,-0.9595176,-0.22065783,1.2950095,-0.08660941,0.09762626,0.52672404
5,5,skin cancer,CHEMBL473417,CS(=O)(=O)c1ccc(C(=O)Nc2ccc(Cl)c(-c3ccccn3)c2)c(Cl)c1,-3.7420423,-2.640633,0.8581829,-0.1758284,1.0829903,3.7666245,-4.1455216,-0.6806708,1.6913472,0.7330035,-2.1985214,-0.8608289,0.78615,-0.36747253,4.7197423,-3.9082704,2.4645016,-1.0171646,3.28625,-1.7423488,-0.042393982,0.6839416,1.6828613,-2.2853723,1.9436303,3.750092,-3.1453438,-1.5557754,-0.49491143,0.95081586,-0.4235534,1.2338214,-0.015721947,0.16029528,0.5136073,-0.40322882,0.985001,0.294353,0.008881968,-0.98746383,-0.029204905,0.4298045,0.4773791,-0.3057719,1.990119,-0.6142226,-0.32845062,-1.2924818,-1.1702892,0.9011647,-0.630244,-0.5439713,-0.45318085,1.2871822,-0.42332235,-0.38174352
6,6,skin cancer,CHEMBL501867,CCC1(O)CC2CN(CCc3c([nH]c4ccccc34)C(C(=O)OC)(c3cc4c(cc3OC)N(C=O)C3C(O)(C(=O)OC)C(OC(C)=O)C5(CC)C=CCN6CCC43C65)C2)C1.O=S(=O)(O)O,2.4349818,-0.01130496,2.7766922,-1.1019394,12.715506,-5.5759006,4.0498776,2.1499734,3.9970424,1.0591078,-0.42953563,7.6986694,-2.4195971,3.5305521,10.862371,3.9149745,-5.130615,-3.732434,-4.8254223,2.6827288,0.79702586,3.637598,10.102656,0.7759811,6.308027,2.4746408,-2.7681112,6.9817724,0.2924719,-0.36150798,0.44336164,1.3149738,0.22948398,0.25115943,0.106681235,0.9821749,-0.6546707,-0.3999637,0.9592195,0.060356207,0.3093532,-0.028564945,1.1078335,0.4188459,1.1430755,-0.26260838,0.66716796,-0.25997773,0.24305968,-0.019065924,0.17812717,0.98642755,0.9566323,-1.2090055,0.6975877,0.6003322
7,7,skin cancer,CHEMBL888,Nc1ccn(C2OC(CO)C(O)C2(F)F)c(=O)n1,-3.7140522,0.15956318,-1.5351883,0.5491182,-1.4432553,-0.72487885,1.4960122,-1.690715,-3.9544709,-3.0408125,2.518744,2.337449,2.2630982,7.1378922,3.0096643,5.078614,3.1388094,-2.9654033,-3.8805664,3.179088,2.053827,-3.4474254,5.2353163,0.8050817,-3.7358053,4.0845113,0.16620904,0.02193579,-0.26113734,0.27477327,0.02251669,0.42668796,-0.100051045,0.9214301,0.54869217,0.27916214,0.19999045,-0.44814336,-0.25380257,-1.1290863,-0.7336559,1.3382006,0.23905,0.6309883,1.8079387,-0.026358608,0.46025455,-1.0752511,1.0317547,-0.4860369,0.04390011,0.28622726,0.82307565,-0.2432039,-0.050532065,-0.08014184
8,8,skin cancer,CHEMBL3545252,CC(=O)OC12COC1CC(O)C1(C)C(=O)C(O)C3=C(C)C(OC(=O)C(O)C(NC(=O)OC(C)(C)C)c4ccccc4)CC(O)(C(OC(=O)c4ccccc4)C21)C3(C)C.O.O.O,-4.8127728,7.7749124,-0.2151672,-0.9855166,14.428181,-6.2907553,-3.8059907,-3.6481395,2.0131323,7.1117196,4.989245,7.70707,3.6680183,0.5313916,15.776283,-0.29857698,1.0712684,-4.0241327,-0.93512654,1.5362818,1.0091797,-1.769364,12.461505,2.8900785,6.939343,3.9664912,0.47500962,8.080043,0.5976464,0.25004083,-0.05491037,0.4530018,0.32452023,0.15125513,0.36060703,-0.23940186,0.7022669,-0.122307315,-0.17098083,0.29498172,-0.08492756,0.1974868,0.024995808,0.48490226,1.3326733,0.32391083,-0.07689558,0.52780783,-0.75954044,0.079841755,-0.32361314,0.5518366,0.9605046,0.39077246,-0.06764534,0.3986649
9,9,skin cancer,CHEMBL90555,CCC1(O)CC2CN(CCc3c([nH]c4ccccc34)C(C(=O)OC)(c3cc4c(cc3OC)N(C=O)C3C(O)(C(=O)OC)C(OC(C)=O)C5(CC)C=CCN6CCC43C65)C2)C1,2.4349818,-0.01130496,2.7766922,-1.1019394,12.715506,-5.5759006,4.0498776,2.1499734,3.9970424,1.0591078,-0.42953563,7.6986694,-2.4195971,3.5305521,10.862371,3.9149745,-5.130615,-3.732434,-4.8254223,2.6827288,0.79702586,3.637598,10.102656,0.7759811,6.308027,2.4746408,-2.7681112,6.9817724,0.34594232,-0.42008474,0.26973653,1.486435,0.20081936,0.21969025,0.042031124,1.0764577,-0.6892175,-0.55395633,1.0590447,0.05558405,0.2968405,0.043678,1.1090752,0.42546773,0.99785507,-0.26329082,0.8696996,-0.41244155,0.2620085,-0.12855315,0.4058296,1.2441018,0.9181963,-1.2653607,0.7655576,0.69020116
