,Unnamed: 0,hastalik,idd,smiles,jtvae_0,jtvae_1,jtvae_2,jtvae_3,jtvae_4,jtvae_5,jtvae_6,jtvae_7,jtvae_8,jtvae_9,jtvae_10,jtvae_11,jtvae_12,jtvae_13,jtvae_14,jtvae_15,jtvae_16,jtvae_17,jtvae_18,jtvae_19,jtvae_20,jtvae_21,jtvae_22,jtvae_23,jtvae_24,jtvae_25,jtvae_26,jtvae_27,jtvae_28,jtvae_29,jtvae_30,jtvae_31,jtvae_32,jtvae_33,jtvae_34,jtvae_35,jtvae_36,jtvae_37,jtvae_38,jtvae_39,jtvae_40,jtvae_41,jtvae_42,jtvae_43,jtvae_44,jtvae_45,jtvae_46,jtvae_47,jtvae_48,jtvae_49,jtvae_50,jtvae_51,jtvae_52,jtvae_53,jtvae_54,jtvae_55
0,0,ulcerative colitis,CHEMBL704,Nc1ccc(O)c(C(=O)O)c1,0.372736,-0.115715936,-1.8318914,-3.4701924,0.57806706,-2.3603377,2.5900528,-3.1643112,-4.20024,-1.1946536,-0.43664557,-3.4320712,1.0970734,0.74520814,3.5011349,0.7999336,0.92423743,-1.9263897,1.0994601,-0.5987334,3.245521,0.23332854,2.3458607,1.6106234,-2.4425447,-0.335214,-3.1356459,-0.76265657,0.37779784,0.4062989,0.41017103,-0.83362824,0.27811605,2.373881,-1.0032536,0.733378,-0.18945193,0.24431743,0.6272099,-0.9238819,-0.36012962,0.48798037,1.5064937,0.022182364,1.7687496,-1.1052582,-0.18478887,-0.14491656,-1.5366577,0.15248832,0.12389494,-3.038746,0.5806562,-0.7742853,0.05017414,-0.5286932
1,1,ulcerative colitis,CHEMBL1542,Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12,-0.70020545,-0.100150585,3.0431116,-0.43933362,-1.9645276,-1.6997484,2.6869006,-5.671906,-2.1005504,-0.17460714,-4.6067104,0.8253053,1.5216882,-0.095806465,0.16618864,-4.281165,-1.3177879,-4.574992,-3.3777025,3.421234,2.307712,-0.2728888,-2.4231875,-4.6417637,-3.4271626,7.110847,-0.2370463,-0.9558395,-2.3707168,0.5536713,-1.6611655,2.2124815,1.7945964,-0.07655221,-0.5834611,1.6146833,0.43236688,0.11100751,-0.6941683,1.9015577,1.035998,-0.1872056,-1.3935084,0.27003813,0.45390326,1.6509273,-0.40094084,1.6080886,-0.7769193,2.3854947,-1.2284992,2.5571263,2.4170623,-1.2392871,-0.91398054,2.5325263
2,2,ulcerative colitis,CHEMBL1200760,O=C([O-])CCNC(=O)c1ccc(N=Nc2ccc(O)c(C(=O)[O-])c2)cc1.[Na+].[Na+],-0.39828548,-5.815226,3.8472238,0.04618349,-2.0761209,-2.4959865,-4.2551627,3.3162675,0.6059065,1.6570933,2.9603105,2.815375,0.84690964,1.0797437,4.495525,-3.4425285,0.50789875,-0.8704909,3.7270806,-2.2158227,1.3749294,-5.1862073,1.591152,3.7678952,0.51223344,-0.7891619,3.028471,-0.80394566,-0.17258976,0.40768024,-0.49872983,-0.30645233,0.7718455,0.19303142,0.2542136,-0.9248576,-0.23725116,0.12636007,0.59351057,-0.39124787,0.37010646,0.7123718,0.538278,0.42004168,2.0323536,-0.5118734,0.182825,-1.0114588,-0.22293882,0.014838882,0.74933684,-0.20092812,-0.41759664,-0.6610223,-0.25919113,-0.4590554
3,3,ulcerative colitis,CHEMBL1201013,O=C([O-])c1cc(N=Nc2ccc(O)c(C(=O)[O-])c2)ccc1O.[Na+].[Na+],-1.0050546,-4.353164,0.88686097,-0.9488842,0.41278136,-0.63491994,-2.8038187,-0.85731834,-3.2305076,-1.7201004,1.0986267,0.89944094,1.5184473,2.8966637,6.6980214,-4.388749,0.85591996,-0.778073,2.7745419,-0.5894095,1.2535123,-2.9716911,2.0964036,4.20077,1.9015367,2.1207066,1.3876779,3.3066099,0.14292343,1.4977448,-0.53286487,-1.8734351,0.9295039,0.78079456,0.82409596,-1.2593243,-0.9257172,-0.5633157,-0.2592605,-2.308988,-0.40093303,-0.15983294,0.8852012,-0.49559528,2.1876168,-0.62227327,0.8236621,-1.8124528,-1.2659107,-0.007819317,1.4988196,-1.3787721,0.036694273,-1.5324137,-0.58715683,-1.5618008
4,4,ulcerative colitis,CHEMBL635,CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,2.8286889,1.6994758,-0.94880176,0.43813914,4.980709,-1.0404078,-2.2851255,-2.8906832,2.5527005,3.237648,-0.015127763,3.4175642,-2.2038693,1.8968036,4.5808363,4.28027,4.542518,-3.1738675,-2.4924366,-1.4320114,4.0908356,0.72246706,4.8787465,0.14041309,5.106479,1.0846128,3.0822105,5.8411827,-0.11975068,0.99691373,-0.77919644,0.18459912,-0.36632332,0.1461204,1.4382267,-1.3091757,1.7747949,-0.8911125,0.32713673,0.53602153,1.0611675,0.26941508,0.58779496,2.1086946,1.60857,0.109237455,0.065457284,2.4127235,-1.1821116,0.21012214,-0.27387258,-0.10123524,0.28085762,0.74712944,-0.67959356,1.6891528
5,5,ulcerative colitis,CHEMBL1200699,CC1c2cccc(O)c2C(=O)C2=C(O)C3(O)C(=O)C(C(N)=O)=C(O)C(N(C)C)C3C(O)C21.O,0.5922371,5.584555,-1.3374715,-1.4144173,8.566183,-3.0523202,-1.0387592,1.4102663,-4.5943184,0.7986596,-4.1791997,2.414382,6.1158867,8.313702,13.515143,1.6883262,2.935105,2.0410724,-0.94830614,-2.1958923,6.9982867,-2.1969686,6.7530265,-0.35806972,2.4572365,6.764359,-2.675571,9.665263,-0.42052203,-0.7879695,-0.085137986,0.4888004,1.7320371,-0.0699991,0.03559029,0.2087218,0.032332167,-0.46460342,-0.922456,0.14867249,0.12340889,1.1486715,0.631418,0.0067197783,1.0457339,-0.6564346,-0.5023305,-1.2393878,-0.13508353,-0.53427637,-0.064205505,0.6166676,0.55190825,1.1161487,0.43764982,0.70781994
6,6,ulcerative colitis,CHEMBL1200538,CC(=O)OCC(=O)C1(O)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,-1.7607933,1.571133,-2.4097416,-2.4387786,7.8920693,-1.6542298,-1.0036076,-0.54772866,5.0578723,0.062410966,0.61418176,3.8551254,4.2936416,2.6267228,6.996332,4.419528,-0.87744874,-2.807741,2.4117694,-2.1390364,8.082495,0.8000015,3.9338973,1.5058649,3.2691638,1.6894013,5.202172,1.7253821,-0.011333433,1.1210514,-0.9611595,0.3153783,-0.4475704,0.30737475,1.1787984,-0.6923168,1.2155769,-0.31087965,0.43111667,0.114957005,0.32546306,0.02541104,0.006009575,1.9729108,1.7356205,0.3888939,0.0068040937,2.246841,-0.96912795,0.0155303925,-0.73359805,-0.085868,0.5760984,1.1913991,-0.36932927,1.4004103
7,7,ulcerative colitis,CHEMBL655,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,-2.1747289,-0.28024536,-1.3644934,0.7400006,-1.2080595,5.2108493,0.05334451,-1.371513,0.45260778,0.17528142,-3.006847,-1.2292411,-2.618975,4.507475,0.11549051,-1.0607742,1.2831873,-4.9557037,0.24493475,2.7691946,-1.0080467,0.6459992,2.4390047,-1.2431847,-3.4056687,2.6406722,-2.969304,0.33395243,-0.55810374,-1.0541042,-1.127165,0.1493825,0.94580555,2.00492,-0.39113554,-1.0125978,-0.8016689,0.7252003,-0.008419822,-0.6555009,0.7367419,0.84797245,1.1833894,-0.31596404,0.91582525,0.21575418,-1.0887731,-0.41604313,-2.5491474,-0.8439688,0.18165344,-1.6197083,0.4936543,-1.7559761,1.1347239,0.14537412
8,8,ulcerative colitis,CHEMBL425,O=C(O)c1cc(N=Nc2ccc(O)c(C(=O)O)c2)ccc1O,-0.74701977,-1.994707,1.5980489,-3.2736557,2.023742,-3.0214512,-1.6764847,-0.38285375,-3.4304478,-1.7784923,-0.64425564,0.86000675,1.138175,3.285473,5.7975197,-3.8095236,1.3380855,-1.4476978,2.6076732,-1.2070433,0.9986557,-1.2885069,2.7091868,6.449754,2.9804265,1.6454979,-0.4092574,1.5285745,0.22464298,1.6030178,-0.63493717,-2.138215,0.9154819,0.9312195,0.9517056,-1.376895,-1.3391913,-0.56226474,-0.30028808,-2.6352694,-0.48024994,-0.10448198,1.2689949,-0.29234087,2.1160195,-0.77123123,1.0015422,-2.0636802,-1.432754,0.08070619,1.6982493,-1.5767672,-0.13406478,-1.5083032,-0.7521979,-1.6765237
9,9,ulcerative colitis,CHEMBL113,Cn1c(=O)c2c(ncn2C)n(C)c1=O,-1.4096394,0.7956971,-1.6595736,-5.4102554,-4.305303,-3.7813509,2.7673407,-1.800218,-4.4736094,-1.8550198,-0.53676105,2.9636285,0.7335701,3.6305523,1.3451082,-0.56929225,-0.012740374,-2.9346209,1.1399451,-0.9550987,3.8649726,-1.2120615,1.834966,-1.4842018,-5.993061,3.459762,-0.21172523,0.96667266,-0.7498916,-0.43676504,-1.480728,0.47697473,2.622633,0.23509136,-1.2569921,0.34175408,0.9999674,-0.012319762,-0.81386006,-0.032263957,-0.81514555,-0.001142472,-0.6219843,1.031988,1.5187879,0.9070085,-0.95774215,1.1195202,-0.19868186,1.6089104,0.19723913,1.2277359,1.4578077,0.05419548,-0.74770993,1.0142266
