,Unnamed: 0,hastalik,idd,smiles,jtvae_0,jtvae_1,jtvae_2,jtvae_3,jtvae_4,jtvae_5,jtvae_6,jtvae_7,jtvae_8,jtvae_9,jtvae_10,jtvae_11,jtvae_12,jtvae_13,jtvae_14,jtvae_15,jtvae_16,jtvae_17,jtvae_18,jtvae_19,jtvae_20,jtvae_21,jtvae_22,jtvae_23,jtvae_24,jtvae_25,jtvae_26,jtvae_27,jtvae_28,jtvae_29,jtvae_30,jtvae_31,jtvae_32,jtvae_33,jtvae_34,jtvae_35,jtvae_36,jtvae_37,jtvae_38,jtvae_39,jtvae_40,jtvae_41,jtvae_42,jtvae_43,jtvae_44,jtvae_45,jtvae_46,jtvae_47,jtvae_48,jtvae_49,jtvae_50,jtvae_51,jtvae_52,jtvae_53,jtvae_54,jtvae_55
0,0,unipolar depression,CHEMBL1201066,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1.Cl,0.6436788,-1.6793212,1.2563527,-1.2199018,6.6326222,-4.254058,4.3038936,1.0626944,-0.9347446,-3.232077,3.159494,0.060259208,0.6805302,0.5129582,-2.5629594,-1.2102759,1.7291857,3.8119876,2.2208579,1.4698364,-1.3333422,1.8258542,2.6645381,1.7475944,2.2919295,1.8017777,-3.9161277,-1.9785678,-0.15563618,0.070317365,-0.13193631,0.5071063,0.9838487,0.7672376,0.56492966,-0.79539716,0.01064115,0.6649175,-0.25226462,0.9215783,0.50276935,1.0210104,-0.07983152,-0.35289818,1.0591456,-0.04060127,0.07797826,-0.34916648,0.14378788,-0.01269082,0.47126445,0.4268846,0.20143941,-0.4763355,0.16233513,-0.42029366
1,1,unipolar depression,CHEMBL1112,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,2.2977858,-1.9474045,6.147439,2.4613936,-3.4406116,0.52483857,-0.624686,1.5325788,4.389465,3.0209599,-0.8725171,-0.12669125,3.5843775,5.280797,3.5038378,3.020006,2.602313,2.2190003,5.3398333,-0.89299357,-4.704055,0.7129573,-6.526019,3.8676455,2.265413,3.2361455,0.36167866,3.384733,0.19634676,0.2191532,-0.21254785,0.3615086,0.49537215,0.809374,-0.223199,0.05110168,1.2487988,-0.60070837,-0.45551765,-0.037043132,0.8157406,0.3966769,-1.3077829,-1.0070411,1.627616,0.7340276,-0.75693977,-0.45351446,-0.013333475,0.7265398,-0.08483296,1.60272,0.45234936,0.6787561,-0.100205414,0.19859786
2,2,unipolar depression,CHEMBL1201082,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1.Cl,-0.284853,-5.0585957,2.7614663,2.6328707,-0.23386823,-4.9395614,-0.71234846,0.20526649,2.191344,-3.3316135,3.035773,-4.1055226,-1.75334,1.2764958,0.087440535,2.0348988,-2.8276684,-1.9005828,1.2209681,4.3162985,-3.0403657,-4.484956,7.003225,0.96168286,-2.3474526,-1.0961609,-2.7097363,-4.25677,-0.06095883,-0.012270045,-0.05070547,0.8150662,0.54390824,0.113647655,0.47116116,-0.5221444,0.325505,0.44491625,0.16931333,0.7350048,0.75275403,1.4258512,-0.10596854,0.27665144,1.1266986,-0.3497635,0.31464767,-0.22992817,-0.1622241,-0.081004895,0.30321726,0.50026983,-0.23522826,-0.7456846,0.05961723,-0.27424517
3,3,unipolar depression,CHEMBL741,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,0.8786578,-0.40744698,-1.1661226,-1.9501616,-2.1756756,0.4422104,-2.6568115,-1.6439263,-1.8759804,-3.9204361,-0.4809413,-1.1576686,2.0584035,0.84637976,2.1351435,1.1187341,1.7430594,1.0119958,5.1140203,-0.06349803,-2.092173,-0.06149435,5.0380425,-1.679294,-6.303272,3.7568984,-3.6127038,0.10916281,-1.0033623,0.11903205,-0.16681322,0.28773826,0.8806249,2.0487177,-0.6788141,1.5875775,1.0417455,0.7162218,-0.18208574,-0.46045014,1.1066993,-0.35336208,-1.8953797,0.18898837,0.64514816,-0.49436638,-0.48602998,-1.6715168,-1.6121453,-0.44549674,1.5214937,0.19180435,-0.81693286,-0.44424716,-0.21837316,0.21124673
4,4,unipolar depression,CHEMBL14370,CCOc1ccccc1OC(c1ccccc1)C1CNCCO1,-3.071514,3.0812535,-1.1312497,0.78817743,1.7249883,-0.85768986,0.9889865,-0.05307941,-0.50182664,-2.644055,-1.6958811,-5.941443,-2.8647926,2.3910096,0.33314675,0.19525845,-1.7788273,1.0740637,-0.42673022,3.7953255,-3.0430634,-0.083345935,-0.9638124,1.3572214,4.621149,-1.171779,1.1998695,-0.8204669,0.0513258,-0.74205786,-0.9080318,0.012617335,0.43531108,0.3426545,-0.44488877,1.2035002,-0.83157665,0.052918583,0.6211544,-0.47557804,-0.5517545,0.022562608,0.63718134,-0.2032164,0.85213363,0.676781,0.6358809,-0.06887821,-0.33084992,-0.4381112,-0.6011473,0.64929885,0.68439585,-0.22089517,0.59883106,0.7271491
5,5,unipolar depression,CHEMBL207538,CC(=O)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C,2.7524981,1.7464186,-1.066822,-1.3542666,5.8883667,2.579692,-0.43989214,1.3053795,3.6846778,-1.7662276,2.5035222,0.80741674,2.4600174,1.449571,-1.2113918,1.3442401,2.642584,-2.553644,3.0885205,-2.984939,7.3578377,1.5809988,0.8967417,2.8084407,1.100748,0.040298373,1.1981486,4.7944565,0.7205468,0.49299628,-0.99632144,0.7670409,0.44030133,0.5677849,1.2752826,0.21841441,2.1091707,-0.5058515,-0.48937032,0.11773903,1.2353528,-0.11872755,0.7577168,0.8075925,2.3625157,0.93903923,-0.80184394,1.3323145,-0.89563227,0.4132343,-0.75832677,0.8948425,-0.08250098,0.35336086,0.04959134,0.7572324
6,6,unipolar depression,CHEMBL809,CNC1CCC(c2ccc(Cl)c(Cl)c2)c2ccccc21,-0.22424254,2.3442547,-1.4812928,-0.14898789,-2.82006,2.0247855,-3.4691489,2.9302936,2.1687462,-5.119276,1.3670391,-4.67006,0.5342229,0.5049195,2.046124,2.3044908,2.0658855,-1.3495457,2.6750727,0.21663356,-1.6688482,1.0731287,3.0885582,-1.749321,-2.0811722,3.8740034,-3.7741106,-2.2907016,-0.8271092,0.27830154,0.14930195,-0.63318104,0.9032434,-0.39508027,0.4073687,-0.4250439,0.7698451,-0.4054886,-0.08182927,0.14029992,0.25573382,0.19681673,-0.66128653,-0.8815075,2.7076306,0.3829015,-0.31043994,0.35114175,-0.42480558,-0.24172527,0.115264006,0.8404734,-0.7400964,-1.8917762,-1.0336854,0.3923796
7,7,unipolar depression,CHEMBL445,CNCCC=C1c2ccccc2CCc2ccccc21,2.4258633,-0.20221601,1.1620781,-3.3209004,-4.354185,-1.2186922,-3.6090252,2.0122235,4.5433607,-1.9241678,2.8659627,-6.1202784,-0.96316195,1.9806519,-0.57140386,2.0605228,-1.2785668,-0.7696271,0.08231132,1.2913713,4.2711105,-2.522726,4.7779202,-3.5843427,-4.334106,2.5894809,-3.2485316,-0.30492568,0.12446393,-0.20049581,0.33144757,0.7363279,0.9533948,0.7164317,0.68453735,0.2733911,0.3317259,-0.43406102,-0.5411574,0.81994766,0.8419506,0.279737,0.55178344,0.009528986,0.88876677,0.5383277,-0.17049672,0.25857663,-0.79381454,-0.83599937,0.5609305,0.59793043,0.7328652,0.015746176,0.6593609,0.9247947
8,8,unipolar depression,CHEMBL742,CNC1(c2ccccc2Cl)CCCCC1=O,-0.49229428,0.26094612,-2.57069,-0.76665586,-2.569737,0.061385654,0.16775429,0.54955786,-0.2147033,-5.6729293,2.0393305,-2.5137544,-1.9622084,-1.6550289,0.6200868,3.6624277,1.2701658,-1.2330062,0.5159953,-0.7140968,-2.059796,2.174705,3.055882,-0.5678974,0.22800851,0.4522462,-2.8685806,-2.8224008,-0.065593295,-0.18025076,-1.2858055,-0.09158982,1.0352106,1.2974064,-1.6905845,-0.40289414,-0.3774925,0.4055258,0.06088125,-0.018730037,-0.29581517,-0.58125776,1.3559093,-0.2508894,0.7821462,1.2941812,0.26835585,-1.3168216,-2.1872005,-0.22954676,-0.43107554,-0.31560007,0.39074457,0.8903552,2.2306736,0.25166008
9,9,unipolar depression,CHEMBL95889,C[N+](C)(C)CC(=O)O,3.3700135,0.726765,-1.411099,-6.04941,-0.34211564,0.33663553,-0.5578413,-5.7587614,-3.0955744,1.1467922,-3.023613,-0.6549804,4.828924,-2.0603266,3.0063791,-1.8204838,-0.03139709,-1.7632642,-1.8884497,1.6050875,1.0765039,2.0078208,5.2926908,0.66009676,-0.26751336,1.2963878,3.3374655,-1.0794468,0.58987933,0.12850007,0.35144082,0.46769446,0.7479639,0.9827875,-0.05039613,0.49130002,0.49526244,-0.060616005,-0.07286347,-0.26423123,0.56116104,0.6708375,1.0289264,-0.24567923,1.6486651,-0.3183802,-0.019302323,0.2688074,-0.652394,-0.7425162,-0.2766893,-0.19044468,0.46637994,-1.2564245,-0.78078073,-1.0470732
