,Unnamed: 0,hastalik,idd,smiles,jtvae_0,jtvae_1,jtvae_2,jtvae_3,jtvae_4,jtvae_5,jtvae_6,jtvae_7,jtvae_8,jtvae_9,jtvae_10,jtvae_11,jtvae_12,jtvae_13,jtvae_14,jtvae_15,jtvae_16,jtvae_17,jtvae_18,jtvae_19,jtvae_20,jtvae_21,jtvae_22,jtvae_23,jtvae_24,jtvae_25,jtvae_26,jtvae_27,jtvae_28,jtvae_29,jtvae_30,jtvae_31,jtvae_32,jtvae_33,jtvae_34,jtvae_35,jtvae_36,jtvae_37,jtvae_38,jtvae_39,jtvae_40,jtvae_41,jtvae_42,jtvae_43,jtvae_44,jtvae_45,jtvae_46,jtvae_47,jtvae_48,jtvae_49,jtvae_50,jtvae_51,jtvae_52,jtvae_53,jtvae_54,jtvae_55
0,0,urothelial carcinoma,CHEMBL3545376,COc1cc(OC)cc(N(CCNC(C)C)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1,-0.92488515,1.7543396,2.3102424,-1.9747322,3.2244873,-4.588983,2.1033554,4.030006,2.9939806,-3.4882934,-0.76446563,3.430727,1.2735556,-0.33427545,-0.43036813,-1.5605005,1.8348123,2.3968086,3.5837507,4.6754932,-2.7773657,-1.8114234,-5.2038846,3.7083876,1.8464682,7.0852666,-3.9049618,-1.5962051,1.8088769,-0.07798485,0.14553505,0.18557288,1.0311403,-0.016964346,-0.30089125,-0.9622638,-0.15006682,0.5379379,-0.2867525,-0.68624896,-0.1902352,-0.10661568,-1.0184172,0.080695346,2.0213385,-0.40663436,-1.1167696,-0.47379386,0.018710295,-0.71669614,0.21498406,0.9670534,0.61975044,-0.07944867,-1.1254975,0.19955678
1,1,urothelial carcinoma,CHEMBL1536,C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)C=CC(C)C(C)C,6.7031174,1.2328771,-2.0347564,-5.72962,8.452646,2.892429,-8.418693,-2.7863367,7.405416,4.9401197,6.042017,3.063198,3.922806,-1.8224237,2.8955157,2.5491068,3.5324283,-1.1886548,-0.14704995,3.4504294,2.5315168,-1.8185261,-1.6812041,-2.4465332,6.504948,2.2470055,-2.132672,4.7003317,0.3075282,0.2664497,-0.051195003,0.77753687,1.2870767,1.0594902,0.25205094,0.3260264,0.5565703,-0.061495792,0.07940794,-0.053653084,1.0121801,-0.32778376,0.22816607,0.47210285,1.480252,0.4885722,-0.65685177,1.0219387,-0.79315317,0.33775994,-0.002337806,-0.07204369,0.8838299,0.0017658472,-0.006823594,0.51508975
2,2,urothelial carcinoma,CHEMBL888,Nc1ccn(C2OC(CO)C(O)C2(F)F)c(=O)n1,-3.7140522,0.15956318,-1.5351883,0.5491182,-1.4432553,-0.72487885,1.4960122,-1.690715,-3.9544709,-3.0408125,2.518744,2.337449,2.2630982,7.1378922,3.0096643,5.078614,3.1388094,-2.9654033,-3.8805664,3.179088,2.053827,-3.4474254,5.2353163,0.8050817,-3.7358053,4.0845113,0.16620904,0.02193579,-0.26113734,0.27477327,0.02251669,0.42668796,-0.100051045,0.9214301,0.54869217,0.27916214,0.19999045,-0.44814336,-0.25380257,-1.1290863,-0.7336559,1.3382006,0.23905,0.6309883,1.8079387,-0.026358608,0.46025455,-1.0752511,1.0317547,-0.4860369,0.04390011,0.28622726,0.82307565,-0.2432039,-0.050532065,-0.08014184
3,3,urothelial carcinoma,CHEMBL1683590,C=C1CC2CCC34CC5OC6C(OC7CCC(CC(=O)CC8C(CC9OC(CCC1O2)CC(C)C9=C)OC(CC(O)CN)C8OC)OC7C6O3)C5O4,6.418153,3.5753686,-3.9491234,-5.753838,5.2288713,0.14448097,-2.6020243,-5.1654077,-0.6600442,5.0665336,5.2638636,3.0999496,4.7239976,4.460534,7.983953,0.7325091,-2.0733888,3.8253896,-2.0287347,3.236803,2.3039944,-1.4297738,8.945304,0.09136107,-1.7329849,3.629118,-2.8544102,3.9973638,-1.1379915,1.2978084,-0.39507952,-0.38362473,0.74838054,-0.9165071,-0.002808882,-0.22161151,1.0832609,-0.9972307,-0.61964417,-1.2360351,-1.6828914,1.925499,0.34065676,1.0347456,1.4450653,-1.4818956,0.29501826,0.81899023,-0.6583558,0.5124563,-1.0128158,1.5736238,0.8055375,-0.5212477,-0.32996124,1.7028538
4,4,urothelial carcinoma,CHEMBL1637,Cl.Nc1ccn(C2OC(CO)C(O)C2(F)F)c(=O)n1,-3.7140522,0.15956318,-1.5351883,0.5491182,-1.4432553,-0.72487885,1.4960122,-1.690715,-3.9544709,-3.0408125,2.518744,2.337449,2.2630982,7.1378922,3.0096643,5.078614,3.1388094,-2.9654033,-3.8805664,3.179088,2.053827,-3.4474254,5.2353163,0.8050817,-3.7358053,4.0845113,0.16620904,0.02193579,-0.31208336,0.212886,0.017259799,0.37854394,-0.030444562,0.91478443,0.4668803,0.2291829,0.24808124,-0.42181167,-0.26320934,-1.0054646,-0.64108217,1.3160201,0.22560802,0.5646902,1.8074179,0.05490998,0.46550518,-1.1354052,0.946792,-0.479353,0.06444491,0.3218691,0.90950745,-0.18903582,-0.0060605914,-0.07065801
5,5,urothelial carcinoma,CHEMBL3545252,CC(=O)OC12COC1CC(O)C1(C)C(=O)C(O)C3=C(C)C(OC(=O)C(O)C(NC(=O)OC(C)(C)C)c4ccccc4)CC(O)(C(OC(=O)c4ccccc4)C21)C3(C)C.O.O.O,-4.8127728,7.7749124,-0.2151672,-0.9855166,14.428181,-6.2907553,-3.8059907,-3.6481395,2.0131323,7.1117196,4.989245,7.70707,3.6680183,0.5313916,15.776283,-0.29857698,1.0712684,-4.0241327,-0.93512654,1.5362818,1.0091797,-1.769364,12.461505,2.8900785,6.939343,3.9664912,0.47500962,8.080043,0.5976464,0.25004083,-0.05491037,0.4530018,0.32452023,0.15125513,0.36060703,-0.23940186,0.7022669,-0.122307315,-0.17098083,0.29498172,-0.08492756,0.1974868,0.024995808,0.48490226,1.3326733,0.32391083,-0.07689558,0.52780783,-0.75954044,0.079841755,-0.32361314,0.5518366,0.9605046,0.39077246,-0.06764534,0.3986649
6,6,urothelial carcinoma,CHEMBL378544,CCC1(O)CC2CN(CCc3c([nH]c4ccccc34)C(C(=O)OC)(c3cc4c(cc3OC)N(C)C3C(O)(C(=O)OC)C(OC(C)=O)C5(CC)C=CCN6CCC43C65)C2)C1.O=S(=O)(O)O,2.9426286,0.2874918,2.1534755,-1.9620818,13.420489,-5.451916,3.6214433,1.9442817,3.7103493,-0.058964625,-0.99074674,8.165254,-1.41629,3.4855108,10.110917,4.2059946,-5.1656666,-3.6523864,-3.241151,3.520029,0.43376833,3.2386608,9.758933,0.70447433,6.161304,2.6512508,-3.904151,7.200983,0.24024865,-0.3981755,0.40409464,1.3423686,0.19249436,0.29800582,0.032812953,0.979056,-0.65997297,-0.361862,0.92491543,-0.0020947382,0.25231415,0.04727614,1.0998586,0.40923175,1.1537112,-0.23735353,0.6724022,-0.19943768,0.3143301,-0.0064803213,0.19966903,0.9912931,0.90145767,-1.1736649,0.6791237,0.56130546
7,7,urothelial carcinoma,CHEMBL92,CC(=O)OC12COC1CC(O)C1(C)C(=O)C(O)C3=C(C)C(OC(=O)C(O)C(NC(=O)OC(C)(C)C)c4ccccc4)CC(O)(C(OC(=O)c4ccccc4)C21)C3(C)C,-4.8127728,7.7749124,-0.2151672,-0.9855166,14.428181,-6.2907553,-3.8059907,-3.6481395,2.0131323,7.1117196,4.989245,7.70707,3.6680183,0.5313916,15.776283,-0.29857698,1.0712684,-4.0241327,-0.93512654,1.5362818,1.0091797,-1.769364,12.461505,2.8900785,6.939343,3.9664912,0.47500962,8.080043,0.6350753,0.2284851,-0.019545227,0.46980757,0.254271,0.15632838,0.39760876,-0.18702999,0.60015285,-0.06979437,-0.12561382,0.29468197,-0.03572526,0.24491864,-0.007845845,0.4975263,1.3788022,0.30001065,-0.071089506,0.46249652,-0.7997659,0.04207761,-0.36503306,0.54983616,0.9562039,0.48150197,-0.09056284,0.38491789
8,8,urothelial carcinoma,CHEMBL428647,CC(=O)OC1C(=O)C2(C)C(O)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C2(O)CC(OC(=O)C(O)C(NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C,-7.150333,9.9965925,2.994817,1.408019,13.310491,-6.6096997,-1.7898257,-4.140256,0.21136841,8.896896,3.8296936,5.547561,1.1800364,-0.6271957,15.647297,-2.3967786,-2.7895973,-3.4981065,-2.2362256,-0.44236606,0.9812164,-0.06545253,14.690649,3.1606846,8.765574,4.6137977,0.10865659,7.8827963,0.5680017,0.13897103,0.0011871085,0.47079152,0.24527319,-0.023256004,0.37557548,0.026606461,0.64769655,-0.036702886,0.15288931,0.07197416,-0.0745267,0.24286596,-0.030681185,0.69784373,1.4346685,0.26265723,0.11011207,0.30285943,-0.6291737,-0.072356895,-0.34509006,0.48908556,0.7091514,0.54029703,0.047485672,0.56603295
9,9,urothelial carcinoma,CHEMBL2110725,CCC12C=CCN3CCC4(c5cc(C6(C(=O)OC)CC7CC(C(C)(F)F)CN(Cc8c6[nH]c6ccccc86)C7)c(OC)cc5N(C)C4C(O)(C(=O)OC)C1OC(C)=O)C32,1.3887044,2.1476638,-2.9919245,4.601159,12.8621025,-2.5993276,2.6131325,-0.8278132,5.4433208,-3.173922,-0.0458716,10.020479,-2.601082,4.1674542,11.276289,6.137561,-2.686272,-1.5703682,-3.972114,5.249751,-3.9112756,2.379601,10.567527,1.6279268,4.845312,1.6984698,-4.301868,10.488249,0.39437166,-0.46291646,0.35906366,1.1326075,0.06014788,0.5426063,-0.12148167,1.182405,-0.9246253,-0.013696875,0.84873754,0.024446346,0.15904558,0.18301338,0.92323077,0.61777097,1.2401627,-0.20742714,0.3940754,-0.44755626,-0.2364268,-0.027823333,0.6777272,1.1024817,0.75341773,-1.0995612,0.051663764,0.71146846
