,Unnamed: 0,hastalik,idd,smiles,jtvae_0,jtvae_1,jtvae_2,jtvae_3,jtvae_4,jtvae_5,jtvae_6,jtvae_7,jtvae_8,jtvae_9,jtvae_10,jtvae_11,jtvae_12,jtvae_13,jtvae_14,jtvae_15,jtvae_16,jtvae_17,jtvae_18,jtvae_19,jtvae_20,jtvae_21,jtvae_22,jtvae_23,jtvae_24,jtvae_25,jtvae_26,jtvae_27,jtvae_28,jtvae_29,jtvae_30,jtvae_31,jtvae_32,jtvae_33,jtvae_34,jtvae_35,jtvae_36,jtvae_37,jtvae_38,jtvae_39,jtvae_40,jtvae_41,jtvae_42,jtvae_43,jtvae_44,jtvae_45,jtvae_46,jtvae_47,jtvae_48,jtvae_49,jtvae_50,jtvae_51,jtvae_52,jtvae_53,jtvae_54,jtvae_55
0,0,viral respiratory tract infection,CHEMBL660,NC12CC3CC(CC(C3)C1)C2,-1.3714143,1.826126,-0.96913135,-2.3797626,-3.8974745,-1.8267648,3.5582452,-1.2314441,-4.3652086,-3.8230646,-0.087662354,-2.9698324,0.23274298,1.0611603,-2.850559,3.5804062,4.567656,-1.2623075,3.057872,0.29182532,-0.6631256,2.1096916,2.073133,0.20137724,0.42979956,-0.09525655,-0.6425364,-1.9310814,1.5328007,-0.86942303,0.12795192,1.545785,-1.0388077,2.54414,1.484773,-2.1534204,0.89493746,-0.5317977,1.2117201,1.3756483,0.71269214,0.60774773,-0.1600866,-0.958414,0.45993823,-0.9407508,-1.0021516,0.17009944,0.8620537,1.3033837,0.043889202,0.2313075,-0.96869916,1.4000803,-0.8605446,-0.6405364
1,1,viral respiratory tract infection,CHEMBL514800,CCOc1cc(C(CS(C)(=O)=O)N2C(=O)c3cccc(NC(C)=O)c3C2=O)ccc1OC,-0.5767778,-1.1384724,-2.9950466,2.4802454,6.057778,-3.6276395,2.868393,4.640023,3.4340503,-2.198214,0.02054967,-1.703248,-0.49896735,-0.049199253,3.1931481,-1.499529,1.8563008,0.41356742,-3.045298,-2.969499,-1.1775874,-0.6189096,1.7425916,-2.4292557,3.3556042,3.3794703,0.33158034,0.5049819,-0.40405822,0.09769768,-0.49939227,0.2545595,1.2353039,-0.13888791,0.32746527,0.03161082,-0.9398503,-0.30907226,-0.5403616,-0.19923002,0.31325272,0.456869,-0.41524148,-1.4770294,0.6889417,-0.35469392,0.12519233,-0.35081387,1.173575,0.22545454,-0.0210094,0.98014617,0.7538002,-0.24219725,0.40789336,0.21463579
2,2,viral respiratory tract infection,CHEMBL1569,Cl.NC12CC3CC(CC(C3)C1)C2,-1.3714143,1.826126,-0.96913135,-2.3797626,-3.8974745,-1.8267648,3.5582452,-1.2314441,-4.3652086,-3.8230646,-0.087662354,-2.9698324,0.23274298,1.0611603,-2.850559,3.5804062,4.567656,-1.2623075,3.057872,0.29182532,-0.6631256,2.1096916,2.073133,0.20137724,0.42979956,-0.09525655,-0.6425364,-1.9310814,1.3026414,-0.87206143,0.11084231,1.376299,-0.8503679,2.3983922,1.2772309,-2.029839,0.9131689,-0.48313454,1.0746992,1.3626544,0.7387384,0.6334997,-0.14810824,-0.93093604,0.57144743,-0.7358761,-0.8719711,-0.028924085,0.74167085,1.1648479,0.07641945,0.29231715,-0.6825341,1.3489062,-0.72263044,-0.5788207
3,3,viral respiratory tract infection,CHEMBL112,CC(=O)Nc1ccc(O)cc1,-0.7130991,3.5547688,-2.189852,-2.5957115,-1.2106632,-0.74815404,-0.031337686,-1.8462358,-3.033496,-2.1320763,-0.8442875,-1.6034187,0.58025587,1.1177254,1.370674,-0.7857965,-1.9395419,-0.13632283,1.2990943,-1.6766235,2.2057111,-1.4214715,-0.56582457,2.035881,-0.46854272,-2.0007277,0.096411094,-0.27674007,-0.14473727,0.8128929,0.8525981,0.052915394,0.26916403,1.6208473,2.2021084,-1.1135801,-0.91823137,0.59167904,-0.55020064,0.49406624,0.8304262,1.5039438,-0.26952484,1.3672605,1.0995041,-0.89557296,0.31585222,-0.13685825,-1.1927376,-0.5330924,0.043597557,-0.8071518,-0.39552802,-2.6155908,-1.1971258,-1.2663597
4,4,viral respiratory tract infection,CHEMBL1201772,CC(=O)Oc1cc2c(s1)CCN(C(C(=O)C1CC1)c1ccccc1F)C2,-1.0551584,1.2012707,-3.7230587,1.4797447,0.25689125,3.6137137,1.1356645,-0.21035244,2.804482,2.8116333,1.0765465,4.6188836,-1.703629,1.2155439,4.438417,0.47072646,-1.7317942,0.6463307,-0.5941782,3.5919065,0.26355302,2.713378,-1.7533002,0.20054094,4.4400387,-2.0701513,-0.41707748,1.1699936,-0.13969836,-0.22637808,-0.2223202,0.123557165,0.0021602511,0.82146525,-0.64198005,-0.11327651,-0.038963906,-0.18617272,-0.22496356,-1.1210256,-0.743905,0.19951478,1.9630488,-0.9884813,1.6502163,0.18323934,0.321607,-0.83608115,-0.16650072,-0.93480784,-0.52769154,0.18917878,-0.50065917,-1.1226983,1.3929223,0.060205624
5,5,viral respiratory tract infection,CHEMBL521,CC(C)Cc1ccc(C(C)C(=O)O)cc1,1.3787907,-2.6979744,-1.6029305,-0.15693305,5.719788,0.39786676,0.28508255,2.640706,-1.0258197,2.5082479,0.76399726,-2.4104304,0.13699012,1.0284274,-3.9383492,-2.3526495,0.5699777,-2.5161433,5.483047,-1.2734339,-2.4166667,-0.39376962,3.5572228,1.4575351,0.97193635,-5.374747,-1.2314298,2.1689825,-0.018865446,-0.1986858,-0.37119445,0.98243,1.1539098,-0.33416402,0.07227723,-0.7319919,0.7641123,0.42522475,0.75988555,0.73325455,1.1187345,1.9742134,-0.17265022,0.53176546,1.5656552,-0.47841474,-0.008373082,-0.40386018,0.22583961,-0.08472349,0.3269246,0.430865,-0.94092613,-0.7588545,-0.16478351,-0.10202178
6,6,viral respiratory tract infection,CHEMBL1535,CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12,1.0519683,3.798889,4.197837,-0.33469185,0.7216793,-0.9804841,0.14773533,6.4233994,2.598873,1.8266801,0.593526,1.4430244,3.263603,2.458828,-4.3795505,2.9784553,-2.6672015,1.9687948,2.2284508,0.65013826,-4.633799,-3.6859674,2.0817225,-0.0051764045,-3.1388476,2.7489257,-0.23279685,-3.3748724,-0.42129847,0.6847059,-0.017168589,1.7175913,0.78680813,0.5986003,0.08047804,-0.33756536,0.2854,0.2166131,0.083070055,0.35307643,0.39931566,-0.91768396,0.34154052,-1.7549938,1.3494498,0.34331918,-1.3435614,0.9743952,0.6931679,1.8647906,-0.14210358,0.86810946,1.2608377,-0.55008256,-1.1364168,1.0024203
7,7,viral respiratory tract infection,CHEMBL897,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1,0.6956878,0.5204229,-0.11839715,-1.2116266,-0.19366074,-2.6100938,1.0834682,1.873403,3.219039,-0.80800205,-2.843693,-1.2200178,-1.8521764,3.0161028,-1.9858388,1.6026746,-0.84120524,-1.0298104,1.839798,1.2791145,-2.529189,-4.3927197,6.3162017,-1.1885575,-1.2896746,-2.4383512,2.9428563,1.5908711,-0.027664853,-0.31694716,0.27188596,1.2912849,0.936087,-0.2057966,0.25516412,-0.4428447,0.41793627,0.64574295,0.83564687,0.68777585,0.95305395,1.1663356,0.0015468672,0.25747102,1.5848072,0.0798271,-0.31583256,-0.096899025,0.7284963,0.14921105,-0.5703727,0.867293,-0.24905078,-0.120382294,0.19488692,0.21650471
8,8,viral respiratory tract infection,CHEMBL1771,COC(=O)C(c1ccccc1Cl)N1CCc2sccc2C1,-0.48132172,1.6482863,-2.0010512,-0.42441326,-1.0270786,0.55202246,1.2346421,2.8694506,-0.1342488,0.043737575,3.4170988,1.0317969,0.20180593,0.87790215,1.9882635,-0.7439051,-2.6760275,2.3144186,1.8519036,-0.91340715,-0.41227746,5.861376,-0.13498005,-1.1539701,4.1467986,1.217754,-1.4070863,-2.832554,0.19623947,-0.24800023,0.011465743,0.86773455,-0.041365325,1.2217382,-0.52376705,0.11874278,0.21950588,0.2762458,-0.8606939,-0.18419972,-0.99690783,-0.16382365,2.0867155,-0.6034145,1.1303387,-0.20693362,0.6449888,-0.883374,-1.3839786,-0.6738877,0.72547835,0.68462473,-0.098560944,-0.6857723,1.5184336,-0.058762014
9,9,viral respiratory tract infection,CHEMBL501259,CCCCCCC=CCCCCCCCCCC(=O)NC1C(OCC2OC(OP(=O)(O)O)C(NC(=O)CC(=O)CCCCCCCCCCC)C(OCCCCCCCCCC)C2O)OC(COC)C(OP(=O)(O)O)C1OCCC(CCCCCCC)OC,-0.48403516,-3.5112674,15.843737,-2.630647,12.282648,-0.9778482,-2.7693088,7.4369783,17.140274,22.585636,0.48575795,1.9270668,14.896146,6.3283734,5.9720883,18.647226,-7.4099545,2.290027,1.6458389,5.886696,-0.7877782,-19.811565,11.033526,1.2726297,-1.428987,5.9947104,0.7667267,13.816411,-0.22974911,0.30804324,-0.3758708,0.6244853,1.1666243,0.39627048,0.15525164,0.039549526,0.30497155,-0.12217504,0.45713854,-0.40284297,0.32783383,0.3841061,0.2964993,0.43328983,1.3533486,-0.13654631,-0.047313407,-0.08812035,-0.22335254,-0.21722484,-0.51034683,0.7680696,0.796489,-0.5973873,0.08307213,0.34640077
